,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-03-24,"Spacbolaget ACQ Bure kommer söka förvärv inom tech och medtech: ”Kommer ta minst tolv månader"", säger Bures vd i #Uppesittarkväll. https://t.co/zm2YVZJlkh",1374808684929417225,20,2,,OmniEkonomi,False,11473,"Translated(src=sv, dest=en, text=The spa company ACQ Bure will apply for acquisitions in tech and medtech: ""Will take at least twelve months"", says Bure's CEO in # Uppesittarkväll. Https://t.co/zm2YVZJlkh, pronunciation=The spa company ACQ Bure will apply for acquisitions in tech and medtech: ""Will take at least twelve months"", says Bure's CEO in # Uppesittarkväll. Https://t.co/zm2YVZJlkh, extra_data=""{'translat..."")"
1,1,2021-03-24,"Sveriges första SPAC (Bure ACQ) söker sig till tech/medtech i första hand. De har 36 månader på sig och man ska inte förvänta sig något de första månaderna. Troligen tidigast inom 12 månader. Hittas inget bolag så lämnas minst 90% tbx
#uppesittarkväll #pratapengar #finanstwitter https://t.co/955XoA6DQs",1374804361889583123,0,0,,FiskNilsson,False,6,"Translated(src=sv, dest=en, text=Sweden's first SPAC (Bure ACQ) is looking for tech / medtech in the first place. They have 36 months on them and you should not expect anything in the first months. Probably within 12 months at the earliest. If no company is found, at least 90% tbx is left
# uppesittarkväll #pratapengar #finanstwitter https://t.co/955XoA6DQs, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2021-03-24,"Tecknat aktier i såväl Idun Industrier som Bure ACQ. Blev inga aktier i Idun, trots att jag tecknat på två separata konton. Synd, lär rusa i öppningen. Hoppas på tilldelning i ACQ!",1374739732777799680,3,0,,Upplevelseinv,False,186,"Translated(src=sv, dest=en, text=Subscribed for shares in both Idun Industrier and Bure ACQ. There were no shares in Idun, even though I subscribed to two separate accounts. Too bad, learn to rush in the opening. Hoping for an award in ACQ!, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-03-23,"Begreppet SPAC var nytt för mig tills ganska nyligen när jag hörde att Bure skulle lansera den första i Sverige.

På länken nedan finner du kort info vad SPAC är.

Någon som tecknat sig för Bures SPAC som heter ACQ?

https://t.co/flMJR32kXY
#pratapengar #finanstwitter #spac https://t.co/QXgK6QjL18",1374376854748946434,1,2,,frihetslabbet,False,213,"Translated(src=sv, dest=en, text=The term SPAC was new to me until quite recently when I heard that Bure would launch the first in Sweden.

At the link below you will find brief info about what SPAC is.

Anyone subscribed to Bure's SPAC called ACQ?

https://t.co/flMJR32kXY
#pratapengar #finanstwitter #spac https://t.co/QXgK6QjL18, pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2021-03-22,"Bures specialförvärvsbolag, ACQ Bure, kan maximalt lösa in 10 procent av aktierna om ägarna röstar nej till ett förvärv.
De svenska institutionella investerarna tonar ned risken för att hamna i en sådan situation och säger att de har stort förtroende Bure.
https://t.co/6h4Z8m8fKx",1374090487284523014,2,0,,dagensindustri,True,84564,"Translated(src=sv, dest=en, text=Bure's special acquisition company, ACQ Bure, can redeem a maximum of 10 percent of the shares if the owners vote no to an acquisition.
The Swedish institutional investors downplay the risk of ending up in such a situation and say that they have great confidence in Bure.
https://t.co/6h4Z8m8fKx, pronunciation=[[]], extra_data=""{'translat..."")"
5,5,2021-03-22,"@csntradeRn @NordnetSE Tyvärr inte :/ ACQ/Bure valde SEB &amp; Avanza som selling agents, inte så mycket vi kan göra där tyvärr",1374020132218007552,3,0,,NordnetAxel,False,22238,"Translated(src=sv, dest=en, text=@csntradeRn @NordnetSE Unfortunately not: / ACQ / Bure chose SEB and Avanza as selling agents, not much we can do there unfortunately, pronunciation=@csntradeRn @NordnetSE Unfortunately not: / ACQ / Bure chose SEB and Avanza as selling agents, not much we can do there unfortunately, extra_data=""{'translat..."")"
6,6,2021-03-22,Sålt av större delen av $RSI för att försöka få lite Bure ACQ ✌️,1374017236541841412,0,0,,AktieHunden,False,63,"Translated(src=sv, dest=en, text=Sold by most of the $ RSI to try and get some Bure ACQ ✌️, pronunciation=Sold by most of the $ RSI to try and get some Bure ACQ ✌️, extra_data=""{'translat..."")"
7,7,2021-03-22,"💹 IPO

ACQ Bure - Söker
IDUN Industrier - Söker
Emballance Group - Söker inte

Sista dag att ansöka i alla är imorgon, 23/3",1373934810440302592,10,0,,csntradeRn,False,1211,"Translated(src=sv, dest=en, text=💹 IPO

ACQ Bure - Searching
IDUN Industrier - Searching
Emballance Group - Not looking

Last day to apply in all is tomorrow, 23/3, pronunciation=[[]], extra_data=""{'translat..."")"
8,8,2021-03-22,"Läs vad Affärsvärlden tycker om Fastpartner, Storytel, Ekobot, Ework, Pharmiva, Euroafrica Digital Ventures, ACQ Bure, Dlaboratory, Effnetplattformen, Embellence, Rugvista, Brødrene Hartmann och Linas Matkasse.  👇
https://t.co/se9GAFLpCt",1373900523926122497,4,0,,NordnetSE,False,23105,"Translated(src=sv, dest=en, text=Read what Affärsvärlden thinks about Fastpartner, Storytel, Ekobot, Ework, Pharmiva, Euroafrica Digital Ventures, ACQ Bure, Dlaboratory, Effnetplattformen, Embellence, Rugvista, Brødrene Hartmann and Linas Matkasse. 👇
https://t.co/se9GAFLpCt, pronunciation=[[]], extra_data=""{'translat..."")"
9,9,2021-03-22,"Sista teckningsdag för #ACQBure är tisdag (23/3), tecknar du? Läs #AFV analys: https://t.co/5GzrnuEsOs",1373891485721067520,3,1,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=The last drawing day for #ACQBure is Tuesday (23/3), are you drawing? Read #AFV analysis: https://t.co/5GzrnuEsOs, pronunciation=[[]], extra_data=""{'translat..."")"
10,10,2021-03-22,"Börsveckan ger köpråd för Ferroamp och BE Group, teckna Idun Industrier, ACQ Bure och LMK Group https://t.co/xPOHjdXLEw #analytics #ipo #stocks",1373872332582830080,5,1,,Finwire,False,23864,"Translated(src=sv, dest=en, text=Stock market week provides buying advice for Ferroamp and BE Group, subscribe to Idun Industrier, ACQ Bure and LMK Group https://t.co/xPOHjdXLEw #analytics #ipo #stocks, pronunciation=Stock market week provides buying advice for Ferroamp and BE Group, subscribe to Idun Industrier, ACQ Bure and LMK Group https://t.co/xPOHjdXLEw #analytics #ipo #stocks, extra_data=""{'translat..."")"
11,12,2021-03-21,"ACQ Bure är ett förvärvsbolag (SPAC) etablerat av Bure Equity AB. Börsveckans analytiker ger en teckna-rekommendation till noteringserbjudandet.
https://t.co/yABU8YVdDn https://t.co/MPW50VBwJh",1373567525183762432,12,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=ACQ Bure is an acquisition company (SPAC) established by Bure Equity AB. Stock market analysts give a subscription recommendation to the listing offer.
https://t.co/yABU8YVdDn https://t.co/MPW50VBwJh, pronunciation=[[]], extra_data=""{'translat..."")"
12,13,2021-03-20,"BV #12

Köp: Ferroamp, BE Group

Avvakta: Doro, Studsvik, Reysearch

Teckna: Idun

Teckna: ACQ (Bure SPAC)

Teckna: LMK Group",1373264412564414474,18,0,,Dax12000,False,10087,"Translated(src=sv, dest=en, text=BV # 12

Buy: Ferroamp, BE Group

Pending: Doro, Studsvik, Reysearch

Draw: Idun

Drawing: ACQ (Bure SPAC)

Sign: LMK Group, pronunciation=[[]], extra_data=""{'translat..."")"
13,14,2021-03-20,"Teckna i ACQ Bure och Linas Matkasse – men vänta med Doro. Det är några av råden i senaste numret av Börsveckan.
https://t.co/aadkO3C11W",1373222834965712899,1,0,,OmniEkonomi,False,11473,"Translated(src=sv, dest=en, text=Sign up for ACQ Bure and Linas Matkasse - but wait with Doro. These are some of the pieces of advice in the latest issue of Stock Exchange Week.
https://t.co/aadkO3C11W, pronunciation=[[]], extra_data=""{'translat..."")"
14,15,2021-03-20,"God morgon #finanstwitter, 
Riktig noteringshausse råder och jag väljer att teckna både Bure ACQ och Idun Industrier, hur gör ni?

#pratapengar #aktier #investeringsresan",1373209772841959427,0,0,,GBGinvesterare,False,401,"Translated(src=sv, dest=en, text=Good morning #finanstwitter,
There is a real listing boom and I choose to sign both Bure ACQ and Idun Industrier, how do you do?

#pratapengar #aktier #investeringsresan, pronunciation=[[]], extra_data=""{'translat..."")"
