,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2016-06-14,Imorgon är det dags för AcadeMedias börsnotering. Detta är vad analytikerna sade om aktien https://t.co/TbgxNrUEM6 #aktier #academedia,742798901657403393,4,1,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Tomorrow it's time for AcadeMedia's IPO. This is what analysts said about the stock https://t.co/TbgxNrUEM6 #shares #academedia, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2016-06-14,Fått Synact på 2 konton! Vi får se hur det går för academedia! 👌🏽,742771765047402496,3,0,,csntradeRn,False,1212,"Translated(src=sv, dest=en, text=Received Synact on 2 accounts! We'll see how it goes for academedia! 👌🏽, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2016-06-14,"Ser nu vi Avanza portföljrapport att jag fått tilldelning i både
Alelion Energy System samt SYNACT PHARMA 

När kan man se ev ACADEMEDIA?",742764672101851136,4,0,,Jojo0065,False,3800,"Translated(src=sv, dest=en, text=Now we see the Avanza portfolio report that I received an award in both
Alelion Energy System and SYNACT PHARMA

When can you see ACADEMEDIA?, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2016-06-14,Får man reda på tilldelning i Academedia imotgon bitti eller? @avanzabank,742747861746647042,0,0,,tillgrepp,False,4894,"Translated(src=sv, dest=en, text=Will you find out about the award in Academedia in the morning or? @avanzabank, pronunciation=[[]], extra_data=""{'translat..."")"
4,5,2016-06-14,"@_Jokern_ Snyggt! Ja, Academedia kommer bli bra. Frågan är bara hur många som dyker upp i depån!",742708860507574272,0,0,,akerjoh,False,153,"Translated(src=sv, dest=en, text=@_Jokern_ Nice! Yes, Academedia will be good. The only question is how many people show up at the depot!, pronunciation=[[]], extra_data=""{'translat..."")"
5,6,2016-06-14,"Noterar att både TFB och Swedencare handla bra trots svag börs, kul med Academedia imorgon, lär handla bra den också",742708073236692993,10,0,,_Jokern_,False,17459,"Translated(src=sv, dest=en, text=Notes that both TFB and Swedencare trade well despite a weak stock market, fun with Academedia tomorrow, learn to trade well too, pronunciation=Notes that both TFB and Swedencare trade well despite a weak stock market, fun with Academedia tomorrow, learn to trade well too, extra_data=""{'translat..."")"
6,7,2016-06-14,Fick full tilldelning i #academedia Får tro att den går fint i morgon!,742704865848262656,1,0,,svensson_tweets,False,206,"Translated(src=sv, dest=en, text=Got full award in #academedia May believe it goes well tomorrow!, pronunciation=Got full award in #academedia May believe it goes well tomorrow!, extra_data=""{'translat..."")"
7,8,2016-06-14,@avanzabank Vart ser man om man fått tilldelning och hur mycket man fått när de gäller academedia?? Gissar på att de syns under morgondagen?,742697973319077888,0,0,,vertikalens,False,5,"Translated(src=sv, dest=en, text=@avanzabank Where do you see if you have received an award and how much you have received when it comes to academedia ?? Guess they'll be seen tomorrow?, pronunciation=[[]], extra_data=""{'translat..."")"
8,9,2016-06-14,"Blir spännande med Academedia, fredag var det tror jag.",742680051070717953,0,0,,Cyanidet,False,2040,"Translated(src=sv, dest=en, text=Gets exciting with Academedia, Friday I think it was., pronunciation=Gets exciting with Academedia, Friday I think it was., extra_data=""{'translat..."")"
9,10,2016-06-14,Är det klart att AcadeMedia börjar handlas imorgon? @avanzabank,742668420097937408,0,0,,paddylaand,False,1492,"Translated(src=sv, dest=en, text=Is it clear that AcadeMedia will start trading tomorrow? @avanzabank, pronunciation=[[]], extra_data=""{'translat..."")"
10,11,2016-06-14,Få se imorgon hur många academedia aktier man får...,742652387438022656,0,0,,dario_ho,False,64,"Translated(src=sv, dest=en, text=See tomorrow how many academedia shares you get ..., pronunciation=See tomorrow how many academedia shares you get ..., extra_data=""{'translat..."")"
11,12,2016-06-14,Att vara en bra kompis på nätet är viktigt på Milstensskolan. #PysslingenSkolor https://t.co/7SW4qVdOhs https://t.co/5P3vSb25QD,742641869667045376,1,0,,AcadeMedia,False,1828,"Translated(src=sv, dest=en, text=Being a good friend online is important at Milstensskolan. #PysslingenSkolor https://t.co/7SW4qVdOhs https://t.co/5P3vSb25QD, pronunciation=[[]], extra_data=""{'translat..."")"
12,13,2016-06-13,När börjar academedia handlas?,742419490365972480,0,0,,InteEnsTrader,False,134,"Translated(src=sv, dest=en, text=When does academedia start trading?, pronunciation=When does academedia start trading?, extra_data=""{'translat..."")"
