,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,1,2017-04-06 17:09:17+00:00,Intervju med Actic’s VD inför börsnoteringen imorgon https://t.co/mBro34hDds https://t.co/0qeL3yS1Hj,850032675142475778,3,0,,Nyemissioner,False,15436,"Translated(src=sv, dest=en, text=Interview with Actic's CEO ahead of the listing tomorrow https://t.co/mBro34hDds https://t.co/0qeL3yS1Hj, pronunciation=Interview with Actic's CEO ahead of the listing tomorrow https://t.co/mBro34hDds https://t.co/0qeL3yS1Hj, extra_data=""{'translat..."")"
1,2,2017-04-06 16:36:26+00:00,Fick full tilldelning i både actic o FM Mattsson.,850024409486307328,2,0,,riknangang,False,280,"Translated(src=sv, dest=en, text=Received full award in both actic and FM Mattsson., pronunciation=Received full award in both actic and FM Mattsson., extra_data=""{'translat..."")"
2,5,2017-04-06 13:27:00+00:00,"Morgonspinning fredag!
Actic bjuder på frukost efteråt. Boka din cykel genast så ses vi 05.45 i salen, 45... https://t.co/elZA0Kw0xb",849976735596728320,0,0,,ActicNorrtelje,False,12,"Translated(src=sv, dest=en, text=Morning spinning Friday!
Actic offers breakfast afterwards. Book your bike immediately and see you at 05.45 in the hall, 45 ... https://t.co/elZA0Kw0xb, pronunciation=[[]], extra_data=""{'translat..."")"
3,8,2017-04-06 05:00:38+00:00,Den här modellen förövrigt med lesser devils i form av Actic och FM Mattsson (vars enda säljrek kommer från en branschtidning) är ett otyg.,849849303875145728,1,0,,httyinvesting,False,1979,"Translated(src=sv, dest=en, text=Incidentally, this model with lesser devils in the form of Actic and FM Mattsson (whose only sales rack comes from an industry magazine) is a nuisance., pronunciation=Incidentally, this model with lesser devils in the form of Actic and FM Mattsson (whose only sales rack comes from an industry magazine) is a nuisance., extra_data=""{'translat..."")"
4,9,2017-04-06 04:56:08+00:00,"Actic: Svettig BR. 700 MSEK i gammal goodwill, genomsnittlig räntekostnad om 5 % trots 700 MSEK ställda säkerheter. Ser inte caset riktigt.",849848172671270912,5,0,,httyinvesting,False,1979,"Translated(src=sv, dest=en, text=Actic: Sweaty BR. SEK 700 million in old goodwill, average interest expense of 5% despite collateral of SEK 700 million. Do not see the case properly., pronunciation=[[]], extra_data=""{'translat..."")"
5,10,2017-04-05 22:03:21+00:00,@csntradeRn Haha blev att jag ändrade mig och tecknade i både Fm Mattsson och Actic under de sista minuterna. ^^,849744291966615553,1,0,,NiklasOlof,False,380,"Translated(src=sv, dest=en, text=@csntradeRn Haha was that I changed and drew in both Fm Mattsson and Actic during the last minutes. ^^, pronunciation=[[]], extra_data=""{'translat..."")"
6,11,2017-04-05 20:31:09+00:00,@Sulfaten Kör på Actic.,849721090905604097,0,0,,linkansson1891,False,1969,"Translated(src=sv, dest=en, text=@Sulfaten Drive on Actic., pronunciation=@Sulfaten Drive on Actic., extra_data=""{'translat..."")"
7,12,2017-04-05 17:46:02+00:00,"Tecknar SSM, Actic och FM Mattsson av kommande IPOs",849679536585412610,1,0,,dominiccasarot1,False,105,"Translated(src=sv, dest=en, text=Signs SSM, Actic and FM Mattsson of upcoming IPOs, pronunciation=Signs SSM, Actic and FM Mattsson of upcoming IPOs, extra_data=""{'translat..."")"
8,13,2017-04-05 17:40:38+00:00,@avanzabank @joakimvonanka_ @NordnetSE Om ni redovisar tilldelning i actic imorgon så ska jag bjuda @CarlstromJohan på kebab. Har aldrig hänt att allmänhet fått besked innan inst.,849678177886777351,0,0,,lukas8arton,False,33,"Translated(src=sv, dest=en, text=@avanzabank @joakimvonanka_ @NordnetSE If you report the award in actic tomorrow, I will invite @CarlstromJohan for kebabs. It has never happened that the public has been notified before inst., pronunciation=[[]], extra_data=""{'translat..."")"
9,14,2017-04-05 17:26:55+00:00,.@CalleBaumgarten - du är ju en av mina idoler här på Twitter - några tankar om Actic?:),849674725878116354,0,0,,AFarhoumand,False,32,"Translated(src=sv, dest=en, text=. @ CalleBaumgarten - you're one of my idols here on Twitter - any thoughts on Actic? :), pronunciation=. @ CalleBaumgarten - you're one of my idols here on Twitter - any thoughts on Actic? :), extra_data=""{'translat..."")"
10,16,2017-04-05 15:23:01+00:00,När ser man actic tilldelning? @Avanzabank @nordnetse,849643546621726720,0,0,,MrTrack480,False,141,"Translated(src=sv, dest=en, text=When do you see actic allocation? @Avanzabank @nordnetse, pronunciation=[[]], extra_data=""{'translat..."")"
11,18,2017-04-05 11:09:33+00:00,"@svdborsplus Tecknar #FMMattsson #XMReality och #Actic avstår #SSM 

https://t.co/l5AwCmecge",849579759969370112,2,0,,Aktiepappa,False,17467,"Translated(src=sv, dest=en, text=@svdborsplus Sign #FMMattsson #XMReality and #Actic waive #SSM

https://t.co/l5AwCmecge, pronunciation=[[]], extra_data=""{'translat..."")"
12,20,2017-04-05 09:16:52+00:00,"Affärsvärlden: Teckna nykomlingen Actic - https://t.co/x7jTgxe2sZ köp i Nobia och Bahnhof, och råder dessutom till teckning a...",849551402313674752,0,0,,nordensekonomi,False,561,"Translated(src=sv, dest=en, text=Affärsvärlden: Draw the newcomer Actic - https://t.co/x7jTgxe2sZ buy in Nobia and Bahnhof, and also advise to draw a ..., pronunciation=Affärsvärlden: Draw the newcomer Actic - https://t.co/x7jTgxe2sZ buy in Nobia and Bahnhof, and also advise to draw a ..., extra_data=""{'translat..."")"
13,21,2017-04-05 07:30:07+00:00,"Affärsvärlden rekommenderar köp i Nobia och Bahnof, vänta med Genmab och teckna Actic - https://t.co/c1s6ecgC6E",849524537490370560,0,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=The business world recommends buying in Nobia and Bahnof, wait with Genmab and sign Actic - https://t.co/c1s6ecgC6E, pronunciation=The business world recommends buying in Nobia and Bahnof, wait with Genmab and sign Actic - https://t.co/c1s6ecgC6E, extra_data=""{'translat..."")"
