,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2017-03-30 19:23:20+00:00,"Har tecknat #ambea blir intressant att se hur det går i morgon. #börsintroduktioner

https://t.co/E4D2XPugPP https://t.co/UqqcSfKcrE",847529694316638208,2,0,,Aktiepappa,False,17467,"Translated(src=sv, dest=en, text=Have signed #ambea will be interesting to see how it goes tomorrow. # IPOs

https://t.co/E4D2XPugPP https://t.co/UqqcSfKcrE, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2017-03-30 17:34:03+00:00,Nyfiken varför Ambea sista svarsdag är 28/3 hos @avanzabank men 29/3 hos @NordnetSE ?,847502192575602688,0,0,,Strecket_,False,1233,"Translated(src=sv, dest=en, text=Curious why Ambea's last response day is 28/3 at @avanzabank but 29/3 at @NordnetSE?, pronunciation=Curious why Ambea's last response day is 28/3 at @avanzabank but 29/3 at @NordnetSE?, extra_data=""{'translat..."")"
2,2,2017-03-30 11:17:47+00:00,När får man reda på tilldelning i Ambea ping @avanzabank,847407502341816322,0,0,,bearisch,False,144,"Translated(src=sv, dest=en, text=When will you find out about allocation in Ambea ping @avanzabank, pronunciation=When will you find out about allocation in Ambea ping @avanzabank, extra_data=""{'translat..."")"
3,3,2017-03-30 11:13:05+00:00,"Två Verksamhetsutvecklare IT, Ambea (Stockholm, Solna) https://t.co/KUhITghgHH",847406320172941314,0,0,,SverigeIT,False,735,"Translated(src=sv, dest=en, text=Two Business Developers IT, Ambea (Stockholm, Solna) https://t.co/KUhITghgHH, pronunciation=Two Business Developers IT, Ambea (Stockholm, Solna) https://t.co/KUhITghgHH, extra_data=""{'translat..."")"
4,4,2017-03-30 11:13:03+00:00,"Två Verksamhetsutvecklare IT, Ambea (Stockholm, Solna) https://t.co/7UBqn6ALqU #itjobb #nyttjobb",847406313097142273,0,0,,itrekrytering,False,517,"Translated(src=sv, dest=en, text=Two Business Developers IT, Ambea (Stockholm, Solna) https://t.co/7UBqn6ALqU #itjobb #nyttjobb, pronunciation=Two Business Developers IT, Ambea (Stockholm, Solna) https://t.co/7UBqn6ALqU #itjobb #nyttjobb, extra_data=""{'translat..."")"
5,5,2017-03-30 09:47:00+00:00,Har ni någon info när ambea bokas in @avanzabank @NordnetSE,847384656630628352,0,0,,Swingsson,False,176,"Translated(src=sv, dest=en, text=Do you have any info when ambea is booked in @avanzabank @NordnetSE, pronunciation=Do you have any info when ambea is booked in @avanzabank @NordnetSE, extra_data=""{'translat..."")"
6,6,2017-03-30 07:21:02+00:00,"@NordnetSE Ambea IPO: Om man tecknat i KF och inga pengar dragna samt ingen reservering i depån så fick man ingen tilldelning, eller?",847347922438037504,0,0,,Krgmn1,False,3,"Translated(src=sv, dest=en, text=@NordnetSE Ambea IPO: If you subscribed to KF and no money was withdrawn and no reservation in the depot, you got no allocation, right?, pronunciation=@NordnetSE Ambea IPO: If you subscribed to KF and no money was withdrawn and no reservation in the depot, you got no allocation, right?, extra_data=""{'translat..."")"
7,7,2017-03-29 18:44:16+00:00,"""Ambea högre värderat än Humana"" - https://t.co/Nrp9IqbsgY Ambeas prissättning, i fredagens börsnotering på Nasdaq Stockholm, värderar bo...",847157476315287557,0,0,,nordensekonomi,False,561,"Translated(src=sv, dest=en, text=""Ambea valued higher than Humana"" - https://t.co/Nrp9IqbsgY Ambea's pricing, in Friday's listing on Nasdaq Stockholm, values ​​bo ..., pronunciation=""Ambea valued higher than Humana"" - https://t.co/Nrp9IqbsgY Ambea's pricing, in Friday's listing on Nasdaq Stockholm, values ​​bo ..., extra_data=""{'translat..."")"
8,8,2017-03-29 18:40:59+00:00,@JanJonsson Du har till tom den 3e april om du väljer att teckna XMReality så då hinner du sälja Ambea om du vill det🙌🏽,847156649655750657,0,0,,csntradeRn,False,1212,"Translated(src=sv, dest=en, text=@JanJonsson You have until the 3rd of April if you choose to subscribe to XMReality so then you have time to sell Ambea if you want to 🙌🏽, pronunciation=@JanJonsson You have until the 3rd of April if you choose to subscribe to XMReality so then you have time to sell Ambea if you want to 🙌🏽, extra_data=""{'translat..."")"
9,9,2017-03-29 18:38:44+00:00,"@csntradeRn tecknade bara ambea, har inte likviderna till annat.",847156084141903872,1,0,,JanJonsson,False,258,"Translated(src=sv, dest=en, text=@csntradeRn just drew ambea, does not have the cash for anything else., pronunciation=@csntradeRn just drew ambea, does not have the cash for anything else., extra_data=""{'translat..."")"
