,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-05-24,"Nasdaq Nordic kör på högsta växeln med nyintroduktioner. I morgon tisdag den 25 maj börjar tre nya bolag handlas. Arla Plast på Nasdaq Stockholm, Cedergrenska på First North i Stockholm och Donkey Republic på First North i Köpenhamn.",1396906018463002633,4,0,,Finwire,False,23864,"Translated(src=sv, dest=en, text=Nasdaq Nordic is in top gear with new introductions. Tomorrow, Tuesday 25 May, three new companies will start trading. Arla Plast at Nasdaq Stockholm, Cedergrenska at First North in Stockholm and Donkey Republic at First North in Copenhagen., pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-05-24,Vad händer med Arla Plast IPO. Borttagen och det går inte teckna heller?,1396847681012707331,0,0,,aktiesamlaren32,False,450,"Translated(src=sv, dest=en, text=What happens to Arla Plast IPO. Removed and it is not possible to draw either?, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2021-05-24,"DING DING DING 🔔 

Idag är sista dagen att anmäla sig till noteringsaktuella Arla Plast AB. Obs. senast 15:00.

Läs mer. 👇",1396707537517428739,2,0,,NordnetSE,False,23105,"Translated(src=sv, dest=en, text=DING DING DING 🔔

Today is the last day to register for the current listing of Arla Plast AB. Obs. no later than 15:00.

Read more. 👇, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-05-23,"Åter en härlig börsvecka framför oss! Ett par börser håller stängt imorgon.

Ett par spännande makrosiffror kommer under veckan såsom BNP-siffror från Sverige och USA. 

Första handelsdag för Arla Plast på tisdag, APAC på onsdag och Linc på fredag.

RT = 💙 https://t.co/4oigv4iYtg",1396516958007353345,38,12,,NordnetAxel,False,22237,"Translated(src=sv, dest=en, text=Another wonderful stock market week ahead of us! A couple of exchanges will be closed tomorrow.

A couple of exciting macro figures will come during the week, such as GDP figures from Sweden and the USA.

First trading day for Arla Plast on Tuesday, APAC on Wednesday and Linc on Friday.

RT = 💙 https://t.co/4oigv4iYtg, pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2021-05-23,Arla Plast noteras på Nasdaq Small den 25/5. Bolaget tillverkar plastskivor har inget med mejeriprodukter att göra. Erbjudandet är på 414 M och 56 % är säkrat. Börsvärde efter noteringen 920 mkr. Tecknar ni? Rösta kommentera följ :-),1396504573016215554,2,0,,BullTrade12,False,906,"Translated(src=sv, dest=en, text=Arla Plast will be listed on Nasdaq Small on 25/5. The company manufactures plastic sheets has nothing to do with dairy products. The offer is for 414 M and 56% is secured. Market capitalization after listing SEK 920 million. Do you draw? Vote comment follow :-), pronunciation=[[]], extra_data=""{'translat..."")"
5,5,2021-05-23,Arla plast känns som en no-brainer att teckna?,1396465883330060297,1,0,,Patman876,False,211,"Translated(src=sv, dest=en, text=Does Arla Plast feel like a no-brainer to draw?, pronunciation=Does Arla Plast feel like a no-brainer to draw?, extra_data=""{'translat..."")"
6,6,2021-05-23,"Vi har en intensiv ipo-vecka framför oss. Tre nya bolag på Nasdaq Stockholm; Arla Plast på tisdag, APAC på onsdag och Linc på fredag. Cedergrenska på First North på tisdag, Zesec of Sweden på Nordic SME på fredag. Tessin tar över Effnetplattformen, nya Effnetplattformen noteras.",1396438222218137611,6,0,,Finwire,False,23864,"Translated(src=sv, dest=en, text=We have an intense ipo week ahead of us. Three new companies on Nasdaq Stockholm; Arla Plast on Tuesday, APAC on Wednesday and Linc on Friday. Cedergrenska at First North on Tuesday, Zesec of Sweden at Nordic SME on Friday. Tessin takes over the Effnet platform, the new Effnet platform is noted., pronunciation=[[]], extra_data=""{'translat..."")"
7,7,2021-05-23,"Arla Plast noteras på Stockholmsbörsen den 25/5, sista svarsdag via @nordnetse är 24/5. Bolaget tillverkar plastskivor. Erbjudandet är på 414 M och 56 % är redan säkrat av Nortal Investment, Svolder, Roosgruppen mm. Affärsvärden rekommenderar teckna. Priset är 46 kr - P/E 12.",1396410950123671553,8,0,,JonasJonsson92,False,1104,"Translated(src=sv, dest=en, text=Arla Plast is listed on the Stockholm Stock Exchange on 25/5, the last response day via @nordnetse is 24/5. The company manufactures plastic sheets. The offer is for 414 M and 56% is already secured by Nortal Investment, Svolder, Roosgruppen etc. Business values ​​recommend subscribing. The price is SEK 46 - P / E 12., pronunciation=[[]], extra_data=""{'translat..."")"
8,8,2021-05-23,"Arla Plast är enligt Affärsvärlden ett osexigt case där man kan räkna med negativ tillväxt, men prislappen gör erbjudandet tilltalande. https://t.co/gVZC8OkUTe",1396391591363940353,8,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=According to Affärsvärlden, Arla Plast is an unsexy case where you can expect negative growth, but the price tag makes the offer attractive. https://t.co/gVZC8OkUTe, pronunciation=[[]], extra_data=""{'translat..."")"
9,9,2021-05-22,"Under den gångna veckan har #AFV skrivit analyser om #Cellink #Stillfront #Cedergrenska #ZesecofSweden #MavenWireless #Ngenic #Twiik #ArlaPlast #Odinwell #Checkin #Linc #APAC samt Afv-portföljen, Buy&amp;Hold-portföljen och Råduppföljning.
https://t.co/OD6K0lLi9f",1395980241328238596,4,0,,AFV_Analys,False,8656,"Translated(src=sv, dest=en, text=During the past week, #AFV has written analyzes of #Cellink #Stillfront #Cedergrenska #ZesecofSweden #MavenWireless #Ngenic #Twiik #ArlaPlast #Odinwell #Checkin #Linc #APAC as well as the Afv portfolio, Buy & Hold portfolio and Advice follow-up.
https://t.co/OD6K0lLi9f, pronunciation=[[]], extra_data=""{'translat..."")"
