,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,6,2017-10-05 21:35:42+00:00,"@avanzamarkets om man tilldelas Balco, kan man då handla med dessa på hemsidan redan imorgon? Likviddagen 9:e...",9.16054315416146e+17,1.0,0,,rehn_sandra,False,602.0,"Translated(src=sv, dest=en, text=@avanzamarkets if you are awarded Balco, can you shop with these on the website tomorrow? Liquidation Day 9 ..., pronunciation=[[]], extra_data=""{'translat..."")"
1,21,2017-10-05 20:07:27+00:00,Tippar på 0 tilldelning i Balco,9.160321048064696e+17,0.0,0,,MrTrack480,False,141.0,"Translated(src=sv, dest=en, text=Predicts 0 allotment in Balco, pronunciation=Predicts 0 allotment in Balco, extra_data=""{'translat..."")"
2,26,2017-10-05 19:41:15+00:00,Kommentar: En uppgång för Balco viktig för höstens introduktioner - https://t.co/e9lFsIdu7U större introduktion på Stockholmsbörsen...,9.160255115115602e+17,0.0,0,,teddyomolly,False,126.0,"Translated(src=sv, dest=en, text=Comment: An upturn for Balco important for this autumn's introductions - https://t.co/e9lFsIdu7U major introduction on the Stockholm Stock Exchange ..., pronunciation=Comment: An upturn for Balco important for this autumn's introductions - https://t.co/e9lFsIdu7U major introduction on the Stockholm Stock Exchange ..., extra_data=""{'translat..."")"
3,27,2017-10-05 19:39:28+00:00,okej fick inte tilldelning i sensagen inte i WeQAreQuiwii  heller  får se nu på balco då =(,9.160250634506158e+17,0.0,0,,poa_82,False,610.0,"Translated(src=sv, dest=en, text=okay did not get an award in the sensage not in WeQAreQuiwii nor get to see now on balco then = (, pronunciation=okay did not get an award in the sensage not in WeQAreQuiwii nor get to see now on balco then = (, extra_data=""{'translat..."")"
4,43,2017-10-05 17:16:58+00:00,Kommentar: En uppgång för Balco viktig för höstens introduktioner - https://t.co/v6cbSfequT större introduktion på Stockholmsbörsen...,9.159892027094752e+17,0.0,0,,nordensekonomi,False,561.0,"Translated(src=sv, dest=en, text=Comment: An upturn for Balco important for the autumn introductions - https://t.co/v6cbSfequT larger introduction on the Stockholm Stock Exchange ..., pronunciation=Comment: An upturn for Balco important for the autumn introductions - https://t.co/v6cbSfequT larger introduction on the Stockholm Stock Exchange ..., extra_data=""{'translat..."")"
5,68,2017-10-05 13:56:17+00:00,Fick någon tilldelning i #balco på Avanza?,9.159386966329056e+17,1.0,0,,CashmoneyEuro,False,3465.0,"Translated(src=sv, dest=en, text=Got an award in #balco on Avanza?, pronunciation=Got an award in #balco on Avanza?, extra_data=""{'translat..."")"
6,79,2017-10-05 10:27:00+00:00,Någon som vet hur teckningen blev i Balco Group !,9.1588603105613e+17,0.0,0,,alflantz,False,3068.0,"Translated(src=sv, dest=en, text=Anyone know how the drawing turned out in Balco Group!, pronunciation=Anyone know how the drawing turned out in Balco Group!, extra_data=""{'translat..."")"
7,151,2017-10-04 18:19:19+00:00,"Min första IPO - 150st Balco, får se om jag får några eller om man blir utan",9.156425052234342e+17,11.0,0,,Borsjagarcoach9,False,1728.0,"Translated(src=sv, dest=en, text=My first IPO - 150 Balco, will see if I get some or if you will be without, pronunciation=My first IPO - 150 Balco, will see if I get some or if you will be without, extra_data=""{'translat..."")"
8,155,2017-10-04 17:13:59+00:00,#Balco Styrelseordförande Kalén 17 mkr genom Fruholmen. Det är 30% av hans bolags fria kapital. Han är även ordförande för Segulah.,9.156260635140056e+17,0.0,0,,Aktiefiskaren,False,1322.0,"Translated(src=sv, dest=en, text=#Balco Chairman of the Board Kalén SEK 17 million through Fruholmen. That is 30% of his company's unrestricted capital. He is also chairman of Segulah., pronunciation=[[]], extra_data=""{'translat..."")"
9,156,2017-10-04 17:12:24+00:00,#Balco VD och CFO äger aktier för 16 mkr. Här delas risk med aktieägare. Marknadschef 5 mkr. Nästan hela ledningen har stake.,9.156256640107028e+17,0.0,0,,Aktiefiskaren,False,1322.0,"Translated(src=sv, dest=en, text=#Balco CEO and CFO own shares for SEK 16 million. Here, risk is shared with shareholders. Marketing Manager SEK 5 million. Almost the entire management has stakes., pronunciation=[[]], extra_data=""{'translat..."")"
10,168,2017-10-04 15:36:52+00:00,#Balco tillväxt 10-15% rimligt? P/E 12-13 2018? Tillväxt och balansräkning förtjänar lite högre multipel än jämföra bolag.,9.156016241098548e+17,0.0,0,,Aktiefiskaren,False,1322.0,"Translated(src=sv, dest=en, text=#Balco growth 10-15% reasonable? P / E 12-13 2018? Growth and balance sheet deserve a slightly higher multiple than comparing companies., pronunciation=[[]], extra_data=""{'translat..."")"
11,169,2017-10-04 15:30:47+00:00,#Balco Segulah kommer alltså att sälja minst 50 procent och maximalt 69 procent av bolaget. Lite mycket kanske... men bra tagare Selin.,9.15600093461586e+17,0.0,0,,Aktiefiskaren,False,1322.0,"Translated(src=sv, dest=en, text=#Balco Segulah will thus sell at least 50 percent and a maximum of 69 percent of the company. A little much maybe ... but good taker Selin., pronunciation=[[]], extra_data=""{'translat..."")"
12,170,2017-10-04 15:30:00+00:00,"#Balco lågt rörelsekapitalbehov. Bra kassagenereing, förvärv och utdelningar att vänta. Goodwill lika stor som eget kapital.",9.155998931080028e+17,0.0,0,,Aktiefiskaren,False,1322.0,"Translated(src=sv, dest=en, text=#Balco low working capital requirement. Good cash generation, acquisitions and dividends to expect. Goodwill as large as equity., pronunciation=[[]], extra_data=""{'translat..."")"
13,171,2017-10-04 15:28:33+00:00,"#Balco ny IPO på small cap. BV 1,2 mdr. Topline växer 17% snitt senaste 3 åren. Mål 10% och 13% EBIT. Erik Selin tar corner. Intressant.",9.155995297596047e+17,0.0,0,,Aktiefiskaren,False,1322.0,"Translated(src=sv, dest=en, text=#Balco new IPO on small cap. BV 1.2 months Topline has grown by 17% on average over the past 3 years. Target 10% and 13% EBIT. Erik Selin takes the corner. Interesting., pronunciation=[[]], extra_data=""{'translat..."")"
14,189,2017-10-04 09:15:20+00:00,Sista dagen att teckna sig i #Balco. #Borsplus låser nu upp analys till #ickeprenumerant på @Shareville: https://t.co/bjVK1498Jh Tecknar du?,9.155056044956426e+17,3.0,3,,AFV_Analys,False,8656.0,"Translated(src=sv, dest=en, text=Last day to sign up for #Balco. #Borsplus is now unlocking analysis for #nonpresumerant on @Shareville: https://t.co/bjVK1498Jh Do you subscribe?, pronunciation=[[]], extra_data=""{'translat..."")"
15,190,2017-10-04 09:11:29+00:00,@TaleSpinTrading Hur gör du själv i Balco?,9.155046373772248e+17,0.0,0,,csntradeRn,False,1212.0,"Translated(src=sv, dest=en, text=@TaleSpinTrading How do you do yourself in Balco?, pronunciation=@TaleSpinTrading How do you do yourself in Balco?, extra_data=""{'translat..."")"
16,192,2017-10-04 08:53:05+00:00,Sista dagen att teckna Balco inför noteringen på fredag. Jag har tecknat en del via flera konton. (RT för spridning),9.155000054856335e+17,0.0,0,,csntradeRn,False,1212.0,"Translated(src=sv, dest=en, text=Last day to sign Balco before the listing on Friday. I have subscribed a lot through several accounts. (RT for distribution), pronunciation=[[]], extra_data=""{'translat..."")"
17,198,2017-10-04 06:59:38+00:00,@NordnetSE stänger Balco teckning kl 23.59?,9.154714573622476e+17,0.0,0,,MrTrack480,False,141.0,"Translated(src=sv, dest=en, text=@NordnetSE closes Balco subscription at 23.59?, pronunciation=@NordnetSE closes Balco subscription at 23.59?, extra_data=""{'translat..."")"
18,243,2017-10-03 19:45:53+00:00,Funderar på att teckna Balco. Hammaren får avgöra imorgon,9.15301900844716e+17,1.0,0,,daswonderkid1,False,90.0,"Translated(src=sv, dest=en, text=Thinking of drawing Balco. The hammer will decide tomorrow, pronunciation=[[]], extra_data=""{'translat..."")"
19,312,2017-10-03 13:00:18+00:00,Segulah siktade på betydligt högre värdering på Balco - Di - https://t.co/uLaUMIoP39,9.151998335347588e+17,0.0,0,,InvestingSverig,False,1381.0,"Translated(src=sv, dest=en, text=Segulah aimed for significantly higher valuation at Balco - Di - https://t.co/uLaUMIoP39, pronunciation=Segulah aimed for significantly higher valuation at Balco - Di - https://t.co/uLaUMIoP39, extra_data=""{'translat..."")"
