,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,35,2018-06-07,Imorgon noteras Better Collective och jag är taggad. Catena Media i repris på öppningen? Klockan 09 öppnar slussen!,1004744785347956736,6,0,,aktiewilson,False,3900,"Translated(src=sv, dest=en, text=Tomorrow Better Collective is noted and I am tagged. Catena Media repeated at the opening? At 09 the lock opens!, pronunciation=[[]], extra_data=""{'translat..."")"
1,64,2018-06-07,@alexsimme Better Collective ska börja handlas på Stockholmsbörsen i morgon den 8 juni. Besked om utfall av teckningen brukar komma 1-2 timmar innan handeln drar igång kl 09.00.,1004650822993694725,0,0,,FinwireSmallcap,False,10162,"Translated(src=sv, dest=en, text=@alexsimme Better Collective will start trading on the Stockholm Stock Exchange tomorrow, June 8. Notice of the outcome of the subscription usually arrives 1-2 hours before the trade starts at 09.00., pronunciation=[[]], extra_data=""{'translat..."")"
2,65,2018-06-07,@FinwireSmallcap inget om hur teckningen i Better Collective blev? (Övertecknad eller ej).,1004632313119076352,0,0,,alexsimme,False,112,"Translated(src=sv, dest=en, text=@FinwireSmallcap nothing about how the drawing in Better Collective turned out? (Overwritten or not)., pronunciation=[[]], extra_data=""{'translat..."")"
3,155,2018-06-05,"Better Collective Tecknar Kan egentligen alldeles för lite om branchen men verkar ha muskler att förvärva billigare bolag utanför börsen (ett par miljarder sek enligt artikel inkl lån) mot värdering på börsen, så blir ett hyfsat bet  https://t.co/depI7X8Y16",1004113950701694976,5,0,,Buyb4its2l8,False,2905,"Translated(src=sv, dest=en, text=Better Collective Subscribers Can really do far too little about the industry but seems to have the muscle to acquire cheaper companies off the stock exchange (a couple of billion sec according to the article including loans) against valuation on the stock exchange, so it will be a decent bet https://t.co/depI7X8Y16, pronunciation=Better Collective Subscribers Can really do far too little about the industry but seems to have the muscle to acquire cheaper companies off the stock exchange (a couple of billion sec according to the article including loans) against valuation on the stock exchange, so it will be a decent bet https://t.co/depI7X8Y16, extra_data=""{'translat..."")"
4,251,2018-06-04,Vad säger ni om Better Collective? Tiden går snart ut. :D,1003736982726561793,0,0,,Walliniii,False,4425,"Translated(src=sv, dest=en, text=What do you say about Better Collective? Time is running out soon. : D, pronunciation=[[]], extra_data=""{'translat..."")"
5,284,2018-06-04,"Danska better Collective noteras på fredag, ytterligare en aktör inom ""lead generation"" (70% sport,20% casino) att jämföras med #CTM (60%casino,20% sport). Därmed så kanske sektorn får fler ögon på sig #catenamedia",1003544098337378304,8,0,,RobertOldstrand,False,4614,"Translated(src=sv, dest=en, text=Danish better Collective is listed on Friday, another player in ""lead generation"" (70% sports, 20% casino) to be compared with #CTM (60% casino, 20% sports). Thus, the sector may get more eyes on #catenamedia, pronunciation=[[]], extra_data=""{'translat..."")"
6,286,2018-06-04,"@h_sjob @dividendblower @avanzabank Better Collective går att teckna via Nordnet. Sista svarsdag 2018-06-05. Erbjudandet finns tillgängligt under ""min depå -&gt; nyintroduktioner (IPO)""",1003532798068776962,1,0,,NordnetSE,False,23117,"Translated(src=sv, dest=en, text=@h_sjob @dividendblower @avanzabank Better Collective can be subscribed via Nordnet. Last response day 2018-06-05. The offer is available under ""my depot -> new introductions (IPO)"", pronunciation=[[]], extra_data=""{'translat..."")"
7,438,2018-06-01,SvD Börsplus rekommenderar teckna Better Collective - https://t.co/dfcVu81iFl,1002540336869203968,0,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=SvD Börsplus recommends subscribing to Better Collective - https://t.co/dfcVu81iFl, pronunciation=SvD Börsplus recommends subscribing to Better Collective - https://t.co/dfcVu81iFl, extra_data=""{'translat..."")"
8,439,2018-06-01,Tecknar du Better Collective? SVD Börsplus råder att teckna. Det som skiljer BC från ex. Catena &amp; Net Gaming är att man är affe mot framförallt betting och inte kasino + högre andel rev.share. 69 % sport vs. 29 % och 0 % för övriga. Godkänd uppsida om 30 % till 2020E skrivs det.,1002539493201793024,4,0,,dividendblower,False,22170,"Translated(src=sv, dest=en, text=Do you draw Better Collective? SVD Börsplus advises to subscribe. What distinguishes BC from ex. Catena & Net Gaming is that they are primarily against betting and not casino + a higher proportion of rev.share. 69% sport vs. 29% and 0% for the others. Approved upside of 30% by 2020E, it is written., pronunciation=[[]], extra_data=""{'translat..."")"
9,442,2018-06-01,SvD Börsplus rekommenderar teckna Better Collective https://t.co/uWFrxjSffg #analytics #betting #ipo #tech,1002531961141907462,1,0,,Finwire,False,23861,"Translated(src=sv, dest=en, text=SvD Börsplus recommends subscribing to Better Collective https://t.co/uWFrxjSffg #analytics #betting #ipo #tech, pronunciation=SvD Börsplus recommends subscribing to Better Collective https://t.co/uWFrxjSffg #analytics #betting #ipo #tech, extra_data=""{'translat..."")"
