,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,3,2017-10-10 11:40:04+00:00,"Tecknar Bioarctic och Global Gaming, sista dagen för båda idag",917716357747179521,7,0,,csntradeRn,False,1212,"Translated(src=sv, dest=en, text=Signs Bioarctic and Global Gaming, last day for both today, pronunciation=Signs Bioarctic and Global Gaming, last day for both today, extra_data=""{'translat..."")"
1,4,2017-10-10 07:19:32+00:00,Sålt Handicare med 10.5% i vinst. Global gaming och BioArctic sista dagen att delta. Hoppas på tilldelning!,917650792110329856,1,0,,Gotham_78,False,9,"Translated(src=sv, dest=en, text=Sold Handicare with 10.5% in profit. Global gaming and BioArctic last day to participate. Hoping for an award!, pronunciation=[[]], extra_data=""{'translat..."")"
2,5,2017-10-09 16:00:07+00:00,BioArctic godkänns för handel på Stockholmsbörsen med start den 12 oktober - https://t.co/YbXWlNR91K,917419413112000512,0,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=BioArctic is approved for trading on the Stockholm Stock Exchange starting on October 12 - https://t.co/YbXWlNR91K, pronunciation=BioArctic is approved for trading on the Stockholm Stock Exchange starting on October 12 - https://t.co/YbXWlNR91K, extra_data=""{'translat..."")"
3,8,2017-10-09 08:40:26+00:00,"BioArctic, privataaffärer rekommenderar. Har haft utdelning 2016. AP fonder och SHB fonder är ankare.
Hur gör ni? (Läs gärna på innan svar)",917308761534017536,0,0,,csntradeRn,False,1212,"Translated(src=sv, dest=en, text=BioArctic, private business recommends. Has had dividends in 2016. AP funds and SHB funds are anchors.
How do you? (Please read on before answer), pronunciation=[[]], extra_data=""{'translat..."")"
4,9,2017-10-08 17:51:42+00:00,"Tecknat Global Gaming, Climeon och lite Bioarctic. Inte superpåläst men tror att alla tre får en lyckad notering.",917085106950598656,32,0,,_Jokern_,False,17466,"Translated(src=sv, dest=en, text=Signed Global Gaming, Climeon and a little Bioarctic. Not super read but think that all three get a successful listing., pronunciation=[[]], extra_data=""{'translat..."")"
5,10,2017-10-06 17:15:26+00:00,@vandroiy666 Sanslöst! Du får ta nya tag i BioArctic😬,916351203340152832,0,0,,satrustiger,False,284,"Translated(src=sv, dest=en, text=@ vandroiy666 Senseless! You get to take new steps in BioArctic😬, pronunciation=[[]], extra_data=""{'translat..."")"
6,11,2017-10-04 11:49:51+00:00,@vandroiy666 Inget Aktietorg för mig! Låter dock bra på BioArctic.  https://t.co/r5INIZOceL,915544491381198849,0,0,,satrustiger,False,284,"Translated(src=sv, dest=en, text=@ vandroiy666 No Aktietorg for me! Sounds good on BioArctic though. https://t.co/r5INIZOceL, pronunciation=[[]], extra_data=""{'translat..."")"
7,12,2017-10-04 09:41:36+00:00,"Intresse över tid på Google Trender för IPOs: Bioarctic, climeon, balco group, xspray : https://t.co/t5ngUJAAY9",915512218309087233,2,1,,hausster,False,80,"Translated(src=sv, dest=en, text=Interest over time on Google Trends for IPOs: Bioarctic, climeon, balco group, xspray: https://t.co/t5ngUJAAY9, pronunciation=Interest over time on Google Trends for IPOs: Bioarctic, climeon, balco group, xspray: https://t.co/t5ngUJAAY9, extra_data=""{'translat..."")"
8,13,2017-10-04 09:02:24+00:00,@vandroiy666 Tog dig på orden BioArctic blev det.Något som du överväger?,915502350772600832,0,0,,satrustiger,False,284,"Translated(src=sv, dest=en, text=@ vandroiy666 Took you to the words BioArctic it became.Something you are considering?, pronunciation=@ vandroiy666 Took you to the words BioArctic it became.Something you are considering?, extra_data=""{'translat..."")"
9,14,2017-10-03 15:37:33+00:00,"@Skyrocket_SE Sakert ratt! Kanske skulle titta pa Karolinska Dev,varderade sin del i Xspray till 10 miljoner o BioArctic till halva värdet ganska nyligen🤔",915239405844967424,0,0,,Buyb4its2l8,False,2905,"Translated(src=sv, dest=en, text=@Skyrocket_SE Safe steering wheel! Maybe would look at Karolinska Dev, each worth its share in Xspray to 10 million o BioArctic to half the value quite recently🤔, pronunciation=[[]], extra_data=""{'translat..."")"
