,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,7,2017-06-18 05:54:30+00:00,Hur gör Ni i BONESUPPORT,876317175505723392,0,1,,alflantz,False,3068,"Translated(src=sv, dest=en, text=How do you do in BONESUPPORT, pronunciation=How do you do in BONESUPPORT, extra_data=""{'translat..."")"
1,9,2017-06-16 14:35:34+00:00,Hur tänker ni ang Bonesupport?,875723532227010561,0,0,,csntradeRn,False,1212,"Translated(src=sv, dest=en, text=How do you think about Bonesupport?, pronunciation=How do you think about Bonesupport?, extra_data=""{'translat..."")"
2,11,2017-06-16 09:09:21+00:00,Bonesupport noteras på Stockholmsbörsen nästa vecka. Här berättar bolagets VD Richard Davies om verksamheten 😀👉🏼 https://t.co/FVRQwNtFed,875641434430349312,1,0,,avanzabank,True,56916,"Translated(src=sv, dest=en, text=Bone support will be listed on the Stockholm Stock Exchange next week. Here, the company's CEO Richard Davies talks about the business 😀👉🏼 https://t.co/FVRQwNtFed, pronunciation=[[]], extra_data=""{'translat..."")"
3,19,2017-06-14 11:10:25+00:00,Börsnotering av BONESUPPORT - bolaget som utvecklat ett biokeramiskt bensubstitut för behandling av hålrum i ben: https://t.co/Wz6sQPhQlp https://t.co/WYagRnVdT8,874947127440543745,1,0,,NordnetSE,False,23117,"Translated(src=sv, dest=en, text=Listing of BONESUPPORT - the company that has developed a bioceramic bone substitute for the treatment of cavities in bone: https://t.co/Wz6sQPhQlp https://t.co/WYagRnVdT8, pronunciation=Listing of BONESUPPORT - the company that has developed a bioceramic bone substitute for the treatment of cavities in bone: https://t.co/Wz6sQPhQlp https://t.co/WYagRnVdT8, extra_data=""{'translat..."")"
4,20,2017-06-14 05:42:58+00:00,För hög risk i nya biotekbolaget - teckna inte säger @MarcusHernhag #aktier #bonesupport https://t.co/4rSf6m1Ej7,874864722776076293,1,2,,privataaffarer,False,11317,"Translated(src=sv, dest=en, text=Too high risk in the new biotech company - do not subscribe says @MarcusHernhag # shares #bonesupport https://t.co/4rSf6m1Ej7, pronunciation=Too high risk in the new biotech company - do not subscribe says @MarcusHernhag # shares #bonesupport https://t.co/4rSf6m1Ej7, extra_data=""{'translat..."")"
5,26,2017-06-12 15:30:17+00:00,Hör @aktiealbin's intervju med #Bonesupport!🤑 https://t.co/9h6RKriJz0,874287751088271360,3,2,,hwaspinvest,False,112,"Translated(src=sv, dest=en, text=Listen to @aktiealbin's interview with #Bonesupport! 🤑 https://t.co/9h6RKriJz0, pronunciation=Listen to @aktiealbin's interview with #Bonesupport! 🤑 https://t.co/9h6RKriJz0, extra_data=""{'translat..."")"
6,27,2017-06-12 15:10:33+00:00,"@MittIndex @EFNTV @BONESUPPORT_AB Tack vad snäll du är! ❤ lustigt, sa faktiskt att jag gått engelska till @EFNCharlotte, trodde ingen skulle märka dock!",874282782930776064,3,0,,aktiealbin,False,22291,"Translated(src=sv, dest=en, text=@MittIndex @EFNTV @BONESUPPORT_AB Thank you for being kind! ❤ funny, actually said I went English to @EFNCharlotte, thought no one would notice though!, pronunciation=[[]], extra_data=""{'translat..."")"
7,28,2017-06-12 14:44:12+00:00,Bonesupport siktar på notering på Stockholmsbörsen. Jag har träffat VDn 👍🎥 https://t.co/DfkolYvw4y,874276152554213381,3,1,,aktiealbin,False,22291,"Translated(src=sv, dest=en, text=Bonesupport aims for listing on the Stockholm Stock Exchange. I have met the CEO 👍🎥 https://t.co/DfkolYvw4y, pronunciation=[[]], extra_data=""{'translat..."")"
8,29,2017-06-12 14:33:48+00:00,"Då ska #Bonesupport börja tjäna pengar https://t.co/NwjtLxnsaU @aktiealbin intervjuar Richard Davies, vd @BONESUPPORT_AB. #MEDTECH https://t.co/KWgTC2Sc7G",874273536256487426,2,3,,EFNTV,True,16533,"Translated(src=sv, dest=en, text=Then #Bonesupport will start making money https://t.co/NwjtLxnsaU @aktiealbin interviews Richard Davies, CEO @BONESUPPORT_AB. #MEDTECH https://t.co/KWgTC2Sc7G, pronunciation=[[]], extra_data=""{'translat..."")"
9,30,2017-06-12 11:16:06+00:00,"@philipw78 @Kavastu @Dax12000 @mktcash @sparaklokt @SthlmTrades @2ndtrader @MiljonarSyrran Har inte tittat på Bonesupport så noga än, men spontant verkar det vara en svårvärderad chansaktie.",874223779622395905,1,0,,MarcusHernhag,False,29685,"Translated(src=sv, dest=en, text=@ philipw78 @Kavastu @ Dax12000 @mktcash @sparaklokt @SthlmTrades @ 2ndtrader @MiljonarSyrran Have not looked at Bonesupport so closely yet, but spontaneously it seems to be a difficult-to-value chance share., pronunciation=@ philipw78 @Kavastu @ Dax12000 @mktcash @sparaklokt @SthlmTrades @ 2ndtrader @MiljonarSyrran Have not looked at Bonesupport so closely yet, but spontaneously it seems to be a difficult-to-value chance share., extra_data=""{'translat..."")"
