,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2017-05-30 16:18:09+00:00,Boozt ser stor tillväxtpotential https://t.co/lkfLhpGGjG https://t.co/0Jg3SmOl9N,869588751646736389,1,0,,AFV_allanyheter,False,1252,"Translated(src=sv, dest=en, text=Boozt sees great growth potential https://t.co/lkfLhpGGjG https://t.co/0Jg3SmOl9N, pronunciation=Boozt sees great growth potential https://t.co/lkfLhpGGjG https://t.co/0Jg3SmOl9N, extra_data=""{'translat..."")"
1,1,2017-05-30 15:46:15+00:00,"Någon affär med e-handlaren Boozt inte på g, enligt vad innehavaren av domänen boozt.se säger till Direkt.
https://t.co/clciajXmvJ",869580724038492160,0,0,,martin_lindgren,False,1482,"Translated(src=sv, dest=en, text=No deal with the e-trader Boozt not on g, according to what the owner of the domain boozt.se says to Direkt.
https://t.co/clciajXmvJ, pronunciation=[[]], extra_data=""{'translat..."")"
2,3,2017-05-30 14:45:28+00:00,@sjuttiofem25 sätta värde på nelly likt Boozt.Värdera cdon Nordens största marknadsplats o värde på gymgrossisten o qliro finance -dubbling?,869565429236326400,1,0,,biljettfrmedlin,False,1499,"Translated(src=sv, dest=en, text=@ sjuttiofem25 value nelly like Boozt. Evaluate cdon The Nordic region's largest marketplace o value of the gym wholesaler o qliro finance -dubbling?, pronunciation=@ sjuttiofem25 value nelly like Boozt. Evaluate cdon The Nordic region's largest marketplace o value of the gym wholesaler o qliro finance -dubbling?, extra_data=""{'translat..."")"
3,4,2017-05-30 08:17:00+00:00,"Otroligt, #Qliro värderar QFS till 0 kr med tanke på Boozt (Nelly!) värderingen på ca 3Mdr. EBIT 150 m 2019 inom räckhåll. Köper igen.",869467666423189504,3,1,,sjuttiofem25,False,83,"Translated(src=sv, dest=en, text=Unbelievable, #Qliro values ​​QFS at SEK 0 considering the Boozt (Nelly!) Valuation of about 3Mdr. EBIT 150 m 2019 within reach. Buy again., pronunciation=[[]], extra_data=""{'translat..."")"
4,6,2017-05-28 15:05:37+00:00,10 % rabatt när du prenumererar på nyhetsbrev (Boozt rabattkod) https://t.co/dzh8ZlQDLP via @rabatt_se,868845722132774912,0,0,,TeddyTygis,False,0,"Translated(src=sv, dest=en, text=10% discount when you subscribe to newsletter (Boozt discount code) https://t.co/dzh8ZlQDLP via @rabatt_se, pronunciation=10% discount when you subscribe to newsletter (Boozt discount code) https://t.co/dzh8ZlQDLP via @rabatt_se, extra_data=""{'translat..."")"
5,8,2017-05-26 15:18:26+00:00,"Hej Jarl-Erik! Det är Collector Bank som skickar ut fakturan du syftar på, ta kontakt med deras kundtjänst här: https://t.co/XvcJuZPVrs https://t.co/6S9OF5cfZi",868124171401928705,0,0,,Boozt_Com,False,877,"Translated(src=sv, dest=en, text=Hi Jarl-Erik! It is Collector Bank that sends out the invoice you are referring to, contact their customer service here: https://t.co/XvcJuZPVrs https://t.co/6S9OF5cfZi, pronunciation=[[]], extra_data=""{'translat..."")"
6,14,2017-05-24 20:47:10+00:00,@SollyBros Boozt växer 70% per år,867482123892076544,0,0,,LaBulll,False,26296,"Translated(src=sv, dest=en, text=@SollyBros Boozt grows 70% per year, pronunciation=@SollyBros Boozt grows 70% per year, extra_data=""{'translat..."")"
7,15,2017-05-24 20:23:21+00:00,"@SollyBros @biljettfrmedlin När/om Nelly börjar växa minst i nivå med marknaden i övrigt så kommer värderingen närma sig Boozt, Sportamore etc.",867476133687603200,0,0,,ggip_p,False,79,"Translated(src=sv, dest=en, text=@SollyBros @biljettfrmedlin When / if Nelly starts to grow at least on a par with the market in general, the valuation will approach Boozt, Sportamore etc., pronunciation=@SollyBros @biljettfrmedlin When / if Nelly starts to grow at least on a par with the market in general, the valuation will approach Boozt, Sportamore etc., extra_data=""{'translat..."")"
8,16,2017-05-24 20:18:41+00:00,"@SollyBros @biljettfrmedlin Boozt har långt mycket högre tillväxt än Nelly, därav den största värderingsskillnaden tror jag.",867474959450427393,0,0,,ggip_p,False,79,"Translated(src=sv, dest=en, text=@SollyBros @billjettfrmedlin Boozt has far much higher growth than Nelly, hence the biggest difference in value I think., pronunciation=@SollyBros @billjettfrmedlin Boozt has far much higher growth than Nelly, hence the biggest difference in value I think., extra_data=""{'translat..."")"
9,17,2017-05-24 20:13:49+00:00,@MarcusHernhag Jag tycker Boozt har för stort spann i sitt pris för att jag ska teckna.,867473731026903042,1,0,,Aktiepappa,False,17467,"Translated(src=sv, dest=en, text=@MarcusHernhag I think Boozt has too big a span in his price for me to draw., pronunciation=@MarcusHernhag I think Boozt has too big a span in his price for me to draw., extra_data=""{'translat..."")"
10,18,2017-05-24 20:09:53+00:00,"Boozt blir ett IPO för tillväxtjägare
https://t.co/E15HGsma7Y",867472745130545152,10,2,,MarcusHernhag,False,29685,"Translated(src=sv, dest=en, text=Boozt will be an IPO for growth hunters
https://t.co/E15HGsma7Y, pronunciation=[[]], extra_data=""{'translat..."")"
11,19,2017-05-24 16:24:58+00:00,@SollyBros boozt är på ett annat plan kvalitetsmässigt.,867416142482206722,1,0,,LaBulll,False,26296,"Translated(src=sv, dest=en, text=@SollyBros boozt is on another level in terms of quality., pronunciation=@SollyBros boozt is on another level in terms of quality., extra_data=""{'translat..."")"
12,20,2017-05-24 16:20:38+00:00,"@Investeraren Beställde från boozt en fredag kl 2130, paketet på min uthämtning kl 1150 måndag, tror lev.tid är A och O!",867415051791106048,0,0,,ChristoferOnSlv,False,81,"Translated(src=sv, dest=en, text=@Investeraren Ordered from boozt on a Friday at 2130, the package for my collection at 1150 Monday, think delivery time is A and O!, pronunciation=@Investeraren Ordered from boozt on a Friday at 2130, the package for my collection at 1150 Monday, think delivery time is A and O!, extra_data=""{'translat..."")"
13,21,2017-05-24 15:06:01+00:00,@MarcusLindqst @AFV_magasin en särnotering av gymgrossisten och nelly hade varit intressant eller dela ut till aktieägare  ..kolla på Boozt,867396273099481092,0,0,,biljettfrmedlin,False,1499,"Translated(src=sv, dest=en, text=@MarcusLindqst @AFV_magasin a special listing of the gym wholesaler and nelly would have been interesting or handing out to shareholders .. check out Boozt, pronunciation=@MarcusLindqst @AFV_magasin a special listing of the gym wholesaler and nelly would have been interesting or handing out to shareholders .. check out Boozt, extra_data=""{'translat..."")"
14,22,2017-05-24 12:50:32+00:00,Tycker SvD Börsplus normalt sett gör ett bra jobb men avvakta med Qliro kring 10kr för att nu råda att teckna Boozt?,867362178654982144,16,0,,SollyBros,False,182,"Translated(src=sv, dest=en, text=Does SvD Börsplus normally do a good job but wait with Qliro around SEK 10 to now advise to subscribe to Boozt?, pronunciation=Does SvD Börsplus normally do a good job but wait with Qliro around SEK 10 to now advise to subscribe to Boozt?, extra_data=""{'translat..."")"
15,23,2017-05-24 12:43:17+00:00,"@biljettfrmedlin De gjorde i princip samma rörelseförlust i Q1, Qliro omsätter väl 3-4ggr mer men har betydligt lägre värdering om Boozt kommer på den nivån",867360354422194176,1,0,,SollyBros,False,182,"Translated(src=sv, dest=en, text=@biljettfrmedlin They basically made the same operating loss in Q1, Qliro has a turnover of 3-4 times more but has a significantly lower valuation if Boozt reaches that level, pronunciation=@biljettfrmedlin They basically made the same operating loss in Q1, Qliro has a turnover of 3-4 times more but has a significantly lower valuation if Boozt reaches that level, extra_data=""{'translat..."")"
16,24,2017-05-24 06:55:37+00:00,Intressant jämförelse är Boozt värsting kontra Qliros Nelly,867272858984206336,1,0,,biljettfrmedlin,False,1499,"Translated(src=sv, dest=en, text=Interesting comparison is Boozt worst versus Qliros Nelly, pronunciation=Interesting comparison is Boozt worst versus Qliros Nelly, extra_data=""{'translat..."")"
17,26,2017-05-24 03:05:05+00:00,Notering: Chansa på snabbväxande klädbolaget - https://t.co/Ihlw5UEzn9 Boozt gör snart entré på Stockholmsbörsen. För den som är ute efte...,867214844122071040,0,0,,nordensekonomi,False,561,"Translated(src=sv, dest=en, text=Note: Chance at the fast-growing clothing company - https://t.co/Ihlw5UEzn9 Boozt will soon make its entrance on the Stockholm Stock Exchange. For those who are out efte ..., pronunciation=[[]], extra_data=""{'translat..."")"
18,35,2017-05-22 18:26:34+00:00,"En dag senare så är då avsnitt 16 av Börskoll ute! I veckans avsnitt kör vi nyhetssvep samt diskuterar Boozt IPO!

https://t.co/8QqITMgoiG",866721968808235008,1,0,,Borskoll_se,False,257,"Translated(src=sv, dest=en, text=One day later, episode 16 of Börskoll is out! In this week's episode, we run news sweeps and discuss Boozt IPO!

https://t.co/8QqITMgoiG, pronunciation=[[]], extra_data=""{'translat..."")"
19,39,2017-05-21 16:37:12+00:00,Boozt plans listing on Stockholm stock exchange https://t.co/K2uMQHWhRM via @Reuters,866332055940018176,1,1,,contrariansmind,False,59080,"Translated(src=sv, dest=en, text=Boozt plans listing on Stockholm stock exchange https://t.co/K2uMQHWhRM via @Reuters, pronunciation=Boozt plans listing on Stockholm stock exchange https://t.co/K2uMQHWhRM via @Reuters, extra_data=""{'translat..."")"
20,43,2017-05-19 14:37:24+00:00,@MarcusLindqst @AFV_magasin tänk bara värdet på nelly jämfört med Boozt :) nelly är ju dessutom lönsamt,865577133162340352,0,0,,biljettfrmedlin,False,1499,"Translated(src=sv, dest=en, text=@MarcusLindqst @AFV_magasin just think of the value of nelly compared to Boozt :) nelly is also profitable, pronunciation=@MarcusLindqst @AFV_magasin just think of the value of nelly compared to Boozt :) nelly is also profitable, extra_data=""{'translat..."")"
21,44,2017-05-19 09:26:22+00:00,@avanzabank Tjena! Kommer ni på Avanza erbjuda teckning av aktier i Boozt?,865498859471908865,0,0,,NilssonM_,False,53,"Translated(src=sv, dest=en, text=@avanzabank Tjena! Will Avanza offer subscription for shares in Boozt?, pronunciation=[[]], extra_data=""{'translat..."")"
22,45,2017-05-19 08:08:53+00:00,Liknande sådana här mail nästan veckovis från Boozt. Någon som är sugen att teckna? Ej hunnit läsa på än https://t.co/NWoY8XyBlq,865479359599067136,1,0,,Otursbors,False,2533,"Translated(src=sv, dest=en, text=Similar emails like this almost weekly from Boozt. Someone who is eager to draw? Have not had time to read yet https://t.co/NWoY8XyBlq, pronunciation=[[]], extra_data=""{'translat..."")"
23,52,2017-05-18 15:36:43+00:00,Ska kolla in Boozt senare. Bolaget har ju rea 24/7 så blir spännande se,865229673378328576,1,0,,Otursbors,False,2533,"Translated(src=sv, dest=en, text=Will check out Boozt later. The company has a sale 24/7, so it will be exciting to see, pronunciation=[[]], extra_data=""{'translat..."")"
24,53,2017-05-18 13:24:05+00:00,@MarcusLindqst @Cision bra Jobbat. Med tanke på Boozt värdering till över 3 miljarder så kanske särnotering av nelly eller gymgrossisten?,865196293597089792,0,0,,biljettfrmedlin,False,1499,"Translated(src=sv, dest=en, text=@MarcusLindqst @Cision good Worked. Given the Boozt valuation of over 3 billion, maybe a special listing of nelly or the gym wholesaler?, pronunciation=[[]], extra_data=""{'translat..."")"
25,54,2017-05-18 12:55:50+00:00,Glädjande att se att både Qliros vd o finanschef storköper idag :) inte konstigt med tanke på vilken värdering Boozt får gentemot hela qliro,865189184310566912,0,0,,biljettfrmedlin,False,1499,"Translated(src=sv, dest=en, text=It is gratifying to see that both Qliro's CEO and CFO are making big purchases today :) no wonder considering the value Boozt receives towards the entire qliro, pronunciation=It is gratifying to see that both Qliro's CEO and CFO are making big purchases today :) no wonder considering the value Boozt receives towards the entire qliro, extra_data=""{'translat..."")"
26,55,2017-05-18 10:21:13+00:00,#ecommerce Boozt mot börsen: Värdering på över 3 miljarder kronor https://t.co/2GZHameDLZ,865150273710309376,0,0,,sthlmstartuphub,False,470,"Translated(src=sv, dest=en, text=#ecommerce Boozt against the stock market: Valuation of over SEK 3 billion https://t.co/2GZHameDLZ, pronunciation=#ecommerce Boozt against the stock market: Valuation of over SEK 3 billion https://t.co/2GZHameDLZ, extra_data=""{'translat..."")"
27,56,2017-05-18 10:11:11+00:00,Boozt mot börsen: Värdering på över 3 miljarder kronor https://t.co/JaXYMEB2Cd #ehandel https://t.co/mA9vvExSYX,865147747569025024,1,0,,EhandelPunktSe,False,4573,"Translated(src=sv, dest=en, text=Boozt against the stock market: Valuation of over SEK 3 billion https://t.co/JaXYMEB2Cd #ehandel https://t.co/mA9vvExSYX, pronunciation=Boozt against the stock market: Valuation of over SEK 3 billion https://t.co/JaXYMEB2Cd #ehandel https://t.co/mA9vvExSYX, extra_data=""{'translat..."")"
28,57,2017-05-18 09:56:35+00:00,Boozt redo för börsen Läs mer:https://t.co/lopY4H12Gj https://t.co/PxDcP2KPTH,865144073937723393,0,0,,Fashionnet_SE,False,44,"Translated(src=sv, dest=en, text=Boot ready for the stock market Read more: https: //t.co/lopY4H12Gj https://t.co/PxDcP2KPTH, pronunciation=Boot ready for the stock market Read more: https: //t.co/lopY4H12Gj https://t.co/PxDcP2KPTH, extra_data=""{'translat..."")"
29,58,2017-05-18 08:10:35+00:00,"#Boozt har fastställt prisintervall till 54-63 kr inför IPO! Högsta pris 16% högre än lägsta, ovett! #PrataPengar https://t.co/ei26wfXzh6 https://t.co/woeDhHkeJ1",865117396151001088,9,2,,Investeraren,False,73175,"Translated(src=sv, dest=en, text=#Boozt has set a price range of SEK 54-63 before the IPO! Highest price 16% higher than lowest, regardless! #PrataPengar https://t.co/ei26wfXzh6 https://t.co/woeDhHkeJ1, pronunciation=[[]], extra_data=""{'translat..."")"
30,59,2017-05-18 07:54:27+00:00,E-handelsbolaget Boozt börsintroduceras. Läs mer om erbjudandet här: https://t.co/4HG0zaE92F https://t.co/K7MFV2mrOM,865113337482399744,1,0,,NordnetSE,False,23117,"Translated(src=sv, dest=en, text=The e-commerce company Boozt is listed on the stock exchange. Read more about the offer here: https://t.co/4HG0zaE92F https://t.co/K7MFV2mrOM, pronunciation=[[]], extra_data=""{'translat..."")"
31,60,2017-05-18 07:03:15+00:00,Kommer man ej kunna teckna #Boozt via @avanzabank ? Jag läser prospekt och ser inte ert namn?,865100452207177729,0,0,,Chhristoffer,False,13,"Translated(src=sv, dest=en, text=Will you not be able to sign #Boozt via @avanzabank? I read the prospectus and do not see your name?, pronunciation=[[]], extra_data=""{'translat..."")"
32,61,2017-05-18 07:01:17+00:00,@biljettfrmedlin @didigital_se Sant så. Nellys implicita värde med tanke på Boozt värdering är högre än hela konglomeratet tillsammans.,865099957681999872,1,0,,sjuttiofem25,False,83,"Translated(src=sv, dest=en, text=@biljettfrmedlin @didigital_se True so. Nelly's implicit value given the Boozt rating is higher than the entire conglomerate combined., pronunciation=[[]], extra_data=""{'translat..."")"
33,62,2017-05-18 06:32:21+00:00,Marknadsvärdering av Boozt kanske kan synliggöra ytterligare värde i Qliros modehandlare Nelly? https://t.co/R0Sa2SjYqX,865092678358372352,0,0,,ggip_p,False,79,"Translated(src=sv, dest=en, text=Perhaps Boozt's market valuation can highlight additional value in Qliro's fashion retailer Nelly? https://t.co/R0Sa2SjYqX, pronunciation=[[]], extra_data=""{'translat..."")"
34,63,2017-05-18 05:59:56+00:00,@dividendblower Håller med! Jag tecknar liten Munters. Blir mörkrädd av Boozt! De har haft mkt problem historiskt. 3mrd+ för en EBIT på 30 msek. Justerad.,865084520793600000,6,1,,futureinvesting,False,5443,"Translated(src=sv, dest=en, text=@dividendblower Agree! I draw little Munters. Gets scared of the dark by Boozt! They have had many problems historically. 3bn + for an EBIT of 30 msec. Adjusted., pronunciation=[[]], extra_data=""{'translat..."")"
35,64,2017-05-18 05:56:47+00:00,"Näthandlaren Boozt börjar handlas på börsen redan denna månad - här är villkoren för att teckna

https://t.co/ZqCX78QiZN https://t.co/ShZIuAX0VL",865083724739772416,0,0,,VAfinans,False,3437,"Translated(src=sv, dest=en, text=The online trader Boozt starts trading on the stock exchange already this month - here are the conditions for subscribing

https://t.co/ZqCX78QiZN https://t.co/ShZIuAX0VL, pronunciation=[[]], extra_data=""{'translat..."")"
36,65,2017-05-18 05:53:15+00:00,#boozt grundades av två danskar. Nu noteras dom i Sverige #komnudanmark #pratapengar #børsen https://t.co/qcq6u9yg4w,865082836809895936,3,0,,zacerol,False,2036,"Translated(src=sv, dest=en, text=#boozt was founded by two Danes. Now they are listed in Sweden #komnudanmark #pratapengar # børsen https://t.co/qcq6u9yg4w, pronunciation=[[]], extra_data=""{'translat..."")"
37,66,2017-05-18 05:48:03+00:00,Nytt e-handelsbolag på börsen när Boozt noteras https://t.co/oHg9Om8CDd,865081526513434624,0,3,,didigital_se,False,24303,"Translated(src=sv, dest=en, text=New e-commerce company on the stock exchange when Boozt is listed https://t.co/oHg9Om8CDd, pronunciation=New e-commerce company on the stock exchange when Boozt is listed https://t.co/oHg9Om8CDd, extra_data=""{'translat..."")"
38,67,2017-05-18 05:43:41+00:00,https://t.co/wEuZka8EXD Boozt på väg till börsen 31 maj.,865080427761070081,0,0,,Aktiepappa,False,17467,"Translated(src=sv, dest=en, text=https://t.co/wEuZka8EXD Boozt on the way to the stock exchange 31 May., pronunciation=https://t.co/wEuZka8EXD Boozt on the way to the stock exchange 31 May., extra_data=""{'translat..."")"
39,68,2017-05-18 05:21:15+00:00,"Boozt har fastställt prisintervallet till 54-63 kronor per aktie, första handelsdag 31 maj https://t.co/1INp0aYPRZ #ecommerce #ipo #tech",865074782970277888,3,0,,Finwire,False,23860,"Translated(src=sv, dest=en, text=Boozt has set the price range at SEK 54-63 per share, first trading day 31 May https://t.co/1INp0aYPRZ #ecommerce #ipo #tech, pronunciation=Boozt has set the price range at SEK 54-63 per share, first trading day 31 May https://t.co/1INp0aYPRZ #ecommerce #ipo #tech, extra_data=""{'translat..."")"
40,69,2017-05-17 23:20:50+00:00,Intressantare case är collector som är leverantör till boozt kredit/faktura lösning.,864984082752647169,0,0,,Small_Bucks,False,56,"Translated(src=sv, dest=en, text=More interesting case is the collector who is the supplier of boozt credit / invoice solution., pronunciation=More interesting case is the collector who is the supplier of boozt credit / invoice solution., extra_data=""{'translat..."")"
41,70,2017-05-17 23:19:05+00:00,Boozt blir en fet teckna ej. Riktigt hög multipel på ett låg marginal case. Långsiktigt mål på oms.tillväxt kring 25%. Dålig hemsida etc.,864983643713941508,0,0,,Small_Bucks,False,56,"Translated(src=sv, dest=en, text=Boozt will not be a bold draw. Really high multiple on a low margin case. Long-term goal of growth around 25%. Bad website etc., pronunciation=[[]], extra_data=""{'translat..."")"
42,72,2017-05-17 19:56:49+00:00,#breakit Boozt ska till börsen – så här värderas bolaget https://t.co/HjJVmCYWGL,864932740604592129,0,0,,sthlmstartuphub,False,470,"Translated(src=sv, dest=en, text=#breakit Boozt goes to the stock exchange - this is how the company is valued https://t.co/HjJVmCYWGL, pronunciation=#breakit Boozt goes to the stock exchange - this is how the company is valued https://t.co/HjJVmCYWGL, extra_data=""{'translat..."")"
43,73,2017-05-17 19:48:01+00:00,"Boozt noteras på börsen den 31 maj, inför det gör man en nyemission https://t.co/VLjrPGvorN",864930526062424064,1,1,,Nyemissioner,False,15436,"Translated(src=sv, dest=en, text=Boozt will be listed on the stock exchange on May 31, before which a new issue will be made https://t.co/VLjrPGvorN, pronunciation=Boozt will be listed on the stock exchange on May 31, before which a new issue will be made https://t.co/VLjrPGvorN, extra_data=""{'translat..."")"
44,74,2017-05-17 19:46:15+00:00,"Nu avslöjar e-handlaren Boozt mer om börsplanerna.  
https://t.co/x4Tdl18bYd",864930082552459264,0,2,,breakit_se,False,46663,"Translated(src=sv, dest=en, text=Now the e-trader Boozt reveals more about the stock exchange plans.
https://t.co/x4Tdl18bYd, pronunciation=[[]], extra_data=""{'translat..."")"
45,76,2017-05-17 18:35:14+00:00,Boozt... En till stay away-IPO. Varför kör man så brett intervall? Är folk så desperata att de kastar pengar åt vilket håll som helst?,864912208161099777,9,0,,HerschelRothman,False,6100,"Translated(src=sv, dest=en, text=Boozt ... Another stay away IPO. Why do you drive such a wide range? Are people so desperate to throw money in any direction?, pronunciation=[[]], extra_data=""{'translat..."")"
46,78,2017-05-17 18:08:08+00:00,Boozt offentliggör prospekt och prisintervall i börsintroduktionen på Nasdaq Stockholm https://t.co/fuEUci0A89,864905389933903874,0,0,,CisionNews,False,2148,"Translated(src=sv, dest=en, text=Boozt publishes prospectuses and price ranges in the IPO on Nasdaq Stockholm https://t.co/fuEUci0A89, pronunciation=Boozt publishes prospectuses and price ranges in the IPO on Nasdaq Stockholm https://t.co/fuEUci0A89, extra_data=""{'translat..."")"
47,79,2017-05-17 12:54:02+00:00,Snaaaart kommer solen! Passa på att fynda solglasögon till 25% rabatt hos Boozt den här veckan :) https://t.co/QsMAFxOiOA,864826341895671808,0,0,,josabeth,False,1047,"Translated(src=sv, dest=en, text=Snaaaart the sun is coming! Take the opportunity to find sunglasses at a 25% discount at Boozt this week :) https://t.co/QsMAFxOiOA, pronunciation=[[]], extra_data=""{'translat..."")"
48,95,2017-05-09 08:55:19+00:00,Boozt imponerar. 15 min från orderbekräftelse till besked att varorna är packade.,861867164927750145,0,0,,andreaswedberg,False,619,"Translated(src=sv, dest=en, text=Boozt impresses. 15 minutes from order confirmation to notification that the goods are packed., pronunciation=[[]], extra_data=""{'translat..."")"
49,102,2017-05-08 15:16:45+00:00,Tack för tips och inspiration! Jag tycker #boozt ser bra ut. https://t.co/xkmMXKftPq,861600766850719744,1,0,,Aktiepappa,False,17467,"Translated(src=sv, dest=en, text=Thanks for the tips and inspiration! I think #boozt looks good. https://t.co/xkmMXKftPq, pronunciation=[[]], extra_data=""{'translat..."")"
50,103,2017-05-08 15:14:49+00:00,"Kommer https://t.co/gdl8HPJf8s noteras i år? Nytt inlägg på bloggen. #pratapengar #IPO #boozt

https://t.co/W7y5Ebw8Wn https://t.co/vvx5htb2MG",861600282156859393,7,2,,Aktiepappa,False,17467,"Translated(src=sv, dest=en, text=Will https://t.co/gdl8HPJf8s be listed this year? New post on the blog. #pratapengar #IPO #boozt

https://t.co/W7y5Ebw8Wn https://t.co/vvx5htb2MG, pronunciation=[[]], extra_data=""{'translat..."")"
51,104,2017-05-08 12:28:12+00:00,Ett bolag som kan ge börsen en boozt? https://t.co/WiW29m8ewp https://t.co/qGag4S2Znn,861558351569838080,3,0,,aktiespararna,False,30716,"Translated(src=sv, dest=en, text=A company that can give the stock market a boost? https://t.co/WiW29m8ewp https://t.co/qGag4S2Znn, pronunciation=[[]], extra_data=""{'translat..."")"
52,105,2017-05-08 10:32:58+00:00,REUTERS: Boozt plans listing on Stockholm stock exchange https://t.co/cx8xETq1w1 #Sijoittaminen,861529352445583360,0,1,,KauppalehtiFi,False,203431,"Translated(src=sv, dest=en, text=REUTERS: Boozt plans listing on Stockholm stock exchange https://t.co/cx8xETq1w1 #Sijoittaminen, pronunciation=REUTERS: Boozt plans listing on Stockholm stock exchange https://t.co/cx8xETq1w1 #Sijoittaminen, extra_data=""{'translat..."")"
53,106,2017-05-08 08:41:02+00:00,"E-handelsbolaget Boozt avser notera bolaget senast i slutet på q2. Topline 2016 1,4 miljarder #PrataPengar https://t.co/odA75jSbBe https://t.co/nawLXyR8LT",861501181352443904,9,0,,Investeraren,False,73175,"Translated(src=sv, dest=en, text=The e-commerce company Boozt intends to list the company no later than the end of q2. Topline 2016 1.4 billion #PrataMoney https://t.co/odA75jSbBe https://t.co/nawLXyR8LT, pronunciation=[[]], extra_data=""{'translat..."")"
54,111,2017-05-08 07:14:22+00:00,"Klart: Boozt till börsen - siktar på kraftig tillväxt

https://t.co/w7vY26EIUp https://t.co/b2B91grjuG",861479370153746432,0,0,,VAfinans,False,3437,"Translated(src=sv, dest=en, text=Done: Boozt to the stock market - aims for strong growth

https://t.co/w7vY26EIUp https://t.co/b2B91grjuG, pronunciation=[[]], extra_data=""{'translat..."")"
55,112,2017-05-08 06:17:22+00:00,#breakit Klart: Då går Boozt till Stockholmsbörsen https://t.co/Vj1sDLBLMj,861465026997215232,0,0,,sthlmstartuphub,False,470,"Translated(src=sv, dest=en, text=#breakit Done: Then Boozt goes to the Stockholm Stock Exchange https://t.co/Vj1sDLBLMj, pronunciation=#breakit Done: Then Boozt goes to the Stockholm Stock Exchange https://t.co/Vj1sDLBLMj, extra_data=""{'translat..."")"
56,113,2017-05-08 06:08:52+00:00,#ecommerce Nya uppgifter: Boozt till börsen före midsommar https://t.co/gzGbcj0uhp,861462890360037376,0,0,,sthlmstartuphub,False,470,"Translated(src=sv, dest=en, text=#ecommerce New information: Boozt to the stock exchange before midsummer https://t.co/gzGbcj0uhp, pronunciation=#ecommerce New information: Boozt to the stock exchange before midsummer https://t.co/gzGbcj0uhp, extra_data=""{'translat..."")"
57,114,2017-05-08 06:07:09+00:00,Nya uppgifter: Boozt till börsen före midsommar https://t.co/HYhztE8LUn #ehandel https://t.co/52Uu0537LS,861462455574122496,0,0,,EhandelPunktSe,False,4573,"Translated(src=sv, dest=en, text=New information: Boozt to the stock exchange before midsummer https://t.co/HYhztE8LUn #ehandel https://t.co/52Uu0537LS, pronunciation=New information: Boozt to the stock exchange before midsummer https://t.co/HYhztE8LUn #ehandel https://t.co/52Uu0537LS, extra_data=""{'translat..."")"
