,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-10-14,"Tecknar Byggfakta Group.
Kör lite mer än mini bara✨

Sista dag idag kö 15:00
Noteras imorgon 15/10-2021.
Hur gör ni?",1448602373321023488,0,0,,csntradeRn,False,1211,"Translated(src=sv, dest=en, text=Signed by Byggfakta Group.
Drive a little more than mini only✨

Last day today queue 15:00
Noted tomorrow 15 / 10-2021.
How do you?, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-10-14,Tecknar ni Byggfakta?,1448541612510941185,0,0,,FarbrorSpar,False,350,"Translated(src=sv, dest=en, text=Do you draw Building Facts?, pronunciation=Do you draw Building Facts?, extra_data=""{'translat..."")"
2,2,2021-10-14,"DING DING DING 🔔 

Idag är sista dagen att anmäla sig till noteringsaktuella Byggfakta Group. Obs. senast kl. 15:00.

Läs mer. 👇",1448534031440781312,0,0,,NordnetSE,False,23105,"Translated(src=sv, dest=en, text=DING DING DING 🔔

Today is the last day to register for the current Byggfakta Group. Obs. no later than 15:00.

Read more. 👇, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-10-13,@csntradeRn kanske skulle göra det. undrar om man kan teckna byggfakta imorgon för pengarna som var tvungna att vara tillgängliga idag för flat?,1448372018836086789,1,0,,srednq,False,392,"Translated(src=sv, dest=en, text=@csntradeRn might do it. wondering if you can sign construction facts tomorrow for the money that had to be available today for flat?, pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2021-10-13,@csntradeRn stort i flat och än så länge har jag tecknat en mini i byggfakta men jag ökar kanske insatsen. har lite mycket likvider på ipo-depån efter sålt aegirbio. det är imorgon men jag vet inte klockslag,1448369295617101835,1,0,,srednq,False,392,"Translated(src=sv, dest=en, text=@csntradeRn big in flat and so far I have drawn a mini in construction facts but I may increase the effort. has a bit of cash on the ipo depot after selling aegirbio. it's tomorrow but i do not know the time, pronunciation=[[]], extra_data=""{'translat..."")"
5,5,2021-10-13,"@srednq Hahah jaa! Men mycket stress i vissa..
Ja flat är nog den jag tecknat för mest någonsin! Och byggfakta ska jag tänka lite mer på, är väl kl 15 imorrn?
Hur gör du?",1448368649220263939,0,0,,csntradeRn,False,1211,"Translated(src=sv, dest=en, text=@srednq Haha jaa! But a lot of stress in some ..
Yes flat is probably the one I drew for the most ever! And construction facts I should think a little more about, is it at 15 tomorrow?
How do you do?, pronunciation=[[]], extra_data=""{'translat..."")"
6,6,2021-10-13,@csntradeRn nån gång ska det ju löna sig :-). tecknar du flat och byggfakta?,1448368391329402886,1,0,,srednq,False,392,"Translated(src=sv, dest=en, text=@csntradeRn sometime it will pay off :-). do you draw flat and building facts?, pronunciation=[[]], extra_data=""{'translat..."")"
7,7,2021-10-13,"Tecknas Byggfakta Group ? Noteras på fredag den 15:e, sista teckning via Avanza/Nordnet imorgon kl. 15:00.
AFV hittar 4 flaggor och är neutrala. DI rekar teckna. 62% taget bla. via AMF Fonder och 1:a AP-fonden.
#ByggfaktaGroup",1448356129512300545,2,1,,Mkanslatt,False,173,"Translated(src=sv, dest=en, text=Is Byggfakta Group subscribed to? Noted on Friday the 15th, last subscription via Avanza / Nordnet tomorrow at 15:00.
AFV finds 4 flags and is neutral. DI rekar teckna. 62% taken bla. via AMF Fonder and the 1st AP Fund.
#ByggfaktaGroup, pronunciation=[[]], extra_data=""{'translat..."")"
8,8,2021-10-13,Vem ska teckna byggfakta och varför?,1448337408647385094,0,0,,Molltrade,False,4161,"Translated(src=sv, dest=en, text=Who should sign the construction facts and why?, pronunciation=Who should sign the construction facts and why?, extra_data=""{'translat..."")"
9,9,2021-10-13,@BullTrade12 Broder hinner du få upp en om Byggfakta?,1448316040975470595,0,0,,jajebus,False,1512,"Translated(src=sv, dest=en, text=@ BullTrade12 Brother, do you have time to get one up on Building Facts?, pronunciation=@ BullTrade12 Brother, do you have time to get one up on Building Facts?, extra_data=""{'translat..."")"
10,10,2021-10-13,"@stojko_invest Tack på påminnelse, också tecknat nu, även byggfakta",1448315127263072262,1,0,,GBGinvesterare,False,401,"Translated(src=sv, dest=en, text=@stojko_invest Thanks for the reminder, also signed now, also construction facts, pronunciation=@stojko_invest Thanks for the reminder, also signed now, also construction facts, extra_data=""{'translat..."")"
11,11,2021-10-12,"Byggfakta Group noteras 15/10 och tecknas på Avanza och Nordnet senast 14/10 kl 15:00.

Dagens industri rekommenderar att teckna.

Tecknar ni Byggfakta Group? Retweeta gärna för bättre resultat.",1447999556059283457,2,3,,IPOgranskaren,False,1460,"Translated(src=sv, dest=en, text=Byggfakta Group will be listed on 15/10 and subscribed to Avanza and Nordnet no later than 14/10 at 15:00.

Today's industry recommends drawing.

Do you subscribe to Byggfakta Group? Feel free to retweet for better results., pronunciation=[[]], extra_data=""{'translat..."")"
