,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-09-23,Tecknat 6000 st Ctek,1441148087452323845,1,0,,Klaxovich,False,118,"Translated(src=sv, dest=en, text=Drawn 6000 pcs Ctek, pronunciation=Drawn 6000 pcs Ctek, extra_data=""{'translat..."")"
1,1,2021-09-23,"Får lite meddelande från vänner i London som tjatade om någon Pre-IPO av något bolag som heter Alto. Jag sa nej i Maj. Tydligen mellan Series A i Maj till Series B nästa månad 5x pengarna utvecklingen. galet, sjukt..... själv sitter man o hoppas på CTEK imorgon. (men blir 0)
FML",1441140694366793729,5,0,,Finansnisse,False,2439,"Translated(src=sv, dest=en, text=Gets some message from friends in London who were nagging about a Pre-IPO of a company called Alto. I said no in May. Apparently between Series A in May to Series B next month 5x the money development. crazy, sick ..... you sit and hope for CTEK tomorrow. (but becomes 0)
FML, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2021-09-23,"CTEK noteras på Stockholmsbörsen imorgon. 

Investmentbolaget Latour har åtagit sig att gå in som ankarinvesterare med förvärv av aktier motsvarande 31 procent av kapitalet.

#Latour",1441139618552844293,15,0,,Tripple65904021,False,4557,"Translated(src=sv, dest=en, text=CTEK will be listed on the Stockholm Stock Exchange tomorrow.

The investment company Latour has undertaken to enter as an anchor investor with the acquisition of shares corresponding to 31 percent of the capital.

#Latour, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-09-23,Tecknat 3000 Ctek imorgon. Hoppas man kan få någon iallafall. Annars blir det köp och behåll. Laddstolpar etc ligger rätt i tiden och framåt.,1441125812527190018,0,0,,numis_trader,False,375,"Translated(src=sv, dest=en, text=Signed 3000 Ctek tomorrow. Hope you can get someone at least. Otherwise it will be buy and keep. Charging posts etc are right in time and forward., pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2021-09-23,"jaha, tror ni vi får några ctek imorgon? #Uppesittarkväll",1441125441553592334,3,0,,srednq,False,392,"Translated(src=sv, dest=en, text=yeah, do you think we'll get some ctek tomorrow? #Seat evening, pronunciation=[[]], extra_data=""{'translat..."")"
5,5,2021-09-23,Hoppas på ctek imorn men ska väl fortsätta nolla på IPOs i år,1441105381489451008,2,0,,MrTrack480,False,141,"Translated(src=sv, dest=en, text=Hope for ctek tomorrow but will probably continue to zero in on IPOs this year, pronunciation=Hope for ctek tomorrow but will probably continue to zero in on IPOs this year, extra_data=""{'translat..."")"
6,6,2021-09-23,@ibindex Nepp. Blir förhoppningsvis ctek,1441102904866205696,3,0,,Kampenmotindex,False,733,"Translated(src=sv, dest=en, text=@ibindex Nepp. Will hopefully be ctek, pronunciation=[[]], extra_data=""{'translat..."")"
7,10,2021-09-23,Ska bli intressant att se om man får tilldelning! #ctek #uppesittarkväll #finanstwitter https://t.co/7sLzvJujyk,1441097518993924097,3,0,,Kampenmotindex,False,733,"Translated(src=sv, dest=en, text=It will be interesting to see if you get an award! #ctek # uppesittarkväll #finanstwitter https://t.co/7sLzvJujyk, pronunciation=[[]], extra_data=""{'translat..."")"
8,11,2021-09-23,Tecknade Ctek på tre olika konton för runt 50k totalt vill jag minnas! Borde bli en enkla pengar om man får nåt 😬😬😬#pratapengar,1441093582572572678,16,0,,Aktiebyggaren,False,5526,"Translated(src=sv, dest=en, text=I wanted to remember Ctek on three different accounts for around 50k in total! Should be an easy money if you get something 😬😬😬 #pratapengar, pronunciation=[[]], extra_data=""{'translat..."")"
9,12,2021-09-23,"Portföljen just nu. imorgon bär det av hemåt efter en tids jobb i Finland 🇫🇮 

Hoppas på tilldelning på CTEK, Någon mer som tecknat? 😁

#Finanstwittter https://t.co/t434V43fbq",1441090918027644937,37,0,,Rekaninvest,False,1483,"Translated(src=sv, dest=en, text=The portfolio right now. tomorrow it's off home after a period of work in Finland 🇫🇮

Hoping for an award at CTEK, Anyone else who has signed up? 😁

#Finanstwittter https://t.co/t434V43fbq, pronunciation=[[]], extra_data=""{'translat..."")"
