,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,3,2021-09-22,"DING DING DING 🔔 

För dig som Nordnetkund. Idag är sista dagen att anmäla sig till noteringsaktuella Cary Group AB, obs. senast 15:00.

Läs mer. 👇",1440552690442854402,0,0,,NordnetSE,False,23105,"Translated(src=sv, dest=en, text=DING DING DING 🔔

For you as a Nordnet customer. Today is the last day to register for the current Cary Group AB, note. no later than 15:00.

Read more. 👇, pronunciation=[[]], extra_data=""{'translat..."")"
1,7,2021-09-21,@Buyb4its2l8 Har du kikat på Cary Group?,1440375176672153604,1,0,,longinvestm,False,151,"Translated(src=sv, dest=en, text=@ Buyb4its2l8 Have you looked at Cary Group?, pronunciation=@ Buyb4its2l8 Have you looked at Cary Group?, extra_data=""{'translat..."")"
2,12,2021-09-21,"Sista teckningsdag för #CaryGroup inför noteringen på Nasdaq Stockholm är onsdag (22/9), tecknar du? Läs #AFV IPO-analys: https://t.co/DafZVg3cfQ",1440203245553532935,1,1,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=The last subscription day for #CaryGroup before the listing on Nasdaq Stockholm is Wednesday (22/9), are you subscribing? Read #AFV IPO analysis: https://t.co/DafZVg3cfQ, pronunciation=[[]], extra_data=""{'translat..."")"
3,15,2021-09-20,"Cary Group noterar sina aktier på Nasdaq Stockholm. Affärsvärlden ger rådet att teckna medan Dagens Industri rekommenderar att investerare avstår.
https://t.co/QPNbMzgUS9 https://t.co/szLYZrqOEk",1439864947165519874,0,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Cary Group lists its shares on Nasdaq Stockholm. Affärsvärlden advises subscribers, while Dagens Industri recommends that investors refrain.
https://t.co/QPNbMzgUS9 https://t.co/szLYZrqOEk, pronunciation=[[]], extra_data=""{'translat..."")"
4,16,2021-09-20,"Cary Group noteras 23/9 och tecknas på Nordnet senast 22/9 kl 15:00.

Affärsvärlden rekommenderar att teckna.

Tecknar ni Cary Group? Retweeta gärna för bättre resultat.",1439856227585040387,6,1,,IPOgranskaren,False,1460,"Translated(src=sv, dest=en, text=Cary Group is listed on 23/9 and subscribed to Nordnet no later than 22/9 at 15:00.

The business world recommends drawing.

Do you sign Cary Group? Feel free to retweet for better results., pronunciation=[[]], extra_data=""{'translat..."")"
5,19,2021-09-19,"Nordic Capitals bilglasföretag Cary Group går in i ringen mot Altors batteriladdare Ctek.
Upplagt för tidig knockout! https://t.co/9GdwcuK0dx",1439494742581129217,12,0,,Richard_Brase,False,11156,"Translated(src=sv, dest=en, text=Nordic Capital's car glass company Cary Group enters the ring against Altor's battery charger Ctek.
Laid out for an early knockout! https://t.co/9GdwcuK0dx, pronunciation=[[]], extra_data=""{'translat..."")"
6,21,2021-09-18,"Cary Group noteras 23/9 på Nasdaq. Sista teckning 22/9. Erbjudandet är på 4 587 mkr och 69% är säkrat (AMF,Odin,SEB,Robur). Börsvärde efter notering 9 229 mkr. Afv 1 flagga. Tecknar ni #CaryGroup ? Rösta, följ och dela gärna.",1439351303998746624,2,0,,BullTrade12,False,906,"Translated(src=sv, dest=en, text=Cary Group is listed 23/9 on Nasdaq. Last drawing 22/9. The offer is for SEK 4,587 million and 69% is hedged (AMF, Odin, SEB, Robur). Market capitalization after listing SEK 9,229 million. Afv 1 flag. Do you sign #CaryGroup? Vote, follow and share., pronunciation=[[]], extra_data=""{'translat..."")"
7,22,2021-09-18,"@BullTrade12 Får du med Cary Group, sista teckningdag 22 september. Tacksamt i så fall.",1439345474608173060,0,0,,omx58868434,False,10,"Translated(src=sv, dest=en, text=@ BullTrade12 Gets you with Cary Group, last subscription day 22 September. Grateful in that case., pronunciation=[[]], extra_data=""{'translat..."")"
8,27,2021-09-17,Serieförvärvare har blivit oerhört populära på börsen på senare år. Läs #AFV analys om #CaryGroup som prenumerant: https://t.co/YXgd6hePIJ,1438873375204544518,1,0,,AFV_Analys,False,8655,"Translated(src=sv, dest=en, text=Series acquirers have become extremely popular on the stock market in recent years. Read #AFV analysis about #CaryGroup as a subscriber: https://t.co/YXgd6hePIJ, pronunciation=[[]], extra_data=""{'translat..."")"
9,28,2021-09-17,En flagga för #CaryGroup 👇 https://t.co/B74I8UeqQS,1438860377413009414,0,0,,AFV_Analys,False,8655,"Translated(src=sv, dest=en, text=A flag for #CaryGroup 👇 https://t.co/B74I8UeqQS, pronunciation=A flag for #CaryGroup 👇 https://t.co/B74I8UeqQS, extra_data=""{'translat..."")"
