,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-05-31,@FreddeTrader CIBUS på p/e 20 börjar bli aningen dyrt... Tycker det har gått lite snabbt framåt där 😬,1399471723658067972,0,0,,Riskanalys1,False,52,"Translated(src=sv, dest=en, text=@FreddeTrader CIBUS on p / e 20 is starting to get a little expensive ... I think it has progressed a bit fast there 😬, pronunciation=@FreddeTrader CIBUS on p / e 20 is starting to get a little expensive ... I think it has progressed a bit fast there 😬, extra_data=""{'translat..."")"
1,1,2021-05-31,@Investeraren @cj_bernhardsson Om Cibus har råd notera sig på huvudlistan så har väl Embracer det?,1399453522421325829,4,0,,stiankildal,False,648,"Translated(src=sv, dest=en, text=@Investeraren @cj_bernhardsson If Cibus can afford to make a note on the main list, will Embracer have it?, pronunciation=@Investeraren @cj_bernhardsson If Cibus can afford to make a note on the main list, will Embracer have it?, extra_data=""{'translat..."")"
2,2,2021-05-31,"@KSorkInvestBlog Haha! Ja när man inte ens fattar i efterhand, hur ska man då kunna förutspå kursrörelser.... 😂🤯🤪🤡

Har ca 8-9% i Cibus, känner mig rätt trygg i det.",1399453252517875716,0,0,,GloeggTupp,False,441,"Translated(src=sv, dest=en, text=@KSorkInvestBlog Haha! Yes, when you do not even understand afterwards, how should you be able to predict price movements .... 😂🤯🤪🤡

Have about 8-9% in Cibus, I feel quite confident in it., pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-05-31,@GloeggTupp Vad som orsakar olika rörelser övergår mitt förstånd. Jag är rätt fullsmetad i Cibus redan.,1399452623120576526,0,0,,KSorkInvestBlog,False,5082,"Translated(src=sv, dest=en, text=@GloeggTupp What causes different movements crosses my mind. I'm pretty full of Cibus already., pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2021-05-31,@KSorkInvestBlog Ännu mer premie nu... Var inte så dumt ändå att öka i Cibus då. Gissar att det är listbytet som tryckte upp kursen idag?,1399451928128626694,1,0,,GloeggTupp,False,441,"Translated(src=sv, dest=en, text=@KSorkInvestBlog Even more premium now ... It was not so stupid to increase in Cibus then. Guess it was the list change that pushed up the course today?, pronunciation=[[]], extra_data=""{'translat..."")"
5,5,2021-05-31,@Frihetsmaskin Mina guldkorn. Kambi och Angler kommer halveras. Lite för mkt inom gaming för att kunna sova gott om nätterna. Ökar mer i Cibus. https://t.co/pQGBwUAztE,1399446355756584961,3,0,,dividendsrookie,False,159,"Translated(src=sv, dest=en, text=@Frihetsmaskin My gold nuggets. Kambi and Angler will be halved. A little too much in gaming to be able to sleep well at night. Increases more in Cibus. https://t.co/pQGBwUAztE, pronunciation=[[]], extra_data=""{'translat..."")"
6,6,2021-05-31,"Portföljen upp 1,33 % idag. Bland annat tack vare Azelio, Cibus och Soltech.",1399431632717758467,2,0,,skaneavkastning,False,465,"Translated(src=sv, dest=en, text=The portfolio up 1.33% today. Thanks in part to Azelio, Cibus and Soltech., pronunciation=[[]], extra_data=""{'translat..."")"
7,7,2021-05-31,"@Utd_Cyklisten Cibus byter lista och går in på nasdaq imorgon, därför ""tvingades"" vissa köpa idag då aktien kommer in i diverse index",1399416940733636612,0,0,,olofsson71,False,268,"Translated(src=sv, dest=en, text=@Utd_Cyklisten Cibus changes list and enters nasdaq tomorrow, therefore some were ""forced"" to buy today when the share enters various indices, pronunciation=@Utd_Cyklisten Cibus changes list and enters nasdaq tomorrow, therefore some were ""forced"" to buy today when the share enters various indices, extra_data=""{'translat..."")"
8,10,2021-05-31,"Cibus har varit en rakt igenom grymt bra investering sedan jag köpte in majoriteten av innehavet i april &amp; maj 2020 med ett snitt GAV på just norr om 124 kr landar YoC’n på 7,6%.  

Lägg till det att utdelningen höjs med 5% per år

Bara att tacka &amp; ta emot! (2)",1399398129003282435,16,0,,Utd_Cyklisten,False,3568,"Translated(src=sv, dest=en, text=Cibus has been a really good investment since I bought the majority of the holding in April & May 2020 with an average GAV of just north of SEK 124, the YoC lands at 7.6%.

Add to that that the dividend is increased by 5% per year

Just to thank & receive! (2), pronunciation=[[]], extra_data=""{'translat..."")"
9,11,2021-05-31,"@torslandatrader @Walliniii Jag undrade vad som hänt när jag loggade in i depån, Cibus är mitt överlägset största innehav.😁",1399397314997981187,1,0,,im01joakim,False,73,"Translated(src=sv, dest=en, text=@torslandatrader @Walliniii I was wondering what happened when I logged in to the depot, Cibus is by far my largest holding.😁, pronunciation=@torslandatrader @Walliniii I was wondering what happened when I logged in to the depot, Cibus is by far my largest holding.😁, extra_data=""{'translat..."")"
10,12,2021-05-31,"Hade ju trott att Cibus skulle knäcka 200,00 kr/aktie nån gång i år, men ytterst positivt överraskad att man stänger där redan idag.

Blir en skön knuff för 💼 när det 6e största innehavet sett till investerat kapital &amp; 4e största sett portföljvärde rycker 5% på en dag... (1) https://t.co/Q02kO7Fl7Y",1399396185471918088,32,0,,Utd_Cyklisten,False,3568,"Translated(src=sv, dest=en, text=Had thought that Cibus would crack SEK 200.00 / share sometime this year, but extremely positively surprised that it closes there already today.

Will be a nice push for 💼 when the 6th largest holding in terms of invested capital & 4th largest portfolio value pulls 5% in one day ... (1) https://t.co/Q02kO7Fl7Y, pronunciation=[[]], extra_data=""{'translat..."")"
11,14,2021-05-31,"Wiooo CIBUS släckte ner på 200krrr blankt..
SINCH EMBRAC upp, korta dax extremt snabb idag tyvärr men 15 nya kusiner...
Har även plockat in låt mig säga lagom post i EVO igen, jag skäms som sålde på 800kr men skam den som inte bättrar sig 🤷‍♂️
Hoppas ni hade en fin dag på börsen 🥂",1399389531376427010,43,0,,FreddeTrader,False,8540,"Translated(src=sv, dest=en, text=Wiooo CIBUS turned off at 200krrr blank ..
SINCH EMBRAC up, short dax extremely fast today unfortunately but 15 new cousins ​​...
Have also picked in let me say proper mail in EVO again, I am ashamed who sold for SEK 800 but shame on the one who does not improve 🤷‍♂️
Hope you had a nice day on the stock exchange 🥂, pronunciation=[[]], extra_data=""{'translat..."")"
12,15,2021-05-31,Nordea och Goldman Sachs skopar in aktier i Cibus.,1399386308292775938,3,0,,therealpetrusko,False,33803,"Translated(src=sv, dest=en, text=Nordea and Goldman Sachs are scooping up shares in Cibus., pronunciation=Nordea and Goldman Sachs are scooping up shares in Cibus., extra_data=""{'translat..."")"
13,16,2021-05-31,Det skulle kunna vara en rek publicerad hos en mäklare/aktör som vi i efterhand får en notis i stil med Merryl Lynch rekar köp Cibus.  För kunder hos de där aktörerna finns det en gedigen analys att läsa bakom den där lilla notisen vi brukar se.,1399385849058451459,3,0,,therealpetrusko,False,33803,"Translated(src=sv, dest=en, text=It could be a rek published by a broker / player that we subsequently receive a notice in the style of Merryl Lynch rekar buy Cibus. For customers of those players, there is a solid analysis to read behind that little notice we usually see., pronunciation=[[]], extra_data=""{'translat..."")"
14,17,2021-05-31,"Japp, något fick Cibus att ta ett rejält skutt upp nu precis. Cirka 5% upp på dagen nu.",1399385357100126210,32,1,,therealpetrusko,False,33803,"Translated(src=sv, dest=en, text=Yep, something made Cibus take a real shot right now. About 5% up on the day now., pronunciation=[[]], extra_data=""{'translat..."")"
15,18,2021-05-31,Cibus är en aktie som jag älskar ❤️ https://t.co/UVR6k3HTmJ,1399378117458903045,0,0,,ApanAktie,False,72,"Translated(src=sv, dest=en, text=Cibus is a stock I love ❤️ https://t.co/UVR6k3HTmJ, pronunciation=Cibus is a stock I love ❤️ https://t.co/UVR6k3HTmJ, extra_data=""{'translat..."")"
16,19,2021-05-31,CIBUS att du ligger som grundplåt i min väska gör inte ont.... https://t.co/dWL64lYe28,1399374028981276675,16,0,,FreddeTrader,False,8540,"Translated(src=sv, dest=en, text=CIBUS that you are lying as a base plate in my bag does not hurt .... https://t.co/dWL64lYe28, pronunciation=CIBUS that you are lying as a base plate in my bag does not hurt .... https://t.co/dWL64lYe28, extra_data=""{'translat..."")"
17,20,2021-05-31,@cjeppen Cibus för den som önskar månatliga utdelningar🥳,1399292637060939777,0,0,,RLjungstrommer,False,897,"Translated(src=sv, dest=en, text=@cjeppen Cibus for those who want monthly dividends🥳, pronunciation=@cjeppen Cibus for those who want monthly dividends🥳, extra_data=""{'translat..."")"
18,21,2021-05-31,"Ökat Cibus och Xact Norden högutdelande.
#cashflow",1399280535453765633,24,1,,32invest,False,2888,"Translated(src=sv, dest=en, text=Increased Cibus and Xact Norden high dividend.
#cashflow, pronunciation=[[]], extra_data=""{'translat..."")"
19,23,2021-05-30,@FreddeTrader Cibus har jag sugit på länge men aldrig bitit ner i.,1399092476779053059,0,0,,Index_Johan,False,71,"Translated(src=sv, dest=en, text=@FreddeTrader Cibus I have sucked for a long time but never bit into., pronunciation=@FreddeTrader Cibus I have sucked for a long time but never bit into., extra_data=""{'translat..."")"
20,24,2021-05-30,"@FreddeTrader 100 cibus, 100 investor, 200 kassa till träjding",1399074203266134020,1,0,,Low_Spread,False,5,"Translated(src=sv, dest=en, text=@FreddeTrader 100 cibus, 100 investors, 200 cash for trading, pronunciation=@FreddeTrader 100 cibus, 100 investors, 200 cash for trading, extra_data=""{'translat..."")"
21,27,2021-05-30,"@Index_Johan Plejd måsta jag få in igen...
Jag är såååå värdelös att kombinera trading med långsiktighet.
Men CIBUS &amp; EMBRAC har jag klarat hålla nu 😅",1399026113897172995,5,0,,FreddeTrader,False,8540,"Translated(src=sv, dest=en, text=@Index_Johan Plejd I have to get in again ...
I am soooo useless to combine trading with long-term.
But CIBUS & EMBRAC I have managed to hold now 😅, pronunciation=[[]], extra_data=""{'translat..."")"
22,32,2021-05-29,"Cibus, utdelningen har landat på kontot....som vanligt tidigare än utannonserat. Tack Cibus!",1398683238130933760,0,0,,Stefan46970880,False,14,"Translated(src=sv, dest=en, text=Cibus, the dividend has landed on the account .... as usual earlier than announced. Thanks Cibus!, pronunciation=[[]], extra_data=""{'translat..."")"
23,33,2021-05-29,"@M85babb Yes sir...
Har Cibus Exact H Embrac och Sinch just nu...
Ska in med fler men vet inte vad jag ska köpa än 😇",1398667261670526979,1,0,,FreddeTrader,False,8540,"Translated(src=sv, dest=en, text=@ M85babb Yes sir ...
Have Cibus Exact H Embrac and Sinch right now ...
Going in with more but do not know what to buy yet 😇, pronunciation=[[]], extra_data=""{'translat..."")"
24,34,2021-05-29,"@Dax12000 Stenhus är spännande gillar den ödmjuka vd, vill inte för stor exponering mot fastighets sektorn, har 2 större innehav i den sektorn sbb och cibus.",1398665798391144454,0,0,,Suryeytomama,False,32,"Translated(src=sv, dest=en, text=@ Dax12000 Stenhus is exciting like the humble CEO, does not want too much exposure to the real estate sector, has 2 major holdings in that sector sbb and cibus., pronunciation=@ Dax12000 Stenhus is exciting like the humble CEO, does not want too much exposure to the real estate sector, has 2 major holdings in that sector sbb and cibus., extra_data=""{'translat..."")"
25,39,2021-05-29,"Utdelning Cibus
#utdelning #finanstwitter #månadsutdelare #20årsplanen https://t.co/TlX583TYno",1398566172577218561,4,0,,1TidigPension,False,310,"Translated(src=sv, dest=en, text=Dividend Cibus
#dividend #finanstwitter #monthdividend # 20year plan https://t.co/TlX583TYno, pronunciation=[[]], extra_data=""{'translat..."")"
26,40,2021-05-29,"Ja, det är totalavkastningen man ska titta på. Tillväxt och bla bla bla. Men att få utdelning varje månad av Cibus är tillfredställande för min hjärna. #pratapengar",1398550513252196353,14,0,,skaneavkastning,False,465,"Translated(src=sv, dest=en, text=Yes, it is the total return you should look at. Growth and blah blah blah. But getting a dividend every month from Cibus is satisfying for my brain. #pratapengar, pronunciation=[[]], extra_data=""{'translat..."")"
27,41,2021-05-29,Katching sa det och Cibus önskade trevlig helg 🥰💸 #PrataPengar https://t.co/6bCt9cC7n0,1398538077094699011,19,0,,JagaUtdelning,False,1533,"Translated(src=sv, dest=en, text=Katching said it and Cibus wished a nice weekend 🥰💸 #PrataMoney https://t.co/6bCt9cC7n0, pronunciation=Katching said it and Cibus wished a nice weekend 🥰💸 #PrataMoney https://t.co/6bCt9cC7n0, extra_data=""{'translat..."")"
28,43,2021-05-28,"#finanstwitter 

Cibus för den som önskar månatliga utdelningar🥳",1398318286937468940,0,0,,RLjungstrommer,False,897,"Translated(src=sv, dest=en, text=#finanstwitter

Cibus for those who want monthly dividends🥳, pronunciation=[[]], extra_data=""{'translat..."")"
29,45,2021-05-28,"Summer veckan, har vart in i Dax 4a ggr, ca 60min tog det av min dyrbara tid, resultat 58 blå
14 donerades, nästan 4 gick till snus vin och kött resten placerades i Cibus &amp; Embrac
Jag är nöjd, hoppas ni haft en bra vecka och njuter i solen nu🥂😎

https://t.co/MhPqLJRo2s",1398300916349034517,36,0,,FreddeTrader,False,8540,"Translated(src=sv, dest=en, text=Summer week, has been in Dax 4a times, about 60min took it of my precious time, result 58 blue
14 were donated, almost 4 went to snus wine and meat the rest was placed in Cibus & Embrac
I'm happy, hope you had a good week and enjoy the sun now🥂😎

https://t.co/MhPqLJRo2s, pronunciation=[[]], extra_data=""{'translat..."")"
