,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,23,2021-02-18,"@Dax12000 Ja.. Hade inga lik idag då jag tecknat cint.
Annars hade ökat lite.

Set clpn?",1362526370006458368,0,0,,laaaaangsiktig,False,622,"Translated(src=sv, dest=en, text=@ Dax12000 Yes .. Had no corpses today when I drew cint.
Otherwise it would have increased a bit.

Set clpn?, pronunciation=[[]], extra_data=""{'translat..."")"
1,41,2021-02-18,@vikingscenes Gunnhild vendo Ragnar e Lagertha no grande salão,1362510162838384647,3,0,,luluzinha_cint,False,1562,"Translated(src=sv, dest=en, text=@vikingscenes Gunnhild for Ragnar and Lagertha no big sale, pronunciation=@vikingscenes Gunnhild for Ragnar and Lagertha no big sale, extra_data=""{'translat..."")"
2,55,2021-02-18,#cint tilldelning npgon. När?,1362467963627012102,0,0,,arxhlight,False,41,"Translated(src=sv, dest=en, text=#cint assignment npgon. When?, pronunciation=None, extra_data=""{'translat..."")"
3,60,2021-02-18,@calamar1975 @NordnetSE Första handelsdag för Cint är imorgon :),1362446897181564934,1,0,,NordnetAxel,False,22238,"Translated(src=sv, dest=en, text=@ calamar1975 @NordnetSE The first trading day for Cint is tomorrow :), pronunciation=@ calamar1975 @NordnetSE The first trading day for Cint is tomorrow :), extra_data=""{'translat..."")"
4,69,2021-02-18,Hur stor sannolikhet är det att man får tilldelning i cint (Tecknat via Nordnet ISK)?,1362431372120498177,0,0,,TapirenNet,False,1300,"Translated(src=sv, dest=en, text=What is the probability that you will receive an award in cint (Subscribed via Nordnet ISK)?, pronunciation=What is the probability that you will receive an award in cint (Subscribed via Nordnet ISK)?, extra_data=""{'translat..."")"
5,81,2021-02-18,När får man reda på om man tilldelats $cint? Trodde det var 15.00 man fick besked. #finanstwitter,1362421633361846272,1,0,,mynameispattey,False,167,"Translated(src=sv, dest=en, text=When will you find out if you have been assigned $ cint? Thought it was 15.00 you were told. #finanstwitter, pronunciation=[[]], extra_data=""{'translat..."")"
6,87,2021-02-18,@avanzabank när skickar ni meddelande om ifall man fått aktier i $cint?,1362403101030907909,1,0,,borslejonet,False,30,"Translated(src=sv, dest=en, text=@avanzabank when do you send a message about whether you have received shares in $ cint?, pronunciation=@avanzabank when do you send a message about whether you have received shares in $ cint?, extra_data=""{'translat..."")"
7,93,2021-02-18,Tecknat Cint. Börjar handlas imorgon.,1362376553334792192,0,0,,Bartsmartass,False,186,"Translated(src=sv, dest=en, text=Cartoon Cint. Starts trading tomorrow., pronunciation=[[]], extra_data=""{'translat..."")"
8,100,2021-02-18,Enda gången väckarklockan behöver ställas den här veckan är för att hålla koll på Cint vid börsöppningen i morgon. Måtte det vara värt det.,1362358661964845056,6,0,,Friskrivning,False,2567,"Translated(src=sv, dest=en, text=The only time the alarm clock needs to be set this week is to keep track of Cint at the stock exchange opening tomorrow. May it be worth it., pronunciation=[[]], extra_data=""{'translat..."")"
9,103,2021-02-18,"Tecknar Cint som många andra, får se om man har tur i lotteriet denna gång! 😜",1362346544956080131,14,0,,snalanningen,False,1544,"Translated(src=sv, dest=en, text=Signs Cint like many others, will see if you are lucky in the lottery this time! 😜, pronunciation=[[]], extra_data=""{'translat..."")"
10,111,2021-02-18,Dubblade position på 247kr. Var för långsam vid droppet till 242 tyvärr. Kommer släppa position idag vid stängning. Behöver likvider till Cint IPO. https://t.co/SUOQp8Quuj,1362313383383625732,0,0,,TInvesteraren,False,207,"Translated(src=sv, dest=en, text=Double position at SEK 247. Was too slow at the drop to 242 unfortunately. Will drop position today when closing. Need cash for Cint IPO. https://t.co/SUOQp8Quuj, pronunciation=[[]], extra_data=""{'translat..."")"
11,117,2021-02-18,"Cint Tecknar : Är det någon som missat att teckna Cint är det dags nu , sista dagen idag kl 15.
Emissionen fulltecknades på en minut och efter första dagen 5ggr övertecknad. 
Bara rygga o hoppas på liten/någon tilldelning.

https://t.co/cniUbM438c",1362305839990771716,9,1,,Buyb4its2l8,False,2908,"Translated(src=sv, dest=en, text=Cint Draws: If anyone has missed drawing Cint, it's time now, the last day today at 15.
The issue was fully subscribed in one minute and after the first day 5 times oversubscribed.
Just back and hope for a small / some allocation.

https://t.co/cniUbM438c, pronunciation=[[]], extra_data=""{'translat..."")"
