,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-06-22,"Tecknade #Creaspac, gissar på kass tilldelning som vanligt. 

Lär väl bli 2000 spänn som vanligt när det gäller IPO's för pöbeln som mig. 

Fler som har tecknat?

#pratapengar #finanstwitter",1407440293507612679,13,0,,Tripple65904021,False,4561,"Translated(src=sv, dest=en, text=Cartoon #Creaspac, guess at cash allocation as usual.

Learn to be 2000 bucks as usual when it comes to IPOs for the mob like me.

More who have signed up?

#pratapengar #finanstwitter, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-06-22,Tre noteringar imorgon! Xpecunia fick jag ej tilldelning i men har några sedan pre-IPO. Även tecknat Creaspac och OX2 så där går vi hoppas på tilldelning!,1407380496619917315,2,0,,hodlmlund,False,24,"Translated(src=sv, dest=en, text=Three notes tomorrow! I did not receive an assignment in Xpecunia but have had some since pre-IPO. Also signed Creaspac and OX2 so there we go hoping for an award!, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2021-06-21,Tecknat en större post i #creaspac - spännande IPO med drivna ägare! #finanstwitter @CreadesAB,1407093867657170946,2,0,,radgivaren,False,1025,"Translated(src=sv, dest=en, text=Signed a major post in #creaspac - exciting IPO with driven owners! #finanstwitter @CreadesAB, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-06-21,"Nyintroduktionshetsen är på topp, vi har tio svenska nyintroduktioner som börjar handlas på två dagar, vardera fem bolag onsdag och torsdag inför midsommarhelgen. Däribland spac-bolagen Creaspac och Tbd30 som noteras på Nasdaq Stockholm på onsdag respektive torsdag.",1407063599168823298,7,1,,Finwire,False,23862,"Translated(src=sv, dest=en, text=The new introduction heat is at its peak, we have ten Swedish new introductions that start trading in two days, each with five companies on Wednesday and Thursday before the midsummer weekend. Including the spac companies Creaspac and Tbd30 which are listed on Nasdaq Stockholm on Wednesday and Thursday respectively., pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2021-06-21,Glöm teckna Creaspac 🤷🏽‍♂️ inatt för er som tecknar under 1mkr,1407055511514660868,2,0,,csntradeRn,False,1211,"Translated(src=sv, dest=en, text=Forgot to sign Creaspac 🤷🏽‍♂️ tonight for those of you who sign under SEK 1 million, pronunciation=Forgot to sign Creaspac 🤷🏽‍♂️ tonight for those of you who sign under SEK 1 million, extra_data=""{'translat..."")"
5,5,2021-06-21,Tecknar Creaspac och OX2.,1407001193218465801,3,0,,GubbTrader,False,39,"Translated(src=sv, dest=en, text=Draws Creaspac and OX2., pronunciation=Draws Creaspac and OX2., extra_data=""{'translat..."")"
6,6,2021-06-21,Teckna säljer Creaspac och räknar med +5-10%. Sista teckningsdag idag.,1406940794125160450,7,0,,Rekylinvest,False,3460,"Translated(src=sv, dest=en, text=Teckna sells Creaspac and expects + 5-10%. Last subscription day today., pronunciation=[[]], extra_data=""{'translat..."")"
7,7,2021-06-19,"Under den gångna veckan har #AFV skrivit analyser om #JM, #HeimstadenPref, #CTTSystems, #EeviaHealth, #Codemill, #Komplett, #MoveByBike, #RevolutionRace, #Creaspac, #TBD30, #Acast, samt #Readly: https://t.co/AqAkIUNpzz",1406129622153011201,3,1,,AFV_Analys,False,8656,"Translated(src=sv, dest=en, text=During the past week, #AFV has written analyzes about #JM, #HeimstadenPref, #CTTSystems, #EeviaHealth, #Codemill, #Complete, #MoveByBike, #RevolutionRace, #Creaspac, # TBD30, #Acast, and #Readly: https: / /t.co/AqAkIUNpzz, pronunciation=[[]], extra_data=""{'translat..."")"
8,9,2021-06-18,"@llisa_simpson Låter vettigt Lisa! Den borde åtminstone kunna handlas i linje med Bures spac så lite uppgång är nog att vänta om mab får tilldelning. För egen del funderar jag faktiskt på att ha Creaspac och möjligtvis också ACQ som ""kassa"" då jag annars är expert på att ha just kassa.",1405854281039757317,2,0,,Mkanslatt,False,173,"Translated(src=sv, dest=en, text=@llisa_simpson Sounds sensible Lisa! It should at least be able to be traded in line with Bure's spac, so a slight increase is enough to wait for the mab to be awarded. For my own part, I am actually considering having Creaspac and possibly also ACQ as ""cash"" as I am otherwise an expert in having just cash., pronunciation=[[]], extra_data=""{'translat..."")"
9,10,2021-06-18,"Tecknas Creades spac Creaspac ? AFV hissar en flagga. AFV rekommenderar att teckna.
""Inte minst då vi tror Creades varumärke i näringslivet smäller hyggligt högt vilket bäddar för en bra affär. Och det är kalibern på det man köper som långsiktigt lär avgöra hur bra en spac blir""",1405811821056040962,0,1,,Mkanslatt,False,173,"Translated(src=sv, dest=en, text=Is Creades spac Creacac drawn? AFV hoists a flag. AFV recommends drawing.
""Not least because we think Creade's brand in the business world is banging pretty high, which makes for a good deal. And it is the caliber of what you buy that in the long run will determine how good a spac will be."", pronunciation=[[]], extra_data=""{'translat..."")"
10,11,2021-06-17,"Creades noterar en SPAC vid namn Creaspac. Affärsvärldens analytiker har tittat närmare på erbjudandet och ger en teckna-rekommendation.
https://t.co/E8blcTtrFX https://t.co/tfkF6i0smB",1405603671765925891,2,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Creades notes a SPAC named Creaspac. The business world's analysts have taken a closer look at the offer and give a sign-up recommendation.
https://t.co/E8blcTtrFX https://t.co/tfkF6i0smB, pronunciation=[[]], extra_data=""{'translat..."")"
11,12,2021-06-17,"Creaspac noteras 23/6 och tecknas på Avanza senast 21/6.

Affärsvärlden rekommenderar att teckna.

Tecknar ni Creaspac? Retweeta gärna för bättre resultat.",1405579679352950792,2,1,,IPOgranskaren,False,1460,"Translated(src=sv, dest=en, text=Creaspac will be listed on 23/6 and subscribed to Avanza no later than 21/6.

The business world recommends drawing.

Do you draw Creaspac? Feel free to retweet for better results., pronunciation=[[]], extra_data=""{'translat..."")"
12,13,2021-06-17,Precis som Bure värderas Creades till en premie på börsen. Det kan smitta av sig även på deras Spac. Läs #AFV analys om #Creaspac som prenumerant: https://t.co/f0zPKtzHgA,1405521730072842249,1,0,,AFV_Analys,False,8656,"Translated(src=sv, dest=en, text=Like Bure, Creades is valued at a premium on the stock market. It can also spread to their Spac. Read #AFV analysis about #Creaspac as a subscriber: https://t.co/f0zPKtzHgA, pronunciation=[[]], extra_data=""{'translat..."")"
