,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,13,2019-09-25,"@HerschelRothman EQT har ju varit duktiga, och ipo-kursen var nog ganska ärlig och rusningen klart överilad. Tror också på 60kr +-10kr.",1176955102659252226,1,0,,andrnils,False,26,"Translated(src=sv, dest=en, text=@HerschelRothman EQT has been good, and the ipo course was probably quite honest and the rush was clearly rash. Also believes in SEK 60 + SEK -10., pronunciation=[[]], extra_data=""{'translat..."")"
1,14,2019-09-25,@kapitalisten_ Känns bättre att äga EQT via Investor än direkt... tycker inte man ska bli avskräckt för Investor pga ägandet i EQT,1176952648362287105,3,0,,HerschelRothman,False,6100,"Translated(src=sv, dest=en, text=@kapitalisten_ Feels better to own EQT via Investor than directly ... do not think you should be discouraged for Investor due to the ownership in EQT, pronunciation=@kapitalisten_ Feels better to own EQT via Investor than directly ... do not think you should be discouraged for Investor due to the ownership in EQT, extra_data=""{'translat..."")"
2,16,2019-09-25,"@JGynnhammar @aron_larsson01 Håller med, igår tjänade jag 20 lax på eqt notering, det skattar jag någon enstaka hundralapp för (isk) men jobbar jag övertid på jobbet betalar jag 50% inkomstskatt, skevt, minst sagt!",1176946053700116480,1,0,,tompaqgamer,False,20,"Translated(src=sv, dest=en, text=@JGynnhammar @ aron_larsson01 Agree, yesterday I earned 20 salmon on eqt listing, I estimate a few hundred bucks for that (isk) but if I work overtime at work I pay 50% income tax, skewed, to say the least!, pronunciation=@JGynnhammar @ aron_larsson01 Agree, yesterday I earned 20 salmon on eqt listing, I estimate a few hundred bucks for that (isk) but if I work overtime at work I pay 50% income tax, skewed, to say the least!, extra_data=""{'translat..."")"
3,17,2019-09-25,EQT kommer stå under 60 kr om ett år. Blir kul att se hur väl/illa denna tweet åldras.,1176939411449286656,56,2,,HerschelRothman,False,6100,"Translated(src=sv, dest=en, text=EQT will be below SEK 60 in one year. It will be fun to see how well / badly this tweet ages., pronunciation=[[]], extra_data=""{'translat..."")"
4,18,2019-09-25,"@HFrihet Va fan, vem köper en skjorta för en sån summa? 😂😂 Riktar säkert till kundkretsen hos storägarna på EQT 😀😀",1176930719333081088,0,0,,20tkrutdelning,False,3996,"Translated(src=sv, dest=en, text=@HFrihet Damn, who buys a shirt for such a sum? 😂😂 Safely targets the clientele of the large owners at EQT 😀😀, pronunciation=[[]], extra_data=""{'translat..."")"
5,30,2019-09-25,"Kommenterar EQT: Många går igång på idéen om onoterat som i vanliga fall är svårt att få exponering mot som privatperson. Men det är inte alla nya aktieägare som blir rikast på affären, varken nu eller framöver. https://t.co/ACUw8Gptqk",1176882298437951488,5,0,,MariaLandeborn,False,7747,"Translated(src=sv, dest=en, text=Comments on EQT: Many people start with the idea of ​​unlisted, which is usually difficult to get exposure to as a private person. But not all new shareholders will be richer in the deal, neither now nor in the future. https://t.co/ACUw8Gptqk, pronunciation=[[]], extra_data=""{'translat..."")"
6,31,2019-09-25,"↓ OMXS30 -0,8% | Röd dag på börsen – EQT tappar stor del av uppgången efter gårdagens premiärrus https://t.co/mSs5Csyj1F",1176881972792221697,1,0,,OmniEkonomi,False,11494,"Translated(src=sv, dest=en, text=↓ OMXS30 -0.8% | Red day on the stock exchange - EQT loses much of the rise after yesterday's premiere intoxication https://t.co/mSs5Csyj1F, pronunciation=[[]], extra_data=""{'translat..."")"
7,32,2019-09-25,Dagens inköp blev Solaredge och AAK 🤝💵 Och nej jag tecknade inte EQT 🙃,1176880407222075392,1,0,,Rollietrader,False,476,"Translated(src=sv, dest=en, text=Today's purchase was Solaredge and AAK 🤝💵 And no I did not sign EQT 🙃, pronunciation=Today's purchase was Solaredge and AAK 🤝💵 And no I did not sign EQT 🙃, extra_data=""{'translat..."")"
8,39,2019-09-25,Efter succénoteringen: EQT:s aktie faller tillbaka https://t.co/586mCT2W5D,1176863627166531584,2,0,,FridaNordnet,False,15195,"Translated(src=sv, dest=en, text=After the successful listing: EQT's share falls back https://t.co/586mCT2W5D, pronunciation=After the successful listing: EQT's share falls back https://t.co/586mCT2W5D, extra_data=""{'translat..."")"
9,44,2019-09-25,Stellar EQT stock market debut sees firm valued at more than €7bn https://t.co/YXAhvtA5m0 https://t.co/TmlKsNZERe,1176851986244759552,0,0,,rtrenev,False,5842,"Translated(src=sv, dest=en, text=Stellar EQT stock market debut sees firm valued at more than € 7bn https://t.co/YXAhvtA5m0 https://t.co/TmlKsNZERe, pronunciation=Stellar EQT stock market debut sees firm valued at more than € 7bn https://t.co/YXAhvtA5m0 https://t.co/TmlKsNZERe, extra_data=""{'translat..."")"
