,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2020-12-08,Har lagt till en intervju med vd för noteringskandidaten Fasadgruppen i artikeln om vad analytikerna säger om erbjudandet. https://t.co/MJKx4xEBUg,1336236838357524482,3,0,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=Has added an interview with the CEO of the listing candidate Fasadgruppen in the article about what the analysts say about the offer. https://t.co/MJKx4xEBUg, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2020-12-08,"DING DING DING 🔔 
Idag (kl. 15:00) är sista dagen att anmäla sig till noteringsaktuella Fasadgruppen Group AB. 👇",1336211409512882176,0,0,,NordnetSE,False,23117,"Translated(src=sv, dest=en, text=DING DING DING 🔔
Today (15:00) is the last day to register for the current Fasadgruppen Group AB. 👇, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2020-12-07,"@GunndeSpawn Embracer lyckas riktigt väl! De jag syftar till är Bravida och Fasadgruppen.

Jag har personligen bevittnat Bravidas fallerade förvärvmodell utav sammarsbetspartners till företaget jag arbetar på, det har resulterat i att vi har bojkottat det förvärvade företaget.",1336047234018848776,0,0,,IngenjorKalkyl,False,6495,"Translated(src=sv, dest=en, text=@GunndeSpawn Embracer succeeds really well! The ones I am referring to are Bravida and the Facade Group.

I have personally witnessed Bravida's failed acquisition model of collaborating partners for the company I work for, it has resulted in us boycotting the acquired company., pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2020-12-07,"💹 IPO - Fasadgruppen
Sista dag att teckna imorgon 8/12. Jag har inte tänkt teckna då det ser väldigt oklart ut samt att analyser hissar flaggor och avråder.
Varför chansa 💁🏽‍♂️

Hur tänker ni?",1335977127347425286,0,0,,csntradeRn,False,1212,"Translated(src=sv, dest=en, text=💹 IPO - The facade group
Last day to sign tomorrow 8/12. I have not intended to draw as it looks very unclear and that analyzes raise flags and advise against.
Why chance 💁🏽‍♂️

How do you think?, pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2020-12-07,"#Fasadgruppen DI skriver PE 30,7 för 2020 medans Affärsvärlden skriver PE 16,2 för 2020. Märkligt. #IPO",1335877032652234752,1,0,,BenjaMoneyMan,False,153,"Translated(src=sv, dest=en, text=#Fasadgruppen DI writes PE 30.7 for 2020 while Affärsvärlden writes PE 16.2 for 2020. Strange. #IPO, pronunciation=[[]], extra_data=""{'translat..."")"
5,5,2020-12-07,"Kan inte mycket om fasader men den här analysen av Di:s Ulf Petersson tycker jag är spot on i att beskriva den tid vi lever i. Ett överflöd av pengar som söker avkastning...
Analys: Fasadgruppen riskerar bli en dålig investering https://t.co/tK9CnBCfZk",1335855854344671233,7,1,,JohanJaveus,False,5501,"Translated(src=sv, dest=en, text=I do not know much about facades, but I think this analysis of Di's Ulf Petersson is spot on in describing the time we live in. An abundance of money that seeks return ...
Analysis: The facade group risks becoming a bad investment https://t.co/tK9CnBCfZk, pronunciation=[[]], extra_data=""{'translat..."")"
6,6,2020-12-07,"Di vill se mycket mer av resan med att konsolidera murarmarknaden innan vi beredda att betala 30 gånger vinsten. Rådet blir därför att avstå Fasadgruppen, skriver @ulfpetersson7 . 
https://t.co/Cuf0IbAxTS",1335828491783311363,2,0,,dagensindustri,True,84838,"Translated(src=sv, dest=en, text=You want to see much more of the journey of consolidating the masonry market before we are prepared to pay 30 times the profit. The council will therefore refrain from the Facade Group, writes @ ulfpetersson7.
https://t.co/Cuf0IbAxTS, pronunciation=[[]], extra_data=""{'translat..."")"
7,7,2020-12-06,@Nyemissioner Tecknar ni Fasadgruppen? Retweeta gärna. Börjar handlas 9 dec.,1335715996351549444,0,0,,BullTrade12,False,907,"Translated(src=sv, dest=en, text=@Nyemissionser Do you subscribe to the Facade Group? Feel free to retweet. Starts trading 9 dec., pronunciation=[[]], extra_data=""{'translat..."")"
8,8,2020-12-06,"Fasadgruppen noteras på Stockholmsbörsen den 9/12 och sista svarsdag är 8/12 via @NordnetSE 
En förvärvsintensiv aktör inom fasadrenovering.
Tar in 998M och BV är 2 125M, P/E 16 eller EV/EBIT 13.
48% taget av Swedbank Robur och Capital Group mm.
Affärsvärden rekommenderar teckna.",1335714982269423618,3,0,,JonasJonsson92,False,1104,"Translated(src=sv, dest=en, text=The facade group is listed on the Stockholm Stock Exchange on 9/12 and the last response day is 8/12 via @NordnetSE
An acquisition-intensive player in facade renovation.
Takes in 998M and BV is 2,125M, P / E 16 or EV / EBIT 13.
48% taken by Swedbank Robur and Capital Group etc.
Business values ​​recommend subscribing., pronunciation=[[]], extra_data=""{'translat..."")"
9,9,2020-12-06,"Skilda åsikter om börsnoteringen av Fasadgruppen bland analytiker. Affärsvärlden ger en teckna-rekommendation, medan Di rekommenderar att man avstår. https://t.co/MJKx4xEBUg https://t.co/hZfDrGUeVs",1335684536496218115,4,1,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=Different opinions about the listing of the Facade Group among analysts. The business world gives a sign-up recommendation, while Di recommends that you refrain. https://t.co/MJKx4xEBUg https://t.co/hZfDrGUeVs, pronunciation=[[]], extra_data=""{'translat..."")"
