,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-09-15,"Fastator fortsätter växa! Nordic PM ägs av FASTATOR 
https://t.co/paG1NnWmeN",1438048657371246595,3,0,,PaulPaulde,False,229,"Translated(src=sv, dest=en, text=Fastator continues to grow! Nordic PM is owned by FASTATOR
https://t.co/paG1NnWmeN, pronunciation=[[]], extra_data=""{'translat..."")"
1,2,2021-09-14,Fastator räddar mig idag!   Nu lyfter vi 🚀 😂 #fastator #finanstwitter https://t.co/FRk3ZUt4FB,1437760292423933953,2,0,,OMXryttaren,False,870,"Translated(src=sv, dest=en, text=Fastator saves me today! Now we lift 🚀 😂 #fastator #finanstwitter https://t.co/FRk3ZUt4FB, pronunciation=[[]], extra_data=""{'translat..."")"
2,3,2021-09-14,@ibindex Kommer ni att lägga till Fastator i något index nu när de byter lista?,1437729722532773890,4,0,,roboyod,False,9,"Translated(src=sv, dest=en, text=@ibindex Are you going to add Fastator to any index now that they are changing the list?, pronunciation=@ibindex Are you going to add Fastator to any index now that they are changing the list?, extra_data=""{'translat..."")"
3,4,2021-09-14,"Fastator har godkänts för notering på Nasdaq Stockholms huvudlista

 Första dag för handel på Nasdaq Stockholms huvudlista är planerad till torsdagen den 16 september 2021.",1437650662620270592,3,0,,PaulPaulde,False,229,"Translated(src=sv, dest=en, text=Fastator has been approved for listing on Nasdaq Stockholm's main list

 The first day of trading on Nasdaq Stockholm's main list is scheduled for Thursday, September 16, 2021., pronunciation=[[]], extra_data=""{'translat..."")"
4,5,2021-09-13,"Där kom annonserade listbytet som Investmentbolagsportföljen inte gråter över. Senaste Nav Fastator 21,8 kr, ledningen äger runt 1/3 av bolaget och ser hög tillväxt framåt. För övrigt är Svolder nytt bolag i portföljen efter handel ner nära substans. Nav +229% sista 5 åren 🏆 https://t.co/4bhaPTZslp",1437466754242985987,1,0,,Invest1o1,False,730,"Translated(src=sv, dest=en, text=There came the announced list change that the Investment Company portfolio does not cry over. Latest Nav Fastator SEK 21.8, the management owns around 1/3 of the company and sees high growth going forward. Incidentally, Svolder is a new company in the portfolio after trading down close to substance. Nav + 229% last 5 years 🏆 https://t.co/4bhaPTZslp, pronunciation=[[]], extra_data=""{'translat..."")"
5,6,2021-09-13,Fastator godkänns för notering på Nasdaq Stockholms huvudlista den 16 september https://t.co/JrUXZTJ1hh #construction #corporateactions #industrials #realestate,1437432129114284033,3,0,,FinwireSmallcap,False,10175,"Translated(src=sv, dest=en, text=Fastator approved for listing on Nasdaq Stockholm's main list on September 16 https://t.co/JrUXZTJ1hh #construction #corporateactions #industrials #realestate, pronunciation=Fastator approved for listing on Nasdaq Stockholm's main list on September 16 https://t.co/JrUXZTJ1hh #construction #corporateactions #industrials #realestate, extra_data=""{'translat..."")"
6,9,2021-09-09,@alden_niklas Skulle vara kul höra om någon har en take på Fastator 🙏,1436080615854596100,2,0,,Invest1o1,False,730,"Translated(src=sv, dest=en, text=@alden_niklas Would be fun to hear if anyone has a take on Fastator 🙏, pronunciation=@alden_niklas Would be fun to hear if anyone has a take on Fastator 🙏, extra_data=""{'translat..."")"
7,11,2021-09-09,"@marketmakerspod Vad tror ni om fastator? Börsens ända investmentbolag för fastigheter. Vars flera innehav har som affärsidé att köpa och ""förädla"" fastigheter. Investmentbolag är populära hos många sparare, kan Fastator göra samma resa?",1436046569699254275,2,0,,j0naz1981,False,8,"Translated(src=sv, dest=en, text=@marketmakerspod What do you think about fastator? The stock exchange's only investment company for real estate. Whose several holdings have as a business concept to buy and ""refine"" properties. Investment companies are popular with many savers, can Fastator make the same journey?, pronunciation=[[]], extra_data=""{'translat..."")"
8,12,2021-09-08,"@placera365 Jag äger 3 aktier. Detta är inget köpråd, kommer inte komma med säljråd. Gör er egen DD. 
1. ZIM shipping
2. FASTATOR 
3. ZORDIX",1435547265272274944,5,0,,PaulPaulde,False,229,"Translated(src=sv, dest=en, text=@ placera365 I own 3 shares. This is not buying advice, will not come with selling advice. Make your own DD.
1. ZIM shipping
2. FASTATOR
3. ZORDIX, pronunciation=[[]], extra_data=""{'translat..."")"
9,13,2021-09-08,"@MiljonSnickare Jag har 3 st. Jag letar hög tillväxt, lågt p/e
1. Zim shipping
2. Fastator 
3. Zordix",1435469838697304065,0,0,,PaulPaulde,False,229,"Translated(src=sv, dest=en, text=@MiljonSnickare I have 3 pcs. I am looking for high growth, low p / e
1. Zim shipping
2. Fastator
3. Zordix, pronunciation=[[]], extra_data=""{'translat..."")"
