,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2017-10-26 18:05:23+00:00,Imorgon noteras Ferronordic Machines stamaktier på börsen https://t.co/Cl2c5ATst5,923611530591113218,7,0,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=Tomorrow, Ferronordic Machines ordinary shares will be listed on the stock exchange https://t.co/Cl2c5ATst5, pronunciation=Tomorrow, Ferronordic Machines ordinary shares will be listed on the stock exchange https://t.co/Cl2c5ATst5, extra_data=""{'translat..."")"
1,1,2017-10-26 12:08:37+00:00,@NordnetSE. När räknar ni med att tilldelning i ferronordic och indentive är klar?,923521746174709761,2,0,,srednq,False,392,"Translated(src=sv, dest=en, text=@NordnetSE. When do you expect the allocation in ferronordic and indentive to be completed?, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2017-10-26 08:25:41+00:00,"Några tips hur jag ska hantera BiBB, Ferronordic OCH köp av iPhone C imorgon kl 09?😂 varför kommer allt på samma gång...",923465644414324736,1,0,,csntradeRn,False,1212,"Translated(src=sv, dest=en, text=Some tips on how to handle BiBB, Ferronordic AND buy an iPhone C tomorrow at 09? 😂 why does everything come at the same time ..., pronunciation=Some tips on how to handle BiBB, Ferronordic AND buy an iPhone C tomorrow at 09? 😂 why does everything come at the same time ..., extra_data=""{'translat..."")"
3,3,2017-10-25 18:22:34+00:00,"Anser verkstad dyrt och har missat den uppgången, hoppas ta igen det genom tidigare tankning av Ferronordic pref. Svenska banker ned efter solida rapporter. Köpte danska Spar Nord Bank häromdagen för 78. Bör kunna gå några kronor till, sedan kanske läge att switcha till SEB?",923253465454993408,0,0,,dan_sjoholm,False,61,"Translated(src=sv, dest=en, text=Considers workshop expensive and has missed that rise, hopes to make up for it by previous refueling of Ferronordic pref. Swedish banks down after solid reports. Bought Danish Spar Nord Bank the other day for 78. Should be able to go a few kroner more, then maybe time to switch to SEB?, pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2017-10-25 13:29:03+00:00,Hur Ferronordic trendar på Google inom Sverige inför IPO. Någon som tror att det finns chans för överteckning? https://t.co/cJRCR0vOWd,923179602125582337,4,0,,ValueSeeker13,False,63,"Translated(src=sv, dest=en, text=How Ferronordic is trending on Google within Sweden before the IPO. Anyone think there is a chance for oversubscription? https://t.co/cJRCR0vOWd, pronunciation=[[]], extra_data=""{'translat..."")"
5,5,2017-10-25 08:30:35+00:00,"Då provar vi lyckan med nästa lottsedel, Ferronordic. Försöker teckna 650 st aktier.",923104488814252032,3,0,,ValueSeeker13,False,63,"Translated(src=sv, dest=en, text=Then we try our luck with the next lottery ticket, Ferronordic. Trying to subscribe for 650 shares., pronunciation=[[]], extra_data=""{'translat..."")"
6,6,2017-10-25 05:40:36+00:00,Tecknar självklart ferronordic! Sista svarsdag idag!,923061710398939136,3,0,,csntradeRn,False,1212,"Translated(src=sv, dest=en, text=Draws of course ferronordic! Last response day today!, pronunciation=[[]], extra_data=""{'translat..."")"
7,8,2017-10-24 22:34:47+00:00,"@AktieAnimatoren Vill du ha tilldelning: teckna Touchtech via Aktieinvest eller Nordnet, ferronordic via Avanza och 2cureX via Nordnet. ;)",922954553921765376,1,0,,Aktiepappa,False,17467,"Translated(src=sv, dest=en, text=@AktieAnimatoren Do you want an allotment: subscribe to Touchtech via Aktieinvest or Nordnet, ferronordic via Avanza and 2cureX via Nordnet. ;), pronunciation=[[]], extra_data=""{'translat..."")"
8,10,2017-10-24 18:43:59+00:00,"Så där, då var Ferronordic tecknat! Hoppas på tilldelning den här gången!",922896468725428226,0,0,,OMXsteffe,False,25,"Translated(src=sv, dest=en, text=So there, then, Ferronordic was drawn! Hoping for an award this time!, pronunciation=[[]], extra_data=""{'translat..."")"
9,11,2017-10-24 18:43:11+00:00,Tecknar ni Ferronordic? #Uppesittarkväll #ipo,922896267537207298,0,0,,milleinnan27,False,266,"Translated(src=sv, dest=en, text=Do you sign Ferronordic? # Uppesittarkväll #ipo, pronunciation=[[]], extra_data=""{'translat..."")"
