,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-04-26,@NothingBreturn Hemnet går till börsen med en värdering på 10 miljarder SEK. 10 miljarder för Hemnet. Let that sink in.,1386825497842262016,0,0,,Atlanticus10,False,701,"Translated(src=sv, dest=en, text=@NothingBreturn Hemnet goes public with a valuation of SEK 10 billion. 10 billion for Hemnet. Let that sink in., pronunciation=[[]], extra_data=""{'translat..."")"
1,2,2021-04-26,@DrUEriksson Skulle de mot förmodan inte sälja i den här marknaden så är det bara att gå vidare till nästa objekt. Det värde de levererar idag går knappt bortom det faktum att de sitter på nyckeln till Hemnet.,1386786230990512128,0,0,,grenfeldt,False,3422,"Translated(src=sv, dest=en, text=@DrUEriksson Should they not sell in this market, it's just a matter of moving on to the next item. The value they deliver today goes far beyond the fact that they hold the key to Hemnet., pronunciation=[[]], extra_data=""{'translat..."")"
2,3,2021-04-26,Hemnet går till börsen med en värdering på över 10 miljarder SEK. Inte konstigt att nuvarande ägare väljer att casha ut.,1386782042906664964,0,0,,Atlanticus10,False,701,"Translated(src=sv, dest=en, text=The home goes to the stock exchange with a valuation of over SEK 10 billion. No wonder the current owners choose to cash out., pronunciation=[[]], extra_data=""{'translat..."")"
3,4,2021-04-26,Är fortfarande extremt förvånad över att vare sig Blocket eller Hemnet infört sociala funktioner. Kommentarer och tumme upp och tumme ner. Hade varit fantastiskt.,1386760429310025730,1,1,,lowenhamn,False,2591,"Translated(src=sv, dest=en, text=Is still extremely surprised that neither Blocket nor Hemnet have introduced social functions. Comments and thumbs up and thumbs down. Had been fantastic., pronunciation=[[]], extra_data=""{'translat..."")"
4,5,2021-04-26,@maryeohlson Din portföljrapport efter hemnet noterats,1386750174257717249,1,0,,yugospartan,False,4727,"Translated(src=sv, dest=en, text=@maryeohlson Your portfolio report after the home has been noted, pronunciation=@maryeohlson Your portfolio report after the home has been noted, extra_data=""{'translat..."")"
5,6,2021-04-26,Om din ansökan har blivit godkänd för Hemnet Groups IPO så har du en sådan här post inbokad på ditt konto: https://t.co/UZMucoO8jY,1386730484680560643,11,0,,NordnetAxel,False,22237,"Translated(src=sv, dest=en, text=If your application has been approved for Hemnet Group's IPO, you have an entry like this booked in your account: https://t.co/UZMucoO8jY, pronunciation=If your application has been approved for Hemnet Group's IPO, you have an entry like this booked in your account: https://t.co/UZMucoO8jY, extra_data=""{'translat..."")"
6,7,2021-04-26,"@maryeohlson @andersolwe @missswee Yes tänkte mer generellt.. hade för mig vi tidigare haft en dialog kring 40-5 miljoner visningar i månaden osv. Men ser den inte alls längre.. litar fullständigt på din analys av Hemnet, jag besöker den faktiskt orimligt lite..",1386730256543928326,0,0,,nybbe93,False,358,"Translated(src=sv, dest=en, text=@maryeohlson @andersolwe @missswee Yes thought more generally .. for me we had previously had a dialogue about 40-5 million views a month and so on. But if I do not see it at all anymore .. completely trust your analysis of Hemnet, I actually visit it unreasonably little .., pronunciation=[[]], extra_data=""{'translat..."")"
7,9,2021-04-26,"@maryeohlson @andersolwe @missswee 14 minuter in i Ekonomiekot extra från 2021-03-06 är intressant. Antal visningar på Hemnet behöver inte påverka slutpriset. Kanske uppenbart, men tål att tänkas på..",1386728762088300549,0,0,,nybbe93,False,358,"Translated(src=sv, dest=en, text=@maryeohlson @andersolwe @missswee 14 minutes into Ekonomiekot extra from 2021-03-06 is interesting. The number of views on Hemnet does not have to affect the final price. Maybe obvious, but worth thinking about .., pronunciation=[[]], extra_data=""{'translat..."")"
8,10,2021-04-26,Tecknade du dig för Hemnet?,1386721164626731012,2,0,,vildkatten,False,1180,"Translated(src=sv, dest=en, text=Did you sign up for Hemnet?, pronunciation=Did you sign up for Hemnet?, extra_data=""{'translat..."")"
9,11,2021-04-26,@maryeohlson @missswee @nybbe93 Hemnet kommer bli en digital kassako i monopolställning med extrem pricing power vad finns det att inte gilla 🤷‍♂️,1386715250892939267,2,0,,andersolwe,False,6302,"Translated(src=sv, dest=en, text=@maryeohlson @missswee @ nybbe93 Hemnet will be a digital cash cow in a monopoly position with extreme pricing power what is there not to like 🤷‍♂️, pronunciation=@maryeohlson @missswee @ nybbe93 Hemnet will be a digital cash cow in a monopoly position with extreme pricing power what is there not to like 🤷‍♂️, extra_data=""{'translat..."")"
