,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2017-05-09 18:47:50+00:00,"#INSTALCO -&gt; nu på @borsdata inför IPO (sista teckningsdag idag)

https://t.co/ZMhA44nTCG https://t.co/iQgetYhBzK",862016275752636416,5,1,,40procent20ar,False,30554,"Translated(src=sv, dest=en, text=#INSTALCO -> now on @borsdata before IPO (last subscription day today)

https://t.co/ZMhA44nTCG https://t.co/iQgetYhBzK, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2017-05-09 16:54:43+00:00,@ArashHakimii Vad tycker du om att teckna Instalco?,861987811813183488,0,0,,Aleandrosa10,False,31,"Translated(src=sv, dest=en, text=@ArashHakimii What do you think about drawing Instalco?, pronunciation=@ArashHakimii What do you think about drawing Instalco?, extra_data=""{'translat..."")"
2,2,2017-05-09 10:48:22+00:00,@avanzabank Finns möjlighet att teckna Instalco hos Avanza? Hittar det inte under erbjudanden,861895613440512000,0,0,,pk_fms,False,12,"Translated(src=sv, dest=en, text=@avanzabank Is it possible to subscribe to Instalco at Avanza? Can not find it under offers, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2017-05-09 08:57:23+00:00,Träffade ledningen för Instalco och det kändes väldigt solit. #IPO #borsveckan #bors,861867686317502464,1,0,,foppii,False,12,"Translated(src=sv, dest=en, text=Met the management of Instalco and it felt very solid. #IPO #bor week #bor, pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2017-05-08 20:38:23+00:00,@aktiealbin @dividendblower @Borsdata Ska försöka få till både Instalco &amp; Sdip. Dock Instalco har max 3 års historik utan kvartaldata.,861681709561118722,1,0,,40procent20ar,False,30554,"Translated(src=sv, dest=en, text=@aktiealbin @dividendblower @Borsdata Will try to get both Instalco & Sdip. However, Instalco has a maximum of 3 years history without quarterly data., pronunciation=[[]], extra_data=""{'translat..."")"
5,6,2017-05-08 16:47:02+00:00,@aktiealbin @Borsdata Jo! Spdity tveksam men Instalco kan jag försöka prioritera. När ä notering?,861623487479328768,0,0,,40procent20ar,False,30554,"Translated(src=sv, dest=en, text=@aktiealbin @Borsdata Jo! Spdity hesitant but I can try to prioritize Instalco. When is listing?, pronunciation=[[]], extra_data=""{'translat..."")"
6,7,2017-05-08 16:45:40+00:00,"@40procent20ar @Borsdata Instalco är typ Bravida. Går med vinst. Spdity har en pref, mycket omskrivna i media.",861623143584104448,1,0,,aktiealbin,False,22291,"Translated(src=sv, dest=en, text=@ 40procent20ar @Borsdata Instalco is type Bravida. Goes with a profit. Spdity has a pref, much circulated in the media., pronunciation=[[]], extra_data=""{'translat..."")"
7,8,2017-05-08 16:43:41+00:00,"@40procent20ar @Borsdata 
Instalco på g? Spdtidytech?",861622646680809472,1,0,,aktiealbin,False,22291,"Translated(src=sv, dest=en, text=@ 40procent20ar @Borsdata
Instalco on g? Spdtidytech?, pronunciation=[[]], extra_data=""{'translat..."")"
8,10,2017-05-06 08:28:49+00:00,"@dividendblower Instalco fint, minns de köpte upp min väns företag, först då jag hörde om dom och första tanken var "" När är IPO:n?""",860773332588912640,0,0,,stockpickr_SE,False,2473,"Translated(src=sv, dest=en, text=@dividendblower Instalco fine, remember they bought up my friend's company, only when I heard about them and the first thought was ""When is the IPO?"", pronunciation=@dividendblower Instalco fine, remember they bought up my friend's company, only when I heard about them and the first thought was ""When is the IPO?"", extra_data=""{'translat..."")"
9,11,2017-05-02 20:06:15+00:00,@philipw78 Jag granskar bara de till Stockholmsbörsen och då är det Instalco just nu som jag analyserat.,859499294910533632,0,0,,MarcusHernhag,False,29685,"Translated(src=sv, dest=en, text=@ philipw78 I only review them on the Stockholm Stock Exchange and then it is Instalco right now that I have analyzed., pronunciation=@ philipw78 I only review them on the Stockholm Stock Exchange and then it is Instalco right now that I have analyzed., extra_data=""{'translat..."")"
