,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-10-20,Fina lappningar i Isofol. 500K tot än så länge.,1450738219277033475,5,0,,Silver_Trader,False,884,"Translated(src=sv, dest=en, text=Nice patches in Isofol. 500K tot so far., pronunciation=[[]], extra_data=""{'translat..."")"
1,4,2021-10-18,Ökar i isofol där överhäng och sälj tyngt kursen. Möjligen lite tidig på bollen men potential i bra nyheter närmsta kvartalen. Snitt nu strax över nio sek.,1450060065969422342,3,0,,SaveDave1,False,801,"Translated(src=sv, dest=en, text=Increases in isofol where overhang and sell heavily the course. Possibly a little early on the ball but potential in good news next quarters. Average now just over nine sec., pronunciation=[[]], extra_data=""{'translat..."")"
2,6,2021-10-18,Isofol Medical AB (publ) offentliggör prospekt och ny finansiell information i samband med notering på Nasdaq Stockholm https://t.co/QR9YpYzvh5,1450055601950650373,0,0,,CisionNews,False,2146,"Translated(src=sv, dest=en, text=Isofol Medical AB (publ) publishes prospectus and new financial information in connection with listing on Nasdaq Stockholm https://t.co/QR9YpYzvh5, pronunciation=Isofol Medical AB (publ) publishes prospectus and new financial information in connection with listing on Nasdaq Stockholm https://t.co/QR9YpYzvh5, extra_data=""{'translat..."")"
3,10,2021-10-15,"BNP kontot snart flat ~270k kvar sett till vad som kom in i Q2. Nordnet KF= många kunder, säkert någon som fick övertilldelning och en del ökning från småsparare. Badbollen får nog fart när överhänget är borta. Fortsätter därför handla här.  $isofol https://t.co/MkSxaVRj05",1449119692438876160,4,0,,Longterms1,False,4841,"Translated(src=sv, dest=en, text=The GDP account soon flat ~ 270k left in terms of what came into Q2. Nordnet KF = many customers, probably someone who received over-allotment and some increase from small savers. The beach ball will probably gain momentum when the overhang is gone. Therefore continue to shop here. $ isofol https://t.co/MkSxaVRj05, pronunciation=[[]], extra_data=""{'translat..."")"
4,11,2021-10-15,"Noterar att överhänget i Isofol så sakteliga börjar omsättas bort. Finns ju mycket dåligt att säga om hur usel allokeringen i övertilldelningen sett ut men gjort är gjort. Coeli borta, Nyenburgh (Abn amro…) 1m aktier kvar och troligen sålt på i oktober. Övriga jobbar på. https://t.co/otRSrfAL2h",1449119682095685639,10,0,,Longterms1,False,4841,"Translated(src=sv, dest=en, text=Notes that the overhang in Isofol so slowly begins to turn away. It is very bad to say about how lousy the allocation in the over-allocation looked but was done. Coeli away, Nyenburgh (Abn amro…) 1m shares left and probably sold on in October. Others are working on. https://t.co/otRSrfAL2h, pronunciation=[[]], extra_data=""{'translat..."")"
5,14,2021-10-15,"Isofol Medical flyttar till Nasdaq Stockholms huvudlista den 21 oktober. Måste blivit en fin slant för Carnegie, i 2,5 år fick de arbeta med flytten. https://t.co/qGjHdkghm8",1449020476869816320,2,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Isofol Medical moves to Nasdaq Stockholm's main list on October 21. Must have been a nice penny for Carnegie, for 2.5 years they had to work with the move. https://t.co/qGjHdkghm8, pronunciation=[[]], extra_data=""{'translat..."")"
6,17,2021-10-15,Isofol Medical AB (publ) avser att notera sina aktier på Nasdaq Stockholm https://t.co/VOALcHVMnB,1449006657170653189,0,0,,CisionNews,False,2146,"Translated(src=sv, dest=en, text=Isofol Medical AB (publ) intends to list its shares on Nasdaq Stockholm https://t.co/VOALcHVMnB, pronunciation=Isofol Medical AB (publ) intends to list its shares on Nasdaq Stockholm https://t.co/VOALcHVMnB, extra_data=""{'translat..."")"
7,19,2021-10-14,"@parvust Man är som vanligt för tidigt in :D Lite sne i $ACE (tack handelsbanken fonder som dumpat hela innehavet så man kunde köpa ""lågt""), flat i $ISOFOL i alla fall. Men båda känns stabila och nyheter är på ingående.",1448592010311569414,2,0,,Longterms1,False,4841,"Translated(src=sv, dest=en, text=@parvust As usual, you are in too early: D A little snow in $ ACE (thanks to the commercial bank funds that dumped the entire holding so you could buy ""low""), flat in $ ISOFOL in any case. But both feel stable and news is up to date., pronunciation=[[]], extra_data=""{'translat..."")"
8,20,2021-10-14,"@parvust Äger Ascelia Pharma och Isofol, som jag skrivit om tidigare. Båda checkar alla dom boxar jag letat efter enligt ovan. Tittar på bioinvent, ingen posse. Även Xspray är nog ett skapligt köp efter gårdagens kollaps, förtroendet i botten dock. Kommer ta tid att få tillbaka.",1448578793602490371,2,0,,Longterms1,False,4841,"Translated(src=sv, dest=en, text=@parvust Owns Ascelia Pharma and Isofol, which I wrote about earlier. Both check all the boxes I was looking for as above. Looking at bioinvent, no posse. Even Xspray is probably a decent purchase after yesterday's collapse, the confidence at the bottom though. Will take time to get back., pronunciation=[[]], extra_data=""{'translat..."")"
9,22,2021-10-10,@xcgabriel Många ledande och kunniga i och runt Isofol. Grundaren påbörjade resan redan 1978! https://t.co/LZuieUTNf4,1447204032586653708,1,0,,Peterkrizz79,False,22,"Translated(src=sv, dest=en, text=@xcgabriel Many leading and knowledgeable in and around Isofol. The founder started the journey back in 1978! https://t.co/LZuieUTNf4, pronunciation=[[]], extra_data=""{'translat..."")"
10,23,2021-10-09,@Longterms1 Intressanta case med triggers båda. Är överhänget borta helt och hållet i Isofol eller har vi nåt att jobba med ett tag till?,1446799300919443462,1,0,,kaffetrader,False,681,"Translated(src=sv, dest=en, text=@ Longterms1 Interesting case with triggers both. Is the overhang completely gone in Isofol or do we have something to work with for a while longer?, pronunciation=[[]], extra_data=""{'translat..."")"
11,24,2021-10-08,"@kaffetrader Isofol och Ascelia pharma, topline fas3 hos båda under H1 (jag tror Q1). Båda omkring 50% ner i år och fyllda kassor.",1446554118655447041,7,0,,Longterms1,False,4841,"Translated(src=sv, dest=en, text=@kaffetrader Isofol and Ascelia pharma, topline phase 3 in both under H1 (I think Q1). Both about 50% down this year and filled coffers., pronunciation=[[]], extra_data=""{'translat..."")"
12,26,2021-10-04,Q4. Efter år av sidelining dags för $BINV. Inom 12m växer antalet kliniska immun-onkoprojekt till 6. Kassa+750 msek är för billigt. Transition success rate inom IO fas1-&gt;2 är hög och 2/6 räcker. Även ökat $isofol som likt BINV inväntar bounce från brutala säljflöden som ebbar.,1444930171627257857,13,2,,JFJmed,False,1758,"Translated(src=sv, dest=en, text=Q4. After years of sidelining time for $ BINV. Within 12m, the number of clinical immuno-onco projects grows to 6. Cash + 750 msec is too cheap. Transition success rate within IO phase1-> 2 is high and 2/6 is enough. Also increased $ isofol which like BINV expects bounce from brutal sales flows that ebb., pronunciation=[[]], extra_data=""{'translat..."")"
13,28,2021-09-29,"Risk för att bli Isofooled igen men kan inte låta bli att köpa en lott, måste ju vara fundamentalt helt felvärderad på 9kr. Bör leta sig uppåt inför Topline H12022 🤞 #isofol",1443300108255301638,12,0,,xGuineapig,False,771,"Translated(src=sv, dest=en, text=Risk of being Isofooled again but can not help but buy a ticket, must be fundamentally completely misvalued at SEK 9. Should look upwards before Topline H12022 🤞 #isofol, pronunciation=[[]], extra_data=""{'translat..."")"
14,29,2021-09-29,"Redeye Top picks lyfter återigen upp Isofol som en ”special situation”, gjorde samma sak förra året efter emissionen.  $isofol https://t.co/5BVSTEQCqy",1443172174274179081,16,0,,Longterms1,False,4841,"Translated(src=sv, dest=en, text=Redeye Top picks once again highlight Isofol as a ""special situation"", did the same last year after the issue. $ isofol https://t.co/5BVSTEQCqy, pronunciation=[[]], extra_data=""{'translat..."")"
15,31,2021-09-28,"@StockMillionare Du verkar gilla Isofol, tror dock inte att de gör skåp?",1442763905823125504,0,0,,missswee,False,5757,"Translated(src=sv, dest=en, text=@StockMillionare You seem to like Isofol, but do not think they make cabinets?, pronunciation=@StockMillionare You seem to like Isofol, but do not think they make cabinets?, extra_data=""{'translat..."")"
16,36,2021-09-28,@Erik_Hansen_ Isofol,1442761206205456393,0,0,,StockMillionare,False,0,"Translated(src=sv, dest=en, text=@Erik_Hansen_ Isofol, pronunciation=@Erik_Hansen_ Isofol, extra_data=""{'translat..."")"
17,37,2021-09-28,@Erik_Hansen_ Isofol,1442761169903800323,0,0,,StockMillionare,False,0,"Translated(src=sv, dest=en, text=@Erik_Hansen_ Isofol, pronunciation=@Erik_Hansen_ Isofol, extra_data=""{'translat..."")"
18,41,2021-09-28,@Erik_Hansen_ Isofol,1442735884852412417,0,0,,StockMillionare,False,0,"Translated(src=sv, dest=en, text=@Erik_Hansen_ Isofol, pronunciation=@Erik_Hansen_ Isofol, extra_data=""{'translat..."")"
19,42,2021-09-27,@KallesFarsa Flödet i Isofol har väl observerats?,1442540061594042372,0,0,,Silver_Trader,False,884,"Translated(src=sv, dest=en, text=@KallesFarsa The flow in Isofol has been observed, hasn't it?, pronunciation=@KallesFarsa The flow in Isofol has been observed, hasn't it?, extra_data=""{'translat..."")"
