,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2019-06-04,"""John Mattson stänger orderbok efter starkt intresse inför börsintroduktionen"" skriver Affärsvärlden. Beslutat om börsnotering på Nasdaq OMX Stockholm, första dag för handel är beräknad till 2019-06-05.",1135932137453117440,0,0,,JonasJonsson92,False,1104,"Translated(src=sv, dest=en, text=""John Mattson closes order book after strong interest before the IPO,"" writes Affärsvärlden. Decided on listing on Nasdaq OMX Stockholm, first day of trading is scheduled for 2019-06-05., pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2019-06-04,#JohnMattson:s #ipo-erbjudande stängde i förtid. Bolaget noteras imorgon onsdag. Teckningskursen blev 90 kronor per aktie. https://t.co/YjR5ugGg0R https://t.co/jZHtoDYPpK,1135830359327825920,0,0,,tobetraded,False,2965,"Translated(src=sv, dest=en, text=#JohnMattson's #IPO offer closed prematurely. The company will be listed tomorrow Wednesday. The subscription price was SEK 90 per share. https://t.co/YjR5ugGg0R https://t.co/jZHtoDYPpK, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2019-06-04,"John Mattson:s teckningsbok inför noteringen uppges stänga i förtid pga högt intresse, enligt @business
https://t.co/5ArQnhJqsB

Bådar isf gott för ""Teckna-sälj"" möjligheterna bland de som får skaplig tilldelning",1135829830543581184,2,0,,ValueEklund,False,3369,"Translated(src=sv, dest=en, text=John Mattson's subscription book for the listing is said to close prematurely due to high interest, according to @business
https://t.co/5ArQnhJqsB

Bids isf good for ""Draw-sell"" opportunities among those who receive decent allocation, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2019-06-04,"Affärsvärlden 📰 John Mattson stänger orderbok efter starkt intresse inför börsintroduktionen
https://t.co/QuQzv1xX0e",1135826891577921536,0,0,,fininsyn,False,7819,"Translated(src=sv, dest=en, text=Affärsvärlden 📰 John Mattson closes order book after strong interest before the IPO
https://t.co/QuQzv1xX0e, pronunciation=[[]], extra_data=""{'translat..."")"
4,5,2019-06-03,@guttegausten @Aktiepappa John Mattson har dessvärre inte möjliggjort teckning för Avanzakunder.,1135558361301340161,1,0,,avanzabank,True,56916,"Translated(src=sv, dest=en, text=@guttegausten @Aktiepappa John Mattson has unfortunately not made it possible to subscribe for Avanza customers., pronunciation=@guttegausten @Aktiepappa John Mattson has unfortunately not made it possible to subscribe for Avanza customers., extra_data=""{'translat..."")"
5,6,2019-06-03,"Idag är sista chansen att teckna sig för aktien i ursprunget till JM: John Mattson Fastighets AB. #IPO 

 https://t.co/N2hwxf6Wqn",1135458173131853824,2,0,,Aktiepappa,False,17467,"Translated(src=sv, dest=en, text=Today is the last chance to subscribe for the share in the origin of JM: John Mattson Fastighets AB. #IPO

 https://t.co/N2hwxf6Wqn, pronunciation=[[]], extra_data=""{'translat..."")"
6,7,2019-06-02,"Läst prospektet från John Mattson och står över.
Känns för mycket som huvudägare som cashar ut.
Ser inte tillväxten i bolaget. De är förvaltare och inte utvecklare.
Bra hus och förvaltningsorganisation, men 90kr för 6 kr i vinst?",1135305859351883778,13,0,,MangoldX,False,2888,"Translated(src=sv, dest=en, text=Read the prospectus from John Mattson and stand over.
Feels too much like the main owner who cashes out.
Do not see the growth in the company. They are managers and not developers.
Good house and management organization, but SEK 90 for SEK 6 in profit?, pronunciation=[[]], extra_data=""{'translat..."")"
7,8,2019-06-02,Imorgon är det sista teckningsdag för John Mattson. IPO-guidens granskning hittade 1 flagga. https://t.co/uedTHHypnS,1135078603257982977,4,2,,ipoguiden,False,3012,"Translated(src=sv, dest=en, text=Tomorrow is the last day of drawing for John Mattson. The IPO guide's review found 1 flag. https://t.co/uedTHHypnS, pronunciation=[[]], extra_data=""{'translat..."")"
8,9,2019-05-31,"Placera 📰 Affärsvärldens nya aktierekommendationer 
Köp Altia, vänta med Scandic och sälj Lifco. De råden ger Affärsvärlden i sin senaste utgåva, där de även påpekar att John Mattson kan vara en bra investering på kort sikt.
https://t.co/iH7dk83foX",1134361632098914304,0,0,,fininsyn,False,7819,"Translated(src=sv, dest=en, text=Place 📰 Affärsvärlden's new share recommendations
Buy Altia, wait with Scandic and sell Lifco. The advice is given by Affärsvärlden in its latest issue, where they also point out that John Mattson can be a good investment in the short term.
https://t.co/iH7dk83foX, pronunciation=[[]], extra_data=""{'translat..."")"
9,10,2019-05-30,Dagens Industri ansluter sig till Affärsvärlden och SvD Börsplus och ger en teckna-sälj-rekommendtion till John Mattson https://t.co/thYC4bM6H6,1134222685997805568,1,0,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=Dagens Industri joins Affärsvärlden and SvD Börsplus and gives a sign-sell recommendation to John Mattson https://t.co/thYC4bM6H6, pronunciation=Dagens Industri joins Affärsvärlden and SvD Börsplus and gives a sign-sell recommendation to John Mattson https://t.co/thYC4bM6H6, extra_data=""{'translat..."")"
10,11,2019-05-30,"Tecknas John Mattson? Lidingös största fastighetsbolag med 2.200 bostäder i området. MCAP 3 Mdr, 70% säkrat av AP1, LF fonder, CAR fonder bla., 15% substansrabatt. SVD Börsplus och Affärsvärlden ger rådet att teckna.",1133994768927735808,5,2,,dividendblower,False,22170,"Translated(src=sv, dest=en, text=Is John Mattson drawn? Lidingö's largest real estate company with 2,200 homes in the area. MCAP SEK 3 billion, 70% secured by AP1, LF funds, CAR funds, among others, 15% substance discount. SVD Börsplus and Affärsvärlden give the council to subscribe., pronunciation=[[]], extra_data=""{'translat..."")"
11,12,2019-05-29,Läs Börsplus analys på John Mattson inför noteringen på Stockholmsbörsen här: https://t.co/silMWasDpY,1133659289229381633,0,0,,ipoguiden,False,3012,"Translated(src=sv, dest=en, text=Read Börsplus analysis on John Mattson before listing on the Stockholm Stock Exchange here: https://t.co/silMWasDpY, pronunciation=Read Börsplus analysis on John Mattson before listing on the Stockholm Stock Exchange here: https://t.co/silMWasDpY, extra_data=""{'translat..."")"
12,13,2019-05-28,Tecknar John Mattson Fastighetsföretag AB.,1133480880838709248,1,0,,Cyanidet,False,2039,"Translated(src=sv, dest=en, text=Signed by John Mattson Fastighetsföretag AB., pronunciation=Signed by John Mattson Fastighetsföretag AB., extra_data=""{'translat..."")"
13,14,2019-05-28,Både Affärsvärlden och SvD Börsplus rekommenderar att man tecknar John Mattson inför börsnoteringen - men uppsidan är begränsad https://t.co/thYC4bM6H6,1133445622114258949,6,0,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=Both Affärsvärlden and SvD Börsplus recommend that you subscribe to John Mattson before the listing - but the upside is limited https://t.co/thYC4bM6H6, pronunciation=Both Affärsvärlden and SvD Börsplus recommend that you subscribe to John Mattson before the listing - but the upside is limited https://t.co/thYC4bM6H6, extra_data=""{'translat..."")"
14,15,2019-05-28,"John Mattson ett bostadsbolag du vågar teckna
https://t.co/0h1ppggC5n
#IPO #börsen #aktier #JohnMattson",1133369523275481088,18,2,,MarcusHernhag,False,29686,"Translated(src=sv, dest=en, text=John Mattson a housing company you dare to sign
https://t.co/0h1ppggC5n
#IPO #the exchange #shares #JohnMattson, pronunciation=[[]], extra_data=""{'translat..."")"
15,16,2019-05-28,"John Mattson är intressant att teckna på kort sikt, men lockar inte på längre sikt - Börsplus - https://t.co/ynPZWky1nw",1133367628699983873,0,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=John Mattson is interesting to draw in the short term, but does not attract in the longer term - Börsplus - https://t.co/ynPZWky1nw, pronunciation=John Mattson is interesting to draw in the short term, but does not attract in the longer term - Börsplus - https://t.co/ynPZWky1nw, extra_data=""{'translat..."")"
16,17,2019-05-28,"John Mattson är intressant att teckna på kort sikt, men lockar inte på längre sikt - Börsplus https://t.co/E8fjMwVGRc #analytics #ipo #realestate #stocks",1133364803601391618,1,0,,Finwire,False,23861,"Translated(src=sv, dest=en, text=John Mattson is interesting to draw in the short term, but does not attract in the longer term - Börsplus https://t.co/E8fjMwVGRc #analytics #ipo #realestate #stocks, pronunciation=John Mattson is interesting to draw in the short term, but does not attract in the longer term - Börsplus https://t.co/E8fjMwVGRc #analytics #ipo #realestate #stocks, extra_data=""{'translat..."")"
17,18,2019-05-28,"TECKNA John Mattson:s notering i kommande @AFV_magasin, förpublicerat @AFV_analysplus
https://t.co/JiFi0gsyeK

1 Lidingö:s största hyresvärd
2 BRF-potential, men strategi expanderar hyresbestånd = enorm ränterisk på näsblodshög startvärdering

TECKNA 90 kr, sälj direkt rk 100 kr",1133303283957805056,10,2,,ValueEklund,False,3369,"Translated(src=sv, dest=en, text=DRAW John Mattson's listing in the upcoming @AFV_magasin, pre-published @AFV_analysplus
https://t.co/JiFi0gsyeK

1 Lidingö's largest landlord
2 BRF potential, but strategy expands rental stock = huge interest rate risk on nosebleed high start valuation

SUBSCRIBE SEK 90, sell directly SEK 100, pronunciation=[[]], extra_data=""{'translat..."")"
18,20,2019-05-27,Nån i flödet som tänker teckna John Mattson?,1133085602868531200,3,0,,KSorkInvestBlog,False,5089,"Translated(src=sv, dest=en, text=Anyone in the flow who intends to draw John Mattson?, pronunciation=Anyone in the flow who intends to draw John Mattson?, extra_data=""{'translat..."")"
19,21,2019-05-27,"JohnMattson IPO tyckte jag såg intressant ut, men så finns ingen möjlighet att teckna via Avanza .... lite tråkigt.
#pratapengar",1133083996684980224,3,0,,poa_82,False,610,"Translated(src=sv, dest=en, text=JohnMattson IPO I thought looked interesting, but then there is no opportunity to draw via Avanza .... a bit boring.
#pratapengar, pronunciation=[[]], extra_data=""{'translat..."")"
20,22,2019-05-27,Nu har vi granskat John Mattson inför noteringen på Stockholmsbörsen. Vi hittar 1 flagga. Läs mer på Börsplus IPO-guide. https://t.co/uedTHHypnS,1133043978608271360,2,0,,ipoguiden,False,3012,"Translated(src=sv, dest=en, text=We have now examined John Mattson prior to the listing on the Stockholm Stock Exchange. We find 1 flag. Read more on Börsplus IPO guide. https://t.co/uedTHHypnS, pronunciation=[[]], extra_data=""{'translat..."")"
