,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2019-11-28,@Investeraren K-fast kommer att vara en raket på några års sikt! Sanna mina ord,1200101199938248705,0,0,,_onepercenter_,False,347,"Translated(src=sv, dest=en, text=@Investor K-fast will be a rocket in a few years' time! Mark my words, pronunciation=None, extra_data=""{'translat..."")"
1,1,2019-11-28,"@avanzabank Japp, kopplat till det tecknande kontot..
När får man veta tilldelnigen i k-fast?",1199964894004731904,0,0,,thestruten,False,179,"Translated(src=sv, dest=en, text=@avanzabank Yep, linked to the subscribing account ..
When do you get to know the award in k-fast?, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2019-11-28,Hej @avanzabank  visst kan man räkna in kreditutrymmet som tillgängliga medel när man teckat sig för k-fast? Om man skulle få några vill säga..,1199959322056372225,0,0,,thestruten,False,179,"Translated(src=sv, dest=en, text=Hi @avanzabank surely you can count the credit space as available funds when you have signed up for k-fast? If you were to get some want to say .., pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2019-11-28,Är det bara via @avanzabank som K-fast kan tecknas??,1199957492081549312,0,0,,moddifier,False,98,"Translated(src=sv, dest=en, text=Is it only via @avanzabank that K-fast can be subscribed ??, pronunciation=Is it only via @avanzabank that K-fast can be subscribed ??, extra_data=""{'translat..."")"
4,4,2019-11-27,"Tackar $HEMF för en fin resa +150%
Teckna K-Fast för pengarna! #pratapengar #börs #aktier #finanstwitter",1199572358501150720,4,0,,Invandraren2,False,152,"Translated(src=sv, dest=en, text=Thanks $ HEMF for a great trip + 150%
Sign up for K-Fast for the money! #pratapengar # Exchange # shares #finanstwitter, pronunciation=[[]], extra_data=""{'translat..."")"
5,5,2019-11-26,"Nu till viktigare saker, hur många depåer ska man teckna K-fast? Alla?",1199412089091215360,8,0,,Walliniii,False,4425,"Translated(src=sv, dest=en, text=Now for more important things, how many depots should you sign K-fast? All?, pronunciation=None, extra_data=""{'translat..."")"
6,6,2019-11-26,Hej @avanzabank @Investeraren Hur funkar det när likviddagen är efter handelsdagen? Kommer jag kunna köpa/sälja innan likviddagen och om aktien går ner behöver jag ändå ha samma belopp vid 3 dec som vid 27 nov? (bild från K-fast IPO) #pratapengar https://t.co/TK9Agfqt9H,1199349911558467584,0,0,,CSNvesteraren,False,21,"Translated(src=sv, dest=en, text=Hi @avanzabank @Investor How does it work when the settlement day is after the trading day? Will I be able to buy / sell before the settlement date and if the share goes down, do I still need the same amount at 3 Dec as at 27 Nov? (image from K-fast IPO) #pratapengar https://t.co/TK9Agfqt9H, pronunciation=[[]], extra_data=""{'translat..."")"
7,7,2019-11-26,@ibindex Dellikvid till teckning av k-fast,1199290449493733376,4,0,,AlicanteTrader,False,159,"Translated(src=sv, dest=en, text=@ibindex Dellikvid for drawing k-fast, pronunciation=@ibindex Dellikvid for drawing k-fast, extra_data=""{'translat..."")"
8,8,2019-11-25,"1. Budapestbakelser ✅
2. Lindtkulor ✅
3. Tecknat K-fast för allt som inte är fastnitat i golvet, inkl tjejen och hennes hund ✅
4. #uppesittarkväll ✅",1199028612046950400,3,0,,Sparsamtleverne,False,545,"Translated(src=sv, dest=en, text=1. Budapest pastries ✅
2. Lindtkulor ✅
3. Drawn K-fast for everything that is not riveted to the floor, including the girl and her dog ✅
4. # uppesittarkväll ✅, pronunciation=[[]], extra_data=""{'translat..."")"
9,9,2019-11-23,"En butiksägare berättade om hur det var när k-fast och socialtjänsten hade sina kontor där, apoteket låg kvar och Ica komet var den lokala butiken. Då rörde det sig fler människor på torget, även människor från andra stadsdelar.

Idag finns inget av den samhällsservicen kvar.",1198275476697075712,1,0,,natsoderberg,False,1235,"Translated(src=sv, dest=en, text=A store owner told about what it was like when k-fast and the social services had their offices there, the pharmacy remained and the Ica comet was the local store. Then there were more people in the square, also people from other parts of the city.

Today, none of that community service remains., pronunciation=[[]], extra_data=""{'translat..."")"
10,10,2019-11-22,"@tillmiljonen Industrivärlden, Svolder, K-fast, Lindab.",1197820021571031041,2,0,,InvesterareOst,False,531,"Translated(src=sv, dest=en, text=@tillmiljonen Industrivärlden, Svolder, K-fast, Lindab., pronunciation=@tillmiljonen Industrivärlden, Svolder, K-fast, Lindab., extra_data=""{'translat..."")"
11,11,2019-11-20,@avanzabank När dyker K-fast upp för teckning? 👍,1197069609100296192,1,0,,teweel_,False,479,"Translated(src=sv, dest=en, text=@avanzabank When will K-fast show up for drawing? 👍, pronunciation=[[]], extra_data=""{'translat..."")"
12,12,2019-11-19,@avanzabank @Investeraren kommer K-fast att kunna tecknas via Avanza?,1196828359898087427,5,0,,HerschelRothman,False,6100,"Translated(src=sv, dest=en, text=@avanzabank @Investor will K-fast be able to subscribe via Avanza?, pronunciation=@avanzabank @Investor will K-fast be able to subscribe via Avanza?, extra_data=""{'translat..."")"
13,13,2019-11-19,"K-fast IPO ! Någon som tänkt ta position ?

https://t.co/cPQFasASh3",1196794694191239169,3,0,,Mkanslatt,False,172,"Translated(src=sv, dest=en, text=K-fast IPO! Anyone intending to take position?

https://t.co/cPQFasASh3, pronunciation=[[]], extra_data=""{'translat..."")"
14,14,2019-11-19,"K-Fast håller tidsplanen för sin noteringsemission som Erik Selin flaggade för, teckningstid 20-27 november. Tar in 906 Mkr. Noteras på Nasdaq Stockholm den 29 november https://t.co/e3jXop4Rkl",1196780373339987970,10,0,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=K-Fast keeps the schedule for its listing issue that Erik Selin flagged for, subscription period 20-27 November. Tar in 906 Mkr. Listed on Nasdaq Stockholm on November 29 https://t.co/e3jXop4Rkl, pronunciation=[[]], extra_data=""{'translat..."")"
