,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-12-01,Har ni fått teckning i KlaraBo?,1466046173182148615,0,0,,BULLSHARK86,False,3024,"Translated(src=sv, dest=en, text=Have you received a subscription in KlaraBo?, pronunciation=Have you received a subscription in KlaraBo?, extra_data=""{'translat..."")"
1,1,2021-12-01,@Spiltan @Borspodden Får man automatiskt förtur om man tecknat klarabo om man har spiltan aktien på avanza?,1465965053136576513,0,0,,Sirjohannes,False,28,"Translated(src=sv, dest=en, text=@Spiltan @Borspodden Do you automatically get priority if you have signed up for a clear residence if you have the spiltan share on avanza?, pronunciation=@Spiltan @Borspodden Do you automatically get priority if you have signed up for a clear residence if you have the spiltan share on avanza?, extra_data=""{'translat..."")"
2,2,2021-11-30,Det skall bli intressant att se om aktieägarna i Spiltan faktiskt får förtur i tilldelningen av Klarabo. Avanza är inblandade så kan mkt väl sluta med att Spiltans aktieägare missgynnas i förhållande till övriga. Hoppas det presenteras hur tilldelningen sett ut mellan grupperna.,1465727450067968003,2,0,,Sparsamtleverne,False,548,"Translated(src=sv, dest=en, text=It will be interesting to see if the shareholders in Spiltan actually get priority in the allotment of Klarabo. Avanza is involved, so it may very well end up with Spiltan's shareholders being disadvantaged in relation to the others. Hope it is presented what the allocation looked like between the groups., pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-11-30,@Linus96657957 Skicka din emailadress till phb@spiltan.se så kan jag skicka en länk men kan inte garantera ngt då det är stort intresse för KlaraBo och emissionen är kraftigt övertecknad.,1465677723423150086,3,0,,Spiltan,False,28561,"Translated(src=sv, dest=en, text=@ Linus96657957 Send your email address to phb@spiltan.se so I can send a link but can not guarantee anything as there is great interest in KlaraBo and the issue is heavily oversubscribed., pronunciation=@ Linus96657957 Send your email address to phb@spiltan.se so I can send a link but can not guarantee anything as there is great interest in KlaraBo and the issue is heavily oversubscribed., extra_data=""{'translat..."")"
4,4,2021-11-30,"Sista teckningsdag för #Klarabo inför noteringen på Stockholmsbörsen är idag (30/11), tecknar du? Läs #AFV IPO-analys: https://t.co/SC7j0sHid7",1465668151547473923,4,1,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=The last subscription day for #Klarabo before the listing on the Stockholm Stock Exchange is today (30/11), are you subscribing? Read #AFV IPO analysis: https://t.co/SC7j0sHid7, pronunciation=[[]], extra_data=""{'translat..."")"
5,5,2021-11-30,@Spiltan Om man köper Spiltan idag får man då förtur till KlaraBo som noteras i veckan?,1465631672821600260,3,0,,Linus96657957,False,4,"Translated(src=sv, dest=en, text=@Spiltan If you buy Spiltan today, do you get priority to KlaraBo, which is listed this week?, pronunciation=@Spiltan If you buy Spiltan today, do you get priority to KlaraBo, which is listed this week?, extra_data=""{'translat..."")"
6,6,2021-11-30,"På torsdag kommer Andreas Morfiadakis, vd för #KlaraBo att ringa in börshandeln då bolaget gör entré på börsen. Nu finns en brakande färsk intervju med Andreas om bolaget i #kvartaletrapportpodd #ipospecial. Missa inte det #finanstwitter https://t.co/vi4QCwmhGg #pratapengar https://t.co/bBviXaVMMu",1465620724970921986,3,0,,G_Sverrir_Thor,False,335,"Translated(src=sv, dest=en, text=On Thursday, Andreas Morfiadakis, CEO of #KlaraBo, will call in stock exchange trading when the company enters the stock exchange. Now there is a brand new interview with Andreas about the company in #kvartaletrapportpodd #ipospecial. Do not miss it #finanstwitter https://t.co/vi4QCwmhGg #pratapengar https://t.co/bBviXaVMMu, pronunciation=[[]], extra_data=""{'translat..."")"
7,7,2021-11-29,Tecknar klarabo!,1465418513930203149,0,0,,fantasifinanser,False,3,"Translated(src=sv, dest=en, text=Draws ready!, pronunciation=Draws ready!, extra_data=""{'translat..."")"
8,8,2021-11-29,"Fem IPO:s som är aktuella just nu är KlaraBo, Momentum Software Group, Nordic Asia Investment Group, Case Group och MTI Investment.
https://t.co/sYtN3qovSC https://t.co/j4iLyjKpXY",1465256842523725824,2,1,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Five IPOs that are currently relevant are KlaraBo, Momentum Software Group, Nordic Asia Investment Group, Case Group and MTI Investment.
https://t.co/sYtN3qovSC https://t.co/j4iLyjKpXY, pronunciation=[[]], extra_data=""{'translat..."")"
9,9,2021-11-29,"Klarabo får (med rätta) tecknarekommendationer. Teckningskurs c 25 % över substans och lär handlas till minst 50 % över substans. Amhult2s substans är svår att bedöma, då de använder unikt högt avkastningskrav, men de handlas troligen till c 60 % av verklig substans. Ingen köper.",1465248486744641537,1,0,,aspelyckan,False,135,"Translated(src=sv, dest=en, text=Klarabo receives (rightly) subscriber recommendations. Subscription price c 25% above substance and is traded at at least 50% above substance. Amhult2's substance is difficult to assess, as they use uniquely high yield requirements, but they are probably traded at c 60% of real substance. Nobody buys., pronunciation=[[]], extra_data=""{'translat..."")"
10,10,2021-11-29,"Senaste från Börsveckan – bl.a teckna noteringsaktuella fastighetsbolaget Klarabo. Ryggar du Börsveckan och tecknar?  

https://t.co/piAm4Qw0tD",1465217446080622592,1,0,,borskollen_news,False,5753,"Translated(src=sv, dest=en, text=Latest from Börsveckan - among other things subscribe to the current real estate company Klarabo. Do you back up Stock Market Week and subscribe?

https://t.co/piAm4Qw0tD, pronunciation=[[]], extra_data=""{'translat..."")"
11,11,2021-11-29,"Börsveckan ger köpråd för Randviken och Poolia, teckna Klarabo, säljråd för Cary Group https://t.co/vXej5ITGNu #analytics #ipo #stocks",1465194313684561922,6,1,,Finwire,False,23861,"Translated(src=sv, dest=en, text=Stock market week provides buying advice for Randviken and Poolia, sign Klarabo, sales advice for Cary Group https://t.co/vXej5ITGNu #analytics #ipo #stocks, pronunciation=Stock market week provides buying advice for Randviken and Poolia, sign Klarabo, sales advice for Cary Group https://t.co/vXej5ITGNu #analytics #ipo #stocks, extra_data=""{'translat..."")"
