,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2018-12-04,Idag är det sista dagen att delta i börsnotering för bolagen Azelio och Lime Technologies. Kolla in dessa och flera andra aktuella bolag här: https://t.co/uq3pGSzl04 https://t.co/V3Ilf6sb4P,1069957876414857216,1,0,,NordnetSE,False,23117,"Translated(src=sv, dest=en, text=Today is the last day to participate in the listing for the companies Azelio and Lime Technologies. Check out these and several other current companies here: https://t.co/uq3pGSzl04 https://t.co/V3Ilf6sb4P, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2018-12-03,Lime Technologies Tecknar inte Ser varken billig eller dyr ut sett till försäljning/tillväxt/vinst men hade hellre ägt ett SAAS bolag som Fortnox sett till nyckeltalen så varför då teckna Lime Technologies?,1069710014254891009,4,3,,Buyb4its2l8,False,2905,"Translated(src=sv, dest=en, text=Lime Technologies Does not subscribe Looks neither cheap nor expensive in terms of sales / growth / profit, but would rather have owned a SAAS company like Fortnox in terms of key figures, so why subscribe to Lime Technologies?, pronunciation=Lime Technologies Does not subscribe Looks neither cheap nor expensive in terms of sales / growth / profit, but would rather have owned a SAAS company like Fortnox in terms of key figures, so why subscribe to Lime Technologies?, extra_data=""{'translat..."")"
2,3,2018-12-03,SvD Börsplus ger rådet att avstå teckning av Lime Technologies #IPO https://t.co/0bXIgEx5Ys,1069561524954505216,0,0,,MrE_swe,False,22,"Translated(src=sv, dest=en, text=SvD Börsplus advises to refrain from subscribing to Lime Technologies #IPO https://t.co/0bXIgEx5Ys, pronunciation=SvD Börsplus advises to refrain from subscribing to Lime Technologies #IPO https://t.co/0bXIgEx5Ys, extra_data=""{'translat..."")"
3,4,2018-12-03,"Sista teckningsdag i morgon, 4/12. Tecknar du #LimeTechnologies? Läs vad #Borsplus tycker i vår #IPOguide (för #prenumerant): https://t.co/IG14euIRNs",1069559667418910721,3,0,,AFV_Analys,False,8656,"Translated(src=sv, dest=en, text=Last drawing day tomorrow, 4/12. Do you draw #LimeTechnologies? Read what #Borsplus thinks in our #IPOguide (for #subscribers): https://t.co/IG14euIRNs, pronunciation=[[]], extra_data=""{'translat..."")"
4,6,2018-11-28,"Fyra företag som står inför en börsnotering av sina aktier är Q-linea, Lime Technologies, Jetpak och CAG Group https://t.co/wj2YcIiMVN",1067802213773426688,1,0,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=Four companies facing a stock exchange listing of their shares are Q-linea, Lime Technologies, Jetpak and CAG Group https://t.co/wj2YcIiMVN, pronunciation=Four companies facing a stock exchange listing of their shares are Q-linea, Lime Technologies, Jetpak and CAG Group https://t.co/wj2YcIiMVN, extra_data=""{'translat..."")"
5,7,2018-11-27,"@futureinvesting Inte kikat på Lime Technologies ännu, men det kommer närmsta dagarna",1067549200668389376,1,0,,Buyb4its2l8,False,2905,"Translated(src=sv, dest=en, text=@futureinvesting Have not looked at Lime Technologies yet, but it will come in the next few days, pronunciation=@futureinvesting Have not looked at Lime Technologies yet, but it will come in the next few days, extra_data=""{'translat..."")"
6,8,2018-11-27,@Buyb4its2l8 Tecknar lite också med samma argumentation. Stor emission men rätt mycket tas av cornerstones. Carnegie brukar vara duktiga att sätta. Bestämt dig kring Lime Technologies?,1067536537997459456,1,0,,futureinvesting,False,5443,"Translated(src=sv, dest=en, text=@ Buyb4its2l8 Draws a bit also with the same argumentation. Big issue but quite a lot is taken by cornerstones. Carnegie are usually good at putting. Decided on Lime Technologies?, pronunciation=[[]], extra_data=""{'translat..."")"
7,9,2018-11-26,"Rättelse: Felaktigt antal aktier i avyttring. Ändrat från 65000 till 62500 st

Lime Technologies head of expert services Martin Modéer har sålt aktier för 4,50 MSEK 🐻

Lime Technologies
62 500 @ 72,00 SEK
2018-11-23
#SE0011870195",1067111832404537345,0,0,,fininsyn,False,7819,"Translated(src=sv, dest=en, text=Correction: Incorrect number of shares in the sale. Changed from 65000 to 62500 pcs

Lime Technologies head of expert services Martin Modéer has sold shares for SEK 4.50 million 🐻

Lime Technologies
62 500 @ 72.00 SEK
2018-11-23
# SE0011870195, pronunciation=[[]], extra_data=""{'translat..."")"
8,10,2018-11-26,"Rättelse: Transaktionsdatum ändrades till den dag jag skrev på avtalet för försäljningen.

Lime Technologies säljare Jonas Jakobsson har sålt aktier för 2,16 MSEK 🐻

Lime Technologies AB (PUBL)
30 000 @ 72,00 SEK
2018-11-23
#SE0011870195",1067100759723057153,0,0,,fininsyn,False,7819,"Translated(src=sv, dest=en, text=Correction: The transaction date was changed to the day I signed the agreement for the sale.

Lime Technologies seller Jonas Jakobsson has sold shares for SEK 2.16 million 🐻

Lime Technologies AB (PUBL)
30,000 @ 72.00 SEK
2018-11-23
# SE0011870195, pronunciation=[[]], extra_data=""{'translat..."")"
9,11,2018-11-26,"Lime Technologies säljare Jonas Jakobsson har sålt aktier för 2,16 MSEK 🐻

Lime Technologies AB (PUBL)
30 000 @ 72,00 SEK
2018-11-26
#SE0011870195",1067085664599060480,0,0,,fininsyn,False,7819,"Translated(src=sv, dest=en, text=Lime Technologies seller Jonas Jakobsson has sold shares for SEK 2.16 million 🐻

Lime Technologies AB (PUBL)
30,000 @ 72.00 SEK
2018-11-26
# SE0011870195, pronunciation=[[]], extra_data=""{'translat..."")"
