,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,292,2017-03-21 12:41:17+00:00,"IPOs: Det ser dyrt ut men tror man kan teckna Mips. Hög tillväxt, bra ankare osv. Mantex däremot ser ut som riktig skit, äcklig transaktion",844167024775512064,4,0,,fd_trader,False,7043,"Translated(src=sv, dest=en, text=IPOs: It looks expensive but I think you can sign Mips. High growth, good anchors, etc. Mantex, on the other hand, looks like real crap, disgusting transaction, pronunciation=[[]], extra_data=""{'translat..."")"
1,308,2017-03-21 10:36:36+00:00,Tar hem Nordea +19% tecknar MIPS. https://t.co/pYmatwMSHX,844135648256806913,0,0,,Strecket_,False,1233,"Translated(src=sv, dest=en, text=Takes home Nordea + 19% sign MIPS. https://t.co/pYmatwMSHX, pronunciation=[[]], extra_data=""{'translat..."")"
2,434,2017-03-20 16:26:52+00:00,Bell Super 2R MIPS Star Wars Stormtrooper Helmet https://t.co/tNeVLQ5PwB,843861409272401921,0,0,,EdinBikeShop,False,6267,"Translated(src=sv, dest=en, text=Bell Super 2R MIPS Star Wars Stormtrooper Helmet https://t.co/tNeVLQ5PwB, pronunciation=Bell Super 2R MIPS Star Wars Stormtrooper Helmet https://t.co/tNeVLQ5PwB, extra_data=""{'translat..."")"
3,460,2017-03-20 13:59:49+00:00,"Summering av #MIPS ""Ska sälja massor med stor vinst, blue sky, ingen konkurrens!""

Låter för bra för att vara sant och avstår därför #aktier",843824401632190464,0,0,,NicklasHemliga,False,197,"Translated(src=sv, dest=en, text=Summary of #MIPS ""Will sell lots with big profits, blue sky, no competition!""

Sounds too good to be true and therefore refrains from #shares, pronunciation=[[]], extra_data=""{'translat..."")"
4,592,2017-03-19 15:34:11+00:00,Intressant läsning från MIPS-chefen https://t.co/3Nw1uoQd10,843485760292556801,0,0,,Frihet_vid_35,False,736,"Translated(src=sv, dest=en, text=Interesting reading from the MIPS manager https://t.co/3Nw1uoQd10, pronunciation=Interesting reading from the MIPS manager https://t.co/3Nw1uoQd10, extra_data=""{'translat..."")"
5,645,2017-03-18 21:36:23+00:00,Får huvudvärk av värderingen i #mips,843214526254407680,0,0,,laaimer,False,957,"Translated(src=sv, dest=en, text=Gets a headache from the valuation in #mips, pronunciation=Gets a headache from the valuation in #mips, extra_data=""{'translat..."")"
6,656,2017-03-18 17:41:44+00:00,@Degerfeldt mips-hjälmar är nästan det ända som säljs nu i butikerna. När man snackar inom cykel.,843155472366665730,1,0,,cykelhandlarn,False,14,"Translated(src=sv, dest=en, text=@Degerfeldt mips helmets are almost the only thing sold in stores now. When talking on a bicycle., pronunciation=[[]], extra_data=""{'translat..."")"
7,663,2017-03-18 16:31:35+00:00,Rätt få sålda MIPS-hjälmar på Stadiums outlet i Sälen. Ni vet vad det betyder om man gått i Skogmans Lynch-skola va? https://t.co/kaDddDH2IR,843137820432744448,47,1,,Degerfeldt,False,4394,"Translated(src=sv, dest=en, text=Quite a few MIPS helmets sold at Stadium's outlet in Sälen. You know what it means if you went to Skogman's Lynch school, right? https://t.co/kaDddDH2IR, pronunciation=[[]], extra_data=""{'translat..."")"
8,763,2017-03-17 20:02:51+00:00,@40procent20ar Tänker du på någon speciell? Mips?,842828597211680769,0,0,,Hoqvist,False,61,"Translated(src=sv, dest=en, text=@ 40procent20ar Are you thinking of someone special? Mips?, pronunciation=[[]], extra_data=""{'translat..."")"
9,822,2017-03-17 12:49:15+00:00,"Läser igenom prospektet för MIPS, ser riktigt fint ut så långt som jag kan se. Blir en riktig analys under morgondagen.",842719479998156800,0,0,,mightinvest,False,494,"Translated(src=sv, dest=en, text=Reading through the prospectus for MIPS, looks really nice as far as I can see. Will be a proper analysis tomorrow., pronunciation=[[]], extra_data=""{'translat..."")"
