,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2017-05-22 11:31:50+00:00,Financial Controller sökes till en rekrytering för Medicover med heltidsplacering i Waterloo i Belgien. En... https://t.co/dh8dDqXQwu,866617594429579264,0,0,,MeritmindAB,False,51,"Translated(src=sv, dest=en, text=Financial Controller is wanted for a recruitment for Medicover with a full-time placement in Waterloo in Belgium. And ... https://t.co/dh8dDqXQwu, pronunciation=[[]], extra_data=""{'translat..."")"
1,4,2017-05-19 07:16:49+00:00,"Teckna, med tveksamhet, Medicover inför börsnoteringen. Vi sammanställer vad analytikerna rekommenderar https://t.co/48W1zwsJuk https://t.co/Cqss8rWP5M",865466256194813952,1,0,,Nyemissioner,False,15436,"Translated(src=sv, dest=en, text=Subscribe, with hesitation, Medicover before the listing. We compile what analysts recommend https://t.co/48W1zwsJuk https://t.co/Cqss8rWP5M, pronunciation=[[]], extra_data=""{'translat..."")"
2,7,2017-05-18 11:52:00+00:00,SvD Börsplus rekommenderar teckna Medicover https://t.co/6UAeF8E1lp #healthcare #ipo,865173120876937217,2,0,,Finwire,False,23860,"Translated(src=sv, dest=en, text=SvD Börsplus recommends subscribing to Medicover https://t.co/6UAeF8E1lp #healthcare #ipo, pronunciation=SvD Börsplus recommends subscribing to Medicover https://t.co/6UAeF8E1lp #healthcare #ipo, extra_data=""{'translat..."")"
3,8,2017-05-18 11:30:07+00:00,SvD Börsplus rekommenderar teckna Medicover - https://t.co/oTc8zUflDz,865167614330507264,0,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=SvD Börsplus recommends subscribing to Medicover - https://t.co/oTc8zUflDz, pronunciation=SvD Börsplus recommends subscribing to Medicover - https://t.co/oTc8zUflDz, extra_data=""{'translat..."")"
4,9,2017-05-18 11:07:11+00:00,Fredag sista dag att teckna. Förmånligt intervall 49k-63kr... #medicover https://t.co/Auc13TMh78,865161841785413635,1,0,,utdelning,False,3049,"Translated(src=sv, dest=en, text=Friday last day to sign. Favorable range SEK 49k-63 ... #medicover https://t.co/Auc13TMh78, pronunciation=[[]], extra_data=""{'translat..."")"
5,11,2017-05-17 09:41:07+00:00,"Medicover värd en chansning https://t.co/Mrnu49P6j5
#IPO",864777794156466178,2,0,,MarcusHernhag,False,29686,"Translated(src=sv, dest=en, text=Medicover worth a chance https://t.co/Mrnu49P6j5
#IPO, pronunciation=[[]], extra_data=""{'translat..."")"
6,12,2017-05-17 08:43:35+00:00,Notering: Medicover värd en chansning - https://t.co/tm1koOXk2k planerar comeback på Stockholmsbörsen. I samband med detta görs e...,864763315855216640,1,0,,nordensekonomi,False,561,"Translated(src=sv, dest=en, text=Note: Medicover worth a chance - https://t.co/tm1koOXk2k is planning a comeback on the Stockholm Stock Exchange. In connection with this, a ..., pronunciation=[[]], extra_data=""{'translat..."")"
7,15,2017-05-13 10:26:19+00:00,@lowengrip Nya medicover som ska noteras kanske kan vara intressant för dig?,863339618107830272,0,0,,Peter_Invest,False,299,"Translated(src=sv, dest=en, text=@lowengrip New medicover to be noted might be interesting for you?, pronunciation=@lowengrip New medicover to be noted might be interesting for you?, extra_data=""{'translat..."")"
8,17,2017-05-11 19:04:13+00:00,Medicover noteras. Vad tror vi om detta? https://t.co/BYdknWYSF5,862745173406691328,0,0,,Peter_Invest,False,299,"Translated(src=sv, dest=en, text=Medicover is noted. What do we think about this? https://t.co/BYdknWYSF5, pronunciation=[[]], extra_data=""{'translat..."")"
9,19,2017-05-11 12:55:18+00:00,Så blir priset när Medicover går till börsen - https://t.co/8v9tGag0cQ meddelar att prisintervallet i erbjudandet inför notering på Stock...,862652334886850560,0,0,,nordensekonomi,False,561,"Translated(src=sv, dest=en, text=This is how the price will be when Medicover goes public - https://t.co/8v9tGag0cQ announces that the price range in the offer prior to listing on Stock ..., pronunciation=This is how the price will be when Medicover goes public - https://t.co/8v9tGag0cQ announces that the price range in the offer prior to listing on Stock ..., extra_data=""{'translat..."")"
10,20,2017-05-11 11:13:52+00:00,@LaBulll Haha- älskar att medicover har BDO som signar😆😆 bra att hålla i onödiga costz I guess.. ffs,862626808994418689,0,0,,Toxicplane66,False,56,"Translated(src=sv, dest=en, text=@LaBulll Haha- love that medicover has BDO that signs😆😆 good to keep in unnecessary costz I guess .. ffs, pronunciation=@LaBulll Haha- love that medicover has BDO that signs😆😆 good to keep in unnecessary costz I guess .. ffs, extra_data=""{'translat..."")"
11,21,2017-05-11 10:38:00+00:00,Medicover sätter teckningskursen i börsnoteringen till 49-63 kronor per aktie https://t.co/dFWPTNQldG #healthcare #ipo,862617780927029249,5,0,,Finwire,False,23861,"Translated(src=sv, dest=en, text=Medicover sets the subscription price in the stock exchange listing at SEK 49-63 per share https://t.co/dFWPTNQldG #healthcare #ipo, pronunciation=Medicover sets the subscription price in the stock exchange listing at SEK 49-63 per share https://t.co/dFWPTNQldG #healthcare #ipo, extra_data=""{'translat..."")"
12,22,2017-05-11 10:29:20+00:00,Priset för Medicover satt https://t.co/oN7GrzWTHs https://t.co/p9ekKwOawe,862615599804850177,0,0,,AFV_allanyheter,False,1252,"Translated(src=sv, dest=en, text=The price for Medicover set https://t.co/oN7GrzWTHs https://t.co/p9ekKwOawe, pronunciation=The price for Medicover set https://t.co/oN7GrzWTHs https://t.co/p9ekKwOawe, extra_data=""{'translat..."")"
13,24,2017-05-11 10:00:06+00:00,Medicover sätter teckningskursen i börsnoteringen till 49-63 kronor per aktie - https://t.co/8A1BqDcLqh,862608244145086464,0,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=Medicover sets the subscription price in the stock exchange listing at SEK 49-63 per share - https://t.co/8A1BqDcLqh, pronunciation=Medicover sets the subscription price in the stock exchange listing at SEK 49-63 per share - https://t.co/8A1BqDcLqh, extra_data=""{'translat..."")"
14,25,2017-05-11 09:26:48+00:00,"Medicover gör en nyemission på 2 Mdkr, noteras på börsen den 23 maj https://t.co/iNvG7kpi9M",862599864496123905,0,0,,Nyemissioner,False,15436,"Translated(src=sv, dest=en, text=Medicover makes a new issue of SEK 2 billion, listed on the stock exchange on May 23 https://t.co/iNvG7kpi9M, pronunciation=Medicover makes a new issue of SEK 2 billion, listed on the stock exchange on May 23 https://t.co/iNvG7kpi9M, extra_data=""{'translat..."")"
15,35,2017-05-03 12:21:02+00:00,Då noteras Medicover https://t.co/yUUbiabAxS #Ekonomi #diagnostiktjänsteravser #förbehåll https://t.co/pWVWj8Q8XX,859744606535254020,0,0,,Bankmarknaden1,False,138,"Translated(src=sv, dest=en, text=Then Medicover is noted https://t.co/yUUbiabAxS #Finance #diagnosticervicevices #reservation https://t.co/pWVWj8Q8XX, pronunciation=Then Medicover is noted https://t.co/yUUbiabAxS #Finance #diagnosticervicevices #reservation https://t.co/pWVWj8Q8XX, extra_data=""{'translat..."")"
16,37,2017-05-02 14:51:06+00:00,"Medicover meddelade idag att de ska notera sig på börsen inom kort, gör nyemission på 2 Mdkr inför det https://t.co/mwCRnDE232",859419986959400960,1,1,,Nyemissioner,False,15436,"Translated(src=sv, dest=en, text=Medicover announced today that they will list on the stock exchange shortly, make a new issue of SEK 2 billion before that https://t.co/mwCRnDE232, pronunciation=Medicover announced today that they will list on the stock exchange shortly, make a new issue of SEK 2 billion before that https://t.co/mwCRnDE232, extra_data=""{'translat..."")"
17,38,2017-05-02 07:18:01+00:00,Medicover avser genomföra nyintroduktion på Stockholmsbörsen. https://t.co/m2bQ4Ip6G4 #healthcare #ipo,859305963093884929,0,0,,Finwire,False,23861,"Translated(src=sv, dest=en, text=Medicover intends to introduce a new introduction on the Stockholm Stock Exchange. https://t.co/m2bQ4Ip6G4 #healthcare #ipo, pronunciation=[[]], extra_data=""{'translat..."")"
18,39,2017-05-02 07:00:25+00:00,Medicover avser genomföra nyintroduktion på Stockholmsbörsen - https://t.co/Ewqutk1aI4,859301532713586688,0,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=Medicover intends to introduce new introduction on the Stockholm Stock Exchange - https://t.co/Ewqutk1aI4, pronunciation=Medicover intends to introduce new introduction on the Stockholm Stock Exchange - https://t.co/Ewqutk1aI4, extra_data=""{'translat..."")"
19,40,2017-05-02 06:05:57+00:00,Medicover vill precis som Munters göra en comeback på Stockholmsbörsen: https://t.co/Il5ecQE20S,859287829352001538,0,0,,Finwire,False,23860,"Translated(src=sv, dest=en, text=Like Munters, Medicover wants to make a comeback on the Stockholm Stock Exchange: https://t.co/Il5ecQE20S, pronunciation=Like Munters, Medicover wants to make a comeback on the Stockholm Stock Exchange: https://t.co/Il5ecQE20S, extra_data=""{'translat..."")"
