,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,1,2021-06-03,@TwayeshProjects @MilDef_Group Besked om eventuell tilldelning meddelas imorgon 4 juni.,1400385726668279811,6,0,,avanzabank,True,56797,"Translated(src=sv, dest=en, text=@TwayeshProjects @MilDef_Group Notice of any award will be announced tomorrow, June 4th., pronunciation=@TwayeshProjects @MilDef_Group Notice of any award will be announced tomorrow, June 4th., extra_data=""{'translat..."")"
1,2,2021-06-03,@avanzabank har ni info om när @MilDef_Group ge ut beskedet om utdelningen?,1400384831608045570,1,0,,TwayeshProjects,False,3379,"Translated(src=sv, dest=en, text=@avanzabank do you have info on when @MilDef_Group will announce the dividend?, pronunciation=@avanzabank do you have info on when @MilDef_Group will announce the dividend?, extra_data=""{'translat..."")"
2,3,2021-06-03,"IPO-intervju med vd för MilDef. Börjar imorgon handlas på Nasdaq Stockholms huvudlista.
https://t.co/MDM8ck9joR https://t.co/qXXkFdmZHm",1400384421509963778,2,0,,Nyemissioner,False,15448,"Translated(src=sv, dest=en, text=IPO interview with CEO of MilDef. Starts trading tomorrow on Nasdaq Stockholm's main list.
https://t.co/MDM8ck9joR https://t.co/qXXkFdmZHm, pronunciation=[[]], extra_data=""{'translat..."")"
3,4,2021-06-03,@Upplevelseinv Spännande. Tecknade också MilDef igår.,1400356471490158592,0,0,,kronsparet,False,31,"Translated(src=sv, dest=en, text=@Upplevelseinv Exciting. Also signed MilDef yesterday., pronunciation=[[]], extra_data=""{'translat..."")"
4,5,2021-06-03,Ingen tilldelning i varken SaveLend eller Sozap dessvärre. Hoppas på MilDef och ska läsa in mig på Sleep Cycle för att eventuellt teckna,1400349003825487874,1,0,,Upplevelseinv,False,186,"Translated(src=sv, dest=en, text=No allocation in either SaveLend or Sozap unfortunately. Hope for MilDef and will read me on Sleep Cycle to possibly sign, pronunciation=[[]], extra_data=""{'translat..."")"
5,6,2021-06-03,"Mildef noteras på börsen. Det är inget nytt att företag som verkar inom försvarsindustrin är börsnoterade. I detta fallet är jag skeptisk av flera skäl. Det ena är generellt insynen i bolag som verkar inom försvarsindustrin. Det andra, syftet, förutom att ägarna vill casha ut.",1400337792698306561,0,0,,centrifugen,False,1107,"Translated(src=sv, dest=en, text=Mildef is listed on the stock exchange. It is nothing new that companies operating in the defense industry are listed on the stock exchange. In this case, I'm skeptical for several reasons. One is generally the transparency of companies operating in the defense industry. The second, the purpose, except that the owners want to cash out., pronunciation=[[]], extra_data=""{'translat..."")"
6,7,2021-06-02,"Tar rygg på $SVOL och tecknar 200 st MilDef. Bra avsnitt med Ulf i @Investeraren podd tidigare i veckan också. Efter att tidigare i våras ha sålt Svolder pga premie så känns det som något i alla fall. Samma grej med ACQ Bure SPAC som jag fortfarande äger, men där Bure fick ryka.",1400186478626492419,0,0,,kronsparet,False,31,"Translated(src=sv, dest=en, text=Takes his back on $ SVOL and signs 200 MilDef. Good episode with Ulf in @Investeraren podd earlier this week as well. After selling Svolder earlier this spring due to a premium, it feels like something in any case. Same thing with ACQ Bure SPAC that I still own, but where Bure got to smoke., pronunciation=[[]], extra_data=""{'translat..."")"
7,8,2021-06-02,"Well, drog in halva pengen till insatsen för MilDef's IPO, @llisa_simpson jag kunde inte hålla mig borta.
😌",1400155440642658306,2,0,,Rotebroelvis,False,505,"Translated(src=sv, dest=en, text=Well, withdrew half the money for the MilDef IPO effort, @llisa_simpson I could not stay away.
😌, pronunciation=[[]], extra_data=""{'translat..."")"
8,10,2021-06-02,@Kateri2031 Mildef fick jag erbjudande från Avanza på mailen och den andra såg jag att det skrevs om på twitter så gick in på Avanza och kollade under börsintroduktioner och emissioner :),1400107229601206274,2,0,,FireNilsson,False,362,"Translated(src=sv, dest=en, text=@ Kateri2031 Mildef I received an offer from Avanza on the email and the other I saw that it was rewritten on twitter so went to Avanza and checked during IPOs and issues :), pronunciation=@ Kateri2031 Mildef I received an offer from Avanza on the email and the other I saw that it was rewritten on twitter so went to Avanza and checked during IPOs and issues :), extra_data=""{'translat..."")"
9,11,2021-06-02,@kronsparet Tackar! Tecknade SaveLend men utan tilldelning dessvärre. Även tecknat Sozap och MilDef,1400069123799986180,2,0,,Upplevelseinv,False,186,"Translated(src=sv, dest=en, text=@kronsparet Thank you! Cartoon SaveLend but without assignment unfortunately. Also signed Sozap and MilDef, pronunciation=[[]], extra_data=""{'translat..."")"
10,12,2021-06-01,Ansöker ni tilldelning i Mildef?,1399783640012312580,4,0,,Kronantillfrih1,False,1223,"Translated(src=sv, dest=en, text=Are you applying for an award in Mildef?, pronunciation=Are you applying for an award in Mildef?, extra_data=""{'translat..."")"
11,13,2021-06-01,"Lutar åt att inte teckna MILDEF , osäker dock",1399648250941120513,0,0,,Lngsiktig1,False,91,"Translated(src=sv, dest=en, text=Tends not to sign MILDEF, unsure though, pronunciation=Tends not to sign MILDEF, unsure though, extra_data=""{'translat..."")"
