,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,3,2017-05-18 18:01:18+00:00,@avanzabank Kan man teckna Munters hos er?,8.652660579840369e+17,0.0,0,,leoerlandsson,False,1445.0,"Translated(src=sv, dest=en, text=@avanzabank Can you sign Munters with you?, pronunciation=@avanzabank Can you sign Munters with you?, extra_data=""{'translat..."")"
1,6,2017-05-18 15:30:16+00:00,S&amp;P höjer sina utsikter för Munters kreditbetyg till positiva - https://t.co/mCkTAzrjdn,8.652280475696128e+17,2.0,1,,InvestingSverig,False,1381.0,"Translated(src=sv, dest=en, text=S&P raises its outlook for Munters' credit rating to positive - https://t.co/mCkTAzrjdn, pronunciation=S&P raises its outlook for Munters' credit rating to positive - https://t.co/mCkTAzrjdn, extra_data=""{'translat..."")"
2,10,2017-05-18 05:59:56+00:00,@dividendblower Håller med! Jag tecknar liten Munters. Blir mörkrädd av Boozt! De har haft mkt problem historiskt. 3mrd+ för en EBIT på 30 msek. Justerad.,8.650845207936e+17,6.0,1,,futureinvesting,False,5443.0,"Translated(src=sv, dest=en, text=@dividendblower Agree! I draw little Munters. Gets scared of the dark by Boozt! They have had many problems historically. 3bn + for an EBIT of 30 msec. Adjusted., pronunciation=[[]], extra_data=""{'translat..."")"
3,13,2017-05-17 20:06:05+00:00,@doedkoett Munters etta ser det mer ut baserat på åskådarna.,8.649350718448394e+17,0.0,0,,Cornubot,True,46087.0,"Translated(src=sv, dest=en, text=@doedkoett Munters' number one looks more based on the spectators., pronunciation=@doedkoett Munters' number one looks more based on the spectators., extra_data=""{'translat..."")"
4,16,2017-05-17 08:42:48+00:00,"Affärsvärlden: Se upp för nykomlingen - https://t.co/xQYe8xMmY5 Zeneca och Leovegas, sälj Industrivärden samt teckna inte Munters, r...",8.647631180896215e+17,0.0,0,,nordensekonomi,False,561.0,"Translated(src=sv, dest=en, text=Affärsvärlden: Watch out for the newcomer - https://t.co/xQYe8xMmY5 Zeneca and Leovegas, sell Industrivärden and do not sign Munters, r ..., pronunciation=Affärsvärlden: Watch out for the newcomer - https://t.co/xQYe8xMmY5 Zeneca and Leovegas, sell Industrivärden and do not sign Munters, r ..., extra_data=""{'translat..."")"
5,17,2017-05-17 06:02:31+00:00,"Tecknar ni Munters? Känns aningen dyrt. Nordic Capital är duktiga på göra fina exits (bra för dem, dåligt för de som köper) jag avstår",8.64722781719679e+17,7.0,0,,HerschelRothman,False,6100.0,"Translated(src=sv, dest=en, text=Do you draw Munters? Feels a little expensive. Nordic Capital is good at making nice exits (good for them, bad for those who buy) I refrain, pronunciation=[[]], extra_data=""{'translat..."")"
6,18,2017-05-17 00:17:38+00:00,"Ägde Munters 2010. Alfa L bud 1, bud 2 från Nordic C = bra premie.
Tillbaka till framtiden för Munters | Placera https://t.co/N9PupRFTsl",8.646359898634404e+17,1.0,1,,riskminimeraren,False,1834.0,"Translated(src=sv, dest=en, text=Owned Munters 2010. Alfa L bid 1, bid 2 from Nordic C = good premium.
Back to the future of Munters | Place https://t.co/N9PupRFTsl, pronunciation=[[]], extra_data=""{'translat..."")"
7,20,2017-05-16 21:25:13+00:00,Affärsvärlden rekommenderar att man inte tecknar Munters. Väntar på billigare köplägen längre fram. https://t.co/fe61OWLgAD,8.645926005185823e+17,0.0,0,,Nyemissioner,False,15436.0,"Translated(src=sv, dest=en, text=The business world recommends not drawing Munters. Waiting for cheaper buying modes later. https://t.co/fe61OWLgAD, pronunciation=[[]], extra_data=""{'translat..."")"
8,22,2017-05-16 20:11:00+00:00,@leoerlandsson Vad gör Munters?,8.645739229514834e+17,0.0,0,,egonenenen,False,86.0,"Translated(src=sv, dest=en, text=@leoerlandsson What do Munters do?, pronunciation=@leoerlandsson What do Munters do?, extra_data=""{'translat..."")"
9,24,2017-05-16 18:42:11+00:00,@NordnetSE kan man teckna sig i flera olika depåer för munters hos er?,8.645515693202924e+17,1.0,0,,foppii,False,12.0,"Translated(src=sv, dest=en, text=@NordnetSE can you sign up for several different depots for coins with you?, pronunciation=@NordnetSE can you sign up for several different depots for coins with you?, extra_data=""{'translat..."")"
10,25,2017-05-16 18:19:24+00:00,Tecknat 200st Munters. Tror på kraftig initial uppgång! Nu får man se om man får tilldelning. #aktier #börsen #omxs30 #ekonomi #mtrs $mtrs,8.645458370614764e+17,1.0,0,,leoerlandsson,False,1445.0,"Translated(src=sv, dest=en, text=Drawn 200 Munters. Believe in strong initial rise! Now you have to see if you get an award. # shares # stock exchange # omxs30 #economy #mtrs $ mtrs, pronunciation=[[]], extra_data=""{'translat..."")"
