,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,6,2018-06-02,Tecknar du i NCAB som noteras till veckan? #pratapengar #aktier #finanstwitter,1002937297086664704,0,0,,Mkanslatt,False,172,"Translated(src=sv, dest=en, text=Do you subscribe to NCAB, which is listed for the week? #pratapengar #aktier #finanstwitter, pronunciation=[[]], extra_data=""{'translat..."")"
1,7,2018-06-01,"Tecknar du NCAB? Affärsvärlden, Privata Affärer och SVD Börsplus råder att teckna och ta rygg på fem tunga ankarinvesterare i form av 3:e &amp; 4:e AP-fonden, Lazard, Carnegie Worldwide och Länsförsäkringar fondförvaltning. Aktien är bra prissatt på EV/EBIT 12x 2018E skrivs det.",1002538051728498688,7,1,,dividendblower,False,22170,"Translated(src=sv, dest=en, text=Do you sign NCAB? Affärsvärlden, Privata Affärer and SVD Börsplus advise to subscribe and take back five heavy anchor investors in the form of the 3rd & 4th AP Fund, Lazard, Carnegie Worldwide and Länsförsäkringar fund management. The share is well priced on EV / EBIT 12x 2018E it is written., pronunciation=[[]], extra_data=""{'translat..."")"
2,8,2018-05-31,"Bostadsutvecklare sänker prognos - Teckna NCAB? 

https://t.co/paQNtzLJQE https://t.co/pHrjC5RVvZ",1002218508019613700,1,0,,StockpickerAB,False,4856,"Translated(src=sv, dest=en, text=Housing developers lower forecast - Subscribe to NCAB?

https://t.co/paQNtzLJQE https://t.co/pHrjC5RVvZ, pronunciation=[[]], extra_data=""{'translat..."")"
3,11,2018-05-31,https://t.co/pK9MiJQR8L NCAB: affärspressen oense om aktiens utsikter #ncab,1002102581106274304,0,0,,Fonder_Direkt,False,971,"Translated(src=sv, dest=en, text=https://t.co/pK9MiJQR8L NCAB: business press disagrees on stock outlook #ncab, pronunciation=https://t.co/pK9MiJQR8L NCAB: business press disagrees on stock outlook #ncab, extra_data=""{'translat..."")"
4,12,2018-05-31,ANALYS Affärsvärlden bedömer att NCAB rimligt prissatt och det bör finnas ytterligare uppsida i aktien det närmaste året.  https://t.co/Zpn48uMFgj,1002094347494543360,0,0,,AFV_magasin,True,21635,"Translated(src=sv, dest=en, text=ANALYSIS Affärsvärlden assesses that NCAB is reasonably priced and there should be an additional upside in the share in the next year. https://t.co/Zpn48uMFgj, pronunciation=[[]], extra_data=""{'translat..."")"
5,13,2018-05-31,Di rekommenderar att avstå från att teckna NCAB Group - https://t.co/13NsZWD8IO,1002077292179394560,0,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=You recommend refraining from subscribing to NCAB Group - https://t.co/13NsZWD8IO, pronunciation=You recommend refraining from subscribing to NCAB Group - https://t.co/13NsZWD8IO, extra_data=""{'translat..."")"
6,14,2018-05-31,"Affärsvärlden rekommenderar teckna NCAB och Midsummer, sälj Genmab och köp Absolent https://t.co/2nu4PIZZ2w #aktier #analytics #share",1002067403931635712,1,0,,Finwire,False,23861,"Translated(src=sv, dest=en, text=Affärsvärlden recommends subscribing to NCAB and Midsummer, sell Genmab and buy Absolent https://t.co/2nu4PIZZ2w # shares #analytics #share, pronunciation=Affärsvärlden recommends subscribing to NCAB and Midsummer, sell Genmab and buy Absolent https://t.co/2nu4PIZZ2w # shares #analytics #share, extra_data=""{'translat..."")"
7,16,2018-05-31,"Affärsvärlden rekommenderar teckna NCAB och Midsummer, sälj Genmab och köp Absolent - https://t.co/sb7sJXU3gb",1002057140759154688,0,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=Affärsvärlden recommends subscribing to NCAB and Midsummer, sell Genmab and buy Absolent - https://t.co/sb7sJXU3gb, pronunciation=Affärsvärlden recommends subscribing to NCAB and Midsummer, sell Genmab and buy Absolent - https://t.co/sb7sJXU3gb, extra_data=""{'translat..."")"
8,19,2018-05-30,Affärsvärlden ansluter sig till lägret som rekommenderar att man tecknar sig för aktier i NCAB inför börsnoteringen.,1001883834529574913,1,0,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=Affärsvärlden joins the camp, which recommends subscribing for shares in NCAB prior to the listing., pronunciation=Affärsvärlden joins the camp, which recommends subscribing for shares in NCAB prior to the listing., extra_data=""{'translat..."")"
9,20,2018-05-30,"DI rekar att avstå från att teckna NCAB som går till börsen. Jag har kommit fram till samma slutsats efter en mycket snabb läsning av prospektet. #aktier #ipo #pratapengar
https://t.co/EQjuB5siKK",1001842175930400768,2,0,,vasastansdesken,False,5965,"Translated(src=sv, dest=en, text=DI manages to refrain from subscribing to NCAB, which goes to the stock exchange. I have come to the same conclusion after a very quick reading of the prospectus. # shares #ipo #pratapengar
https://t.co/EQjuB5siKK, pronunciation=[[]], extra_data=""{'translat..."")"
