,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-12-01,"Sista teckningsdag för #NivikaFastigheter inför noteringen på Stockholmsbörsen är idag (1/12), tecknar du? Läs #AFV IPO-analys: https://t.co/VhLf4WRD0P",1465994178781925385,0,1,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=The last subscription day for #NivikaFastigheter before the listing on the Stockholm Stock Exchange is today (1/12), do you subscribe? Read #AFV IPO analysis: https://t.co/VhLf4WRD0P, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-12-01,"DING DING DING 🔔 

Idag är sista dagen att anmäla sig till noteringsaktuella Nivika Fastigheter AB.

Läs mer. 👇",1465941231989518338,4,0,,NordnetSE,False,23105,"Translated(src=sv, dest=en, text=DING DING DING 🔔

Today is the last day to register for the current listing of Nivika Fastigheter AB.

Read more. 👇, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2021-11-30,"Gameday 🔥
🆚 Luleå Hockey  
⏰ 19:00
📍 VIDA Arena
🎟 https://t.co/apq4wgJRac
🤝 I samarbete med Nivika Fastigheter

#gameday #vaxjolakers #allatillvida https://t.co/VBwwc9bUow",1465553678186672132,4,2,,VLHlive,False,2589,"Translated(src=sv, dest=en, text=Gameday 🔥
🆚 Luleå Hockey
⏰ 19:00
📍 VIDA Arena
🎟 https://t.co/apq4wgJRac
🤝 In collaboration with Nivika Fastigheter

#gameday #vaxjolakers #allatillvida https://t.co/VBwwc9bUow, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-11-29,"Nivika Fastigheter noteras 3/12 och tecknas på Nordnet senast 1/12 kl 23:59.

Affärsvärlden ger ett neutralt råd.

Tecknar ni Nivika Fastigheter? Retweeta gärna för bättre resultat.",1465282954964488193,2,1,,IPOgranskaren,False,1460,"Translated(src=sv, dest=en, text=Nivika Fastigheter is listed on 3/12 and subscribed to Nordnet no later than 1/12 at 23:59.

The business world provides neutral advice.

Do you subscribe to Nivika Fastigheter? Feel free to retweet for better results., pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2021-11-26,@therealpetrusko Kollat något på Nivika Fastigheter?,1464264458600079361,0,0,,Aleandrosa10,False,31,"Translated(src=sv, dest=en, text=@therealpetrusko Checked something on Nivika Fastigheter?, pronunciation=@therealpetrusko Checked something on Nivika Fastigheter?, extra_data=""{'translat..."")"
5,5,2021-11-26,Preliminärt två flaggor för #NivikaFastigheter 🚩👇 https://t.co/AMimR3bJCB,1464144382311948334,0,0,,AFV_Analys,False,8655,"Translated(src=sv, dest=en, text=Preliminarily two flags for #NivikaFastigheter 🚩👇 https://t.co/AMimR3bJCB, pronunciation=Preliminarily two flags for #NivikaFastigheter 🚩👇 https://t.co/AMimR3bJCB, extra_data=""{'translat..."")"
6,6,2021-11-26,Den preliminära granskningen av #NivikaFastigheter inför noteringen på Nasdaq Stockholm är nu klar. Vi hittar två flaggor. Läs mer på bolagets sida på IPO-guiden. https://t.co/aCCQ9O8Fhx,1464144183774568473,0,0,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=The preliminary review of #NivikaFastigheter prior to the listing on Nasdaq Stockholm is now complete. We find two flags. Read more on the company's page on the IPO guide. https://t.co/aCCQ9O8Fhx, pronunciation=[[]], extra_data=""{'translat..."")"
7,7,2021-11-25,"Gameday | Smålandsderby 🔥
🆚 @iko_officiell  
⏰ 19:00
📍 VIDA Arena
🎟 https://t.co/apq4wgJRac
🤝 Nivika Fastigheter
#vaxjolakers #allatillvida #gameday https://t.co/OpMry0uDzF",1463741738846093312,9,0,,VLHlive,False,2589,"Translated(src=sv, dest=en, text=Gameday | Smålandsderby 🔥
🆚 @iko_officiell
⏰ 19:00
📍 VIDA Arena
🎟 https://t.co/apq4wgJRac
🤝 Nivika Fastigheter
#vaxjolakers #allatillvida #gameday https://t.co/OpMry0uDzF, pronunciation=[[]], extra_data=""{'translat..."")"
8,8,2021-11-24,"Börsnotering – Nivika Fastigheter AB. 🔔

Nivika Fastigheter AB är ett snabbväxande fastighetsbolag med fokus på att generera kassaflöden genom långsiktig förvaltning av både egenutvecklade och förvärvade bostäder och kommersiella fastigheter.

Läs mer. 👇",1463401496993624072,1,0,,NordnetSE,False,23105,"Translated(src=sv, dest=en, text=Listing - Nivika Fastigheter AB. 🔔

Nivika Fastigheter AB is a fast-growing real estate company with a focus on generating cash flows through long-term management of both self-developed and acquired residential and commercial properties.

Read more. 👇, pronunciation=[[]], extra_data=""{'translat..."")"
9,9,2021-11-22,Vi har nu börjat granska #NivikaFastigheter inför noteringen på Stockholmsbörsen. Läs mer på Affärsvärldens IPO-guide. https://t.co/pJiGX6yh7d,1462809620427194380,3,0,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=We have now begun to review #NivikaFastigheter prior to listing on the Stockholm Stock Exchange. Read more on Affärsvärlden's IPO guide. https://t.co/pJiGX6yh7d, pronunciation=[[]], extra_data=""{'translat..."")"
10,10,2021-11-22,Nu har Nivika Fastigheter släppt sitt prospekt. Noteringsemission på 1150 Mkr och börjar handlas på Nasdaq Stockholm den 3 december. https://t.co/zvIsIT8yoB,1462773785262710791,1,1,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Nivika Fastigheter has now released its prospectus. Listing issue of SEK 1,150 million and will begin trading on Nasdaq Stockholm on 3 December. https://t.co/zvIsIT8yoB, pronunciation=[[]], extra_data=""{'translat..."")"
11,11,2021-11-22,Nivika Fastigheter AB (publ) publicerar årsredovisning för 2020/2021 https://t.co/Ta0c3i65aO,1462769875433115655,0,0,,CisionNews,False,2146,"Translated(src=sv, dest=en, text=Nivika Fastigheter AB (publ) publishes annual report for 2020/2021 https://t.co/Ta0c3i65aO, pronunciation=Nivika Fastigheter AB (publ) publishes annual report for 2020/2021 https://t.co/Ta0c3i65aO, extra_data=""{'translat..."")"
12,12,2021-11-20,"Gameday 🔥
🆚 @frolunda_hc 
⏰ 15:15
📍 Scandinavium
📺 @cmorehockey 
🤝 Samarbete med Nivika Fastigheter https://t.co/q0AD77bkEI",1461941720552292356,4,0,,VLHlive,False,2589,"Translated(src=sv, dest=en, text=Gameday 🔥
🆚 @frolunda_hc
⏰ 15:15
📍 Scandinavium
📺 @cmorehockey
🤝 Collaboration with Nivika Fastigheter https://t.co/q0AD77bkEI, pronunciation=[[]], extra_data=""{'translat..."")"
13,13,2021-11-16,Nivika Fastigheter ska göra en noteringsemission på 1150 Mkr och noteras på Nasdaq Stockholm under första halvan av december. https://t.co/zvIsIT8yoB,1460526687393878022,1,1,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Nivika Fastigheter will make a listing issue of SEK 1,150 million and will be listed on Nasdaq Stockholm during the first half of December. https://t.co/zvIsIT8yoB, pronunciation=[[]], extra_data=""{'translat..."")"
14,14,2021-11-06,"Gameday 🔥
🆚 @leksands_if 
⏰ 18:00
📍 VIDA Arena
🎟 https://t.co/apq4wgsgiE
🍴 https://t.co/GsKbV8emFP
🤝 I samarbete med Nivika Fastigheter

#vaxjolakers #allatillvida #gameday https://t.co/rzzWLI0jis",1456856369810841602,14,1,,VLHlive,False,2589,"Translated(src=sv, dest=en, text=Gameday 🔥
🆚 @leksands_if
⏰ 18:00
📍 VIDA Arena
🎟 https://t.co/apq4wgsgiE
🍴 https://t.co/GsKbV8emFP
🤝 In collaboration with Nivika Fastigheter

#vaxjolakers #allatillvida #gameday https://t.co/rzzWLI0jis, pronunciation=[[]], extra_data=""{'translat..."")"
