,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,1,2020-10-20,Allt klart för börsintroduktion för  #Nordicpaper #infosäk #X2000 https://t.co/rLJWWCMcyi,1318569748247007235,0,0,,janolofolsson,False,666,"Translated(src=sv, dest=en, text=All ready for IPO for #Nordicpaper #info # X2000 https://t.co/rLJWWCMcyi, pronunciation=All ready for IPO for #Nordicpaper #info # X2000 https://t.co/rLJWWCMcyi, extra_data=""{'translat..."")"
1,3,2020-10-20,"DING DING DING 🔔
Idag är sista dagen att anmäla sig till noteringsaktuella Nordic Paper Holding AB 👇
https://t.co/OQKhkcnprn https://t.co/IZRrXcjgQS",1318439304260145152,2,1,,NordnetSE,False,23117,"Translated(src=sv, dest=en, text=DING DING DING 🔔
Today is the last day to register for the current Nordic Paper Holding AB 👇
https://t.co/OQKhkcnprn https://t.co/IZRrXcjgQS, pronunciation=[[]], extra_data=""{'translat..."")"
2,5,2020-10-19,"På Citygross. Deras bakplåtspapper är från NL (EMV-varianten) eller Tyskland (Toppits, Melissas). Inget svenskt, åtm inte enl ursprungsmärkningen. Konstigt om Chinese, förlåt Nordic, Paper är världsledande.",1318277437923463169,1,0,,martin_lindgren,False,1482,"Translated(src=sv, dest=en, text=At Citygross. Their baking paper is from NL (EMV variant) or Germany (Toppits, Melissas). Nothing Swedish, not according to the origin marking. Strange about Chinese, sorry Nordic, Paper is a world leader., pronunciation=[[]], extra_data=""{'translat..."")"
3,6,2020-10-19,"Nordic Paper, som är på väg mot Stockholmsbörsen, ser goda förutsättningar att växa vidare och samtidigt hantera pandemin som har påverkat efterfrågan på bolagets produkter, säger vd Anita Sjölander i en videointervju med Nyhetsbyrån Direkt.
#nordicpaper
https://t.co/2BgZzB6CBP",1318195994610237440,1,1,,Borsredaktion,False,22679,"Translated(src=sv, dest=en, text=Nordic Paper, which is on its way to the Stockholm Stock Exchange, sees good conditions for growing further and at the same time dealing with the pandemic that has affected demand for the company's products, says CEO Anita Sjölander in a video interview with Nyhetsbyrån Direkt.
#nordicpaper
https://t.co/2BgZzB6CBP, pronunciation=[[]], extra_data=""{'translat..."")"
4,7,2020-10-19,Specialpappersföretaget Nordic Paper gör en IPO på Stockholmsbörsen. Intervju med vd Anita Sjölander. https://t.co/f6aXDKoTCQ https://t.co/CBBBlrIwEj,1318192873540648966,4,0,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=The special paper company Nordic Paper conducts an IPO on the Stockholm Stock Exchange. Interview with CEO Anita Sjölander. https://t.co/f6aXDKoTCQ https://t.co/CBBBlrIwEj, pronunciation=[[]], extra_data=""{'translat..."")"
5,13,2020-10-18,"Tecknar ni Nordic Paper ? #ipo #Nordicpaper 
Deadline 20 okt hos Nordea och Nordnet.",1317884201941798914,0,0,,BenjaMoneyMan,False,153,"Translated(src=sv, dest=en, text=Do you draw Nordic Paper? #ipo #Nordicpaper
Deadline 20 Oct at Nordea and Nordnet., pronunciation=[[]], extra_data=""{'translat..."")"
6,14,2020-10-18,Nordic Paper noteras på Stockholmsbörsen den 22 oktober och inför det säljs aktier för omkring 2 miljarder kronor. Både Dagens Industri och Affärsvärlden ger en teckna-rekommendation. https://t.co/LqVmKfsOF6 https://t.co/eNedppdv8i,1317768709411381248,7,1,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=Nordic Paper is listed on the Stockholm Stock Exchange on October 22 and before that shares are sold for around SEK 2 billion. Both Dagens Industri and Affärsvärlden give a sign-up recommendation. https://t.co/LqVmKfsOF6 https://t.co/eNedppdv8i, pronunciation=[[]], extra_data=""{'translat..."")"
7,15,2020-10-17,"God förmiddag #finanstwitter,
Tecknar ni Nordic Paper?

#aktier #pratapengar https://t.co/jGV33iu12o",1317420165202661377,5,0,,GBGinvesterare,False,402,"Translated(src=sv, dest=en, text=Good morning #finanstwitter,
Do you draw Nordic Paper?

#shares #pratapengar https://t.co/jGV33iu12o, pronunciation=[[]], extra_data=""{'translat..."")"
8,16,2020-10-17,"Under den gångna veckan har #AFV skrivit analyser om #KarnovGroup #Softronic #CSAM #Avensia #Wästbygg #BioGaia #Comintelli #SBBPref #Volvo #NordicPaper samt Insiderkollen och Afv-portföljen. 

https://t.co/lABleV0pH5",1317339054443175938,0,0,,AFV_Analys,False,8656,"Translated(src=sv, dest=en, text=During the past week, #AFV has written analyzes of #KarnovGroup #Softronic #CSAM #Avensia # Wästbygg #BioGaia #Comintelli #SBBPref #Volvo #NordicPaper as well as the Insiderkollen and Afv portfolio.

https://t.co/lABleV0pH5, pronunciation=[[]], extra_data=""{'translat..."")"
9,17,2020-10-16,"Sista teckningsdag för #NordicPaper är tisdag (20/10), tecknar du? Läs #AFV analys: https://t.co/Fo5Kz1VwNb",1317143987048845313,1,1,,ipoguiden,False,3012,"Translated(src=sv, dest=en, text=The last drawing day for #NordicPaper is Tuesday (20/10), are you drawing? Read #AFV analysis: https://t.co/Fo5Kz1VwNb, pronunciation=[[]], extra_data=""{'translat..."")"
