,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2016-06-09,"@Apflocken Hej, antar att du syftar på Nordic Waterproofing. Vi kommer troligtvis få besked och kunna boka sent ikväll eller tidigt imorn!",740895331110518784,4,0,,avanzabank,True,56779,"Translated(src=sv, dest=en, text=@Apflocken Hi, I guess you are referring to Nordic Waterproofing. We will probably be notified and be able to book late tonight or early tomorrow!, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2016-06-08,Ute ur paradox. Veckans IPOs blir B3IT och Nordic Waterproofing. Avstår resten. Inte alla IPOs som ser aptitliga ut nu.,740553275427160064,1,0,,aktiesalen,False,38,"Translated(src=sv, dest=en, text=Out of paradox. This week's IPOs will be B3IT and Nordic Waterproofing. Refrain from the rest. Not all IPOs look appetizing right now., pronunciation=[[]], extra_data=""{'translat..."")"
2,3,2016-06-08,@avanzabank kan man teckna sig för Nordic waterproofing hos er?,740505111546433536,0,0,,foppii,False,12,"Translated(src=sv, dest=en, text=@avanzabank can you sign up for Nordic waterproofing with you?, pronunciation=@avanzabank can you sign up for Nordic waterproofing with you?, extra_data=""{'translat..."")"
3,4,2016-06-08,Jag lade till ett videoklipp i en spellista på @YouTube https://t.co/383HVlDeY6 3 snabba om Nordic Waterproofing,740438618838306816,5,0,,Gottodix,False,12176,"Translated(src=sv, dest=en, text=I added a video to a playlist on @YouTube https://t.co/383HVlDeY6 3 quick about Nordic Waterproofing, pronunciation=I added a video to a playlist on @YouTube https://t.co/383HVlDeY6 3 quick about Nordic Waterproofing, extra_data=""{'translat..."")"
4,6,2016-06-08,"Sista dag teckna #NordicWaterproofing ska man slå till? Eller är #Nederman det bättre valet?
https://t.co/i9iarvqDxc https://t.co/7kz5tFgqVp",740414568992780291,6,2,,Gottodix,False,12176,"Translated(src=sv, dest=en, text=Last day to sign #NordicWaterproofing should you strike? Or is #Nederman the better choice?
https://t.co/i9iarvqDxc https://t.co/7kz5tFgqVp, pronunciation=[[]], extra_data=""{'translat..."")"
5,8,2016-06-07,"Väntar på besked rörande Sweden Care och Provide IT, tecknat några Nordic Waterproofing, lite fler Alelion och Synact. Imorgon blir det B3IT",740232428099371009,9,0,,89Olle,False,14190,"Translated(src=sv, dest=en, text=Waiting for information regarding Sweden Care and Provide IT, signed some Nordic Waterproofing, a little more Alelion and Synact. Tomorrow it will be B3IT, pronunciation=[[]], extra_data=""{'translat..."")"
6,9,2016-06-07,"Tecknar inte Nordic Waterproofing. Carnegie. Du får bara tilldelning om NE skiter sig. Teckna INTE, såvida du inte är bra kund hos Carnegie!",740112519377866752,0,0,,KarlBaisse,False,8423,"Translated(src=sv, dest=en, text=Does not sign Nordic Waterproofing. Carnegie. You only get an award if NE shit. DO NOT subscribe, unless you are a good customer of Carnegie!, pronunciation=[[]], extra_data=""{'translat..."")"
7,10,2016-06-07,DI rekommenderar teckning i Nordic Waterproofing.,740089980916256768,0,0,,Bearlake_,False,305,"Translated(src=sv, dest=en, text=DI recommends drawing in Nordic Waterproofing., pronunciation=DI recommends drawing in Nordic Waterproofing., extra_data=""{'translat..."")"
8,11,2016-06-07,"Hur bör man väga in """"STYRELSELEDAMOT SKA LÄMNA HUVUDÄGARE"" inför noteringen av NORDIC WATERPROOFING? #IPO #NORDICWATERPROOFING",740083033118801920,0,0,,alenils,False,261,"Translated(src=sv, dest=en, text=How should one """" BOARD MEMBER SHOULD LEAVE PRINCIPAL OWNERS ""prior to the listing of NORDIC WATERPROOFING? #IPO #NORDICWATERPROOFING, pronunciation=How should one """" BOARD MEMBER SHOULD LEAVE PRINCIPAL OWNERS ""prior to the listing of NORDIC WATERPROOFING? #IPO #NORDICWATERPROOFING, extra_data=""{'translat..."")"
9,12,2016-06-06,@40procent20ar Nordic Waterproofing verkar rätt så dyr. P/E 25?,739914010146033664,0,0,,DrYes2016,False,45,"Translated(src=sv, dest=en, text=@ 40procent20ar Nordic Waterproofing seems quite expensive. P / E 25?, pronunciation=[[]], extra_data=""{'translat..."")"
10,14,2016-06-06,Tråkiga men intressanta Nordic waterproofing noteras på fredag även Höganäs AB skulle vara ett välkommet nytillskott https://t.co/JemqIObCpQ,739904915112333312,2,0,,Ribersborg,False,91,"Translated(src=sv, dest=en, text=Boring but interesting Nordic waterproofing is also noted on Friday Höganäs AB would be a welcome new addition https://t.co/JemqIObCpQ, pronunciation=Boring but interesting Nordic waterproofing is also noted on Friday Höganäs AB would be a welcome new addition https://t.co/JemqIObCpQ, extra_data=""{'translat..."")"
11,15,2016-06-06,@Borskatten Tecknar Nordic Waterproofing Holding A/S &amp; Academedia lutar åt att det blir någon till,739896378592202754,2,0,,AlexInvestGroup,False,6387,"Translated(src=sv, dest=en, text=@Borskatten Tecknar Nordic Waterproofing Holding A / S & Academedia is leaning towards someone else, pronunciation=@Borskatten Tecknar Nordic Waterproofing Holding A / S & Academedia is leaning towards someone else, extra_data=""{'translat..."")"
12,17,2016-06-06,"Många IPOs, tecknar i rangordning och storleksmässigt Alelion Batteries, B3IT, Nordic Waterproofing.",739865238028312576,1,0,,Buyb4its2l8,False,2908,"Translated(src=sv, dest=en, text=Many IPOs, sign in rank and size Alelion Batteries, B3IT, Nordic Waterproofing., pronunciation=Many IPOs, sign in rank and size Alelion Batteries, B3IT, Nordic Waterproofing., extra_data=""{'translat..."")"
