,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-10-11,"Stor dag för Nordisk Bergteknik (NORB) imorgon med börsnotering - Nordisk stolthet som lägger grunden (bokstavligen) för den gröna omställningen🏗♻️

Som alla märkt, är en perma-bull här för år framåt. Småsugen på att publicera en haussig analys  #aktier #finanstwitter",1447634921204461575,6,0,,johansjosteen,False,3068,"Translated(src=sv, dest=en, text=Big day for Nordisk Bergteknik (NORB) tomorrow with a stock exchange listing - Nordic pride that lays the foundation (literally) for the green transition🏗♻️

As everyone noticed, a perma-bull is here for years to come. Slightly eager to publish a bullish analysis # shares #finanstwitter, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-10-10,"DING DING DING 🔔 

Idag är sista dagen att anmäla sig till noteringsaktuella Nordisk Bergteknik AB.

Läs mer. 👇",1447109653989629954,3,0,,NordnetSE,False,23105,"Translated(src=sv, dest=en, text=DING DING DING 🔔

Today is the last day to register for the current listing of Nordisk Bergteknik AB.

Read more. 👇, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2021-10-09,Sista teckningsdag för #NordiskBergteknik är imorgon söndag (10/10). Tecknar du? https://t.co/62TIpbE8HS,1446807658460110850,1,0,,AFV_Analys,False,8655,"Translated(src=sv, dest=en, text=The last subscription day for #NordiskBergteknik is tomorrow Sunday (10/10). Do you draw? https://t.co/62TIpbE8HS, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-10-08,"Nordisk Bergteknik noteras 12/10 på Nasdaq. Sista teckning 10/10. Erbjudandet är på 526 mkr och 46 % är säkrat. Börsvärde efter notering 1 305 mkr. Afv 2 flaggor och teckna ej. Tecknar ni Nordisk Bergteknik ? Rösta, följ och dela gärna.",1446602729351262208,1,1,,BullTrade12,False,906,"Translated(src=sv, dest=en, text=Nordisk Bergteknik is listed 12/10 on Nasdaq. Last drawing 10/10. The offer is for SEK 526 million and 46% is hedged. Market capitalization after listing SEK 1,305 million. Afv 2 flags and do not draw. Do you draw Nordic Rock Technology? Vote, follow and share., pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2021-10-08,"Tecknas #NordiskBergteknik ? Noteras den 12:e Oktober,sista teckningsdag nu på söndag den 10:e Oktober. Tecknas via Nordnet och Carnegie, finns ej på Avanza. Teckningskurs 26 kr ger bolaget en värdering på dryga 1.3 mdr. AFV hittar 2 flaggor. 46% säkrat. $NORB",1446543145185992710,2,1,,Mkanslatt,False,173,"Translated(src=sv, dest=en, text=Is #NordiskBergteknik signed? Noted on October 12, last subscription day now on Sunday October 10. Subscribed via Nordnet and Carnegie, not available on Avanza. Subscription price SEK 26 gives the company a valuation of just over SEK 1.3 billion. AFV finds 2 flags. 46% secured. $ NORB, pronunciation=[[]], extra_data=""{'translat..."")"
5,6,2021-10-08,"Min feedback på analysen av AFV på Nordisk Bergteknik IPO. Inget illa menat mot någon, varken skribenten eller AFV, vill bara ge min bild av bolaget i form av svar på analysen. Var gulliga på min svenska, skrev ihop detta nu före lunch på 10min😎$NORB #Nordiskbergteknik https://t.co/IEUd4HrIDd",1446418729525563397,12,2,,johansjosteen,False,3068,"Translated(src=sv, dest=en, text=My feedback on the analysis of AFV at Nordisk Bergteknik IPO. Nothing bad meant to anyone, neither the writer nor AFV, just want to give my picture of the company in the form of answers to the analysis. Be cute in my Swedish, wrote this now before lunch in 10min😎 $ NORB #Nordiskbergteknik https://t.co/IEUd4HrIDd, pronunciation=[[]], extra_data=""{'translat..."")"
6,7,2021-10-08,"@AFV_magasin analys av Nordisk Bergteknik kan vara den mest inkompetenta analys jag någonsin läst. Se tråden nedan och bara några av mina svar. Gör om gör rätt. @dagensindustri hoppas jag kan betydligt bättre. 

Nordisk Bergteknik på 26kr är för mig billigaste IPO jag sett. https://t.co/Jp5zo5hIMh",1446376525310406683,0,1,,johansjosteen,False,3068,"Translated(src=sv, dest=en, text=@AFV_magasin analysis of Nordisk Bergteknik may be the most incompetent analysis I have ever read. See the thread below and just some of my answers. Do again do right. @dagensindustri I hope I can do much better.

Nordic Rock Technology at SEK 26 is for me the cheapest IPO I have seen. https://t.co/Jp5zo5hIMh, pronunciation=[[]], extra_data=""{'translat..."")"
7,8,2021-10-07,Värderingen tycks vara inspirerad av börsens serieförvärvare. Läs #AFV analys om #NordiskBergteknik  som prenumerant: https://t.co/62TIpbE8HS,1446105531450413065,0,0,,AFV_Analys,False,8655,"Translated(src=sv, dest=en, text=The valuation seems to be inspired by the stock exchange's serial acquirers. Read #AFV analysis about #NordiskBergteknik as a subscriber: https://t.co/62TIpbE8HS, pronunciation=[[]], extra_data=""{'translat..."")"
8,9,2021-10-07,Den slutgiltiga granskningen av #NordiskBergteknik inför noteringen på Stockholmsbörsen är nu klar. https://t.co/0KWzU9FYkX,1446098536727302151,0,1,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=The final review of #NordiskBergteknik prior to listing on the Stockholm Stock Exchange is now complete. https://t.co/0KWzU9FYkX, pronunciation=[[]], extra_data=""{'translat..."")"
9,11,2021-10-06,Den preliminära granskningen av #NordiskBergteknik inför noteringen på Stockholmsbörsen är nu klar. Vi hittar 2 flaggor. Läs mer på bolagets sida på IPO-guiden. https://t.co/0KWzU9Xzcv,1445773189317943297,0,0,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=The preliminary review of #NordiskBergteknik prior to listing on the Stockholm Stock Exchange is now complete. We find 2 flags. Read more on the company's page on the IPO guide. https://t.co/0KWzU9Xzcv, pronunciation=[[]], extra_data=""{'translat..."")"
