,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,4,2020-11-23,@Richard_Brase Brände mig på Telia och ingen Nordnet för mig nu,1330975803501318147,1,0,,aktiesamlaren32,False,450,"Translated(src=sv, dest=en, text=@Richard_Brase Burned me on Telia and no Nordnet for me now, pronunciation=@Richard_Brase Burned me on Telia and no Nordnet for me now, extra_data=""{'translat..."")"
1,5,2020-11-23,@Richard_Brase Det sades om Uber också och när Wework misslyckades. Jag tror mycket större och sämre bolag kommer. Även om Nordnet helt klart dumpas på börsen och inget annat.,1330969421788180484,0,0,,levtillfullo,False,7,"Translated(src=sv, dest=en, text=@Richard_Brase It was said about Uber too and when Wework failed. I think much bigger and worse companies are coming. Even if Nordnet is clearly dumped on the stock exchange and nothing else., pronunciation=[[]], extra_data=""{'translat..."")"
2,6,2020-11-23,@Investeraren Avanza köper Nordnet via börsen 🤔,1330964500913287168,5,0,,MinimeraS,False,1308,"Translated(src=sv, dest=en, text=@Investor Avanza buys Nordnet via the stock exchange 🤔, pronunciation=@Investor Avanza buys Nordnet via the stock exchange 🤔, extra_data=""{'translat..."")"
3,7,2020-11-23,"@summit_trader @Stanggren15 @avanzabank @NordnetSE @Nordnet Det står på sidan för fonden att det är en 10% perf fee, se bild. Detaljerna är inte i ett dokument utan en kostnadsredovisning som visar hur fees slår över tid + olika avkastning. Vanligtvis onödigt men bra att kolla för fonder med perf fees. Vi jobbar på att visa detta enklare. https://t.co/7SF2ezimCZ",1330960130540703747,1,0,,RJarborg,False,1814,"Translated(src=sv, dest=en, text=@summit_trader @ Stanggren15 @avanzabank @NordnetSE @Nordnet It says on the fund's page that it is a 10% perf fee, see picture. The details are not in a document but a cost report that shows how fees beat over time + different returns. Usually unnecessary but good to check for funds with perf fees. We are working to make this easier. https://t.co/7SF2ezimCZ, pronunciation=[[]], extra_data=""{'translat..."")"
4,8,2020-11-23,@Investeraren @avanzabank Nordnet försökte anställa mig för ett år sen. Dissade dem. Just sayin’ 😅,1330960049905278977,0,0,,Share_Leaks,False,509,"Translated(src=sv, dest=en, text=@Investor @avanzabank Nordnet tried to hire me a year ago. Dissade them. Just sayin '😅, pronunciation=[[]], extra_data=""{'translat..."")"
5,9,2020-11-23,@RJarborg @Stanggren15 @avanzabank @NordnetSE Tolka mig rätt men på @avanzabank blir man förskräckt men på @nordnet blir man lurad! Det jag menar är att vanligt folk läser inte alla dokument utan tittar bara på årlig avgift och handlar om den är rimlig.,1330956917301268480,0,0,,Levadrommen,False,750,"Translated(src=sv, dest=en, text=@RJarborg @ Stanggren15 @avanzabank @NordnetSE Interpret me correctly but at @avanzabank you get scared but at @nordnet you get cheated! What I mean is that ordinary people do not read all the documents but only look at the annual fee and shop if it is reasonable., pronunciation=[[]], extra_data=""{'translat..."")"
6,11,2020-11-23,"@Stanggren15 @avanzabank @NordnetSE Låter ju konstigt när Nordnet bara tar 1,00%",1330939101256839172,0,0,,Levadrommen,False,750,"Translated(src=sv, dest=en, text=@ Stanggren15 @avanzabank @NordnetSE Sounds weird when Nordnet only takes 1.00%, pronunciation=@ Stanggren15 @avanzabank @NordnetSE Sounds weird when Nordnet only takes 1.00%, extra_data=""{'translat..."")"
7,12,2020-11-23,"Nordnet väntas sätta en teckningskurs på 96 kronor i sin börsnotering, men hade kunnat välja ett högre pris.
Enligt nätbankens ordförande Tom Dinkelspiel är orderboken övertecknad även i den högsta delen av prisintervallet på 88-104 kronor.
https://t.co/JJ3SLrKlh2",1330930671917871104,13,1,,dagensindustri,True,84838,"Translated(src=sv, dest=en, text=Nordnet is expected to set a subscription price of SEK 96 in its IPO, but could have chosen a higher price.
According to the online bank's chairman Tom Dinkelspiel, the order book is oversubscribed even in the highest part of the price range of SEK 88-104.
https://t.co/JJ3SLrKlh2, pronunciation=[[]], extra_data=""{'translat..."")"
8,15,2020-11-23,@dagensindustri Han har ju dessutom verkligen lyckas med It-driften senaste åren...... Kommer ihåg en tid när Nordnet aldrig hade nertid och avanza mer el mindre varje vecka. Sedan kom det lite besparingar etc. Konstigt nog ungefär samtidigt som Nordic Capital blandade sig i....,1330893492428681216,11,0,,Daytradertroll,False,10799,"Translated(src=sv, dest=en, text=@dagensindustri He has also really succeeded with IT operations in recent years ...... Remember a time when Nordnet never had downtime and advance more electricity less every week. Then came some savings etc. Strangely enough at about the same time as Nordic Capital got involved ...., pronunciation=[[]], extra_data=""{'translat..."")"
9,16,2020-11-23,"Nordnet går till börsen med en teknisk chef som inte är anställd av bolaget utan endast har ett konsultkontrakt.
Men trots att Ronnie Bodinger är konsult är han en av dem i Nordnets koncernledning som håvar in allra mest från incitamentprogrammet.
https://t.co/lMfPCZIEu2",1330889847544930306,3,0,,dagensindustri,True,84838,"Translated(src=sv, dest=en, text=Nordnet goes public with a technical manager who is not employed by the company but only has a consulting contract.
But despite the fact that Ronnie Bodinger is a consultant, he is one of those in Nordnet's Group Management who rakes in the most from the incentive program.
https://t.co/lMfPCZIEu2, pronunciation=[[]], extra_data=""{'translat..."")"
10,18,2020-11-23,Varför hatar den med Nordnet pengar för?,1330885166697418753,3,0,,Longterms1,False,4855,"Translated(src=sv, dest=en, text=Why does it hate money with Nordnet?, pronunciation=Why does it hate money with Nordnet?, extra_data=""{'translat..."")"
11,25,2020-11-23,"I veckans krönika lyfter vår chefsanalytiker fram Nordnet, Embracer samt årets stora händelse för alla e-handlare.

https://t.co/SAvhXTcwhM",1330855341249220610,2,0,,StockpickerAB,False,4856,"Translated(src=sv, dest=en, text=In this week's column, our chief analyst highlights Nordnet, Embracer and this year's major event for all e-retailers.

https://t.co/SAvhXTcwhM, pronunciation=[[]], extra_data=""{'translat..."")"
12,38,2020-11-23,"@Dividend_Story @bittermicke Nordnet väntas sättas på 96, mitt i. Anmälan öppen dagen ut.",1330779984160583681,0,0,,_Broke1,False,184,"Translated(src=sv, dest=en, text=@Dividend_Story @bittermicke Nordnet is expected to be set at 96, in the middle. Registration open all day., pronunciation=@Dividend_Story @bittermicke Nordnet is expected to be set at 96, in the middle. Registration open all day., extra_data=""{'translat..."")"
13,40,2020-11-22,"@bittermicke Exakt, det förpliktigar lite extra när man har den approachen som Nordnet (och liknande bolag) har.",1330608491610988544,1,0,,Dividend_Story,False,10315,"Translated(src=sv, dest=en, text=@bittermicke Exactly, it obliges a little extra when you have the approach that Nordnet (and similar companies) have., pronunciation=@bittermicke Exactly, it obliges a little extra when you have the approach that Nordnet (and similar companies) have., extra_data=""{'translat..."")"
14,41,2020-11-22,"Sista svarsdag i pledpharmas emission på Nordnet idag, antar det är samma på Avanza. Glöm inte att teckna era rätter. $pled",1330608300925317122,8,0,,Longterms1,False,4855,"Translated(src=sv, dest=en, text=Last response day in pledpharma's issue on Nordnet today, I guess it's the same on Avanza. Do not forget to sign your dishes. $ pled, pronunciation=[[]], extra_data=""{'translat..."")"
15,42,2020-11-22,"@Dividend_Story Skulle vilja säga att Nordnet har problem med både front- och backend. Har varit med i IPOer där och första dagen händer det att det inte finns någon graf alls, att utvecklingen på kontot stiger och sjunker otroligt mycket för att sen justeras och bli rätt. Tecknar inte.",1330593332112863233,1,0,,moidroid,False,473,"Translated(src=sv, dest=en, text=@Dividend_Story Would like to say that Nordnet has problems with both front and back end. Have been in IPOs there and the first day it happens that there is no graph at all, that the development in the account rises and falls incredibly much to then be adjusted and become correct. Does not draw., pronunciation=[[]], extra_data=""{'translat..."")"
