,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-12-08,Norva24 noteras på Stockholmsbörsen imorgon torsdag. Priset per aktie i erbjudandet var 36 kr. https://t.co/CH7EkGLEHs,1468684377966186501,1,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Norva24 will be listed on the Stockholm Stock Exchange tomorrow Thursday. The price per share in the offer was SEK 36. https://t.co/CH7EkGLEHs, pronunciation=[[]], extra_data=""{'translat..."")"
1,2,2021-12-08,Sista teckningsdag för #Norva24. En flagga 🚩👇 https://t.co/Pn7iYjcr7B,1468477779805192195,0,0,,AFV_Analys,False,8655,"Translated(src=sv, dest=en, text=Last subscription day for # Norva24. A flag 🚩👇 https://t.co/Pn7iYjcr7B, pronunciation=[[]], extra_data=""{'translat..."")"
2,3,2021-12-08,"Sista teckningsdag för #Norva24 inför noteringen på Stockholmsbörsen är idag (8/12), tecknar du? Läs #AFV IPO-analys: https://t.co/XBPK6XPko5",1468477593603215363,0,0,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=The last subscription day for # Norva24 before the listing on the Stockholm Stock Exchange is today (8/12), are you subscribing? Read #AFV IPO analysis: https://t.co/XBPK6XPko5, pronunciation=[[]], extra_data=""{'translat..."")"
3,4,2021-12-08,"DING DING DING 🔔 

Idag är sista dagen att anmäla sig till noteringsaktuella Norva24 Group AB. Obs. senast 15:00.

Läs mer. 👇",1468476688832946178,1,0,,NordnetSE,False,23105,"Translated(src=sv, dest=en, text=DING DING DING 🔔

Today is the last day to register for the current listing of Norva24 Group AB. Obs. no later than 15:00.

Read more. 👇, pronunciation=[[]], extra_data=""{'translat..."")"
4,6,2021-12-07,"Norva24 är verksamt inom infrastruktur under mark, närmare bestämt inom slamsugning och andra rörtjänster i Norden och Tyskland. Företaget gör nu en IPO på Stockholmsbörsen och i samband med detta gjordes denna intervju med vd Henrik Damgaard. https://t.co/L3J2oTWiLA https://t.co/MvdKdax4xM",1468294186449395717,1,1,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Norva24 is active in underground infrastructure, more specifically in sludge suction and other pipe services in the Nordic countries and Germany. The company is now conducting an IPO on the Stockholm Stock Exchange and in connection with this, this interview was conducted with CEO Henrik Damgaard. https://t.co/L3J2oTWiLA https://t.co/MvdKdax4xM, pronunciation=[[]], extra_data=""{'translat..."")"
5,7,2021-12-07,"@IPOgranskaren ""IPO-aktuella Norva24:s nyemission på Stockholmsbörsen har redan fulltecknats enligt villkor som Bloomberg News som tagit del av. Det indikerar på att efterfrågan överstiger emissionens storlek.""

https://t.co/7RwS084sGI",1468269092121591821,1,0,,snittavkastning,False,5,"Translated(src=sv, dest=en, text=@IPOgranskaren ""IPO-current Norva24's new issue on the Stockholm Stock Exchange has already been fully subscribed according to conditions that Bloomberg News has taken note of. This indicates that demand exceeds the size of the issue.""

https://t.co/7RwS084sGI, pronunciation=[[]], extra_data=""{'translat..."")"
6,8,2021-12-07,"Snabb omröstning: 
Norva24 Group AB noteras 9/12 och tecknas på Nordnet senast 8/12 kl 15:00.

Affärsvärlden ger ett neutralt råd.

Tecknar ni Norva24 Group? Retweeta gärna för bättre resultat.",1468265722765787142,1,2,,IPOgranskaren,False,1460,"Translated(src=sv, dest=en, text=Quick vote:
Norva24 Group AB is listed on 9/12 and subscribed to Nordnet no later than 8/12 at 15:00.

The business world provides neutral advice.

Do you subscribe to Norva24 Group? Feel free to retweet for better results., pronunciation=[[]], extra_data=""{'translat..."")"
7,9,2021-12-07,NYTT INLÄGG: Börsintroduktion Norva24 (https://t.co/HYvUIpkCwx) | #pratapengar #aktier #finanstwitter,1468210157926637578,1,1,,finansfeed,False,423,"Translated(src=sv, dest=en, text=NEW POST: IPO Norva24 (https://t.co/HYvUIpkCwx) | #pratapengar #aktier #finanstwitter, pronunciation=[[]], extra_data=""{'translat..."")"
8,10,2021-12-07,Börsintroduktion Norva24 https://t.co/sqDY0WIB2i,1468207380500471812,0,0,,aktiekemisten,False,44,"Translated(src=sv, dest=en, text=IPO Norva24 https://t.co/sqDY0WIB2i, pronunciation=IPO Norva24 https://t.co/sqDY0WIB2i, extra_data=""{'translat..."")"
9,11,2021-12-07,Den slutgiltiga granskningen av #Norva24 inför noteringen på Stockholmsbörsen är nu klar. https://t.co/VJ0N7XRHrW,1468193259872792584,1,1,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=The final review of # Norva24 prior to listing on the Stockholm Stock Exchange is now complete. https://t.co/VJ0N7XRHrW, pronunciation=[[]], extra_data=""{'translat..."")"
10,12,2021-12-07,"IPO-guiden hissar en flagga inför Norva24:s notering
https://t.co/3KTdJb9lG2",1468190818213240833,0,0,,AFV_magasin,True,21602,"Translated(src=sv, dest=en, text=The IPO guide raises a flag ahead of Norva24's listing
https://t.co/3KTdJb9lG2, pronunciation=[[]], extra_data=""{'translat..."")"
11,13,2021-12-06,@IPOgranskaren Gör Norva24,1467969155743854596,0,0,,gucciflipflopz,False,7,"Translated(src=sv, dest=en, text=@IPOgranskaren Gör Norva24, pronunciation=@IPOgranskaren Gör Norva24, extra_data=""{'translat..."")"
12,14,2021-12-06,En flagga för #Norva24 preliminärt 🚩👇 https://t.co/6QxJiY2e1P,1467938398648295429,1,0,,AFV_Analys,False,8655,"Translated(src=sv, dest=en, text=A flag for # Norva24 preliminary 🚩👇 https://t.co/6QxJiY2e1P, pronunciation=A flag for # Norva24 preliminary 🚩👇 https://t.co/6QxJiY2e1P, extra_data=""{'translat..."")"
13,15,2021-12-06,Den preliminära granskningen av #Norva24 inför noteringen på Stockholmsbörsen är nu klar. Vi hittar en flagga. Läs mer på bolagets sida på IPO-guiden. https://t.co/lfAgpsv96y,1467938241882075137,0,0,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=The preliminary review of # Norva24 prior to listing on the Stockholm Stock Exchange is now complete. We find a flag. Read more on the company's page on the IPO guide. https://t.co/lfAgpsv96y, pronunciation=[[]], extra_data=""{'translat..."")"
14,20,2021-12-02,"Börsnotering – Norva24 Group AB. 🔔

Norva24 är den ledande nordeuropeiska aktören inom UIM-industrin och erbjuder UIM-tjänster såsom tömningstjänster, högtrycksspolning och tjänster inom rörteknik.

Läs mer. 👇",1466299844901801985,0,0,,NordnetSE,False,23105,"Translated(src=sv, dest=en, text=Listing - Norva24 Group AB. 🔔

Norva24 is the leading northern European player in the UIM industry and offers UIM services such as emptying services, high-pressure flushing and services in pipe technology.

Read more. 👇, pronunciation=[[]], extra_data=""{'translat..."")"
15,22,2021-11-30,Vi har nu börjat granska #Norva24 inför noteringen på Nasdaq Stockholm. Läs mer på Affärsvärldens IPO-guide. https://t.co/pJiGX6yh7d,1465769675074252802,0,1,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=We have now started reviewing # Norva24 prior to the listing on Nasdaq Stockholm. Read more on Affärsvärlden's IPO guide. https://t.co/pJiGX6yh7d, pronunciation=[[]], extra_data=""{'translat..."")"
16,23,2021-11-30,"Norva24 har släppt sitt prospekt. Noteringserbjudande på 2 659 Mkr, noteras på Nasdaq Stockholm den 9 december. https://t.co/TY7NL5vppK",1465733654936756230,2,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Norva24 has released its prospectus. Listing offer of SEK 2,659 million, listed on Nasdaq Stockholm on 9 December. https://t.co/TY7NL5vppK, pronunciation=[[]], extra_data=""{'translat..."")"
17,26,2021-11-19,"Fortsatt högtryck – flera nya bolag adderade till vår databas (så att du nu smidigt kan bevaka med pushnotiser i appen) 💪👇

Vilket är du mest nyfiken på av nedan fyra nykomlingar?

✅  W5 Solutions
✅  Momentum Software
✅  Resqunit
✅  Norva24

https://t.co/5j4yVBpwJa",1461768239264972810,2,0,,borskollen_news,False,5753,"Translated(src=sv, dest=en, text=Continued high pressure - several new companies added to our database (so that you can now easily monitor with push notifications in the app) 💪👇

Which are you most curious about of the four newcomers below?

✅ W5 Solutions
✅ Momentum Software
✅ Resqunit
✅ Norva24

https://t.co/5j4yVBpwJa, pronunciation=[[]], extra_data=""{'translat..."")"
18,27,2021-11-18,Norva24 avser genomföra en nyintroduktion på Nasdaq Stockholm i fjärde kvartalet https://t.co/e6vkWi2Nnf #construction #corporateactions #industrials #ipo #stocks,1461231484564615169,1,0,,Finwire,False,23861,"Translated(src=sv, dest=en, text=Norva24 intends to carry out a new introduction on Nasdaq Stockholm in the fourth quarter https://t.co/e6vkWi2Nnf #construction #corporateactions #industrials #ipo #stocks, pronunciation=Norva24 intends to carry out a new introduction on Nasdaq Stockholm in the fourth quarter https://t.co/e6vkWi2Nnf #construction #corporateactions #industrials #ipo #stocks, extra_data=""{'translat..."")"
