,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2017-02-21 21:08:38+00:00,Imorgon onsdag noteras Oncopeptides på Nasdaq Stockholm https://t.co/h7mqxB9CTY,834147842558132224,5,0,,Nyemissioner,False,15436,"Translated(src=sv, dest=en, text=Tomorrow Wednesday, Oncopeptides will be listed on Nasdaq Stockholm https://t.co/h7mqxB9CTY, pronunciation=Tomorrow Wednesday, Oncopeptides will be listed on Nasdaq Stockholm https://t.co/h7mqxB9CTY, extra_data=""{'translat..."")"
1,2,2017-02-20 14:29:06+00:00,"""Stor men tuff marknad för börsaktuella #Oncopeptides "". Läs analysen och följ oss #Borsplus på @shareville https://t.co/wgKh9H61Nm",833684909210398723,2,1,,AFV_Analys,False,8656,"Translated(src=sv, dest=en, text=""Big but tough market for stock market current #Oncopeptides"". Read the analysis and follow us #Borsplus at @shareville https://t.co/wgKh9H61Nm, pronunciation=[[]], extra_data=""{'translat..."")"
2,3,2017-02-20 14:26:08+00:00,"På onsdag gör #Oncopeptides debut på börsen. Idag besökte bolagets vd Jakob Lindberg #Börslunch
https://t.co/TIahdDTPJB",833684165174448128,0,0,,EFNMarknad,False,16855,"Translated(src=sv, dest=en, text=On Wednesday, #Oncopeptides will make its debut on the stock exchange. Today, the company's CEO Jakob Lindberg visited # Börslunch
https://t.co/TIahdDTPJB, pronunciation=[[]], extra_data=""{'translat..."")"
3,4,2017-02-20 13:27:35+00:00,vad tror ni om #Oncopeptides ??,833669428827058176,0,0,,32invest,False,2889,"Translated(src=sv, dest=en, text=what do you think about #Oncopeptides ??, pronunciation=what do you think about #Oncopeptides ??, extra_data=""{'translat..."")"
4,5,2017-02-20 13:23:26+00:00,#Oncopeptides: ”Studien kan påbörjas direkt”  https://t.co/oPYACOp5Nz  Vd Jakob Lindberg intervjuas inför onsdagens IPO. #biotech #aktier https://t.co/WLcfnOcrDI,833668386206994432,0,3,,EFNTV,True,16534,"Translated(src=sv, dest=en, text=#Oncopeptides: ""The study can begin immediately"" https://t.co/oPYACOp5Nz CEO Jakob Lindberg is interviewed ahead of Wednesday's IPO. #biotech #shares https://t.co/WLcfnOcrDI, pronunciation=[[]], extra_data=""{'translat..."")"
5,6,2017-02-20 10:44:05+00:00,Oncopeptides! De gör börsdebut på onsdag. Se vd Jakob Lindberg i #Börslunch här: https://t.co/DXGLUe7TLi Eller på Facebook LIVE. https://t.co/BzD4XfjiIq,833628283380064257,1,1,,EFNTV,True,16534,"Translated(src=sv, dest=en, text=Oncopeptides! They make their stock market debut on Wednesday. See CEO Jakob Lindberg in # Börslunch here: https://t.co/DXGLUe7TLi Or on Facebook LIVE. https://t.co/BzD4XfjiIq, pronunciation=[[]], extra_data=""{'translat..."")"
6,7,2017-02-17 11:15:20+00:00,"På måndag kommer Martin Nilsson/Catella &amp; Johan Stein/Alfred Berg
Dessutom: Oncopeptides vd

Trevlig helg! https://t.co/9Vk1ztOsT9",832548984254234625,7,2,,EFNMarknad,False,16855,"Translated(src=sv, dest=en, text=On Monday, Martin Nilsson / Catella & Johan Stein / Alfred Berg will arrive
Also: Oncopeptides vd

Nice weekend! https://t.co/9Vk1ztOsT9, pronunciation=[[]], extra_data=""{'translat..."")"
7,9,2017-02-16 14:17:14+00:00,Någon som tecknar oncopeptides eller Cooperstone eller MaxFAST? Vad anser ni om dessa?,832232371768422400,1,0,,philipw78,False,173,"Translated(src=sv, dest=en, text=Anyone sign oncopeptides or Cooperstone or MaxFAST? What do you think about these?, pronunciation=[[]], extra_data=""{'translat..."")"
8,10,2017-02-10 17:10:01+00:00,Oncopeptides vars teckningsperiod inletts har Gladiator som ankarinvesterare #trevligt #mintypavläkemedelsbolag,830101527616438273,0,0,,EdAnonym,False,72,"Translated(src=sv, dest=en, text=Oncopeptides, whose subscription period has begun, has Gladiator as an anchor investor #nevligt # mintypavläkemedelsbolag, pronunciation=Oncopeptides, whose subscription period has begun, has Gladiator as an anchor investor #nevligt # mintypavläkemedelsbolag, extra_data=""{'translat..."")"
9,12,2017-02-09 21:07:37+00:00,"Oncopeptides Tecknar ej, Högintressant såklart men krävs mkt efterforskning om konkurrenter på väg mm, sedan som småsparare får man cont...",829798933077622789,2,1,,Buyb4its2l8,False,2905,"Translated(src=sv, dest=en, text=Oncopeptides Does not sign, Highly interesting of course but requires a lot of research about competitors on the road etc., then as a small saver you get cont ..., pronunciation=Oncopeptides Does not sign, Highly interesting of course but requires a lot of research about competitors on the road etc., then as a small saver you get cont ..., extra_data=""{'translat..."")"
10,13,2017-02-09 14:50:04+00:00,Köpt/ ökat i svenska bioteknikföretag den här veckan! Mycket låga värderingar. Tecknar även Oncopeptides. #CAMX #HMED #WTX #SPRINT #SOBI,829703921320984577,2,0,,snedgungan,False,140,"Translated(src=sv, dest=en, text=Bought / increased in Swedish biotechnology companies this week! Very low values. Also draws Oncopeptides. #CAMX #HMED #WTX #SPRINT #SOBI, pronunciation=[[]], extra_data=""{'translat..."")"
11,14,2017-02-09 13:03:25+00:00,Oncopeptides börsnoteras! Läs mer om bolaget här: https://t.co/stUADSJt3E #aktier #börsen #oncopeptides https://t.co/mLkIkLDjwT,829677081785139201,1,0,,NordnetSE,False,23117,"Translated(src=sv, dest=en, text=Oncopeptides listed! Read more about the company here: https://t.co/stUADSJt3E # shares # stock exchange #oncopeptides https://t.co/mLkIkLDjwT, pronunciation=[[]], extra_data=""{'translat..."")"
12,22,2017-02-08 10:50:01+00:00,"Hur ser det ut på Twitter, kommer ni teckna? #Oncopeptides https://t.co/zRAZ5Az3nE",829281121087152130,0,0,,Aktiepappa,False,17467,"Translated(src=sv, dest=en, text=What does it look like on Twitter, will you sign up? #Oncopeptides https://t.co/zRAZ5Az3nE, pronunciation=[[]], extra_data=""{'translat..."")"
13,23,2017-02-08 09:47:08+00:00,Då börsnoteras Oncopeptides https://t.co/ekebXMEygO https://t.co/GR1Lm4uwNG,829265295298723840,0,0,,AFV_allanyheter,False,1252,"Translated(src=sv, dest=en, text=Then Oncopeptides is listed on the stock exchange https://t.co/ekebXMEygO https://t.co/GR1Lm4uwNG, pronunciation=Then Oncopeptides is listed on the stock exchange https://t.co/ekebXMEygO https://t.co/GR1Lm4uwNG, extra_data=""{'translat..."")"
14,24,2017-02-08 09:45:50+00:00,"@AndersEman Från Oncopeptides prospekt, så det är toppskiktet bland noteringsrådgivarna som råkat få till denna formulering.",829264968746938368,0,0,,Nyemissioner,False,15436,"Translated(src=sv, dest=en, text=@AndersEman From Oncopeptide's prospectus, so it is the top tier among listing advisors who have come up with this wording., pronunciation=@AndersEman From Oncopeptide's prospectus, so it is the top tier among listing advisors who have come up with this wording., extra_data=""{'translat..."")"
15,25,2017-02-08 09:37:41+00:00,Oncopeptides gör en nyemission på totalt 850 Mkr inför sin notering på Nasdaq Stockholm den 22 februari https://t.co/A50v15aF54,829262918386585600,2,0,,Nyemissioner,False,15436,"Translated(src=sv, dest=en, text=Oncopeptides makes a new issue of a total of SEK 850 million prior to its listing on Nasdaq Stockholm on February 22 https://t.co/A50v15aF54, pronunciation=Oncopeptides makes a new issue of a total of SEK 850 million prior to its listing on Nasdaq Stockholm on February 22 https://t.co/A50v15aF54, extra_data=""{'translat..."")"
16,27,2017-02-08 09:00:28+00:00,Oncopeptides söker notering på Nasdaq Stockholm och genomför nyemission - https://t.co/N6po04LP1i,829253552728113156,0,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=Oncopeptides seeks listing on Nasdaq Stockholm and conducts new share issue - https://t.co/N6po04LP1i, pronunciation=Oncopeptides seeks listing on Nasdaq Stockholm and conducts new share issue - https://t.co/N6po04LP1i, extra_data=""{'translat..."")"
17,28,2017-02-08 08:41:41+00:00,"Oncopeptides blir årets första nyintroduktion på Stockholmsbörsen, aktien ska in på Midcap till kurs 46 kr.  https://t.co/8e7G8c30uP https://t.co/NyEFfxDMqV",829248827328720897,1,0,,Finwire,False,23859,"Translated(src=sv, dest=en, text=Oncopeptides will be this year's first new listing on the Stockholm Stock Exchange, the share will be listed on Midcap at a price of SEK 46. https://t.co/8e7G8c30uP https://t.co/NyEFfxDMqV, pronunciation=[[]], extra_data=""{'translat..."")"
18,29,2017-02-08 08:27:28+00:00,Oncopeptides söker notering på Nasdaq Stockholm och genomför nyemission https://t.co/yQmXs02URZ #ipo #pharmaceuticals,829245249268699136,0,0,,Finwire,False,23859,"Translated(src=sv, dest=en, text=Oncopeptides seeks listing on Nasdaq Stockholm and conducts new issue https://t.co/yQmXs02URZ #ipo #pharmaceuticals, pronunciation=Oncopeptides seeks listing on Nasdaq Stockholm and conducts new issue https://t.co/yQmXs02URZ #ipo #pharmaceuticals, extra_data=""{'translat..."")"
19,32,2017-02-07 15:03:01+00:00,Miljardbolaget Oncopeptides till börsen https://t.co/D64X2115ln,828982403486085120,0,0,,m64592954,False,467,"Translated(src=sv, dest=en, text=The billionaire company Oncopeptides to the stock exchange https://t.co/D64X2115ln, pronunciation=The billionaire company Oncopeptides to the stock exchange https://t.co/D64X2115ln, extra_data=""{'translat..."")"
20,33,2017-02-07 14:30:25+00:00,@afv_lotta avslöjar att miljardbolaget Oncopeptides går till börsen https://t.co/MTCE0RYGOh,828974201113571332,1,1,,eowahlin,False,2367,"Translated(src=sv, dest=en, text=@afv_lotta reveals that the billion-dollar company Oncopeptides goes public https://t.co/MTCE0RYGOh, pronunciation=@afv_lotta reveals that the billion-dollar company Oncopeptides goes public https://t.co/MTCE0RYGOh, extra_data=""{'translat..."")"
21,34,2017-02-07 14:17:40+00:00,Oncopeptides ska noteras på Nasdaq Stockholms midcaplista om två veckor https://t.co/h7mqxB9CTY,828970992617787393,2,0,,Nyemissioner,False,15436,"Translated(src=sv, dest=en, text=Oncopeptides will be listed on Nasdaq Stockholm's midcap list in two weeks https://t.co/h7mqxB9CTY, pronunciation=Oncopeptides will be listed on Nasdaq Stockholm's midcap list in two weeks https://t.co/h7mqxB9CTY, extra_data=""{'translat..."")"
