,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-04-19,@framgangsjakten Ovzon är superspännande! Plockades in i portföljen i början av året.,1384174793721671689,1,0,,St0ckss0n,False,39,"Translated(src=sv, dest=en, text=@framgangsjakten Ovzon is super exciting! Picked into the portfolio at the beginning of the year., pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-04-19,"Zignsec och Ovzon briljerar och lyfter upp väskan idag. Zignsec kom med bra avtal och antar Ovzon rallar på morgondagens listbyte? 
Muy bien!",1384169030219567109,16,0,,framgangsjakten,False,4517,"Translated(src=sv, dest=en, text=Zignsec and Ovzon excel and lift the bag today. Zignsec came up with a good deal and assumes Ovzon rallies on tomorrow's list change?
Very good!, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2021-04-19,"#Ovzon fortsätter att visa styrka. Håller sig över ichimolnet, SMACD tagit sig genom 0an, standardline vänder upp. Och kursen ta idag ut Fib 50 % få se om den stänger över den idag? https://t.co/Vo5tQWTjGL",1384120876094791680,13,0,,BelindaJrgense3,False,4093,"Translated(src=sv, dest=en, text=#Ovzon continues to show strength. Staying above the ichimolnet, SMACD got through 0an, standard line turns up. And the course today take out Fib 50% to see if it closes over it today? https://t.co/Vo5tQWTjGL, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-04-15,@BelindaJrgense3 Japp. Aspire som man ägt tidigare är fin. Ovzon kan bli grym. Intervacc redan en pärla,1382800266320297985,2,0,,Dax12000,False,10087,"Translated(src=sv, dest=en, text=@ BelindaJrgense3 Japp. Aspire that you owned before is nice. Ovzon can be cruel. Intervacc already a gem, pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2021-04-15,Ovzon publicerar prospekt i samband med listbyte till Nasdaq Stockholm https://t.co/lkQhyIIl6C,1382683642456014848,0,0,,CisionNews,False,2146,"Translated(src=sv, dest=en, text=Ovzon publishes prospectus in connection with list change to Nasdaq Stockholm https://t.co/lkQhyIIl6C, pronunciation=Ovzon publishes prospectus in connection with list change to Nasdaq Stockholm https://t.co/lkQhyIIl6C, extra_data=""{'translat..."")"
5,6,2021-04-15,"@vrisoren Ja, och det är inte omöjligt att man själv är precis den du beskriver heller.

Har både Iconovo och Ovzon i väskan, är det investering eller spekulering?

Jag vet inte, jag tycker det är svårt att skilja på investering och spekulering.

Bitcoinhaters, vad är värde egentligen?",1382592493909385216,0,0,,BeoCapital,False,340,"Translated(src=sv, dest=en, text=@vrisoren Yes, and it is not impossible that you yourself are exactly the one you describe either.

Have both Iconovo and Ovzon in the bag, is it investment or speculation?

I do not know, I find it difficult to distinguish between investment and speculation.

Bitcoinhaters, what is value really?, pronunciation=[[]], extra_data=""{'translat..."")"
6,7,2021-04-14,"#Ovzon bruter upp från fallande kil med ökad volym, OBV vänder vid stöd, SMACD testar 0:an med positiv trampolin. Kursen har tagit stöd av MA200 och tar ut MA50 idag. Kolla vad som hänt tidigare när SMACD tagit ut 0:an 🧐 https://t.co/2l4HWH6She",1382346781523111937,11,0,,BelindaJrgense3,False,4093,"Translated(src=sv, dest=en, text=#Ovzon breaks up from falling wedge with increased volume, OBV turns on support, SMACD tests the 0 with a positive trampoline. The course has received support from MA200 and takes out MA50 today. Check out what happened earlier when SMACD took out the 0 🧐 https://t.co/2l4HWH6She, pronunciation=[[]], extra_data=""{'translat..."")"
7,8,2021-04-14,@sparkvotsmaxad Rätt mycket som ligger där och skvalpar. Men idag bär Angler och Ovzon upp totalen,1382313347715063818,1,0,,framgangsjakten,False,4517,"Translated(src=sv, dest=en, text=@sparkvotsmaxad Quite a lot that lies there and ripples. But today, Angler and Ovzon carry the total, pronunciation=[[]], extra_data=""{'translat..."")"
8,9,2021-04-14,Listbyte på #Ovzon kickar igång nästa våg.,1382311048087285762,0,0,,Isildurtrader,False,5,"Translated(src=sv, dest=en, text=List change on #Ovzon kicks off the next wave., pronunciation=List change on #Ovzon kicks off the next wave., extra_data=""{'translat..."")"
9,10,2021-04-14,Har satelliten redan gått ut i omloppsbanan? $OVZON https://t.co/dpPKZ88rRg,1382305673397026819,4,0,,CapitalDormant,False,6077,"Translated(src=sv, dest=en, text=Has the satellite already gone into orbit? $ OVZON https://t.co/dpPKZ88rRg, pronunciation=[[]], extra_data=""{'translat..."")"
10,11,2021-04-14,@ekkalundin Säkert Ovzon och några till...,1382305143383859201,0,0,,LMiore,False,29,"Translated(src=sv, dest=en, text=@ekkalundin Säkert Ovzon and some more ..., pronunciation=@ekkalundin Säkert Ovzon and some more ..., extra_data=""{'translat..."")"
11,12,2021-04-14,"Ovzon mot huvudlistan, på med brillorna 😎 @ramlars77",1382302769462251520,2,0,,Aggarn89,False,125,"Translated(src=sv, dest=en, text=Ovzon towards the main list, on with the glasses 😎 @ ramlars77, pronunciation=Ovzon towards the main list, on with the glasses 😎 @ ramlars77, extra_data=""{'translat..."")"
12,13,2021-04-13,Ovzon ska byta till huvudlistan från First North Premier https://t.co/axqR65tXVu #space #tech #telecom,1382008176015515648,0,0,,FinwireSmallcap,False,10175,"Translated(src=sv, dest=en, text=Ovzon will switch to the main list from First North Premier https://t.co/axqR65tXVu #space #tech #telecom, pronunciation=Ovzon will switch to the main list from First North Premier https://t.co/axqR65tXVu #space #tech #telecom, extra_data=""{'translat..."")"
13,14,2021-04-13,"Ovzon har fått godkännande för handel på Nasdaq Stockholms huvudlista
https://t.co/2j5nMOyfER 
#ovzon",1381997509095067652,2,0,,Petru1974,False,1872,"Translated(src=sv, dest=en, text=Ovzon has received approval for trading on Nasdaq Stockholm's main list
https://t.co/2j5nMOyfER
#ovzon, pronunciation=[[]], extra_data=""{'translat..."")"
14,15,2021-04-13,"Ovzon börjar handlas på Nasdaq Stockholms huvudlista den 20 april, en flytt från First North. https://t.co/qUxAzWgiAU",1381996501006696452,1,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Ovzon will start trading on Nasdaq Stockholm's main list on April 20, a move from First North. https://t.co/qUxAzWgiAU, pronunciation=[[]], extra_data=""{'translat..."")"
15,17,2021-04-13,Ovzon AB har godkänts för notering på Nasdaq Stockholm https://t.co/Nk9g0ADiUd,1381989689024860160,0,0,,CisionNews,False,2146,"Translated(src=sv, dest=en, text=Ovzon AB has been approved for listing on Nasdaq Stockholm https://t.co/Nk9g0ADiUd, pronunciation=Ovzon AB has been approved for listing on Nasdaq Stockholm https://t.co/Nk9g0ADiUd, extra_data=""{'translat..."")"
