,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,1,2018-06-14,"IPO Projektengagemang. Tecknar du? Fyra ankare; Swedbank Robur, Öresund, Humle, LK Finans roffar åt sig 46% i åtagande. Kanske P/E 16-17x 2019E mot Swecos &amp; ÅFs 19-20x men dyrare än bl.a. Rejlers &amp; Co. SVD Börsplus neutral, Privata affärer rekar teckna.",1007360773264429057,4,0,,dividendblower,False,22170,"Translated(src=sv, dest=en, text=IPO Project Engagement. Do you draw? Four anchors; Swedbank Robur, Öresund, Humle, LK Finans grab 46% in commitment. Maybe P / E 16-17x 2019E against Swecos & ÅFs 19-20x but more expensive than i.a. Rejlers & Co. SVD Börsplus neutral, Private business rekar subscribe., pronunciation=[[]], extra_data=""{'translat..."")"
1,2,2018-06-14,"Projektengagemang Tecknar Inom teknikkonsultmarknaden, flertal områden. Ser hyfsat billig ut, ankare som Öresund och Robur gör det än bättre. Likviderna från emissionen kommer främst användas till förvärv (delvis försäljning bef aktier). Tilldelnig troligtvis minimiposter",1007356916232851457,6,1,,Buyb4its2l8,False,2905,"Translated(src=sv, dest=en, text=Project involvement Subscribes In the technology consulting market, several areas. Looks pretty cheap, anchors like Öresund and Robur do it even better. The proceeds from the issue will primarily be used for acquisitions (partial sale of shares). Probably assigned minimum items, pronunciation=[[]], extra_data=""{'translat..."")"
2,4,2018-06-13,"När man upprättar årsredovisningen efter fastställd hållbarhetsmall o följer denna slaviskt.. 😲 #AwkwardMoment

Ur IPO-aktuella ""Projektengagemang"" ÅR 2017 (s.44)

@MatsQviberg @AFV_Eklund https://t.co/zJxb0N8zdi",1007006133809303552,2,0,,perfaitement,False,802,"Translated(src=sv, dest=en, text=When you prepare the annual report according to an established sustainability template and follow it slavishly .. 😲 #AwkwardMoment

From IPO-current ""Project Engagement"" YEAR 2017 (p.44)

@MatsQviberg @AFV_Eklund https://t.co/zJxb0N8zdi, pronunciation=[[]], extra_data=""{'translat..."")"
3,5,2018-06-13,Neutral inställning till Projektengagemang - Börsplus - https://t.co/u05pJDurs1,1006889075587117057,0,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=Neutral approach to Project Engagement - Börsplus - https://t.co/u05pJDurs1, pronunciation=Neutral approach to Project Engagement - Börsplus - https://t.co/u05pJDurs1, extra_data=""{'translat..."")"
4,6,2018-06-11,"#Projektengagemang noteras 19 juni med ankarinvesterare som Robur, Öresund och Humle (de tar 44% av erbjudandet). Bolaget är teknikkonsult och omsätter ca 1 mrd med 8% EBITA-marginal. Teckna?",1006172836866789376,2,0,,futureinvesting,False,5443,"Translated(src=sv, dest=en, text=#Project engagement is listed on June 19 with anchor investors such as Robur, Öresund and Humle (they take 44% of the offer). The company is a technology consultant and has sales of approximately SEK 1 billion with an 8% EBITA margin. Subscribe?, pronunciation=[[]], extra_data=""{'translat..."")"
5,7,2018-06-08,https://t.co/IwOivkDQ2U PE köper FAST Engineering! – Stärker inom brandskydd och riskhantering @projekteng #PE #Projektengagemang #FAST #Teknikdygnet https://t.co/raooxgxRc8,1005006256829095936,0,0,,Teknikdygnet,False,159,"Translated(src=sv, dest=en, text=https://t.co/IwOivkDQ2U PE buys FAST Engineering! - Strengthens in fire protection and risk management @projekteng #PE #Projektengagemang #FAST #Teknikdygnet https://t.co/raooxgxRc8, pronunciation=[[]], extra_data=""{'translat..."")"
6,8,2018-06-07,Projektengagemang sätter teckningskursen i nyintroduktionen till 47 kronor per aktie - https://t.co/uTBOO8ZzgR,1004770083066011649,1,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=Project involvement sets the subscription price in the new introduction at SEK 47 per share - https://t.co/uTBOO8ZzgR, pronunciation=Project involvement sets the subscription price in the new introduction at SEK 47 per share - https://t.co/uTBOO8ZzgR, extra_data=""{'translat..."")"
7,9,2018-06-07,Projektengagemang sätter teckningskursen i nyintroduktionen till 47 kronor per aktie https://t.co/3qxNkGHxvk #industrials #ipo,1004762249087594497,1,0,,Finwire,False,23861,"Translated(src=sv, dest=en, text=Project involvement sets the subscription price in the new introduction at SEK 47 per share https://t.co/3qxNkGHxvk #industrials #ipo, pronunciation=Project involvement sets the subscription price in the new introduction at SEK 47 per share https://t.co/3qxNkGHxvk #industrials #ipo, extra_data=""{'translat..."")"
8,10,2018-06-07,Projektengagemang noterar sig på Nasdaq Stockholm den 19 juni. Teckningstid 8-15 juni https://t.co/k9UOztduxv,1004758880965025792,1,0,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=Project involvement is listed on Nasdaq Stockholm on 19 June. Subscription period 8-15 June https://t.co/k9UOztduxv, pronunciation=[[]], extra_data=""{'translat..."")"
9,12,2018-06-07,Projektengagemang offentliggör prospekt i samband med börsintroduktion på Nasdaq Stockholm https://t.co/i8lrV110GB,1004752375838461952,0,0,,CisionNews,False,2148,"Translated(src=sv, dest=en, text=Project involvement publishes prospectus in connection with IPO on Nasdaq Stockholm https://t.co/i8lrV110GB, pronunciation=Project involvement publishes prospectus in connection with IPO on Nasdaq Stockholm https://t.co/i8lrV110GB, extra_data=""{'translat..."")"
