,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2018-12-06,Imorgon fredag noteras Q-linea på Stockholmsbörsen. Priset per aktie fastställdes till 68 kr (intervallet var 60-70 kr) https://t.co/laQ8u75qOe,1070783674973634560,2,1,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=Tomorrow Friday, Q-linea will be listed on the Stockholm Stock Exchange. The price per share was set at SEK 68 (the range was SEK 60-70) https://t.co/laQ8u75qOe, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2018-12-06,"Q-linea sätter teckningskursen till 68 kronor per aktie, vilket är i övre delen av intervallet 60 till 70 kronor. Erbjudandet att teckna aktier blev kraftigt övertecknad. Aktien börjar handlas på Stockholmsbörsen i morgon fredag. https://t.co/aPO4w4JZ4s",1070781902712393728,3,0,,Finwire,False,23860,"Translated(src=sv, dest=en, text=Q-linea sets the subscription price at SEK 68 per share, which is in the upper part of the range SEK 60 to 70. The offer to subscribe for shares was greatly oversubscribed. The share will start trading on the Stockholm Stock Exchange tomorrow Friday. https://t.co/aPO4w4JZ4s, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2018-12-06,"Q-Linea IPO kurs ser ut att bli runt den högsta kursen i intervallet 60-70 kronor
https://t.co/YLf15WdjQ5",1070752365832298496,4,1,,Buyb4its2l8,False,2905,"Translated(src=sv, dest=en, text=The Q-Linea IPO price looks to be around the highest price in the range of SEK 60-70
https://t.co/YLf15WdjQ5, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2018-12-06,Någon som fått tilldelning i q-linea?,1070715726598684673,1,0,,Aktievisten,False,4632,"Translated(src=sv, dest=en, text=Anyone been assigned in the q-line?, pronunciation=Anyone been assigned in the q-line?, extra_data=""{'translat..."")"
4,4,2018-12-06,"För den som vill läsa mer om Bengt Ågerup som är aktuell med börsnoteringen av Q-linea rekommenderar jag boken Svenska miljardärer.

Om Ulf Landegren finns ett bra porträtt i universitetstidningen på sida 20 https://t.co/braFqg4aR3
https://t.co/368PTUrPpe https://t.co/wHK6CTHbLY",1070591359004889088,1,0,,Aktieing,False,5290,"Translated(src=sv, dest=en, text=For those who want to read more about Bengt Ågerup who is up to date with the listing of Q-linea, I recommend the book Swedish billionaires.

About Ulf Landegren there is a good portrait in the university newspaper on page 20 https://t.co/braFqg4aR3
https://t.co/368PTUrPpe https://t.co/wHK6CTHbLY, pronunciation=[[]], extra_data=""{'translat..."")"
5,5,2018-12-06,@MurgataER Nej Ågerup hade ingenting med det att göra vilket jag vet eftersom jag har ganska nära kopplingar till det här :-). Jag är osäker på om möjligheterna med sepsis gjorde det mer attraktivt att ta in honom men själva grunden till dagens Q-linea bygger på ideer från 2010ish.,1070588287344103424,1,0,,Aktieing,False,5290,"Translated(src=sv, dest=en, text=@MurgataER No Ågerup had nothing to do with it which I know because I have pretty close connections to this :-). I'm not sure if the possibilities with sepsis made it more attractive to take him in, but the very basis for today's Q-line is based on ideas from 2010ish., pronunciation=[[]], extra_data=""{'translat..."")"
6,6,2018-12-06,@MurgataER Vilket förövrigt var strax efter att Q-linea började titta på nuvarande affärsområde. Det tidiga arbetet var fokuserat på snabb detektion av biologiska stridsmedel där man bland annat var underleverantör till Thales.,1070584714384293888,1,0,,Aktieing,False,5290,"Translated(src=sv, dest=en, text=@MurgataER Which, by the way, was shortly after Q-linea started looking at the current business area. The early work was focused on rapid detection of biological weapons, where they were, among other things, a subcontractor to Thales., pronunciation=[[]], extra_data=""{'translat..."")"
7,7,2018-12-06,"@Aktieing Det kan stämma. Ågerup har ju inget med teknologin att göra, men äger både Olink och Q-linea.

Inte ensam så klart, men ändå...",1070584006327091200,0,0,,MurgataER,False,4451,"Translated(src=sv, dest=en, text=@Aktieing That may be true. Ågerup has nothing to do with the technology, but owns both Olink and Q-linea.

Not alone of course, but still ..., pronunciation=[[]], extra_data=""{'translat..."")"
8,8,2018-12-06,@MurgataER Ågerup köpte in sig 2011. Q-linea grundades redan 2008.,1070583260617588736,2,0,,Aktieing,False,5290,"Translated(src=sv, dest=en, text=@MurgataER Ågerup bought in 2011. Q-linea was founded in 2008., pronunciation=@MurgataER Ågerup bought in 2011. Q-linea was founded in 2008., extra_data=""{'translat..."")"
9,9,2018-12-06,En lite kul sak med Q-linea är att Bengt Ågerup är huvudägare med pengar han fick ut ifrån Q-Med. Namnen har däremot ingenting med varandra att göra då Q-linea är en spin off från Olink och Ågerup kom in långt senare.,1070581752274542592,10,0,,Aktieing,False,5290,"Translated(src=sv, dest=en, text=A little fun thing about Q-linea is that Bengt Ågerup is the main owner with money he got from Q-Med. The names, on the other hand, have nothing to do with each other as Q-linea is a spin off from Olink and Ågerup came in much later., pronunciation=[[]], extra_data=""{'translat..."")"
