,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,3,2020-09-16,"@Aktiepappa Tecknar, känns väldigt mycket bättre än Readly.",1306320159448104961,1,0,,investorretard,False,54,"Translated(src=sv, dest=en, text=@Aktiepappa Draws, feels very much better than Readly., pronunciation=@Aktiepappa Draws, feels very much better than Readly., extra_data=""{'translat..."")"
1,6,2020-09-16,Trots IPO hausen som råder så känns det som #Readly kan få en tung första dag på börsen imorgon.,1306297932149329953,0,0,,NotStewii,False,626,"Translated(src=sv, dest=en, text=Despite the IPO house that prevails, it feels like #Readly can have a heavy first day on the stock exchange tomorrow., pronunciation=Despite the IPO house that prevails, it feels like #Readly can have a heavy first day on the stock exchange tomorrow., extra_data=""{'translat..."")"
2,7,2020-09-16,"Årets första IPO blev fantastisk ca 60% vinst, fick Flashback när man gjorde 200k i GG555 efter 10% 2017 :D

Imorgon är det IPO #2 Readly. Jag tror alla nya flippare som drog tillbaka sin ordrar får FOMO imorgon när den öppnar 10% upp. Hur tror ni den öppnar?",1306297737223307267,4,1,,moneymakinghoss,False,9910,"Translated(src=sv, dest=en, text=This year's first IPO was fantastic about 60% profit, got Flashback when they did 200k in GG555 after 10% 2017: D

Tomorrow is IPO # 2 Readly. I think all new flippers who withdrew their orders will get FOMO tomorrow when it opens 10% up. How do you think it will open?, pronunciation=[[]], extra_data=""{'translat..."")"
3,16,2020-09-16,Hoppas ni förstår att $READ kommer bli en bra aktie och att man inte skulle rygga tillbaka pga förlagsgrejen. Förhandling väntar med Aller och Bonnier lär komma tillbaka till bordet. Förlagen kommer behöva finnas med sina titlar på Readly när vi rör oss framåt i tiden.,1306259873810841601,3,0,,Trippelprillan,False,204,"Translated(src=sv, dest=en, text=Hope you understand that $ READ will be a good stock and that you would not back down due to the publishing thing. Negotiation awaits with Aller and Bonnier is expected to return to the table. The publishers will need to have their titles on Readly as we move forward in time., pronunciation=[[]], extra_data=""{'translat..."")"
4,17,2020-09-16,"Veckan har rivstartat och Klarna, Readly samt Spotify står i fokus. Ett fullmatat avsnitt av Digitalpodden är nu ute i etern! https://t.co/b7XsYnyufm",1306256189571948555,1,2,,didigital_se,False,24303,"Translated(src=sv, dest=en, text=The week has kicked off and Klarna, Readly and Spotify are in focus. A full episode of Digitalpodden is now on the air! https://t.co/b7XsYnyufm, pronunciation=[[]], extra_data=""{'translat..."")"
5,18,2020-09-16,"@avanzabank Ok, tack! Vilken ligger först i detta fallet? Readly?",1306254871897792512,0,0,,PappaPension,False,164,"Translated(src=sv, dest=en, text=@avanzabank Ok, thanks! Which is first in this case? Readly?, pronunciation=[[]], extra_data=""{'translat..."")"
6,20,2020-09-16,"Om man tecknar både Implantica och Readly från samma konto men har inte täckning för om jag får full tilldelning för båda, vad händer då? @avanzabank",1306251266205659138,0,0,,PappaPension,False,164,"Translated(src=sv, dest=en, text=If you subscribe to both Implantica and Readly from the same account but do not have coverage because if I receive a full allocation for both, what happens then? @avanzabank, pronunciation=[[]], extra_data=""{'translat..."")"
7,21,2020-09-16,"@Aktiepappa Tecknar, hoppade Readly",1306249095498133505,2,0,,Finans_Mange,False,1477,"Translated(src=sv, dest=en, text=@Aktiepappa Tecknar, jumped Readly, pronunciation=@Aktiepappa Tecknar, jumped Readly, extra_data=""{'translat..."")"
8,23,2020-09-16,"@Travsiffror @Tessa_A76 @mickej67 @RickardCharles @goopbjorn Det borde strykas fler hästar efter värmning / provstart
Ofta man ser dåliga provstarter o hästen klarar sig inte ens genom 1a kurvan

Min känsla är att stortränarna / kuskarna sällan stryker

Tydligaste exemplet Readly Express (borde skriva vidrigaste), mådde nästan illa där",1306235757829423105,0,0,,dahlin_j,False,141,"Translated(src=sv, dest=en, text=@Travsiffror @ Tessa_A76 @ mickej67 @RickardCharles @goopbjorn More horses should be ironed after warming up / test start
You often see bad test starts and the horse does not even make it through the 1st curve

My feeling is that the head coaches / drivers rarely iron

Clearest example Readly Express (should write most disgusting), felt almost bad there, pronunciation=[[]], extra_data=""{'translat..."")"
9,25,2020-09-16,@Aktiepappa Tecknar! Klart bättre än readly sett till det jag läst.,1306224395007000577,1,0,,styrman16,False,173,"Translated(src=sv, dest=en, text=@Aktiepappa Sign up! Clearly better than readly speaking from what I read., pronunciation=[[]], extra_data=""{'translat..."")"
