,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-06-15,Revolutionrace noteras imorgon onsdag på Nasdaq Stockholm. Priset per aktie i erbjudandet var 75 kr. https://t.co/RseBfAUgW8,1404885785086763009,1,0,,Nyemissioner,False,15448,"Translated(src=sv, dest=en, text=Revolutionrace will be listed tomorrow Wednesday on Nasdaq Stockholm. The price per share in the offer was SEK 75. https://t.co/RseBfAUgW8, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-06-15,"Sista teckningsdag för #RevolutionRace inför noteringen på Nasdaq Stockholm är idag (15/6), tecknar du? Läs #AFV IPO-analys: https://t.co/RVBhCGxxNB",1404709143122952203,3,3,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=The last subscription day for #RevolutionRace before the listing on Nasdaq Stockholm is today (15/6), are you drawing? Read #AFV IPO analysis: https://t.co/RVBhCGxxNB, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2021-06-15,"DING DING DING 🔔 

Idag är sista dagen att anmäla sig till noteringsaktuella RevolutionRace AB. Obs. senast 15:00.

Läs mer. 👇",1404672517705551877,0,0,,NordnetSE,False,23105,"Translated(src=sv, dest=en, text=DING DING DING 🔔

Today is the last day to register for the current RevolutionRace AB. Obs. no later than 15:00.

Read more. 👇, pronunciation=[[]], extra_data=""{'translat..."")"
3,4,2021-06-14,@Bigga_pengar Finns det mode i Revolutionrace till att börja med. Tvek där,1404447554561970179,2,0,,missswee,False,5759,"Translated(src=sv, dest=en, text=@Bigga_pengar Is there fashion in Revolutionrace to begin with. Hesitate there, pronunciation=[[]], extra_data=""{'translat..."")"
4,5,2021-06-14,"Finns det inte en moderisk i Revolutionrace? 
Hur länge till kommer 40-åriga kvinnor i storstäder klä sig som att dom ska bestiga Kebnekaise när dom ska gå ut med hunden i 20 minuter? https://t.co/FLcbdRNSDX",1404444858165649411,64,1,,Bigga_pengar,False,2646,"Translated(src=sv, dest=en, text=Isn't there a mod in Revolutionrace?
How much longer will 40-year-old women in big cities dress as if they are going to climb Kebnekaise when they go out with the dog for 20 minutes? https://t.co/FLcbdRNSDX, pronunciation=[[]], extra_data=""{'translat..."")"
5,7,2021-06-14,"RevolutionRace – teckna eller ej? 🤔 

Affärsvärlden gick tidigare i veckan ut md ""prickfritt"": https://t.co/Dq804uPs3H
Di kommer idag med avstå: https://t.co/oDcyKnUrUA

På på bolagssida kan du följa alla nyheter om bolaget/IPO:n👌
https://t.co/dXDtER0bSX",1404326957421154304,0,0,,borskollen_news,False,5755,"Translated(src=sv, dest=en, text=RevolutionRace - sign up or not? 🤔

The business world went out earlier this week with ""spotless"": https://t.co/Dq804uPs3H
You will today abstain: https://t.co/oDcyKnUrUA

On the company page, you can follow all the news about the company / IPO
https://t.co/dXDtER0bSX, pronunciation=[[]], extra_data=""{'translat..."")"
6,8,2021-06-13,"Veckobrev v24

- Att investera när andra drar sig tillbaka
- SBB skaffar kontrollpost i JM
- Riktade nyemissioner överallt man ser
- RevolutionRace till börsen
- FOMO – Fear of Missing Out

Läs om veckans spaningar här: https://t.co/Q4cWwCqLxV
#aktier $SBB https://t.co/wUZ9VcHsWo",1404206949017690115,0,0,,TradeVenue,False,16807,"Translated(src=sv, dest=en, text=Weekly newsletter v24

- To invest when others withdraw
- SBB obtains control post in JM
Directed new issues everywhere you look
- RevolutionRace to the stock market
- FOMO - Fear of Missing Out

Read about this week's reconnaissance here: https://t.co/Q4cWwCqLxV
#shares $ SBB https://t.co/wUZ9VcHsWo, pronunciation=[[]], extra_data=""{'translat..."")"
7,9,2021-06-13,"Gästades i senaste avsnitt i Sparpodden:

Grundarna till Revolutionrace är paret Pernilla &amp; Niclas Nyrensten grundade bolaget 2014 och nu har man försäljning i 35 länder.",1404193594018349059,0,0,,_skapapengar,False,44,"Translated(src=sv, dest=en, text=Visited in the latest episode of Sparpodden:

The founders of Revolutionrace are the couple Pernilla & Niclas Nyrensten founded the company in 2014 and now have sales in 35 countries., pronunciation=[[]], extra_data=""{'translat..."")"
8,10,2021-06-13,"Jag har tecknat Acast.

Affärsvärlden ger rek. för Physitrack (virtuell rådgivare), samt Revolutionrace (E-handel, Textil, Borås).

Någon som vet något mer?",1404192513624363011,0,0,,_skapapengar,False,44,"Translated(src=sv, dest=en, text=I've drawn Acast.

The business world gives rec. for Physitrack (virtual advisor), and Revolutionrace (E-commerce, Textile, Borås).

Anyone know anything more?, pronunciation=[[]], extra_data=""{'translat..."")"
9,12,2021-06-13,"💹 IPO
Revolutionrace

Tecknar inte (övertyga mig att teckna?)",1404020805663694850,2,0,,csntradeRn,False,1211,"Translated(src=sv, dest=en, text=💹 IPO
Revolutionrace

Do not draw (convince me to draw?), pronunciation=[[]], extra_data=""{'translat..."")"
