,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-06-10,"Imorgon fredag börjar Sdiptech handlas på Nasdaq Stockholms huvudlista, en flytt från First North. https://t.co/ysGhCdHvvX",1403033690654060548,1,0,,Nyemissioner,False,15448,"Translated(src=sv, dest=en, text=Tomorrow Friday, Sdiptech will start trading on Nasdaq Stockholm's main list, a move from First North. https://t.co/ysGhCdHvvX, pronunciation=[[]], extra_data=""{'translat..."")"
1,2,2021-06-09,"$SDIP
Köparna står emot säljarna vid psykologiska stödet 347kr. Samma nivå som priset bröt upp den 6/4 i år. Efter ett test av trendpunkten 389kr har priset återtestat stödet (pullback) för att samla nya krafter om ett möjligt utbrott? Återstår att se.

#finanstwitter #sdiptech https://t.co/zm7CS8AN8E",1402701935166230534,8,0,,YasUnv,False,5042,"Translated(src=sv, dest=en, text=$ SDIP
The buyers oppose the sellers for psychological support SEK 347. The same level as the price broke on 6/4 this year. After a test of the trend point SEK 389, has the price retested the support (pullback) to gather new strength for a possible outbreak? Remains to be seen.

#finanstwitter #sdiptech https://t.co/zm7CS8AN8E, pronunciation=[[]], extra_data=""{'translat..."")"
2,3,2021-06-09,"Intervju med Jakob Holm VD på Sdiptech om listbytet till Sthlm Largecap och om senaste förvärvet #finanstwitter 

https://t.co/TacNWHKYEi",1402574549254823936,3,0,,InvesteraM,False,2711,"Translated(src=sv, dest=en, text=Interview with Jakob Holm CEO at Sdiptech about the list change to Sthlm Largecap and about the latest acquisition #finanstwitter

https://t.co/TacNWHKYEi, pronunciation=[[]], extra_data=""{'translat..."")"
3,6,2021-06-07,"Full uppdatering 🦾

Ute:
Generic 59,2 -&gt; ut 73
Plejd 347 -&gt; halva ut 402 / resten 413

Hyvlat:
Kindred 137 -&gt; halva ut 144
Evo 1385 -&gt; halva ut 1570

Kvar:
Kollect 14,97
Sdiptech 359
Kambi 413 (mini)

Nya:
Smart Eye 268 (mini)
Swedencare 99,75
Thunderful 66",1401902024996933634,20,0,,Aktiemaskinen,False,15963,"Translated(src=sv, dest=en, text=Full update 🦾

Out:
Generic 59,2 -> ut 73
Plejd 347 -> halva ut 402 / resten 413

Planed:
Kindred 137 -> half out 144
Evo 1385 -> halva ut 1570

Left:
Collect 14.97
Sdiptech 359
Kambi 413 (mini)

New:
Smart Eye 268 (mini)
Swedencare 99.75
Thunderful 66, pronunciation=None, extra_data=""{'translat..."")"
4,7,2021-06-07,"@linuslokgard1 Sdiptech, Evo, Kambi och Nvidia. Kollar efter ett till innehav men inte hittat något som lockar",1401858899716808707,0,0,,pingvintrader,False,486,"Translated(src=sv, dest=en, text=@ linuslokgard1 Sdiptech, Evo, Kambi and Nvidia. Looking for another possession but not found anything that attracts, pronunciation=[[]], extra_data=""{'translat..."")"
5,9,2021-06-07,"Styrelseledamot köper aktier i Sdiptech för 0,2 miljoner kronor https://t.co/92u3eXvvT6 #insider #tech",1401825004174577665,2,0,,FinwireSmallcap,False,10175,"Translated(src=sv, dest=en, text=Board member buys shares in Sdiptech for SEK 0.2 million https://t.co/92u3eXvvT6 #insider #tech, pronunciation=Board member buys shares in Sdiptech for SEK 0.2 million https://t.co/92u3eXvvT6 #insider #tech, extra_data=""{'translat..."")"
6,11,2021-06-05,"Finwire lägger mycket tid och kraft på corporate actions, däribland listbyten. Närmast i kalendern är följande: 10 juni Sivers Semiconductors till Nasdaq Stockholm, 11 juni Sdiptech till Nasdaq Stockholm, 14 juni Cline Scientific till First North, 15 juni Zordix till First North.",1401203746294702081,35,6,,Finwire,False,23863,"Translated(src=sv, dest=en, text=Finwire puts a lot of time and effort into corporate actions, including list changes. The closest in the calendar are the following: June 10 Sivers Semiconductors to Nasdaq Stockholm, June 11 Sdiptech to Nasdaq Stockholm, June 14 Cline Scientific to First North, June 15 Zordix to First North., pronunciation=[[]], extra_data=""{'translat..."")"
7,12,2021-06-05,"@reinv3st Jag brukar inte lägga så stor vikt vid sånt, det händer ibland i alla bolag. finns många anledningar bland annat andra för dom intressanta investeringar. Han är ju aktiv i andra bolag med tex. Instalco, VBG, FM Mattson osv. Pengar flyttas runt =). För mig är Sdiptech kvalitet =)",1401105607927738372,0,0,,InvesteraM,False,2711,"Translated(src=sv, dest=en, text=@ reinv3st I usually do not put so much emphasis on such things, it happens sometimes in all companies. There are many reasons, including others for the interesting investments. He is active in other companies with e.g. Instalco, VBG, FM Mattson etc. Money is moved around =). For me, Sdiptech is quality =), pronunciation=[[]], extra_data=""{'translat..."")"
8,13,2021-06-04,Sdiptech gör förvärv i Finland https://t.co/iXfKmsd8dL #ma #tech,1400710166555860993,0,0,,FinwireSmallcap,False,10175,"Translated(src=sv, dest=en, text=Sdiptech makes acquisition in Finland https://t.co/iXfKmsd8dL #ma #tech, pronunciation=Sdiptech makes acquisition in Finland https://t.co/iXfKmsd8dL #ma #tech, extra_data=""{'translat..."")"
9,15,2021-06-04,Sdiptech förvärvar Ficon Oy #finanstwitter,1400694396031541249,4,0,,InvesteraM,False,2711,"Translated(src=sv, dest=en, text=Sdiptech acquires Ficon Oy #finanstwitter, pronunciation=Sdiptech acquires Ficon Oy #finanstwitter, extra_data=""{'translat..."")"
10,16,2021-06-03,"Sdiptech noteras på Nasdaq Stockholm den 11 juni, en flytt från First North. https://t.co/ysGhCdHvvX",1400477681230172160,6,0,,Nyemissioner,False,15448,"Translated(src=sv, dest=en, text=Sdiptech will be listed on Nasdaq Stockholm on June 11, a move from First North. https://t.co/ysGhCdHvvX, pronunciation=[[]], extra_data=""{'translat..."")"
11,17,2021-06-03,"Sdiptech byter lista, fösta handelsdag = 11 juni #finanstwitter https://t.co/rCSs77375W",1400466525895544836,37,3,,InvesteraM,False,2711,"Translated(src=sv, dest=en, text=Sdiptech changes list, first trading day = June 11 #finanstwitter https://t.co/rCSs77375W, pronunciation=Sdiptech changes list, first trading day = June 11 #finanstwitter https://t.co/rCSs77375W, extra_data=""{'translat..."")"
12,19,2021-06-03,Sdiptech godkänns för notering på Nasdaq Stockholm den 11 juni https://t.co/xL8lTi8FlG #corporateactions #tech,1400463113309212675,1,0,,FinwireSmallcap,False,10175,"Translated(src=sv, dest=en, text=Sdiptech approved for listing on Nasdaq Stockholm on June 11 https://t.co/xL8lTi8FlG #corporateactions #tech, pronunciation=Sdiptech approved for listing on Nasdaq Stockholm on June 11 https://t.co/xL8lTi8FlG #corporateactions #tech, extra_data=""{'translat..."")"
13,20,2021-06-02,@Investeraren_G Har Addlife och Sdiptech. Också några av mina bästa,1400185274089545735,0,0,,GardeArriere,False,685,"Translated(src=sv, dest=en, text=@Investeraren_G Has Addlife and Sdiptech. Also some of my best, pronunciation=[[]], extra_data=""{'translat..."")"
14,22,2021-06-02,"Vissa intresserade så samlar här.

Senaste swingar (dvs övervikt kontra normal position).

Kvar i alla om inte annat anges.

Generic 59,2
Kollect 14,97
Plejd 347
Sdiptech 359
Kambi 413 (mini)
Kindred 137, halva ut 144
Evo 1385

Inte lika aktiv pga jobb så låter det mesta rulla 🙂",1400135223292088323,65,0,,Aktiemaskinen,False,15963,"Translated(src=sv, dest=en, text=Some interested so gather here.

Recent swings (ie overweight versus normal position).

Remain in all unless otherwise stated.

Generic 59.2
Collect 14.97
Plejd 347
Sdiptech 359
Kambi 413 (mini)
Kindred 137, half out 144
Evo 1385

Not as active due to work, so most things let roll 🙂, pronunciation=[[]], extra_data=""{'translat..."")"
15,26,2021-05-26,"@StockMarket_AI Hmm.. massa.

Embracer minskat (alla minis ut, var 30% av väskan) 150-153
Kassan och likviderna gått till:
Plejd omtag 349/344
Evo ökat 1377
Sdiptech omtag 359
Kindred omtag 137
Smart Eye ökat 235
Kollect omtag 14,35, ökat 15,95
Story ökat 188 &amp; 220",1397632876485750784,9,0,,Aktiemaskinen,False,15963,"Translated(src=sv, dest=en, text=@StockMarket_AI Hmm .. mass.

Embracer decreased (all minis out, was 30% of the bag) 150-153
Cash and cash flow gone to:
Plejd omtag 349/344
Evo increased 1377
Sdiptech omtag 359
Kindred remake 137
Smart Eye increased 235
Collect turnover 14.35, increased 15.95
Story increased 188 & 220, pronunciation=[[]], extra_data=""{'translat..."")"
16,27,2021-05-25,@Aktiemaskinen Kvar i Sdiptech?,1397142657508560898,1,0,,pingvintrader,False,486,"Translated(src=sv, dest=en, text=@Aktiemaskinen Still in Sdiptech?, pronunciation=@Aktiemaskinen Still in Sdiptech?, extra_data=""{'translat..."")"
17,28,2021-05-24,Tog en stek i SDiptech. 2 köpsignaler sista veckan + balanserar på 60 dagars. SL -5%. #finanstwitter #fintwitter https://t.co/RFFLdfkXch,1396825184011759616,7,0,,BridgeEsset,False,494,"Translated(src=sv, dest=en, text=Took a roast in SDiptech. 2 buy signals last week + balances on 60 days. SL -5%. #finanstwitter #fintwitter https://t.co/RFFLdfkXch, pronunciation=[[]], extra_data=""{'translat..."")"
18,29,2021-05-17,"@AmaInvesteraren Jag har missat Plejdtåget, lite synd. Men Evo, Omfamnaren, Bure, Sdiptech, Spotlight och Ferronordic har jag hängt med på. Så man får vara nöjd med det man faktiskt varit med på 🙂",1394309096317272069,0,0,,InvestRgp,False,38,"Translated(src=sv, dest=en, text=@AmaInvesteraren I have missed the Plejdtåget, a pity. But Evo, Omfamnaren, Bure, Sdiptech, Spotlight and Ferronordic I have joined. So you have to be happy with what you have actually been involved in 🙂, pronunciation=[[]], extra_data=""{'translat..."")"
19,30,2021-05-15,@Valpscalpen Cellink och sdiptech,1393599187988664320,1,0,,VemBudar,False,605,"Translated(src=sv, dest=en, text=@Valpscalpen Cellink and sdiptech, pronunciation=@Valpscalpen Cellink and sdiptech, extra_data=""{'translat..."")"
20,31,2021-05-14,Sdiptech avyttrar hissverksamhet i Österrike för 6 miljoner euro https://t.co/P63BEoEigW #ma #tech,1393214266937913344,0,0,,FinwireSmallcap,False,10175,"Translated(src=sv, dest=en, text=Sdiptech divests elevator operations in Austria for EUR 6 million https://t.co/P63BEoEigW #ma #tech, pronunciation=Sdiptech divests elevator operations in Austria for EUR 6 million https://t.co/P63BEoEigW #ma #tech, extra_data=""{'translat..."")"
21,32,2021-05-12,"@InvesteraM Sdiptech är mitt största innehav. Köpte i dec 2019 på 67 kr men ska försöka vara långsiktig. Har gjort misstag att sälja för tidigt, tex Cellavision. Är du långsiktig kring alla dina bolag?",1392405053365968897,1,0,,aktienrden3,False,20,"Translated(src=sv, dest=en, text=@InvesteraM Sdiptech is my largest holding. Bought in Dec 2019 for SEK 67 but will try to be long-term. Has made mistakes to sell too early, such as Cellavision. Are you long-term around all your companies?, pronunciation=[[]], extra_data=""{'translat..."")"
22,33,2021-05-12,"@aktienrden3 Enligt hur jag tänker kring min portfölj:
Snabb tillväxt: Zordix, Eg7, Evo, Sinch. 

Högst risk: Zordix som också nästan är störst. 

Mer trygga tillväxtbolag: Instalco, Sdiptech och Lifco. Även Evo kan räknas in här",1392396207163678720,1,0,,InvesteraM,False,2711,"Translated(src=sv, dest=en, text=@ aktienrden3 According to how I think about my portfolio:
Rapid growth: Zordix, Eg7, Evo, Sinch.

Highest risk: Zordix, which is also almost the largest.

More secure growth companies: Instalco, Sdiptech and Lifco. Evo can also be included here, pronunciation=[[]], extra_data=""{'translat..."")"
23,34,2021-05-12,"@aktiestudentens Svår fråga, känner mig trygg med flera men på olika sätt. Evo känns ju faktiskt tryggt trotts det är ett kraftigt växande bolag. Men dom tråkigaste känns nog tryggast. Lifco och Instalco. Även Sdiptech 😊",1392388224589389824,1,0,,InvesteraM,False,2711,"Translated(src=sv, dest=en, text=@aktiestudentens Difficult question, I feel safe with several but in different ways. Evo actually feels safe, even though it is a rapidly growing company. But the most boring probably feel safest. Lifco and Instalco. Also Sdiptech 😊, pronunciation=[[]], extra_data=""{'translat..."")"
24,35,2021-05-11,@KokkonenMikael Intressant. Hur liten var din post i Sdiptech om man får fråga? Jag har 2000 st där och har just köpt 3000 Stillfront. Tycker det känns lite konstigt att den är så ”billig” när andra spelbolag är hajpade. Hoppas dock på #SF på lång sikt,1392138674322739200,1,0,,aktienrden3,False,20,"Translated(src=sv, dest=en, text=@KokkonenMikael Interesting. How small was your post in Sdiptech if you ask? I have 2000 there and have just bought 3000 Stillfront. I think it feels a little strange that it is so ""cheap"" when other gaming companies are hyped. However, hope for #SF in the long run, pronunciation=[[]], extra_data=""{'translat..."")"
25,36,2021-05-11,"@aktienrden3 Sålde min lilla post i sdiptech nyligen, mest för att det var en liten post. Kommer fortsätta gå bra på sikt. La in i stillfront istället som är ordentligt nedtryckt. Ser mer potential där.",1392026077967659011,0,0,,KokkonenMikael,False,538,"Translated(src=sv, dest=en, text=@ aktienrden3 Sold my little post in sdiptech recently, mostly because it was a small post. Will continue to do well in the long run. Put in still front instead which is properly depressed. Sees more potential there., pronunciation=[[]], extra_data=""{'translat..."")"
26,37,2021-05-11,@KokkonenMikael Jag äger själv Sdiptech och Stillfront och tror på båda bolagen långsiktigt. Inte roligt när de faller men hoppas de går upp kommande 10 åren. Är långsiktig 👍,1392017869580509187,1,0,,aktienrden3,False,20,"Translated(src=sv, dest=en, text=@KokkonenMikael I own Sdiptech and Stillfront myself and believe in both companies in the long term. Not fun when they fall but hope they go up in the next 10 years. Is long-term 👍, pronunciation=[[]], extra_data=""{'translat..."")"
27,38,2021-05-11,"Köpte #SBB när den rasade ner till 13kr, köpte #Sinch när den gick ner till 800kr, #sdiptech på 60kr, köpte #Evo förra sommaren på 550kr och har nu köpt #stillfront när den gått ner till en bit under 80kr. Bra bolag går alltid upp över tid. Sitt still i båten och köp mer 🤓😎",1391988163292368898,107,1,,KokkonenMikael,False,538,"Translated(src=sv, dest=en, text=Bought #SBB when it plummeted to SEK 13, bought #Sinch when it went down to SEK 800, #sdiptech at SEK 60, bought #Evo last summer at SEK 550 and has now bought #stillfront when it went down to a bit below SEK 80. Good companies always go up over time. Sit still in the boat and buy more 🤓😎, pronunciation=[[]], extra_data=""{'translat..."")"
