,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-06-09,"Imorgon noteras @MavenWireless …ska bli spännande att följa de. Konsumenttjänster i tunnlar, tåg, byggnader mm. #notering #firsthnorth #finans #finanstwitter #SiversSemiconductors #samarbete?  #omx #stockholm https://t.co/ZPFZN2XLlT",1402735036697284610,3,1,,Eynolla10,False,33,"Translated(src=sv, dest=en, text=Tomorrow it is noted @MavenWireless… will be exciting to follow them. Consumer services in tunnels, trains, buildings etc. #listing #firsthnorth #finance #finanstwitter #SiversSemiconductors #community? #omx #stockholm https://t.co/ZPFZN2XLlT, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-06-09,"Imorgon torsdag börjar Sivers Semiconductors att handlas på Nasdaq Stockholms huvudlista, vilket blir företagets fjärde marknadsplats i Sverige. NGM Nordic SME år 2011, Spotlight 2013, First North 2017 och nu Nasdaq Stockholms huvudlista. https://t.co/qvLekaxUZA",1402715974525198344,17,0,,Nyemissioner,False,15448,"Translated(src=sv, dest=en, text=Tomorrow Thursday, Sivers Semiconductors will start trading on Nasdaq Stockholm's main list, which will be the company's fourth marketplace in Sweden. NGM Nordic SME in 2011, Spotlight 2013, First North 2017 and now Nasdaq Stockholm's main list. https://t.co/qvLekaxUZA, pronunciation=[[]], extra_data=""{'translat..."")"
2,7,2021-06-09,#SiversSemiconductors får ny designwin/order inom FWA med sina antennmoduler/IC som har världsunika prestanda. Marknaden för Fixed Wireless Access kommer att växa med 85 % per år fram till 2026. #5G #mmWave https://t.co/jEsk0V9l7m,1402577712548569089,44,5,,DawnOfSilence,False,245,"Translated(src=sv, dest=en, text=#SiversSemiconductors gets new design win / order within FWA with its antenna modules / ICs that have world-unique performance. The market for Fixed Wireless Access will grow by 85% per year until 2026. # 5G #mmWave https://t.co/jEsk0V9l7m, pronunciation=[[]], extra_data=""{'translat..."")"
3,8,2021-06-09,Sivers Semiconductors erhåller ny 5G design win från taiwanesiska TMYTEK https://t.co/FWjWMcWbz6,1402570674640613378,10,2,,CisionNews,False,2146,"Translated(src=sv, dest=en, text=Sivers Semiconductors receives new 5G design win from Taiwanese TMYTEK https://t.co/FWjWMcWbz6, pronunciation=Sivers Semiconductors receives new 5G design win from Taiwanese TMYTEK https://t.co/FWjWMcWbz6, extra_data=""{'translat..."")"
4,10,2021-06-09,"Sivers tecknar nytt återförsäljaravtal i Japan | @EvertiqSe  https://t.co/QcrdK81fms
#SiversSemiconductors #Wireless #5G #mmWave #Japan https://t.co/g0nu0BwpvZ",1402550330127175680,36,5,,SiversSemicond,False,1611,"Translated(src=sv, dest=en, text=Sivers signs new dealership agreement in Japan | @EvertiqSe https://t.co/QcrdK81fms
#SiversSemiconductors #Wireless # 5G #mmWave #Japan https://t.co/g0nu0BwpvZ, pronunciation=[[]], extra_data=""{'translat..."")"
5,14,2021-06-08,"(Swedish event) Sivers Semiconductors koncern-VD Anders Storm @StormSivers gästade denna morgon Småbolagsdagarna 2021, ett event arrangerat av @aktiespararna, och gav en bolagspresentation. 
#SiversSemiconductors #Wireless #5G #Photonics #investors #events https://t.co/7pkKzNjOWa",1402158105518120960,28,3,,SiversSemicond,False,1611,"Translated(src=sv, dest=en, text=(Swedish event) This morning, Sivers Semiconductor's CEO Anders Storm @StormSivers visited Småbolagsdagarna 2021, an event arranged by @aktiespararna, and gave a company presentation.
#SiversSemiconductors #Wireless # 5G #Photonics #investors #events https://t.co/7pkKzNjOWa, pronunciation=[[]], extra_data=""{'translat..."")"
6,21,2021-06-07,Sivers Semiconductors dotterbolag tecknar nytt återförsäljaravtal i Japan https://t.co/Yp98Hnb9w2 #semiconductor #tech #telecom,1401904027412074501,47,7,,FinwireSmallcap,False,10175,"Translated(src=sv, dest=en, text=Sivers Semiconductor's subsidiary signs new dealership agreement in Japan https://t.co/Yp98Hnb9w2 #semiconductor #tech #telecom, pronunciation=Sivers Semiconductor's subsidiary signs new dealership agreement in Japan https://t.co/Yp98Hnb9w2 #semiconductor #tech #telecom, extra_data=""{'translat..."")"
7,23,2021-06-07,"#SiversSemiconductors Nytt årerförsäljar avtal, Japan! Alltid bra att sluta avtal med lokalt stor aktör som kan sin hemmamarknad. Kvitto åt båda håll på att man ger varandra förtroende!

Är det nu man börjar skörda frukt utav alla rekryteringar tidigare?

https://t.co/EE1LECYI2e https://t.co/Kn8muqsAdC",1401891920868261891,10,3,,westfinangs,False,174,"Translated(src=sv, dest=en, text=#SiversSemiconductors New oar sales contract, Japan! It is always good to conclude an agreement with a locally large player who knows their home market. Receipt in both directions that you trust each other!

Is it now that you start reaping the benefits of all recruitments earlier?

https://t.co/EE1LECYI2e https://t.co/Kn8muqsAdC, pronunciation=[[]], extra_data=""{'translat..."")"
8,27,2021-06-07,Sivers Semiconductors tecknar nytt återförsäljaravtal för millimetervågsmarknaden i Japan https://t.co/Rwc2zRl870,1401887454336978944,9,3,,CisionNews,False,2146,"Translated(src=sv, dest=en, text=Sivers Semiconductors signs new dealership agreement for the millimeter wave market in Japan https://t.co/Rwc2zRl870, pronunciation=Sivers Semiconductors signs new dealership agreement for the millimeter wave market in Japan https://t.co/Rwc2zRl870, extra_data=""{'translat..."")"
9,35,2021-06-05,"Finwire lägger mycket tid och kraft på corporate actions, däribland listbyten. Närmast i kalendern är följande: 10 juni Sivers Semiconductors till Nasdaq Stockholm, 11 juni Sdiptech till Nasdaq Stockholm, 14 juni Cline Scientific till First North, 15 juni Zordix till First North.",1401203746294702081,35,6,,Finwire,False,23863,"Translated(src=sv, dest=en, text=Finwire puts a lot of time and effort into corporate actions, including list changes. The closest in the calendar are the following: June 10 Sivers Semiconductors to Nasdaq Stockholm, June 11 Sdiptech to Nasdaq Stockholm, June 14 Cline Scientific to First North, June 15 Zordix to First North., pronunciation=[[]], extra_data=""{'translat..."")"
