,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-11-30,NYTT INLÄGG: admin - Resurs avknoppning Solid Försäkring: https://t.co/x7c9SWed5g | #pratapengar,1465590386953539586,0,0,,aktiefeed,False,2283,"Translated(src=sv, dest=en, text=NEW POST: admin - Resource spin-off Solid Insurance: https://t.co/x7c9SWed5g | #pratapengar, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-11-29,"December ser ut att bjuda på galet  många nykomlingar som ska hinna noteras före storhelgerna. Finwires kalenderdatabas har hittills 17 nya bolag som ska noteras i Stockholm i december, fördelat på 15 nyintroduktioner och två avknoppningar, Solid Försäkring och Tobii Dynavox.",1465295313284083713,4,0,,Finwire,False,23861,"Translated(src=sv, dest=en, text=December seems to offer a lot of crazy newcomers who should have time to be noted before the big holidays. Finwire's calendar database so far has 17 new companies to be listed in Stockholm in December, divided into 15 new introductions and two spin-offs, Solid Försäkring and Tobii Dynavox., pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2021-11-27,"@Dividend_Story Resurs kommer att dela ut samtliga aktier i det helägda dotterbolaget Solid Försäkring till aktieägarna. Tio aktier i Resurs berättigar till en 1 aktie i Solid Försäkring.

då får man en knippe ,,,,",1464488187582103552,1,0,,Jari64Topi,False,1558,"Translated(src=sv, dest=en, text=@Dividend_Story Resurs will distribute all shares in the wholly owned subsidiary Solid Försäkring to the shareholders. Ten shares in Resurs entitle to one share in Solid Försäkring.

then you get a bunch ,,,,, pronunciation=[[]], extra_data=""{'translat..."")"
3,4,2021-11-25,"Imorgon handlas #resurs bank exkl rätt till utdelning av Solid försäkring. Ska bli spännande, ser verkligen fram emot Solids notering. Tror jag kommer öka en del om de sätts till börsen till ett rimligt pris.",1463924312059125770,0,0,,TapirenNet,False,1299,"Translated(src=sv, dest=en, text=Tomorrow, #resurs bank excludes the right to a dividend of Solid insurance. Should be exciting, really looking forward to Solid's listing. I think I will increase a lot if they are listed on the stock exchange at a reasonable price., pronunciation=[[]], extra_data=""{'translat..."")"
4,5,2021-11-22,Fram med popcornen snart är det dags! Den 1 december har vi ett svenskt försäkringsbolag igen på Stockholmsbörsen: Solid försäkringar. Säljer bland annat Hövding-försäkring och reseförsäkringar. https://t.co/uxOINhXGb0,1462767569115525123,2,0,,Henrik_Senestad,False,1470,"Translated(src=sv, dest=en, text=Up with the popcorn soon it's time! On December 1, we have a Swedish insurance company again on the Stockholm Stock Exchange: Solid försäkringar. Sells Hövding insurance and travel insurance, among other things. https://t.co/uxOINhXGb0, pronunciation=[[]], extra_data=""{'translat..."")"
5,6,2021-11-22,Resurs: Solid Försäkring väntas börsnoteras den 1 december - https://t.co/pUz6C4z0h2 https://t.co/t0TgHaP07e,1462757881640587268,1,0,,sakochliv,False,560,"Translated(src=sv, dest=en, text=Resource: Solid Försäkring is expected to be listed on the stock exchange on 1 December - https://t.co/pUz6C4z0h2 https://t.co/t0TgHaP07e, pronunciation=Resource: Solid Försäkring is expected to be listed on the stock exchange on 1 December - https://t.co/pUz6C4z0h2 https://t.co/t0TgHaP07e, extra_data=""{'translat..."")"
6,7,2021-11-22,@HenrikGrenstam 29 november är avstämningsdag. 25 november är sista dag för handel i Resurs aktie inklusive rätt att erhålla aktier i Solid Försäkring.,1462698679727538182,1,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=@HenrikGrenstam November 29 is reconciliation day. November 25 is the last day for trading in Resurs shares, including the right to receive shares in Solid Försäkring., pronunciation=[[]], extra_data=""{'translat..."")"
7,8,2021-11-22,Solid Försäkring noteras på Nasdaq Stockholm den 1 december. https://t.co/MHDtAQgoHt,1462686299924705283,5,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Solid Försäkring will be listed on Nasdaq Stockholm on 1 December. https://t.co/MHDtAQgoHt, pronunciation=[[]], extra_data=""{'translat..."")"
8,9,2021-11-22,Resurs Holding beslutar om avstämningsdag för utdelningen av dotterbolaget Solid Försäkring https://t.co/3oeXP4SFca,1462679136975998980,0,0,,CisionNews,False,2146,"Translated(src=sv, dest=en, text=Resurs Holding decides on record date for the dividend of the subsidiary Solid Försäkring https://t.co/3oeXP4SFca, pronunciation=Resurs Holding decides on record date for the dividend of the subsidiary Solid Försäkring https://t.co/3oeXP4SFca, extra_data=""{'translat..."")"
9,12,2021-11-11,Nu händer det! Solid Försäkring fick klartecken för börsnotering - https://t.co/uY3JsJsf9Q https://t.co/g1UBfr1Vwb,1458695949467934721,0,0,,sakochliv,False,560,"Translated(src=sv, dest=en, text=Now it's happening! Solid Försäkring received the green light for listing - https://t.co/uY3JsJsf9Q https://t.co/g1UBfr1Vwb, pronunciation=[[]], extra_data=""{'translat..."")"
