,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-05-25,@dagensindustri Stillfront kan bli nästa stora framgång för Sverige,1397267033499262983,4,0,,biljettfrmedlin,False,1500,"Translated(src=sv, dest=en, text=@dagensindustri Stillfront could be the next big success for Sweden, pronunciation=@dagensindustri Stillfront could be the next big success for Sweden, extra_data=""{'translat..."")"
1,1,2021-05-25,Finbörsen inget målsnöre för Stillfront – ska fortsätta att växa https://t.co/DdKfm6e0be,1397264269025103873,4,1,,biljettfrmedlin,False,1500,"Translated(src=sv, dest=en, text=Finbörsen no target for Stillfront - will continue to grow https://t.co/DdKfm6e0be, pronunciation=Finbörsen no target for Stillfront - will continue to grow https://t.co/DdKfm6e0be, extra_data=""{'translat..."")"
2,3,2021-05-25,"Mobilspelutvecklaren Stillfront tar på onsdagen steget in på finbörsen efter en formidabel tillväxtresa de senaste åren. Stillfront är sett till bolagsvärde ett nästan 150 gånger större bolag i dag än vid debuten på First North 2015.
https://t.co/j5JJILFo63",1397258992418795521,14,2,,dagensindustri,True,84563,"Translated(src=sv, dest=en, text=On Wednesday, the mobile game developer Stillfront will take the step into the stock market after a formidable growth journey in recent years. Stillfront, Stillfront is a company value almost 150 times larger today than at the debut at First North 2015.
https://t.co/j5JJILFo63, pronunciation=[[]], extra_data=""{'translat..."")"
3,4,2021-05-25,Se till att försöka bottenfiska om du tror på ett bolag. #stillfront https://t.co/L8OhPOrePp,1397227892254429194,9,0,,skaneavkastning,False,465,"Translated(src=sv, dest=en, text=Be sure to try bottom fishing if you believe in a company. #stillfront https://t.co/L8OhPOrePp, pronunciation=[[]], extra_data=""{'translat..."")"
4,5,2021-05-25,"Stillfront Group publ AB Teknisk analys av aktie (SFRG) brutit upp över ma5,ma10,ma20,ma50 https://t.co/EzZrafH60d",1397214770009362433,2,0,,biljettfrmedlin,False,1500,"Translated(src=sv, dest=en, text=Stillfront Group publ AB Technical analysis of shares (SFRG) broken up over ma5, ma10, ma20, ma50 https://t.co/EzZrafH60d, pronunciation=Stillfront Group publ AB Technical analysis of shares (SFRG) broken up over ma5, ma10, ma20, ma50 https://t.co/EzZrafH60d, extra_data=""{'translat..."")"
5,7,2021-05-25,Stillfront upp ca 5% inför morgondagen inträde på Sthlm huvudlista,1397201527060713472,6,0,,biljettfrmedlin,False,1500,"Translated(src=sv, dest=en, text=Still front up about 5% ahead of tomorrow's entry on Sthlm's main list, pronunciation=Still front up about 5% ahead of tomorrow's entry on Sthlm's main list, extra_data=""{'translat..."")"
6,8,2021-05-25,Sa någon Stillfront? $SF,1397201160335921154,1,0,,AmzDot,False,5,"Translated(src=sv, dest=en, text=Did anyone say Stillfront? $ SF, pronunciation=[[]], extra_data=""{'translat..."")"
7,12,2021-05-25,O framförallt börjar stillfront handlas på finbörsen from imorgon onsdag,1397152574357266435,3,0,,biljettfrmedlin,False,1500,"Translated(src=sv, dest=en, text=And above all, the still front will start trading on the stock exchange from tomorrow Wednesday, pronunciation=And above all, the still front will start trading on the stock exchange from tomorrow Wednesday, extra_data=""{'translat..."")"
8,13,2021-05-25,Spännande med stillfront på finbörsen imorgon.,1397145229694754816,0,0,,biljettfrmedlin,False,1500,"Translated(src=sv, dest=en, text=Exciting with a still front on the stock market tomorrow., pronunciation=Exciting with a still front on the stock market tomorrow., extra_data=""{'translat..."")"
9,14,2021-05-25,Stillfront Group publ AB Teknisk analys av aktie (SFRG) köp https://t.co/EzZrafH60d,1397099557486579714,3,0,,biljettfrmedlin,False,1500,"Translated(src=sv, dest=en, text=Stillfront Group publ AB Technical analysis of shares (SFRG) buy https://t.co/EzZrafH60d, pronunciation=Stillfront Group publ AB Technical analysis of shares (SFRG) buy https://t.co/EzZrafH60d, extra_data=""{'translat..."")"
