,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-10-05,"Imorgon onsdag noteras Storskogen på Nasdaq Stockholm. Priset per aktie i erbjudandet var 38,50 kr. https://t.co/xWYljehB2j",1445480130382471175,5,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Tomorrow Wednesday, Storskogen will be listed on Nasdaq Stockholm. The price per share in the offer was SEK 38.50. https://t.co/xWYljehB2j, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-10-05,"@bredholmen @JamesMavehack @Jrheartayc @GBredvid I mitt eget fall har en nyhet om Storskogen genererat en annan, sedan har det rullat på. Spretigt är det, men jag är inte säker på att det behöver vara fel. Tillväxten är helt klart imponerande och imorgon smäller det!",1445479600822181891,1,0,,EkonomiGabriel,False,7916,"Translated(src=sv, dest=en, text=@bredholmen @JamesMavehack @Jrheartayc @GBredvid In my own case, a news item about Storskogen has generated another, then it has rolled on. It's scattered, but I'm not sure it has to be wrong. The growth is clearly impressive and tomorrow it will explode!, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2021-10-05,"Imorgon går Storskogen $STOR till börsen, och ikväll bjuder jag på ett inlägg om just förvärv! Bl.a om varför förvärvsmodellen är så kraftfull, om compounder-hets, om incitament, och om konceptet Buyer of Choice. 

Enjoy 👉🏼 https://t.co/EMsehB4pVe https://t.co/1m8Dw7SsZA",1445466622433501192,83,5,,Prof_Kalkyl,False,41005,"Translated(src=sv, dest=en, text=Tomorrow Storskogen $ BIG goes to the stock exchange, and tonight I offer a post about just acquisitions! Among other things about why the acquisition model is so powerful, about compounding, about incentives, and about the concept Buyer of Choice.

Enjoy 👉🏼 https://t.co/EMsehB4pVe https://t.co/1m8Dw7SsZA, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-10-05,"Jag tecknade 0 aktier i Storskogen och lär få ångra det bittert som vanligt då dom flesta IPO:er går som tåget. 

Tecknade någon av er?

🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲",1445456489074679812,21,0,,Tripple65904021,False,4557,"Translated(src=sv, dest=en, text=I subscribed for 0 shares in Storskogen and will have to regret it bitterly as usual as most IPOs run like the train.

Did any of you draw?

🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲, pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2021-10-05,"Spännande dag imorgon. Har kritikerna rätt?
Efter att ha kikat på en del bolag som ägs så är min bedömning 👍 för #storskogen. Har tecknat!
Blir kanske inte samma trevliga resa som eqt bjudit på. Men tillräckligt bra för att platsa i portföljen. Sticker ut hakan å säger 50kr… https://t.co/IngBe1cpBt",1445444632532291590,9,0,,36procent,False,273,"Translated(src=sv, dest=en, text=Exciting day tomorrow. Are the critics right?
After looking at some companies that are owned, my assessment is 👍 for #storskogen. Have drawn!
May not be the same pleasant trip that eqt has offered. But good enough to fit in the portfolio. Sticks out the chin and says SEK 50… https://t.co/IngBe1cpBt, pronunciation=[[]], extra_data=""{'translat..."")"
5,6,2021-10-05,@EkonomiGabriel @AzelioOfficial Kul att ni skriver om nåt annat än Storskogen!,1445426306397741058,1,0,,astheworldfell,False,3,"Translated(src=sv, dest=en, text=@EkonomiGabriel @AzelioOfficial Glad you are writing about something other than Storskogen!, pronunciation=@EkonomiGabriel @AzelioOfficial Glad you are writing about something other than Storskogen!, extra_data=""{'translat..."")"
6,7,2021-10-05,#Storskogen #aktie #IPO #förstahandelsdag 6 oktober 2021 Få se om man får några aktier. Tror stark på bolaget https://t.co/697NKNBhWD,1445416985882513414,4,0,,3stripes777,False,47,"Translated(src=sv, dest=en, text=#Storskogen # share #IPO # first trading day 6 October 2021 See if you get any shares. Believes strongly in the company https://t.co/697NKNBhWD, pronunciation=[[]], extra_data=""{'translat..."")"
7,8,2021-10-05,@ekkalundin tecknade du storskogen?,1445405781768249350,0,0,,willestock,False,3,"Translated(src=sv, dest=en, text=@ekkalundin did you draw the big forest?, pronunciation=@ekkalundin did you draw the big forest?, extra_data=""{'translat..."")"
8,9,2021-10-05,Sista teckningsdag för #Storskogen inför noteringen på Stockholmsbörsen är idag (5/10) klockan 15.00. Tecknar du? Läs #AFV IPO-analys: https://t.co/wdIJIiLNon,1445370863545724935,3,0,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=The last subscription day for #Storskogen before the listing on the Stockholm Stock Exchange is today (5/10) at 15.00. Do you draw? Read #AFV IPO analysis: https://t.co/wdIJIiLNon, pronunciation=[[]], extra_data=""{'translat..."")"
9,10,2021-10-05,Spännande se hur Storskogen tas emot $skog. Tecknat på fyra konton.,1445365050089279495,7,0,,augustV71950006,False,326,"Translated(src=sv, dest=en, text=Exciting to see how Storskogen is received $ forest. Signed on four accounts., pronunciation=[[]], extra_data=""{'translat..."")"
10,11,2021-10-05,Just nu: Storskogen blir den tredje största noteringen någonsin på Stockholmsbörsen. 🍀 Läs mer på https://t.co/nyFznNpQ32 https://t.co/GaoFHQ74qh,1445358317577064450,1,0,,kaptenaab,False,1397,"Translated(src=sv, dest=en, text=Right now: Storskogen will be the third largest listing ever on the Stockholm Stock Exchange. 🍀 Read more at https://t.co/nyFznNpQ32 https://t.co/GaoFHQ74qh, pronunciation=[[]], extra_data=""{'translat..."")"
