,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-10-28,Teckningskursen för Synsam fastställd till 50kr. Handeln inleds imorgon.,1453828023183155209,4,0,,JonasJonsson92,False,1103,"Translated(src=sv, dest=en, text=The subscription price for Synsam is set at SEK 50. Trading begins tomorrow., pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-10-28,Synsam känns verkligen som ett bolag som sätts på börsen av ett riskkapitalbolag för att om 4-5 år köpas ut av ett annat riskkapitalbolag efter en nedgång på 50%,1453826831690440712,3,0,,GardeArriere,False,685,"Translated(src=sv, dest=en, text=Synsam really feels like a company that is put on the stock exchange by a venture capital company to be bought out by another venture capital company in 4-5 years after a decline of 50%, pronunciation=Synsam really feels like a company that is put on the stock exchange by a venture capital company to be bought out by another venture capital company in 4-5 years after a decline of 50%, extra_data=""{'translat..."")"
2,2,2021-10-28,Imorgon noteras #Synsam på Stockholmsbörsen. En flagga i IPO-guidens granskning 🚩Läs #AFV analys: https://t.co/cRvSJy3YcJ,1453784403608485888,0,1,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=Tomorrow #Synsam will be listed on the Stockholm Stock Exchange. A flag in the IPO guide's review 🚩Read #AFV analysis: https://t.co/cRvSJy3YcJ, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-10-28,@anderslindberg Själv fick jag dålig syn en vecka så jag fick gå till Synsam med perfekt syn efter spruta två även min svärfar och min frus arbetskamrat fick problem med synen en vecka en tredje kommer jag inte ta,1453782490389307405,0,0,,Marcus07763360,False,95,"Translated(src=sv, dest=en, text=@anderslindberg Myself I had poor eyesight for a week so I had to go to Synsam with perfect eyesight after syringe two also my father-in-law and my wife's co-worker had problems with eyesight for a week a third I will not take, pronunciation=@anderslindberg Myself I had poor eyesight for a week so I had to go to Synsam with perfect eyesight after syringe two also my father-in-law and my wife's co-worker had problems with eyesight for a week a third I will not take, extra_data=""{'translat..."")"
4,4,2021-10-28,"Tecknar Synsam.
Prisintervall sänkt till 46-50kr vilket gör det extra intressant.

Sista teckning idag kl 15:00",1453664136064389127,5,0,,csntradeRn,False,1211,"Translated(src=sv, dest=en, text=Draws Synsam.
Price range reduced to SEK 46-50, which makes it extra interesting.

Last drawing today at 15:00, pronunciation=[[]], extra_data=""{'translat..."")"
5,5,2021-10-28,"”Synsam erbjuder ett brett och innovativt utbud av produkter och tjänster inom optisk detaljhandel genom ett omnikanal-koncept.” 

Eller ”säljer glasögon”.",1453653738099462148,0,0,,christiansan123,False,190,"Translated(src=sv, dest=en, text=""Synsam offers a wide and innovative range of products and services in optical retail through an omnichannel concept.""

Or ""selling glasses""., pronunciation=[[]], extra_data=""{'translat..."")"
6,6,2021-10-28,"Sista teckningsdag för #Synsam  
inför noteringen på Stockholmsbörsen är idag torsdag klockan 15.00, tecknar du? Läs #AFV IPO-analys: https://t.co/cRvSJy3YcJ",1453639057066627073,1,1,,ipoguiden,False,3010,"Translated(src=sv, dest=en, text=Last subscription day for #Synsam
before the listing on the Stockholm Stock Exchange is today Thursday at 15.00, do you subscribe? Read #AFV IPO analysis: https://t.co/cRvSJy3YcJ, pronunciation=[[]], extra_data=""{'translat..."")"
7,8,2021-10-28,Synsam sista dag att teckna idag notering på Nasdaq imorgon. Di och Afv positiva. Tecknar ni #Synsam ? Dela och följ gärna.,1453597705008304128,3,1,,BullTrade12,False,906,"Translated(src=sv, dest=en, text=Visible last day to sign a listing on Nasdaq tomorrow tomorrow. Di and Afv positive. Do you sign #Synsam? Feel free to share and follow., pronunciation=[[]], extra_data=""{'translat..."")"
8,9,2021-10-28,"DING DING DING 🔔 

Idag är sista dagen att anmäla sig till noteringsaktuella Synsam Group AB.

Läs mer. 👇",1453593620364234753,1,1,,NordnetSE,False,23105,"Translated(src=sv, dest=en, text=DING DING DING 🔔

Today is the last day to register for the current Synsam Group AB.

Read more. 👇, pronunciation=[[]], extra_data=""{'translat..."")"
9,10,2021-10-27,@dplus_sportSE Synsam nasta....,1453444963036012547,1,0,,CptGulash,False,6,"Translated(src=sv, dest=en, text=@dplus_sportSE Synsam nasta ...., pronunciation=@dplus_sportSE Synsam nasta ...., extra_data=""{'translat..."")"
10,11,2021-10-27,"Ryggar ni Di och tecknar Synsam? 👍 👎

https://t.co/MU04TmRYQp",1453381981337792521,7,0,,borskollen_news,False,5753,"Translated(src=sv, dest=en, text=Do you turn your back and draw Synsam? 👎 👎

https://t.co/MU04TmRYQp, pronunciation=[[]], extra_data=""{'translat..."")"
11,12,2021-10-27,Tecknade du i Synsam?,1453364088608804870,0,0,,vildkatten,False,1180,"Translated(src=sv, dest=en, text=Did you draw in Synsam?, pronunciation=Did you draw in Synsam?, extra_data=""{'translat..."")"
12,14,2021-10-27,"Hittade lite 💰tecknade Volvo
Sålde lite Sedana M och Guard T, med förlust på AF/avdrag på skatten, tecknade lite Synsam..",1453321415042773000,0,0,,aktiesurfaren,False,47,"Translated(src=sv, dest=en, text=Found a little cartoon Volvo
Sold a little Sedana M and Guard T, with loss of AF / tax deduction, drew a little Synsam .., pronunciation=[[]], extra_data=""{'translat..."")"
