,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,33,2016-06-11,kodak slid tf outta big bank,741641961506021376,0,1,,demvri,False,470,"Translated(src=sv, dest=en, text=kodak slid tf outta big bank, pronunciation=kodak slid tf outta big bank, extra_data=""{'translat..."")"
1,37,2016-06-11,Vad tror vi om tf bank på tisdag? Raket eller slamkrypare? Erik selin är ankare #tfbank #ipo #borsnotering #balder,741544471066730496,1,0,,foppii,False,12,"Translated(src=sv, dest=en, text=What do we think about tf bank on Tuesday? Rocket or mud crawler? Erik selin is anchor #tfbank #ipo #borsnotering #balder, pronunciation=[[]], extra_data=""{'translat..."")"
2,62,2016-06-10,@gilmourkh Det är ju inte som att TF Bank inte har existerat fram till noteringen.,741292748578361344,0,0,,Trippelprillan,False,202,"Translated(src=sv, dest=en, text=@gilmourkh It is not as if TF Bank did not exist until the listing., pronunciation=@gilmourkh It is not as if TF Bank did not exist until the listing., extra_data=""{'translat..."")"
3,79,2016-06-09,"@Doktorkrabba ""största fan hahaha"" TF Bank AB tidsödande och svårt att värdera. verkar rätt billig men when in doubt stay out.",741036428935761920,0,0,,Buyb4its2l8,False,2909,"Translated(src=sv, dest=en, text=@Doktorkrabba ""biggest fan hahaha"" TF Bank AB time consuming and difficult to value. seems quite cheap but when in doubt stay out., pronunciation=[[]], extra_data=""{'translat..."")"
4,82,2016-06-09,"@Buyb4its2l8 Några tankar kring ""TF Bank AB"" , ""A Uni-Light LED AB"" eller ""Energi Komfort"" som går ut i dagarna? //Ditt största fan",741026424975425536,1,0,,Doktorkrabba,False,3576,"Translated(src=sv, dest=en, text=@ Buyb4its2l8 Any thoughts about ""TF Bank AB"", ""A Uni-Light LED AB"" or ""Energi Komfort"" that are coming out these days? // Your biggest fan, pronunciation=[[]], extra_data=""{'translat..."")"
5,87,2016-06-09,"@Johan945FT Faktiskt inte. Jag skrev lite om TF Bank i PG, men teckningskursen kom för sent så jag gav ingen rek.",740986901113491456,0,0,,MarcusHernhag,False,29610,"Translated(src=sv, dest=en, text=@ Johan945FT Actually not. I wrote a bit about TF Bank in PG, but the subscription price came too late so I gave no rec., pronunciation=[[]], extra_data=""{'translat..."")"
6,89,2016-06-09,"@MarcusHernhag på tal om nyintroduktioner, känner du till någon analys på TF Bank, vars sista teckningsdag är imorgon 10/6?",740926916362899457,0,0,,Johan945FT,False,21,"Translated(src=sv, dest=en, text=@MarcusHernhag speaking of new introductions, do you know of any analysis at TF Bank, whose last subscription day is tomorrow 10/6?, pronunciation=@MarcusHernhag speaking of new introductions, do you know of any analysis at TF Bank, whose last subscription day is tomorrow 10/6?, extra_data=""{'translat..."")"
7,95,2016-06-09,@pellelundgren @valuewizard tf bank kanske något att teckna . Än har Selin inte haft fel å han tecknar denna!,740855989486882816,0,0,,office3333,False,829,"Translated(src=sv, dest=en, text=@pellelundgren @valuewizard tf bank maybe something to draw. Selin has not been wrong yet, he is drawing this!, pronunciation=[[]], extra_data=""{'translat..."")"
8,97,2016-06-09,Tecknar ni i TF Bank?,740824990015193088,0,0,,thefeistyway,False,278,"Translated(src=sv, dest=en, text=Do you subscribe to TF Bank?, pronunciation=Do you subscribe to TF Bank?, extra_data=""{'translat..."")"
9,98,2016-06-09,@_Jokern_ hur gör du med TF bank?,740820055794028546,0,0,,biljettfrmedlin,False,1500,"Translated(src=sv, dest=en, text=@_Jokern_ how do you do with TF bank?, pronunciation=@_Jokern_ how do you do with TF bank?, extra_data=""{'translat..."")"
10,99,2016-06-09,Ngn som sett ngn rekommendation kring TF Bank? Sista dagen för teckning imorgon,740814868027166720,0,0,,biljettfrmedlin,False,1500,"Translated(src=sv, dest=en, text=Anyone seen any recommendation about TF Bank? Last day for drawing tomorrow, pronunciation=[[]], extra_data=""{'translat..."")"
