,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-12-08,Vad slutar Tobii Dynavox på imorgon?,1468686936109993987,0,0,,BorsBuddy,False,580,"Translated(src=sv, dest=en, text=What does Tobii Dynavox end up with tomorrow?, pronunciation=What does Tobii Dynavox end up with tomorrow?, extra_data=""{'translat..."")"
1,2,2021-12-08,Avknoppningen Tobii Dynavox börjar imorgon torsdag handlas på Stockholmsbörsen. https://t.co/y1xLxkEb3H,1468684860487311365,3,1,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=The spin-off Tobii Dynavox will start trading on the Stockholm Stock Exchange tomorrow Thursday. https://t.co/y1xLxkEb3H, pronunciation=[[]], extra_data=""{'translat..."")"
2,13,2021-12-06,"$TOBII handlas idag utan rätt till Dynavox senare i vecka, med andra ord ingen idé att komma utvecklingen idag 😂 -1503947383949473% sisådär",1467863367201267717,0,0,,aktiedrivet,False,250,"Translated(src=sv, dest=en, text=$ TOBII is traded today without the right to Dynavox later this week, in other words no idea to get the development today 😂 -1503947383949473% like this, pronunciation=$ TOBII is traded today without the right to Dynavox later this week, in other words no idea to get the development today 😂 -1503947383949473% like this, extra_data=""{'translat..."")"
3,15,2021-12-06,Dagens kursnedgångar i Tobii och Doro förklaras av avknoppningarna av Tobii Dynavox respektive Careium. Det totala värdet kommer synas igen när avknoppningarna börjar handlas på torsdag respektive fredag. #ingenkopåisen,1467827066779410432,6,0,,Finwire,False,23861,"Translated(src=sv, dest=en, text=Today's price declines in Tobii and Doro are explained by the spin - offs of Tobii Dynavox and Careium, respectively. The total value will be visible again when the spin-offs start trading on Thursday and Friday, respectively. #no cow on the ice, pronunciation=[[]], extra_data=""{'translat..."")"
4,16,2021-12-06,"Att Tobii Dynavox är kvalitet som förvaltar säger är klart. Frågan är bara när den kvarvarande delen måste ta in nya pengar, någon som har koll?",1467810875897696261,1,0,,Shortsqueeeze,False,7259,"Translated(src=sv, dest=en, text=That Tobii Dynavox is quality that the manager says is clear. The only question is when the remaining part has to bring in new money, anyone know?, pronunciation=[[]], extra_data=""{'translat..."")"
5,17,2021-12-06,#Tobii och #Doro ner i källaren efter avskilda avknoppningarna Tobii Dynavox och Careium som börjar handlas på torsdag resp fredag. https://t.co/66tRQzD44k,1467777328847671299,7,0,,Borsredaktion,False,22670,"Translated(src=sv, dest=en, text=#Tobii and #Doro down in the basement after the separated spin-offs Tobii Dynavox and Careium which start trading on Thursday and Friday respectively. https://t.co/66tRQzD44k, pronunciation=[[]], extra_data=""{'translat..."")"
6,19,2021-12-06,Första dag för handel i Tobii utan rätt till utdelning av aktier i Tobii Dynavox https://t.co/64F0F69S93,1467756077647237120,0,0,,CisionNews,False,2146,"Translated(src=sv, dest=en, text=First day of trading in Tobii without the right to distribute shares in Tobii Dynavox https://t.co/64F0F69S93, pronunciation=First day of trading in Tobii without the right to distribute shares in Tobii Dynavox https://t.co/64F0F69S93, extra_data=""{'translat..."")"
7,21,2021-12-06,"Tobii
Idag handlas Tobii exklusive rätt till Tobii Dynavox",1467738392284872712,0,0,,GAME858,False,8,"Translated(src=sv, dest=en, text=Tobii
Today, Tobii is traded excluding the right to Tobii Dynavox, pronunciation=[[]], extra_data=""{'translat..."")"
8,22,2021-12-06,Tobii handlas i dag exklusive rätt till aktier i Tobii Dynavox https://t.co/RgQUNP18sJ #corporateactions #dividend #ipo #stocks #tech,1467736068938252288,2,0,,Finwire,False,23861,"Translated(src=sv, dest=en, text=Tobii is traded today excluding the right to shares in Tobii Dynavox https://t.co/RgQUNP18sJ #corporateactions #dividend #ipo #stocks #tech, pronunciation=Tobii is traded today excluding the right to shares in Tobii Dynavox https://t.co/RgQUNP18sJ #corporateactions #dividend #ipo #stocks #tech, extra_data=""{'translat..."")"
9,23,2021-12-06,God morgon!  Riksbanken protokoll från penningpolitisk möte kl 09.30. Helsingforsbörsen har helgstängt för Finlands nationaldag. Kvix börjar idag handlas på Nordic SME. New Wave handlas ex-utdelning. Doro handlas ex-aktier i Careium och Tobii handlas ex-aktier i Tobii Dynavox.,1467722549790445571,7,2,,Finwire,False,23861,"Translated(src=sv, dest=en, text=Good morning! The Riksbank minutes from the monetary policy meeting at 09.30. The Helsinki Stock Exchange is closed for Finland's National Day on weekends. Kvix starts trading on Nordic SME today. New Wave trades ex-dividend. Doro trades ex-shares in Careium and Tobii trades ex-shares in Tobii Dynavox., pronunciation=[[]], extra_data=""{'translat..."")"
10,24,2021-12-05,"Intressant. 

Nordea Investor visar redan Tobii Dynavox aktier i min väska (+ Tobii aktier förstås) 💼, men på Avanza är aktier inte delade än.",1467439148529242117,1,0,,aktietinna,False,1064,"Translated(src=sv, dest=en, text=Interesting.

Nordea Investor already shows Tobii Dynavox shares in my bag (+ Tobii shares of course) 💼, but at Avanza shares are not shared yet., pronunciation=[[]], extra_data=""{'translat..."")"
11,60,2021-11-29,"December ser ut att bjuda på galet  många nykomlingar som ska hinna noteras före storhelgerna. Finwires kalenderdatabas har hittills 17 nya bolag som ska noteras i Stockholm i december, fördelat på 15 nyintroduktioner och två avknoppningar, Solid Försäkring och Tobii Dynavox.",1465295313284083713,4,0,,Finwire,False,23861,"Translated(src=sv, dest=en, text=December seems to offer a lot of crazy newcomers who should have time to be noted before the big holidays. Finwire's calendar database so far has 17 new companies to be listed in Stockholm in December, divided into 15 new introductions and two spin-offs, Solid Försäkring and Tobii Dynavox., pronunciation=[[]], extra_data=""{'translat..."")"
12,64,2021-11-27,"För de som missat ska tobii knoppa av delen dynavox. Tidigare har jag sålt av avknoppningar, jag har trott mer på hela bolaget än den delen, kanske tyckt att den delen var den svaga länken. I tobiis fall knoppar man av det ben som ger vinst, jag tänker inte sälja dynavox. Forts",1464496951978831872,0,0,,rw28021,False,552,"Translated(src=sv, dest=en, text=For those who missed, tobii should bud off the dynavox part. I have previously sold off spin-offs, I have believed more in the whole company than that part, maybe I thought that part was the weak link. In tobii's case, you bud off the bone that gives profit, I do not intend to sell dynavox. Continued, pronunciation=[[]], extra_data=""{'translat..."")"
13,67,2021-11-26,Tobii Dynavox är världens ledande leverantör av kommunikationshjälpmedel för personer med funktionsnedsättningar. Företaget knoppas av från Tobii och särnoteras på Nasdaq Stockholm. Intervju med vd Fredrik Ruben. https://t.co/EcEFJeTUsf https://t.co/LuoLXDyVIj,1464169651265589284,3,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Tobii Dynavox is the world's leading supplier of communication aids for people with disabilities. The company is spun off from Tobii and listed separately on Nasdaq Stockholm. Interview with CEO Fredrik Ruben. https://t.co/EcEFJeTUsf https://t.co/LuoLXDyVIj, pronunciation=[[]], extra_data=""{'translat..."")"
14,77,2021-11-23,Prospekt för Tobii Dynavox AB har publicerats https://t.co/RSchLpOYNS,1463162231034683406,0,0,,CisionNews,False,2146,"Translated(src=sv, dest=en, text=Prospectus for Tobii Dynavox AB has been published https://t.co/RSchLpOYNS, pronunciation=Prospectus for Tobii Dynavox AB has been published https://t.co/RSchLpOYNS, extra_data=""{'translat..."")"
