,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-09-28,"Imorgon onsdag börjar Transtema att handlas på Nasdaq Stockholm, en flytt från First North. https://t.co/1xYMcQWyso",1442935927651770369,2,1,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Tomorrow Wednesday, Transtema will start trading on Nasdaq Stockholm, a move from First North. https://t.co/1xYMcQWyso, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-09-26,"Bra kliv att ha genomlyst bolaget inför en börsnotering-men förstår inte vad de ska på börsen att göra. Kommer innebära oproportionerligt mycket tid på börsarbete - inte förvånad om snart uppköpt

Mölndalsjätten Transtema tar steget upp i börsens elitserie https://t.co/A6xBchM7Ok",1442004736866086917,0,0,,adamflauren,False,237,"Translated(src=sv, dest=en, text=Good step to have listed the company before an IPO - but do not understand what they are going to do on the stock exchange. Will mean a disproportionate amount of time on stock market work - not surprised if soon acquired

Mölndalsjätten Transtema takes the step up in the stock exchange's elite series https://t.co/A6xBchM7Ok, pronunciation=[[]], extra_data=""{'translat..."")"
2,2,2021-09-24,"Transtema
Listbyte till Stockholmsbörsens huvudlista 29 september
Ny strategi har banat väg till börsens huvudlista
Den nya inriktningen har skapat en kraftig tillväxt och bolaget är nu marknadsledande inom fältservice och drift med rikstäckning

https://t.co/bf8g98KSgy",1441441047540764680,1,0,,velatrader,False,1011,"Translated(src=sv, dest=en, text=Transtema
List change to the Stockholm Stock Exchange's main list 29 September
New strategy has paved the way for the stock exchange's main list
The new focus has created strong growth and the company is now the market leader in field service and nationwide operations.

https://t.co/bf8g98KSgy, pronunciation=[[]], extra_data=""{'translat..."")"
3,3,2021-09-22,@Arushaa92 Har du koll på Transtema som ändrar till Huvudlistan nästa vecka,1440729982947364874,0,0,,Stockpickern,False,464,"Translated(src=sv, dest=en, text=@ Arushaa92 Do you know about Transtema which changes to the Main List next week, pronunciation=@ Arushaa92 Do you know about Transtema which changes to the Main List next week, extra_data=""{'translat..."")"
4,4,2021-09-22,"Transtema / För den som vill läsa på inför listbytet till stockholmsbörsen den 29/9👍        

https://t.co/pCRuwiAmqS

En lönsam omsättningskrona, god tillväxt och positivt kassaflöde för 75öre..",1440655703245344777,0,0,,Tangotradern,False,1855,"Translated(src=sv, dest=en, text=Transtema / For those who want to read up before the list change to the Stockholm Stock Exchange on 29 / 9👍

https://t.co/pCRuwiAmqS

A profitable sales krona, good growth and positive cash flow for 75 öre .., pronunciation=[[]], extra_data=""{'translat..."")"
5,6,2021-09-20,"@NiclasVestlund Transtema och Vo2 går blått, resten...",1439855651308646401,1,0,,toblund,False,674,"Translated(src=sv, dest=en, text=@NiclasVestlund Transtema and Vo2 go blue, the rest ..., pronunciation=@NiclasVestlund Transtema and Vo2 go blue, the rest ..., extra_data=""{'translat..."")"
6,8,2021-09-17,Transtema godkänns för notering på Nasdaq Stockholm den 29 september https://t.co/i7BgwZx1xZ #corporateactions #tech #telecom,1438876395820683265,2,1,,FinwireSmallcap,False,10175,"Translated(src=sv, dest=en, text=Transtema approved for listing on Nasdaq Stockholm on September 29 https://t.co/i7BgwZx1xZ #corporateactions #tech #telecom, pronunciation=Transtema approved for listing on Nasdaq Stockholm on September 29 https://t.co/i7BgwZx1xZ #corporateactions #tech #telecom, extra_data=""{'translat..."")"
7,9,2021-09-17,Transtema! 29/9 flyttas handeln till stockholmsbörsen. Någon mer som är intresserad av att köpa en lönsam omsättningskrona för 70öre i ett bolag med bra tillväxt och positivt kassaflöde. Innan listbytet summerar vi till 0 institutionellt ägande😉 https://t.co/wf5w401iGR,1438874443632238603,0,0,,Tangotradern,False,1855,"Translated(src=sv, dest=en, text=Transtema! 29/9 trading is moved to the Stockholm Stock Exchange. Someone else who is interested in buying a profitable sales krona for 70 öre in a company with good growth and positive cash flow. Before changing the list, we add up to 0 institutional ownership😉 https://t.co/wf5w401iGR, pronunciation=[[]], extra_data=""{'translat..."")"
8,11,2021-09-17,Transtema har godkänts för notering på Nasdaq Stockholm och publicerar prospekt https://t.co/j4ew2aVozD,1438860802136543235,1,0,,CisionNews,False,2146,"Translated(src=sv, dest=en, text=Transtema has been approved for listing on Nasdaq Stockholm and publishes prospectus https://t.co/j4ew2aVozD, pronunciation=Transtema has been approved for listing on Nasdaq Stockholm and publishes prospectus https://t.co/j4ew2aVozD, extra_data=""{'translat..."")"
9,14,2021-09-13,Transtema / Intressant utspel från CFO i presentationen hos Penser om att bolaget ska ta sig an service och drift av laddststioner för elbilar. Idag finns det runt 150.000st. 10ggr fler om 5 år?,1437316901743509511,0,0,,Tangotradern,False,1855,"Translated(src=sv, dest=en, text=Transtema / Interesting proposal from the CFO in the presentation at Penser that the company will take on service and operation of charging stations for electric cars. Today there are around 150,000. 10 times more in 5 years?, pronunciation=[[]], extra_data=""{'translat..."")"
10,15,2021-09-12,"@Kavastu Transtema ser ju bra ut!

Tror på bioservo kommer att gör något likadant snart",1437177866853273603,1,0,,hellzbellza,False,139,"Translated(src=sv, dest=en, text=@Kavastu Transtema looks good!

Believe in bioservo will do something similar soon, pronunciation=[[]], extra_data=""{'translat..."")"
11,16,2021-09-12,@Byggtrader Har du kollat på #Transtema? $TRANS,1436998295738531842,5,0,,AbsolutelyMint_,False,563,"Translated(src=sv, dest=en, text=@Byggtrader Have you checked out #Transtema? $ TRANS, pronunciation=[[]], extra_data=""{'translat..."")"
12,17,2021-09-10,"Nytt i portföljen denna veckan blev Transtema och Smartoptics 🇳🇴 - båda under radarn
Ovzon fick tidigare lämna pga försenat uppskjut, Xpecunia såldes efter rapporten. Minskat en del i Freja och ökat i Isab som väger tyngst i portföljen just nu
Nu tar vi helg!",1436422948995403779,4,0,,velatrader,False,1011,"Translated(src=sv, dest=en, text=New in the portfolio this week was Transtema and Smartoptics 🇳🇴 - both under the radar
Ovzon had to leave earlier due to delayed postponement, Xpecunia was sold after the report. Decreased a bit in Freja and increased in Isab, which weighs the most in the portfolio right now
Now we're taking a weekend off!, pronunciation=[[]], extra_data=""{'translat..."")"
13,18,2021-09-10,"Transtema, känns som att marknaden börjar få upp ögonen för caset nu😉 En lönsam tillväxtkrona för 75 öre….",1436263817110073388,2,0,,Tangotradern,False,1855,"Translated(src=sv, dest=en, text=Transtema, feels like the market is starting to open its eyes to the case now😉 A profitable growth krona for 75 öre…., pronunciation=Transtema, feels like the market is starting to open its eyes to the case now😉 A profitable growth krona for 75 öre…., extra_data=""{'translat..."")"
