,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,59,2019-06-27,@avanzabank Fick ni några Traton tilldelade som bokas in till kunderna i morgon?,1144273533423386624,0,0,,olofsson71,False,269,"Translated(src=sv, dest=en, text=@avanzabank Did you get any Traton awarded that will be booked in to customers tomorrow?, pronunciation=@avanzabank Did you get any Traton awarded that will be booked in to customers tomorrow?, extra_data=""{'translat..."")"
1,65,2019-06-27,"Investing com 📰 Handelsstarten i Traton i morgon samordnas av börserna i Stockholm och Frankfurt
https://t.co/M5jQYRJQxU",1144250686760194050,0,0,,fininsyn,False,7819,"Translated(src=sv, dest=en, text=Investing com 📰 The start of trading in Traton tomorrow is coordinated by the stock exchanges in Stockholm and Frankfurt
https://t.co/M5jQYRJQxU, pronunciation=[[]], extra_data=""{'translat..."")"
2,66,2019-06-27,Handelsstarten i Traton i morgon samordnas av börserna i Stockholm och Frankfurt - https://t.co/ey0pCLSBZD,1144249293160800257,0,0,,InvestingSverig,False,1381,"Translated(src=sv, dest=en, text=The start of trading in Traton tomorrow is coordinated by the stock exchanges in Stockholm and Frankfurt - https://t.co/ey0pCLSBZD, pronunciation=The start of trading in Traton tomorrow is coordinated by the stock exchanges in Stockholm and Frankfurt - https://t.co/ey0pCLSBZD, extra_data=""{'translat..."")"
3,68,2019-06-27,"Fredagen den 28 juni noteras Traton i Stockholm och Frankfurt. Vänligen notera att öppningsprocessen på Nasdaq Stockholm kommer inledas med en 10-minuters öppningsauktion från kl. 9.15, följt av öppning och kontinuerlig handel från kl. 9.25. https://t.co/eZ3YKjFZZ4",1144235839448322048,1,1,,NordnetSE,False,23117,"Translated(src=sv, dest=en, text=On Friday 28 June, Traton will be listed in Stockholm and Frankfurt. Please note that the opening process on Nasdaq Stockholm will begin with a 10-minute opening auction from 9.15, followed by opening and continuous trading from kl. 9.25. https://t.co/eZ3YKjFZZ4, pronunciation=[[]], extra_data=""{'translat..."")"
4,70,2019-06-27,Handelsstarten i Traton i morgon samordnas av börserna i Stockholm och Frankfurt https://t.co/XKrqlf4tln #automotive #commercialvehicles #corporateactions #industrials #ipo #stocks,1144233690257604609,0,0,,Finwire,False,23860,"Translated(src=sv, dest=en, text=The start of trading in Traton tomorrow is coordinated by the stock exchanges in Stockholm and Frankfurt https://t.co/XKrqlf4tln #automotive #commercialvehicles #corporateactions #industrials #ipo #stocks, pronunciation=The start of trading in Traton tomorrow is coordinated by the stock exchanges in Stockholm and Frankfurt https://t.co/XKrqlf4tln #automotive #commercialvehicles #corporateactions #industrials #ipo #stocks, extra_data=""{'translat..."")"
5,72,2019-06-27,"Sista teckningsdag för #Traton idag (27/6), tecknar du? Läs analysen som #prenumerant: https://t.co/kb6WVZy18d",1144231617361260544,0,0,,AFV_Analys,False,8656,"Translated(src=sv, dest=en, text=Last drawing day for #Traton today (27/6), are you drawing? Read the analysis as a #subscriber: https://t.co/kb6WVZy18d, pronunciation=[[]], extra_data=""{'translat..."")"
6,77,2019-06-27,"Nasdaq har senarelagt det hela till 09:15 resp 09:25 för Traton. Följande gäller:

Från 09:15 kan man lägga in order och sedan kommer callen sluta 09:25 följt av kontenuerlig handel imorgon den 28/6. Eurpoas största IPO iår om källorna stämmer.",1144208109574991874,7,1,,JonasJonsson92,False,1104,"Translated(src=sv, dest=en, text=Nasdaq has postponed it all to 09:15 and 09:25 for Traton. The following applies:

From 09:15 you can place an order and then the call will end at 09:25 followed by continuous trading tomorrow on 28/6. Europe's largest IPO this year if the sources are correct., pronunciation=None, extra_data=""{'translat..."")"
7,81,2019-06-27,Imorgon börjar Traton handlas! PS. Säger ni Traaaton eller Trejton?  https://t.co/bUToKoOTsZ,1144198274338959360,3,0,,FridaNordnet,False,15195,"Translated(src=sv, dest=en, text=Tomorrow Traton starts trading! PS. Do you say Traaaton or Trejton? https://t.co/bUToKoOTsZ, pronunciation=[[]], extra_data=""{'translat..."")"
8,96,2019-06-27,"Imorgon noteras Traton där bl.a Scania ingår. @JockeBornold tycker dock att Volvo är ett bättre bet på sektorn.
📽 Hela programmet: https://t.co/E5AmkczUVx https://t.co/k4HvELXp6F",1144167481440899072,10,2,,EFNMarknad,False,16856,"Translated(src=sv, dest=en, text=Tomorrow, Traton will be listed, which includes Scania. @JockeBornold, however, thinks that Volvo is a better bet on the sector.
📽 The entire program: https://t.co/E5AmkczUVx https://t.co/k4HvELXp6F, pronunciation=[[]], extra_data=""{'translat..."")"
9,97,2019-06-27,"Tecknat 2 minsta poster i #traton
Mycket för och emot så blir lite av en chansning.",1144163502749298688,0,0,,styrman16,False,173,"Translated(src=sv, dest=en, text=Signed 2 smallest entries in #traton
A lot of pros and cons becomes a bit of a gamble., pronunciation=[[]], extra_data=""{'translat..."")"
