,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,13,2021-10-07,"Truecaller är nästa stora börsnotering, aktien börjar handlas på Nasdaq Stockholm i morgon fredag. Prospektet är på 170 sidor, sex banker arbetar med noteringen och emissionskostnaderna landar på 75 miljoner kronor, betydligt lägre än Storskogen som noterades i onsdags.",1446204307498541061,10,1,,Finwire,False,23861,"Translated(src=sv, dest=en, text=Truecaller is the next major IPO, the share will start trading on Nasdaq Stockholm tomorrow Friday. The prospectus is 170 pages long, six banks are working on the listing and the issue costs land at SEK 75 million, significantly lower than Storskogen which was listed on Wednesday., pronunciation=[[]], extra_data=""{'translat..."")"
1,31,2021-10-07,"Den svenska techsuccén Truecaller når börsen på fredagen – här är avtalet som ger en enda person egen röstmajoritet.
https://t.co/4RVKfVlqLS",1446139502339059713,1,1,,SvDNaringsliv,True,40388,"Translated(src=sv, dest=en, text=The Swedish tech success Truecaller reaches the stock market on Friday - here is the agreement that gives a single person their own majority of votes.
https://t.co/4RVKfVlqLS, pronunciation=[[]], extra_data=""{'translat..."")"
2,41,2021-10-07,"(4/5) @Truecaller är den ledande globala plattformen för att verifiera kontakter och blockera oönskade samtal och meddelanden. Deras vision är att göra morgondagens kommunikation smartare, säkrare och effektivare.",1446112812418232325,0,0,,Hubinscom,False,6,"Translated(src=sv, dest=en, text=(4/5) @Truecaller is the leading global platform for verifying contacts and blocking unwanted calls and messages. Their vision is to make tomorrow's communication smarter, more secure and more efficient., pronunciation=[[]], extra_data=""{'translat..."")"
3,42,2021-10-07,(1/5) @Truecaller som är ett av innehaven i Hubins onoterade investeringsutbud ska nu notera sina aktier på Nasdaq Stockholm. För dem investerare som haft sina Truecaller-aktier i en kapitalförsäkring hos Hubins har detta inneburit unika fördelar redan innan marknadsnoteringen. https://t.co/0j1zO55KcE,1446112798447050782,1,0,,Hubinscom,False,6,"Translated(src=sv, dest=en, text=(1/5) @Truecaller, which is one of the holdings in Hubin's unlisted investment offering, will now list its shares on Nasdaq Stockholm. For those investors who have had their Truecaller shares in a endowment insurance with Hubins, this has meant unique benefits even before the market listing. https://t.co/0j1zO55KcE, pronunciation=[[]], extra_data=""{'translat..."")"
4,50,2021-10-07,"@DKristoffersson Ojojoj, låter som han borde haft Truecaller på telefonen. Då hade han sluppit gissa och vågar svara! 🙌🏽",1446097494983815179,26,0,,Truecaller,True,127545,"Translated(src=sv, dest=en, text=@DKristoffersson Ojojoj, sounds like he should have Truecaller on the phone. Then he would have stopped guessing and dare to answer! 🙌🏽, pronunciation=[[]], extra_data=""{'translat..."")"
5,54,2021-10-07,Eftersom mitt CV blev en av varningsflaggorna i @AFV_Analys om Truecaller så tänkte jag att det endast är rätt om man får ta del av mitt CV https://t.co/EQ35KuK56C,1446081942609448961,11,0,,annikapoutiaine,False,1932,"Translated(src=sv, dest=en, text=Since my CV became one of the warning flags in @AFV_Analys about Truecaller, I thought it was only right if you can take part of my CV https://t.co/EQ35KuK56C, pronunciation=Since my CV became one of the warning flags in @AFV_Analys about Truecaller, I thought it was only right if you can take part of my CV https://t.co/EQ35KuK56C, extra_data=""{'translat..."")"
6,55,2021-10-07,"@DammnGirll Truecaller ha kya if yes, spam me daalne ka aur block kr dena ka",1446075170003644418,0,0,,iam_goru,False,256,"Translated(src=sv, dest=en, text=@DammnGirll Truecaller ha kya if yes, spam me daalne ka aur block kr dena ka, pronunciation=@DammnGirll Truecaller ha kya if yes, spam me daalne ka aur block kr dena ka, extra_data=""{'translat..."")"
7,63,2021-10-07,"@csntradeRn Skev upp mig på Flat istället (innehåller truecaller) 
Flat Capital AB - IPO
Sista svarsdag 2021-10-13
https://t.co/RjYSMvbj7M",1446055583476506630,1,0,,torslandatrader,False,2976,"Translated(src=sv, dest=en, text=@csntradeRn Skewed me up on Flat instead (contains truecaller)
Flat Capital AB - IPO
Last response day 2021-10-13
https://t.co/RjYSMvbj7M, pronunciation=[[]], extra_data=""{'translat..."")"
8,67,2021-10-07,"Tänker inte teckna Truecaller (sista idag kl 15:00).
Någon som tecknar som kan ändra  mig?",1446047135028350977,1,1,,csntradeRn,False,1211,"Translated(src=sv, dest=en, text=Do not intend to sign Truecaller (last today at 15:00).
Anyone drawing who can change me?, pronunciation=[[]], extra_data=""{'translat..."")"
9,87,2021-10-07,"Teckningskursen i Truecaller ser ut att bli 52 kronor

Meddelande från bookrunner

ORDERS BELOW SEK 52 RISK MISSING
BOOKS MULTIPLE TIMES OVERSUBSCRIBED AT THAT LEVEL https://t.co/quYCLedPL8",1445993856311431168,18,0,,ekkalundin,False,45827,"Translated(src=sv, dest=en, text=The subscription price in Truecaller looks to be SEK 52

Message from bookrunner

ORDERS BELOW SEK 52 RISK MISSING
BOOKS MULTIPLE TIMES OVERSUBSCRIBED AT THAT LEVEL https://t.co/quYCLedPL8, pronunciation=[[]], extra_data=""{'translat..."")"
