,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,5,2021-10-28,@TEXOTX @svtnyheter Vad är inte Kinesiskt idag? Det du sitter och kommenterar med är tillverkat där. Volvo Cars har iaf en fabriker som skapar Svenska jobb och som köper plåt från SSAB som många svenskar jobbar. SSAB köper malm från LKAB  osv…,1453833140141793284,1,0,,_SHmasen_,False,18,"Translated(src=sv, dest=en, text=@TEXOTX @svtnyheter What is not Chinese today? What you sit and comment on is made there. Volvo Cars already has factories that create Swedish jobs and that buy sheet metal from SSAB, which many Swedes work for. SSAB buys ore from LKAB etc…, pronunciation=[[]], extra_data=""{'translat..."")"
1,6,2021-10-28,Ja har fått grov fomo för Volvo Cars börsnotering för ja missa teckna https://t.co/I1agHHeUAA,1453831876087631879,2,0,,shiamoisture,False,3383,"Translated(src=sv, dest=en, text=Ja has received a rough fomo for Volvo Cars' listing for yes miss sign https://t.co/I1agHHeUAA, pronunciation=Ja has received a rough fomo for Volvo Cars' listing for yes miss sign https://t.co/I1agHHeUAA, extra_data=""{'translat..."")"
2,14,2021-10-28,"Fredag den 29 oktober rullar Volvo Cars in på Stockholmsbörsen. Det blir den näst största noteringen i Sverige, bara Telias notering för över 20 år sedan var större.

https://t.co/oaTlaFuVz1",1453822407228203012,9,1,,svtnyheter,True,252573,"Translated(src=sv, dest=en, text=On Friday, October 29, Volvo Cars will roll on the Stockholm Stock Exchange. It will be the second largest listing in Sweden, only Telia's listing over 20 years ago was larger.

https://t.co/oaTlaFuVz1, pronunciation=[[]], extra_data=""{'translat..."")"
3,18,2021-10-28,"Volvo Cars ser ut att bli den folkaktie som ledningen hoppats. Samtidigt har märket tappat greppet om de svenska bilkunderna.
Från att stadigt ha haft en marknadsandel på runt 20 procent är man de senaste månaderna nere i under 10 procent.
https://t.co/GYwYFlJLz8",1453809751985381377,2,1,,dagensindustri,True,84548,"Translated(src=sv, dest=en, text=Volvo Cars looks to be the people's share that the management hoped for. At the same time, the brand has lost its grip on Swedish car customers.
From having steadily had a market share of around 20 percent, it has been down to less than 10 percent in recent months.
https://t.co/GYwYFlJLz8, pronunciation=[[]], extra_data=""{'translat..."")"
4,26,2021-10-28,"@tomimi @UAehlman @Snyggois @BengtHojer Glöm inte att Geely sedan investerade över 100 miljarder SEK i Volvo Cars. Renoverade och byggde nya fabriker, tog fram flera nya plattformar och strategier för eldrift och självkörande fordon. Vad gjorde svenska investerare? Ingenting..🤔",1453795963697573894,2,0,,S12070,False,111,"Translated(src=sv, dest=en, text=@tomimi @UAehlman @Snyggois @BengtHojer Do not forget that Geely then invested over SEK 100 billion in Volvo Cars. Renovated and built new factories, developed several new platforms and strategies for electric operation and self-driving vehicles. What did Swedish investors do? Nothing..🤔, pronunciation=[[]], extra_data=""{'translat..."")"
5,28,2021-10-28,"Bra för jobben för den framtida innovationskraften. Det är två argument som förs fram från fackligt håll när de ger tummen upp för Volvo Cars börsnotering.
https://t.co/oX8f0njexW",1453793662224289795,3,2,,SvDNaringsliv,True,40388,"Translated(src=sv, dest=en, text=Good for jobs for the future power of innovation. There are two arguments put forward from the union when they give the thumbs up to Volvo Cars' listing.
https://t.co/oX8f0njexW, pronunciation=[[]], extra_data=""{'translat..."")"
6,39,2021-10-28,"8. Större spelaren (Lundberg) bygger vidare. Geelys andel nu betydligt lägre.
9. Här någonstans kan jag tänka mig att köpa.
10. Om 20 år har Lundbergs ättlingar fusionerat Volvo och Volvo Cars igen :-)

#volvocars $VOLV",1453765722098765827,1,0,,stoxholm,False,640,"Translated(src=sv, dest=en, text=8. The bigger player (Lundberg) builds on. Geely's share is now significantly lower.
9. Here somewhere I can imagine buying.
10. In 20 years, Lundberg's descendants have merged Volvo and Volvo Cars again :-)

#volvocars $ VOLV, pronunciation=[[]], extra_data=""{'translat..."")"
7,47,2021-10-28,"”Men ändå vilar diktaturens skugga över Volvo Cars notering.”
Intressant genomgång av läget runt Volvo Cars av @Frisund 
https://t.co/m5BELTQOPA",1453754883912445961,1,0,,CBrask,True,2652,"Translated(src=sv, dest=en, text=""But still the dictatorship's shadow rests on Volvo Car's listing.""
Interesting review of the situation around Volvo Cars by @Frisund
https://t.co/m5BELTQOPA, pronunciation=[[]], extra_data=""{'translat..."")"
8,49,2021-10-28,Volvo cars aktie vad talar för eller emot?,1453750862359285764,0,0,,Lassiter56,False,136,"Translated(src=sv, dest=en, text=Volvo cars share what speaks for or against?, pronunciation=Volvo cars share what speaks for or against?, extra_data=""{'translat..."")"
9,50,2021-10-28,"@j_olavi Hur ser du på Volvo Cars notering, teckna eller ej?",1453748287010447368,0,0,,therocket_12,False,1,"Translated(src=sv, dest=en, text=@j_olavi How do you view Volvo Cars' listing, drawing or not?, pronunciation=@j_olavi How do you view Volvo Cars' listing, drawing or not?, extra_data=""{'translat..."")"
