,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2020-10-12,När får man reda på tilldelning i Wästbygg @NordnetSE ??,1315625108413861888,0,0,,marbengtt,False,109,"Translated(src=sv, dest=en, text=When will you find out about the award in Wästbygg @NordnetSE ??, pronunciation=When will you find out about the award in Wästbygg @NordnetSE ??, extra_data=""{'translat..."")"
1,1,2020-10-12,@KentEklund Du hakade väl på Wästbygg?,1315555519059419136,0,0,,Mirsusnexum,False,80,"Translated(src=sv, dest=en, text=@KentEklund You hooked on Wästbygg, right?, pronunciation=@KentEklund You hooked on Wästbygg, right?, extra_data=""{'translat..."")"
2,2,2020-10-10,@TommyGr4 #Svolder ska se vart de tar vägen nu när de ändrade Wästbygg,1314959755581022208,1,0,,magnus99999,False,471,"Translated(src=sv, dest=en, text=@ TommyGr4 #Svolder will see where they go now that they changed Wästbygg, pronunciation=@ TommyGr4 #Svolder will see where they go now that they changed Wästbygg, extra_data=""{'translat..."")"
3,3,2020-10-10,"Under den gångna veckan har #AFV skrivit analyser om #Medicover #OEMInternational #Amhult2 #Wästbygg #Klimator #SurgicalScience #TietoEvry #Curasight #Lohilo #Ratos samt Buy&amp;Hold-portföljen och Afv-portföljen.
https://t.co/otbosJ2n3k",1314839702621609986,3,0,,AFV_Analys,False,8656,"Translated(src=sv, dest=en, text=During the past week, #AFV has written analyzes of #Medicover #OEMInternational # Amhult2 # Wästbygg #Klimator #SurgicalScience #TietoEvry #Curasight #Lohilo #Ratos as well as the Buy & Hold portfolio and the Afv portfolio.
https://t.co/otbosJ2n3k, pronunciation=[[]], extra_data=""{'translat..."")"
4,4,2020-10-09,Sista dagen att teckna Wästbygg. Första dag för handel på tisdag. Jag kör en teckna-sälj. https://t.co/yj3Whe3fc3,1314580650536570881,5,0,,stock_trap,False,7557,"Translated(src=sv, dest=en, text=Last day to sign Wästbygg. First day of trading on Tuesday. I'm running a draw sale. https://t.co/yj3Whe3fc3, pronunciation=[[]], extra_data=""{'translat..."")"
5,5,2020-10-09,IPO-intervju med vd för Wästbygg https://t.co/7yP5GIyExO https://t.co/RKyvzUPrMQ,1314539402505474049,5,0,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=IPO interview with CEO of Wästbygg https://t.co/7yP5GIyExO https://t.co/RKyvzUPrMQ, pronunciation=IPO interview with CEO of Wästbygg https://t.co/7yP5GIyExO https://t.co/RKyvzUPrMQ, extra_data=""{'translat..."")"
6,6,2020-10-09,"Byggföretaget Wästbygg, som är på väg mot Stockholmsbörsen, ser en förhållandevis bra marknad för att bygga bostäder och ska samtidigt satsa ännu mer på samhällsfastigheter.
https://t.co/KqYPC3WkqW",1314532120761643008,2,0,,dagensindustri,True,84838,"Translated(src=sv, dest=en, text=The construction company Wästbygg, which is on its way to the Stockholm Stock Exchange, sees a relatively good market for building housing and will at the same time invest even more in community properties.
https://t.co/KqYPC3WkqW, pronunciation=[[]], extra_data=""{'translat..."")"
7,7,2020-10-09,Sista dagen att teckna Wästbygg. Jag tecknar.,1314527220875096064,1,0,,Cyanidet,False,2039,"Translated(src=sv, dest=en, text=Last day to sign Wästbygg. I draw., pronunciation=[[]], extra_data=""{'translat..."")"
8,8,2020-10-09,"‼️En FYI om IPOn för Wästbygg Gruppen‼️

Anmälningstiden är fram till och med idag klockan 17:00 och INTE 23:59 som brukar vara cutoff-tiden för sista anmälningsdagen.

Mer info hittar du här:

https://t.co/GT9gpLPEsY

(Tack @PengarIFickan)",1314464929949405187,7,0,,NordnetAxel,False,22274,"Translated(src=sv, dest=en, text=‼ ️A FYI about the IPO for Wästbygg Gruppen‼ ️

The registration time is until today at 17:00 and NOT 23:59 which is usually the cutoff time for the last registration day.

More info can be found here:

https://t.co/GT9gpLPEsY

(Thanks @PengarIFickan), pronunciation=[[]], extra_data=""{'translat..."")"
9,10,2020-10-09,"@Investeraren @KullJohanna @avanzabank 
Går det inte att teckna wästbygg hos er? Vet att sista dagen är idag så är sen på bollen..",1314456702578757633,0,0,,TwitchGoofy,False,687,"Translated(src=sv, dest=en, text=@Investor @KullJohanna @avanzabank
Is it not possible to sign västbygg with you? Know that the last day is today so is late on the ball .., pronunciation=[[]], extra_data=""{'translat..."")"
10,11,2020-10-09,"DING DING DING 🔔
Idag, senast 17:00, är det sista dagen att anmäla sig till noteringsaktuella Wästbygg Gruppen 👇
https://t.co/wvGdXt5Def https://t.co/vfIrjTMkez",1314453038548033536,5,0,,NordnetSE,False,23117,"Translated(src=sv, dest=en, text=DING DING DING 🔔
Today, no later than 17:00, is the last day to register for the current Wästbygg Gruppen 👇
https://t.co/wvGdXt5Def https://t.co/vfIrjTMkez, pronunciation=[[]], extra_data=""{'translat..."")"
11,12,2020-10-09,"Det är rimligt att aktiemarknaden värderar upp Wästbygg vid noteringen. För det talar värderingen i absoluta tal samt att fastighetskungen Rutger Arnhult hellre vill bli utspädd i fastighetsbolaget Klöverns kommande nyemission än säljer Wästbygg-aktier. 
https://t.co/ddyCgL4xU3",1314449569409912833,1,0,,dagensindustri,True,84838,"Translated(src=sv, dest=en, text=It is reasonable for the stock market to value Wästbygg at the time of listing. The valuation speaks for itself in absolute terms and that the real estate king Rutger Arnhult would rather be diluted in the real estate company Klövern's upcoming new issue than sell Wästbygg shares.
https://t.co/ddyCgL4xU3, pronunciation=[[]], extra_data=""{'translat..."")"
12,13,2020-10-08,Dagens industri ger en teckna-rekommendation till Wästbygg. Tidigare har Börsveckan och Affärsvärlden gett samma rekommendation. https://t.co/SNrmnY9j7Y,1314298346538823680,10,1,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=Today's industry gives a draw recommendation to Wästbygg. Previously, Börsveckan and Affärsvärlden have given the same recommendation. https://t.co/SNrmnY9j7Y, pronunciation=[[]], extra_data=""{'translat..."")"
13,14,2020-10-08,"Wästbygg ser ut att gå mot en populär notering. Affärsvärlden ger tummen upp och rekommenderar att teckna i analys släppt igår.
@Investeraren Har du nån tanke kring denna IPO?",1314192431534010370,5,0,,Balzamon1,False,33,"Translated(src=sv, dest=en, text=Wästbygg seems to be moving towards a popular listing. The business world gives the thumbs up and recommends signing in analysis released yesterday.
@Investor Do you have any thoughts on this IPO?, pronunciation=[[]], extra_data=""{'translat..."")"
14,15,2020-10-08,"Sista chansen teckna B-aktier i Wästbygg Gruppen
På fredag den 9 oktober klockan 17:00 går anmälningstiden ut för att teckna B-aktier i Wästbygg Gruppen. Passa på att teckna nu om du är intresserad av ett väletablerat entreprenad- och projektutvecklin..
https://t.co/e72kTP6iwK https://t.co/GsWazUZ9wZ",1314161818739277827,5,0,,Aktiellt,False,13756,"Translated(src=sv, dest=en, text=Last chance to subscribe for B shares in the Wästbygg Group
On Friday, October 9 at 17:00, the registration period expires to subscribe for B shares in the Wästbygg Group. Take the opportunity to sign up now if you are interested in a well-established contract and project development.
https://t.co/e72kTP6iwK https://t.co/GsWazUZ9wZ, pronunciation=[[]], extra_data=""{'translat..."")"
15,16,2020-10-08,"@alpackainvest ""Wästbygg ger ett välskött intryck med vd Jörgen Andersson som rattat verksamheten sedan 2003. Tillväxten imponerar och aktiens pris kring 10 gånger rörelseresultatet är godkänt om än kanske inte rabatterat mot övriga byggbolag på börsen"", skriver tidningen.",1314133344297328646,1,0,,Jari64Topi,False,1561,"Translated(src=sv, dest=en, text=@alpackainvest ""Wästbygg gives a well-managed impression with CEO Jörgen Andersson who has managed the business since 2003. Growth is impressive and the share price around 10 times the operating profit is approved, although perhaps not discounted to other construction companies on the stock exchange,"" the newspaper writes., pronunciation=@alpackainvest ""Wästbygg gives a well-managed impression with CEO Jörgen Andersson who has managed the business since 2003. Growth is impressive and the share price around 10 times the operating profit is approved, although perhaps not discounted to other construction companies on the stock exchange,"" the newspaper writes., extra_data=""{'translat..."")"
16,17,2020-10-07,"@MinimalistInve1 Inget tärningsbetyg. Det är mindre bolag med relativt hög risk som får tärningsbetyg, så Wästbygg verkar ha fått äran att hamna i den lite mer stabila kategorin.",1313879046028251137,2,0,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=@ MinimalistInve1 No dice rating. It is smaller companies with relatively high risk that receive a dice rating, so Wästbygg seems to have had the honor of falling into the slightly more stable category., pronunciation=[[]], extra_data=""{'translat..."")"
17,18,2020-10-07,"Godkväll #finanstwitter,
Tecknar ni Wästbygg?

https://t.co/AYf7FWK63Q

#aktier #pratapengar",1313873529985798145,0,1,,GBGinvesterare,False,402,"Translated(src=sv, dest=en, text=Good evening #finanstwitter,
Do you draw Wästbygg?

https://t.co/AYf7FWK63Q

# shares #pratapengar, pronunciation=[[]], extra_data=""{'translat..."")"
18,19,2020-10-07,"Sista teckningsdag för #Wästbygg är fredag (9/10), tecknar du? Läs #AFV analys: https://t.co/JoGro2YKkU",1313838579190321153,2,0,,ipoguiden,False,3012,"Translated(src=sv, dest=en, text=Last drawing day for # Wästbygg is Friday (9/10), are you drawing? Read #AFV analysis: https://t.co/JoGro2YKkU, pronunciation=[[]], extra_data=""{'translat..."")"
19,20,2020-10-07,Wästbygg ger ett välskött intryck med VD Jörgen Andersson som rattat verksamheten sedan 2003. Läs #AFV analys om #Wästbygg som prenumerant: https://t.co/DWS08zq6eo,1313833532305879043,2,0,,AFV_Analys,False,8656,"Translated(src=sv, dest=en, text=Wästbygg gives a well-managed impression with CEO Jörgen Andersson who has run the business since 2003. Read #AFV analysis about # Wästbygg as a subscriber: https://t.co/DWS08zq6eo, pronunciation=Wästbygg gives a well-managed impression with CEO Jörgen Andersson who has run the business since 2003. Read #AFV analysis about # Wästbygg as a subscriber: https://t.co/DWS08zq6eo, extra_data=""{'translat..."")"
20,21,2020-10-07,@AFV_magasin rekommenderar teckna Wästbygg.,1313830104942944256,5,0,,JonasJonsson92,False,1104,"Translated(src=sv, dest=en, text=@AFV_magasin recommends subscribing to Wästbygg., pronunciation=@AFV_magasin recommends subscribing to Wästbygg., extra_data=""{'translat..."")"
21,22,2020-10-07,"Wästbyggs vd, Jörgen Andersson, kort om bolaget och kommande notering. - Wästbygg är idag ett av Sveriges 15 största entreprenad- och projektutvecklingsföretag. Bolaget utvecklar och bygger bostäder, kommersiella fastigheter inklusive samhällsfastighe..
https://t.co/80IN8Arprz https://t.co/FhXgflsw7R",1313826530242502661,0,0,,Aktiellt,False,13755,"Translated(src=sv, dest=en, text=Wästbygg's CEO, Jörgen Andersson, briefly about the company and upcoming listing. - Wästbygg is today one of Sweden's 15 largest construction and project development companies. The company develops and builds housing, commercial properties including community properties.
https://t.co/80IN8Arprz https://t.co/FhXgflsw7R, pronunciation=[[]], extra_data=""{'translat..."")"
22,23,2020-10-07,NYTT INLÄGG: Introduktion av Wästbygg (https://t.co/U2FYxPGN6t) | #pratapengar #aktier #finanstwitter,1313780491254980608,0,0,,finansfeed,False,423,"Translated(src=sv, dest=en, text=NEW POST: Introduction of Wästbygg (https://t.co/U2FYxPGN6t) | #pratapengar #aktier #finanstwitter, pronunciation=[[]], extra_data=""{'translat..."")"
23,24,2020-10-07,"Förvärva B-aktier i Wästbygg Gruppen -  ()
https://t.co/dzt1WCjoVS",1313777420349198337,1,0,,Aktiellt,False,13755,"Translated(src=sv, dest=en, text=Acquire B shares in Wästbygg Gruppen - ()
https://t.co/dzt1WCjoVS, pronunciation=[[]], extra_data=""{'translat..."")"
24,25,2020-10-07,Noteringsaktuella Wästbygg har en fin historik och håller prestandan i sig bör det där kunna bli riktigt bra.,1313736571418443776,16,0,,therealpetrusko,False,33829,"Translated(src=sv, dest=en, text=Current Wästbygg has a fine history and keeps the performance intact, it should be able to be really good., pronunciation=Current Wästbygg has a fine history and keeps the performance intact, it should be able to be really good., extra_data=""{'translat..."")"
25,26,2020-10-06,"Missa inte @AlexanderGust intevju med börsnoteringsaktuella Wästbygg gruppen 👇
https://t.co/nW1YqVWglx
Läs mer om Wästbygg gruppens noteringserbjudande här 👇
https://t.co/wvGdXt5Def https://t.co/8pHO0bltek",1313494229172322310,9,2,,NordnetSE,False,23117,"Translated(src=sv, dest=en, text=Do not miss the @AlexanderGust interview with the current Wästbygg group 👇
https://t.co/nW1YqVWglx
Read more about the Wästbygg group's listing offer here 👇
https://t.co/wvGdXt5Def https://t.co/8pHO0bltek, pronunciation=[[]], extra_data=""{'translat..."")"
26,27,2020-10-06,"Wästbygg går att teckna på @NordnetSE sista svarsdag 9/10, noteras 13/10 på mid cap.

Bolaget bygger inom olika segment t.ex. samhällsfastigheter.
BV 3003 MSEK - erbjudande 950 MSEK.
Svolder och LF är åtagare av 27 %.
Börsveckan rekommenderar teckna, EV/EBIT 9 för 2021.

Tecknar.",1313358312474390528,20,1,,JonasJonsson92,False,1104,"Translated(src=sv, dest=en, text=Wästbygg can be subscribed to @NordnetSE last response day 9/10, noted 13/10 on mid cap.

The company builds in different segments e.g. community properties.
BV SEK 3003 million - offer SEK 950 million.
Svolder and LF are commiters of 27%.
The stock market week recommends subscribing, EV / EBIT 9 for 2021.

Draws., pronunciation=[[]], extra_data=""{'translat..."")"
27,28,2020-10-05,@Nielsludvig Skulle inte vilja äga wästbygg långsiktigt. Byggrättsportfäljen har ett begränsat övervärde och entreprenad sidan är stentuff. Se bara hur det går för serneke att försöka gasa med bibehållen lönsamhet,1313152007088287749,0,0,,MinimeraS,False,1308,"Translated(src=sv, dest=en, text=@Nielsludvig Would not like to own västbygg long-term. The building rights portfolio has a limited surplus value and the contracting side is tough. Just see how it goes for serneke to try to accelerate while maintaining profitability, pronunciation=[[]], extra_data=""{'translat..."")"
28,29,2020-10-05,"Wästbygg Gruppen - Förvärva B-aktier i Wästbygg Gruppen ()
https://t.co/3KSq8UrAdq",1313098896567042051,4,0,,Aktiellt,False,13755,"Translated(src=sv, dest=en, text=Wästbygg Gruppen - Acquire B shares in Wästbygg Gruppen ()
https://t.co/3KSq8UrAdq, pronunciation=[[]], extra_data=""{'translat..."")"
29,30,2020-10-05,"V41
""Ibland framstår verkligheten som bättre än dikten – precis när optimismen på aktiemarknaden är som högst och gamla rekord är på väg att brytas insjuknar president Trump i covid-19. Med tanke på den osäkerhet som USA...""
https://t.co/yLR5ggZfpn

#aktier #wästbygg $CONS $GUNN https://t.co/sNMypBq5u4",1313048786118356993,0,0,,TradeVenue,False,16805,"Translated(src=sv, dest=en, text=V41
""Sometimes reality is better than poetry - just when stock market optimism is at its peak and old records are about to be broken, President Trump falls ill in covid-19. Given the uncertainty that the United States ...""
https://t.co/yLR5ggZfpn

# shares # wästbygg $ CONS $ GUNN https://t.co/sNMypBq5u4, pronunciation=[[]], extra_data=""{'translat..."")"
30,31,2020-10-05,"Tre företag som ska notera sina aktier under oktober är Media and Games Invest, Wästbygg och Offentliga Hus. https://t.co/slnrMRZRCv https://t.co/uBkRFpJw8s",1313016221097504769,0,0,,Nyemissioner,False,15437,"Translated(src=sv, dest=en, text=Three companies that will list their shares in October are Media and Games Invest, Wästbygg and Offentliga Hus. https://t.co/slnrMRZRCv https://t.co/uBkRFpJw8s, pronunciation=[[]], extra_data=""{'translat..."")"
31,32,2020-10-05,Går det ej att delta i börsintroduktionen utav Wästbygg via @avanzabank ?,1313000177423265792,1,0,,Mr_Fischer_Ing,False,39,"Translated(src=sv, dest=en, text=Is it not possible to participate in the IPO of Wästbygg via @avanzabank?, pronunciation=Is it not possible to participate in the IPO of Wästbygg via @avanzabank?, extra_data=""{'translat..."")"
32,33,2020-10-05,"Rutgher Arnhult, som byggt upp M2-gruppen och börsnoterade Corem, samt gjort en nära nog hostile takeover av Klövern, står bakom Wästbygg som nu börsintroduceras. Min gissning är att den som får tilldelning enkelt kan tjäna några tusenlappar.",1312979113477578753,9,0,,cmuggla,False,5285,"Translated(src=sv, dest=en, text=Rutgher Arnhult, who built up the M2 group and listed Corem, and made an almost hostile takeover of Klövern, is behind Wästbygg, which is now being listed on the stock exchange. My guess is that whoever gets the award can easily earn a few thousand bucks., pronunciation=[[]], extra_data=""{'translat..."")"
33,34,2020-10-05,"Börsveckan ger köpråd för Kopparbergs och Hexpol, teckna Wästbygg och sälj Gunnebo https://t.co/bFbq5UEn8u #analytics #ipo #stocks",1312976331357945864,2,2,,Finwire,False,23860,"Translated(src=sv, dest=en, text=Stock market week provides buying advice for Kopparbergs and Hexpol, subscribe to Wästbygg and sell Gunnebo https://t.co/bFbq5UEn8u #analytics #ipo #stocks, pronunciation=Stock market week provides buying advice for Kopparbergs and Hexpol, subscribe to Wästbygg and sell Gunnebo https://t.co/bFbq5UEn8u #analytics #ipo #stocks, extra_data=""{'translat..."")"
34,35,2020-10-04,"Teckna rek fr Börsveckan på Wästbygg, ankare Svolder och Länsförsäkringar, störste ägaren Rutger Almhult säljer inga aktier. Fick inga Exsitec eller Implantica, kanske blir det tredje gången gillt? Någon mer som tecknar?",1312767486606143492,4,0,,prefermybike,False,201,"Translated(src=sv, dest=en, text=Subscribe for Stock Exchange Week at Wästbygg, anchor Svolder and Länsförsäkringar, largest owner Rutger Almhult does not sell shares. Did not get Exsitec or Implantica, maybe it will be valid for the third time? Anyone else drawing?, pronunciation=[[]], extra_data=""{'translat..."")"
35,36,2020-10-04,Vi har inte hunnit kolla upp Wästbygg än men Aktienovisen har skrivit lite. 👇 https://t.co/4h7IOaCeYh,1312684188710187008,9,0,,Aktiepappa,False,17467,"Translated(src=sv, dest=en, text=We have not had time to check out Wästbygg yet, but Aktienovisen has written a bit. 👇 https://t.co/4h7IOaCeYh, pronunciation=[[]], extra_data=""{'translat..."")"
