,Unnamed: 0,date,content,id,likeCount,retweetCount,retweetedTweet,username,verified,followersCount,english-content
0,0,2021-06-23,Vi kör en ny då eftersom IPO-desken inte riktigt hade vaknat och skrev att TBD30 har premiär i dag. Teckningsperiod inleds där och inget annat. Tack för påpekande @Mkanslatt och @BullTrade12,1407591930230460416,0,0,,AWahlfeldt,False,171,"Translated(src=sv, dest=en, text=We run a new one then because the IPO desk had not really woken up and wrote that TBD30 premieres today. Subscription period begins there and nothing else. Thanks for pointing out @Mkanslatt and @ BullTrade12, pronunciation=[[]], extra_data=""{'translat..."")"
1,1,2021-06-23,@AWahlfeldt tbd30 noteras inte idag. Går teckna tom idag.,1407589000236486661,0,0,,BullTrade12,False,906,"Translated(src=sv, dest=en, text=@AWahlfeldt tbd30 is not listed today. Can be drawn even today., pronunciation=[[]], extra_data=""{'translat..."")"
2,3,2021-06-23,"DING DING DING 🔔 

Idag är sista dagen att anmäla sig till noteringsaktuella tbd30 AB. Obs. senast 15:00.

Läs mer. 👇",1407582944558948357,0,0,,NordnetSE,False,23105,"Translated(src=sv, dest=en, text=DING DING DING 🔔

Today is the last day to register for the current tbd30 AB listing. Obs. no later than 15:00.

Read more. 👇, pronunciation=[[]], extra_data=""{'translat..."")"
3,4,2021-06-21,"Nyintroduktionshetsen är på topp, vi har tio svenska nyintroduktioner som börjar handlas på två dagar, vardera fem bolag onsdag och torsdag inför midsommarhelgen. Däribland spac-bolagen Creaspac och Tbd30 som noteras på Nasdaq Stockholm på onsdag respektive torsdag.",1407063599168823298,7,1,,Finwire,False,23862,"Translated(src=sv, dest=en, text=The new introduction heat is at its peak, we have ten Swedish new introductions that start trading in two days, each with five companies on Wednesday and Thursday before the midsummer weekend. Including the spac companies Creaspac and Tbd30 which are listed on Nasdaq Stockholm on Wednesday and Thursday respectively., pronunciation=[[]], extra_data=""{'translat..."")"
4,5,2021-06-19,"Tre företag som ska notera sina aktier under juni är vindkraftsbolaget OX2, spac-bolaget tbd30 och och fotobelysningsföretaget Profoto.
https://t.co/gYPjPMuG1s https://t.co/RFkBMHxRZp",1406334176568262661,1,1,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=Three companies that will list their shares in June are the wind power company OX2, the spac company tbd30 and the photo lighting company Profoto.
https://t.co/gYPjPMuG1s https://t.co/RFkBMHxRZp, pronunciation=[[]], extra_data=""{'translat..."")"
5,6,2021-06-19,"Under den gångna veckan har #AFV skrivit analyser om #JM, #HeimstadenPref, #CTTSystems, #EeviaHealth, #Codemill, #Komplett, #MoveByBike, #RevolutionRace, #Creaspac, #TBD30, #Acast, samt #Readly: https://t.co/AqAkIUNpzz",1406129622153011201,3,1,,AFV_Analys,False,8656,"Translated(src=sv, dest=en, text=During the past week, #AFV has written analyzes about #JM, #HeimstadenPref, #CTTSystems, #EeviaHealth, #Codemill, #Complete, #MoveByBike, #RevolutionRace, #Creaspac, # TBD30, #Acast, and #Readly: https: / /t.co/AqAkIUNpzz, pronunciation=[[]], extra_data=""{'translat..."")"
6,7,2021-06-18,"Tänker att namnet tbd30 anspelar på Engelska förkortningen av ""To Be Decided""? 😅",1405952851218739204,1,0,,Tripple65904021,False,4559,"Translated(src=sv, dest=en, text=Do you think the name tbd30 alludes to the English abbreviation of ""To Be Decided""? 😅, pronunciation=[[]], extra_data=""{'translat..."")"
7,8,2021-06-18,"Fler och fler SPAC-bolag kommer till Svenska börsen. 

Sitter precis och läser lite lätt prospektet för tbd30. 

Förvånas över att intresset för denna investerarform blivit så aktuellt på sistone. 😅",1405951098830135296,5,0,,Tripple65904021,False,4559,"Translated(src=sv, dest=en, text=More and more SPAC companies are coming to the Swedish Stock Exchange.

Just sitting and reading the prospectus for tbd30 a little easy.

I am surprised that interest in this form of investing has become so relevant recently. 😅, pronunciation=[[]], extra_data=""{'translat..."")"
8,9,2021-06-17,"Affärsvärlden är neutrala till SPAC-noteringen tbd30
https://t.co/FNz5Oxix0w https://t.co/GyP8bGpMVr",1405627275119411205,0,0,,Nyemissioner,False,15447,"Translated(src=sv, dest=en, text=The business world is neutral to the SPAC listing tbd30
https://t.co/FNz5Oxix0w https://t.co/GyP8bGpMVr, pronunciation=[[]], extra_data=""{'translat..."")"
9,10,2021-06-17,Personerna och ankarinvesterarna bakom TBD30 är i våra ögon vettiga liksom investeringsplanerna. Läs #AFV analys om #TBD30 som prenumerant: https://t.co/VPMiQ25KE3,1405524482320527381,0,0,,AFV_Analys,False,8656,"Translated(src=sv, dest=en, text=In our eyes, the people and anchor investors behind TBD30 are sensible, as are the investment plans. Read #AFV analysis about # TBD30 as a subscriber: https://t.co/VPMiQ25KE3, pronunciation=[[]], extra_data=""{'translat..."")"
